id,label_0,label_1,label_2,Predicted_Label
8,4.63E-08,2.47E-05,0.9999753,2
42,0.9975044,3.81E-06,0.002491816,0
1,2.56E-07,7.66E-06,0.99999213,2
6,8.07E-12,5.92E-10,1,2
4,4.89E-05,0.020238811,0.97971225,2
38,0.8699469,5.33E-05,0.12999982,0
30,1.27E-05,0.99998736,1.30E-10,1
10,1.06E-06,2.44E-08,0.9999989,2
32,0.9998312,1.98E-06,0.000166725,0
18,0.000680748,0.9993191,1.72E-07,1
36,0.9999572,9.75E-06,3.30E-05,0
20,0.1125881,0.88741183,1.35E-07,1
37,0.8233192,9.32E-05,0.1765876,0
35,0.9834978,1.31E-05,0.016489096,0
41,0.98104364,1.74E-05,0.018938875,0
25,0.04761591,0.9523757,8.44E-06,1
12,5.20E-05,9.51E-09,0.999948,2
15,0.001656321,0.9983437,2.49E-10,1
26,0.023892848,0.9761071,7.41E-08,1
39,0.9590695,1.35E-05,0.04091696,0
2,2.15E-32,1,0,1
16,0.011145318,0.9888453,9.42E-06,1
40,0.99361056,8.23E-05,0.006307102,0
5,5.72E-10,4.44E-07,0.9999995,2
14,2.93E-17,3.47E-13,1,2
31,0.001125469,0.9969303,0.00194431,1
3,2.74E-05,1.01E-06,0.9999716,2
43,0.99994266,2.52E-07,5.71E-05,0
19,0.00071255,0.99926275,2.47E-05,1
9,1.51E-07,1.12E-08,0.9999999,2
27,0.010367933,0.9896293,2.72E-06,1
22,0.008183698,0.99181634,1.11E-09,1
11,0.19123633,0.000105559,0.80865806,2
7,3.38E-13,5.85E-12,1,2
33,0.79910415,0.2007785,0.000117351,0
23,8.07E-06,0.9999919,1.24E-10,1
21,0.42784095,0.5721501,8.93E-06,1
24,0.018846797,0.98115325,1.79E-08,1
13,1.00E-09,2.88E-09,1,2
17,0.051208988,0.9487631,2.80E-05,1
29,4.80E-12,1,8.41E-21,1
28,5.91E-06,0.99999404,2.46E-10,1
34,0.99743634,8.50E-06,0.002555186,0
