id,heartbeat_signals,label
39,"-0.1281586663922421,-0.1264332037253088,-0.11448131476140294,-0.09811941241617694,-0.07651598102067059,-0.04967048200711299,-0.020957844105824797,0.015148472569112004,0.06344236077240972,0.1243948450840785,0.17802964540923383,0.21989279885044122,0.27210615291010964,0.3173484993766247,0.33937312601749525,0.34767765207758006,0.3504812243208102,0.3473352117421399,0.33857084402226945,0.3257694291060368,0.31498671949040613,0.30847185847272185,0.30452852365498784,0.3005745372484666,0.2990910245112012,0.2977235400329542,0.2956690836554797,0.29123409457107063,0.28305785173811293,0.27377277883308826,0.26223193137648515,0.2488683270509352,0.23621042437150874,0.22335913601544855,0.21057336495070667,0.19837145462646677,0.1861765835404614,0.1771038067445898,0.17106048584880262,0.16325749852623428,0.14862016567888348,0.12858971380652096,0.10381532542750949,0.07622281482407378,0.04607190197566813,0.014741985709495586,-0.010447522089050532,-0.02865446431487695,-0.0419681790438905,-0.05189544050451356,-0.057942678950537285,-0.06137128521879659,-0.06345276927431548,-0.06598496346576388,-0.06833362737732857,-0.07540408348390493,-0.08532655604727546,-0.09776856056668343,-0.10921679350829344,-0.11865822383108748,-0.1282125819366306,-0.13757981293161847,-0.14628836387003574,-0.15629460276160767,-0.16819745365586664,-0.18034561295166002,-0.19312541164136926,-0.2028556248732325,-0.20770694122068056,-0.21152933470774887,-0.2155686285949553,-0.21760193743888478,-0.21792788402719987,-0.2201714175943324,-0.22373734326900296,-0.228893416190033,-0.23325174805611643,-0.23815510448457988,-0.24456007366025878,-0.24585622045697741,-0.24067905016892166,-0.2297607191581919,-0.2147662872372919,-0.19918296847830963,-0.1852907927522448,-0.1751061842262452,-0.16580335432576787,-0.15811046130697098,-0.1510865764051309,-0.14551781315609863,-0.14093832894127978,-0.1539212710474871,-0.17068004371967116,-0.1709884231997582,-0.16115096578006027,-0.14551117299582267,-0.12794785412389703,-0.11138098462964718,-0.09605848526236915,-0.09145189159759226",0
25,"0.1816978235429405,0.24084313179897476,0.31098237201941015,0.35959317710874295,0.3837947878587231,0.39648447981223944,0.40319020867591293,0.406071269545916,0.40856411577422114,0.40789769681207755,0.40133296401485263,0.39251985197083483,0.3804211843524581,0.36810477597806046,0.3573008340043661,0.3457684058930268,0.3363141116158769,0.3284435602843918,0.31938414806293103,0.3081850445153528,0.2963854336473929,0.2819892704236412,0.2627414284503554,0.2416846459273776,0.22122586317622384,0.1992663796782148,0.18208702068259797,0.17149521727383288,0.1605561349419734,0.14658067739646852,0.1269600354573429,0.10067420145879924,0.06867225891264506,0.02916499685956553,-0.01454337422090668,-0.050672165045179574,-0.07915716206071743,-0.1087880166064108,-0.1377680130190131,-0.16530102283538062,-0.19968145653903102,-0.2375271233522045,-0.2654493649943277,-0.2771971985062749,-0.28294385415882695,-0.288735022518128,-0.29489909302549044,-0.29690180616147743,-0.2946604881540429,-0.28614461437245975,-0.2694200963330706,-0.25439300728817993,-0.2436486207190971,-0.23647171802441047,-0.23270420222743993,-0.22979367314818888,-0.22401104217692747,-0.21633018153959127,-0.20851264986025542,-0.20249787287575516,-0.19643168322340454,-0.18924504587766688,-0.1793599046947294,-0.16685571463867221,-0.15640724660966177,-0.1477357775706054,-0.14141149727625724,-0.136032356427505,-0.13155337832603298,-0.12911299189687697,-0.12761139302188895,-0.12349093167445702,-0.11794396922170125,-0.11401660329145336,-0.1121724532183137,-0.10983273016022643,-0.10619420346167541,-0.1007856232345532,-0.09740730355388316,-0.09403010025850422,-0.09037650408100073,-0.08682972301645764,-0.08290083125825332,-0.07859018406234708,-0.07483369896431724,-0.07033994556567191,-0.06690151503529362,-0.06589898434696129,-0.06269405253800575,-0.06280626478467766,-0.06127612184782927,-0.058157630434199525,-0.0557784852106491,-0.054182452520656454,-0.05257751082996864,-0.051345811470903335,-0.048812800519963284,-0.044876984377086204,-0.042748541027651576,-0.03866571863498436",0
26,"0.13282028905011278,0.18816374950059145,0.2182250007785418,0.24369350959586789,0.26965781287301216,0.29472010140984284,0.31032048118516475,0.3214076390941827,0.3342352934449101,0.3488119771723096,0.3628239360361599,0.3736870048990525,0.38331838254582906,0.3892212676684398,0.3908167515870097,0.3879163499310657,0.38289792058082195,0.3743832808665287,0.35970771685058023,0.34154965283353256,0.3226534666648997,0.30101812789768057,0.27640158401309134,0.2511781751573555,0.2283267921979475,0.2051843144450226,0.17480321536856658,0.1370434811370611,0.09177088472852879,0.035913183654822545,-0.028089278184827315,-0.09570061849654232,-0.15803441398548546,-0.20609726542207985,-0.24275982226313197,-0.2709554347513472,-0.29641494746495267,-0.3216555111639807,-0.34856257742390895,-0.37096505743512864,-0.3834403202724648,-0.384946359581241,-0.38053280309677096,-0.3768189869574987,-0.37463485477598146,-0.372995130826107,-0.3698070797518398,-0.36031420913400836,-0.3460552865774047,-0.3349826963463285,-0.3298212874343993,-0.3256174013695454,-0.3239861158007331,-0.3243667536854562,-0.32571547659837496,-0.32693952479710964,-0.3252995439048634,-0.32141875983999757,-0.31742474642359486,-0.3124922325959738,-0.3088692287084629,-0.3053662030410833,-0.3000978470267617,-0.29451476764760565,-0.2890095769371004,-0.28196991148815376,-0.2739414635699575,-0.26711115350361214,-0.2630473543502083,-0.2613787202831799,-0.26263007061152477,-0.26087087597558245,-0.2503697493848578,-0.24048032944424103,-0.23408789497851878,-0.22795413152982325,-0.22326928325612228,-0.2207580888297327,-0.21652298832211958,-0.20935874818256828,-0.19543265085977302,-0.1688392123017981,-0.10242965724969988,0.025582106111297742,0.1464788009073722,0.23007804447162017,0.2867331038907912,0.3264060263346591,0.3560345578587325,0.37917294481261066,0.3993317537162391,0.4174799077679927,0.43560034450208707,0.45207437024729236,0.467999732457424,0.4826237447234635,0.49577875759507917,0.5102341886976581,0.5242600792579611,0.546614597322756",0
43,"-0.0502179938181721,-0.06777428467505253,-0.07960159536929307,-0.08993848814267952,-0.09057330543001557,-0.08383636706580047,-0.07310875310414539,-0.0622218312454321,-0.048799861607245226,-0.03541707468623759,-0.023623871907584137,-0.011483691163026999,0.0005743385566591985,0.012903629826509083,0.025459498640294648,0.039004877173562755,0.05530234277014316,0.07570919899252265,0.09709320357455517,0.11663848958742198,0.1310274266995583,0.1402240752335449,0.15037562579378874,0.16654077153735145,0.1870227153861247,0.2101630103835709,0.23826524888571174,0.262878145150474,0.2772562068890226,0.28463529690277817,0.28448494154930853,0.28130768887876584,0.27667238972490477,0.2712858601890116,0.2655329203931775,0.25944992116805055,0.25187795971745364,0.24460790443354313,0.2375604011138908,0.2299616894045196,0.2233495841600813,0.21755083733293507,0.21102325189311286,0.2038397971278467,0.19524241324800043,0.1848011373263308,0.17263044790459314,0.16117643455855032,0.14829307977620826,0.13686545178783566,0.1263485872375084,0.11753963483638728,0.10856161297709507,0.09794133630570248,0.08310115939468224,0.06850859799378954,0.05656368016244427,0.04611007534847349,0.0361905806165759,0.02607036303628507,0.015323759254602665,0.002457252992010328,-0.012974102322515446,-0.03010259361566181,-0.04642466749222807,-0.06020380073135889,-0.07326634818677699,-0.0857981243610223,-0.09885344502743612,-0.11648312691766916,-0.1378968933057385,-0.16342468388522374,-0.19130100741016098,-0.2186133978130535,-0.2461136017626857,-0.2693127430412441,-0.2808158116343431,-0.2839853680762752,-0.28435948838200004,-0.2851133266476067,-0.2786059786945288,-0.2668545165668578,-0.25383215234828593,-0.24117692044660122,-0.22849104818485877,-0.2152894829471661,-0.2040195625441073,-0.19433596203450237,-0.19154157412930273,-0.19765065858593073,-0.20475136678355194,-0.20486402392482467,-0.1990673727588665,-0.19012582756026897,-0.1831654662738531,-0.1779796276547826,-0.1732611348835178,-0.16873432998167393,-0.16447624003918432,-0.1734419586569217",0
35,"-0.1009222101062468,-0.11218475946052897,-0.11240126359945912,-0.11278063779941516,-0.1138285173261595,-0.11480251007875464,-0.116678762453299,-0.11720973421136094,-0.11791403079851093,-0.11792294990156726,-0.11755927009452005,-0.11854809047820636,-0.11801187499456178,-0.11753951128273998,-0.11891571137055101,-0.12035731235340186,-0.12179050560074556,-0.12151748641338367,-0.12196458941971722,-0.12179108192101773,-0.12132164792957778,-0.12129551600048005,-0.12353789734700049,-0.12700134020317622,-0.13064611528919512,-0.13255956543607206,-0.13443564712281852,-0.1347200741179857,-0.13488680421639354,-0.1359279994577196,-0.13752813614261838,-0.1397565384416415,-0.14279178510518387,-0.14617802830523519,-0.1508750587156864,-0.15511937075939364,-0.1569717413967826,-0.15366487847987131,-0.14513864051231495,-0.13259902908239862,-0.11536895559353244,-0.09517536156011208,-0.07293823314178849,-0.0485767155783956,-0.018772387022064407,0.017367238827625142,0.05974852669677122,0.1046632555858138,0.1469819744981573,0.19229063230759125,0.23888431323626302,0.2811144140226791,0.30993200325858217,0.32586611598018567,0.3428793508502992,0.35706103797112854,0.3778918328159693,0.40379509142064074,0.4200645669804348,0.4227972381849956,0.42210926152155137,0.4169330636725752,0.4056600809716673,0.38778108557981694,0.3649391827218529,0.3418372172899471,0.320069465658132,0.2981002913912152,0.27490709188854545,0.2543283710366957,0.23544834985608287,0.21746406202704938,0.19811393051314563,0.17632557554756834,0.15210916035396504,0.12704729292840278,0.10106015719154549,0.07298426369514943,0.04467458020112791,0.01097915777675973,-0.027641926029484898,-0.06942590430619311,-0.11204269351544505,-0.15059857607739557,-0.185283715015635,-0.21091751052142937,-0.2263149683636445,-0.23195869989370066,-0.2351962751329868,-0.23575967334199577,-0.223732332841293,-0.20715810658135925,-0.19223054390020944,-0.17829979234282933,-0.16547045109414804,-0.1547232070497293,-0.1468298407239217,-0.14170786559986492,-0.13845752595216454,-0.14803134955488062",0
41,"-0.13058601374747875,-0.14802850012809154,-0.15339622747264656,-0.15445543139828588,-0.15471614096176622,-0.15253175662856971,-0.14979039991458104,-0.1448311226471038,-0.134963812014064,-0.11982743286183471,-0.10167553949858021,-0.08930598368911462,-0.08270386040555869,-0.07597345082906334,-0.0661736914531949,-0.05881192491361101,-0.048808884648668976,-0.03350576504219169,-0.017003764339123928,0.0007350953787338965,0.021900506928519692,0.03454559828919629,0.038082137700249485,0.0461425683863253,0.06127742059718999,0.07042421844182756,0.07796558285877353,0.08908915711826992,0.103565594846672,0.1215623431435851,0.14521186871576247,0.16983949457911263,0.18780835388629957,0.2019147684701061,0.22143062562468985,0.24222862667550832,0.2488753051619501,0.2471116707104909,0.24162756428235888,0.23807979830269255,0.23550722916123168,0.2346732762140541,0.23311618209939106,0.22788342499452496,0.22000672694319368,0.21243631092438853,0.20415855742805067,0.19378936930591667,0.18398133239260878,0.17188678623517628,0.16140069651969685,0.15220896694295577,0.14302014053491102,0.13603285118579644,0.12873838602749427,0.121638557193668,0.11397058543255673,0.10507584151152177,0.09687825752380619,0.08636462998468253,0.0722825039783313,0.05556238057879159,0.038464901469020124,0.021597615038499385,0.003314286454095927,-0.014305774342860261,-0.032699244624318974,-0.05192890944356737,-0.07112950348795839,-0.0899191422909966,-0.1072255867371947,-0.1189456877995286,-0.1314143790949256,-0.14525025893118734,-0.16059249479789595,-0.1785042150542791,-0.196097933378305,-0.20880312290497444,-0.21982536771778788,-0.23117620108413547,-0.24062468967737566,-0.25065500101280747,-0.25663684296440226,-0.25537551913413625,-0.247312422335314,-0.23172216489789388,-0.20820995886215482,-0.17288904234545802,-0.1367219627364063,-0.10485766929095386,-0.07883896315813892,-0.05653874590823779,-0.03724060435897952,-0.022833074357407612,-0.011401096273988137,-0.0021046743981197324,0.0034314508563526025,0.003526421470844976,-0.020407327720024765,-0.0610886847846262",0
4,"0.4224540123808045,0.43879521385725273,0.45809570787942044,0.48216839755733276,0.49832582809586823,0.5322902160421661,0.6087182114074919,0.6974729178176295,0.7875449926334515,0.8717862450753988,0.938086693764058,0.9885593789385638,1.0241601962796318,1.0460585965572138,1.0596081214402024,1.069304126437241,1.0764094421045596,1.0811276144988933,1.0824182771598778,1.0753505238672654,1.053348141249953,1.01841682376024,0.9755477660866392,0.9266545310132326,0.884065144305302,0.8458530675258937,0.8068092489152767,0.7626095707343212,0.7120917591841145,0.6485932234465988,0.5732795116211225,0.49360041693816287,0.41333390203562925,0.32279685537793223,0.21496326665272092,0.10389010313272784,-0.002988865839581578,-0.10251565095362947,-0.18327519751099197,-0.2454571421984405,-0.2969004694381411,-0.33343651707524724,-0.3593887988633607,-0.38193864628314167,-0.4050291232574109,-0.42978978380911903,-0.4550644241600318,-0.48452834050190596,-0.5159960375482971,-0.5445434182011794,-0.5682688954455867,-0.589372394018954,-0.6072438818215858,-0.6229706856963405,-0.634573780498897,-0.6429131232277593,-0.6497942041625121,-0.6533138960083528,-0.6525265603723239,-0.650181373461466,-0.6467909939562487,-0.6438950990952178,-0.6421610645374068,-0.6402198869111212,-0.6389032850413833,-0.6337983882766399,-0.6240501754452418,-0.6109888971087044,-0.5966445400878276,-0.5803132933054335,-0.5611405339281664,-0.5412059846236018,-0.522139760476589,-0.5040098253352737,-0.4838235813088788,-0.46540288684898334,-0.4489671127666618,-0.43124773718959986,-0.4116119634167944,-0.3935696563917047,-0.3771757387057172,-0.361891564205464,-0.346961055900202,-0.3327397679319529,-0.3175517354359815,-0.3039984750681294,-0.2900804809714782,-0.27580365990476785,-0.261649088282362,-0.24703626832328418,-0.23468299898355538,-0.22247522961419708,-0.21063634183783708,-0.19821907846636766,-0.18717004662599768,-0.17777034265626235,-0.16835448763248928,-0.159084222710696,-0.15002180802823528,-0.13838977808349984",0
12,"-0.08327744438419327,-0.07420586602188628,-0.05187920334411089,-0.026429860605869493,-0.006500019387225109,0.008488427572128643,0.02352671572542242,0.034502023466665754,0.04333095828613853,0.05278238813875724,0.0803765822096052,0.14339826058945837,0.21795341886396136,0.2843871457317233,0.33836159740238303,0.389920989125891,0.4418935830097812,0.4854751402011699,0.5174320174616609,0.5402198702214851,0.5546778302711726,0.5627284028208654,0.5648983362342261,0.5630294446811566,0.5567801517882138,0.5502665835639178,0.5434844216573578,0.5359077446883536,0.5261832326918308,0.5155693880347911,0.5010183948537161,0.4809971664696162,0.45842679563775635,0.4366971190665123,0.41446270574219346,0.3876967117512966,0.36114730782925397,0.32984645087131925,0.28794178586549934,0.23230501688808536,0.16760669463035605,0.10737496738804841,0.059139159979971545,0.021790965179384614,-0.011413584772398622,-0.04951068584318907,-0.0738699601666637,-0.08436316685663048,-0.09021993087222224,-0.09508657625557415,-0.09881536628373855,-0.10383125791958303,-0.1126816752133184,-0.12858655318421963,-0.14516191911805443,-0.1598758051856084,-0.17506515698135505,-0.19044485647110765,-0.2079373946831966,-0.22634684220479961,-0.24379756328032887,-0.2621076460019989,-0.28068935995542343,-0.29531214760958147,-0.3053151179428042,-0.31114510352836344,-0.3155190614150447,-0.31929947138437154,-0.32355650506485656,-0.3288186823569266,-0.3342451179471917,-0.3370133773782449,-0.3375232656718081,-0.3349893528635013,-0.33099544893851096,-0.3280121391995783,-0.3244625755716104,-0.320553094801304,-0.3161562601078174,-0.31256812751154595,-0.3081580755684916,-0.3038570343192797,-0.30121110826450703,-0.2982768677478784,-0.29368390367432706,-0.288142989457401,-0.2814715961399221,-0.27351641205032706,-0.26462764495644286,-0.25285231006870657,-0.2425092193160996,-0.231813546027678,-0.22236970624840335,-0.21308058022161003,-0.20309159887260808,-0.1926905091193083,-0.18403823033204958,-0.1756480887137215,-0.1666835250045553,-0.1667204062020371",0
8,"0.25803111088233077,0.25633904891754733,0.263315975730783,0.2760588382027491,0.30259820565332785,0.34532546765801797,0.3857243112832701,0.3998943300147151,0.4100440745347902,0.43588363708597644,0.45831372865732123,0.4893575659539251,0.5359809761479454,0.5910333718272627,0.639526343113021,0.6777053170560634,0.7077852546727337,0.7313536391533881,0.7519504660251759,0.7674333007258758,0.7776885362429553,0.7818503162699996,0.7778572987694375,0.7649832862136695,0.7462129108414564,0.7230404585517002,0.7010091565063329,0.6735168168415372,0.638246074955567,0.5938839481648591,0.5436121806320174,0.4867507737637162,0.4214083886012595,0.34958536692509234,0.27404674558157305,0.19960162800779802,0.12703493597583193,0.04998647661634248,-0.02815011280675117,-0.09809732384294989,-0.1508940686572584,-0.18905866222805812,-0.2226104426766471,-0.2522618385184545,-0.28282026865190435,-0.31515490411305813,-0.3431790131852772,-0.37247431056863367,-0.4027563759029562,-0.4323608066341429,-0.45727515962942644,-0.4793241645516011,-0.4997949247906892,-0.5193208083340966,-0.5345589964297208,-0.5481533302512829,-0.5597393210315522,-0.5693508852046594,-0.5768530927998798,-0.5810842593408003,-0.5811573876651785,-0.5773079637556766,-0.5700098030339047,-0.5597947154733576,-0.5487027520759247,-0.5354492561792168,-0.5204788249674726,-0.5032469748049986,-0.4833049134088514,-0.46324496763216816,-0.4408593584140692,-0.4195067826445962,-0.4010181757062725,-0.3807450448390679,-0.3605001385330653,-0.3408248484283398,-0.32294733339776194,-0.3041177244544162,-0.28466178455663615,-0.26592881036419214,-0.2471775184551246,-0.2292059483945641,-0.21145607449259463,-0.19409154217381608,-0.17624655439337622,-0.15938239346506533,-0.14420443951979633,-0.12981314923699094,-0.11628810197828066,-0.10241869551459915,-0.0867187953923032,-0.07096373772432352,-0.05899446058481694,-0.046321354727612674,-0.033446577894428176,-0.021350365464295917,-0.01195975254914039,-0.003667085419655658,0.0037084577090376047,0.005108457399354505",0
3,"0.27612695833884926,0.27646322921851696,0.28697694450139377,0.2950545693265088,0.3012251548272507,0.30434353891747556,0.2983048904947284,0.2839124496468959,0.2681395127670968,0.2687310656697802,0.2908779566695045,0.3300667986516219,0.37313638897612184,0.41821413608556024,0.470120172242588,0.519710196699226,0.555298516327519,0.5844794213548885,0.6083031016542224,0.6280582122347721,0.6435044276997502,0.6529356846100497,0.657068812258482,0.6526932115500722,0.6388249114861254,0.6178995436279032,0.59363904849008,0.5640111905862272,0.5295741824267595,0.49212546580018623,0.44838687274742717,0.3985879946445474,0.3437331402166863,0.28179406454123057,0.20378771714392252,0.11414649550208023,0.012024260005344067,-0.0860302030179696,-0.15927516721659574,-0.22422111392810373,-0.2780621142672455,-0.310338221027473,-0.3280725976235104,-0.34054935636353545,-0.35226034391766126,-0.36403916338494424,-0.37960666198197646,-0.3999465493330786,-0.42176456618834623,-0.4391386780515447,-0.45286454358709727,-0.4624769095509278,-0.4695233434213564,-0.47164618408423076,-0.47235326115548126,-0.4698347983553275,-0.4645899149925141,-0.45750840264816794,-0.44844604756615203,-0.4369341561514333,-0.4249197663900528,-0.4101540024546956,-0.3926859305210332,-0.3741361472519772,-0.3559199035718872,-0.33789064286902404,-0.3216217753844205,-0.3061588939508162,-0.29228904946105516,-0.28072755898534674,-0.2718766320447382,-0.2639967378097263,-0.25581796303881066,-0.2461616291275518,-0.23484324549483349,-0.22370467834819752,-0.21038978971540612,-0.19802736299849333,-0.1866099622168096,-0.17428039664821793,-0.16359793847441084,-0.1531731933672249,-0.14219366501046338,-0.1299958056981454,-0.11705416089046583,-0.10376880538454036,-0.09119201227758222,-0.07917254359402326,-0.0662196555549649,-0.053460522903348906,-0.04021806314513654,-0.029072807119205568,-0.01754151855402153,-0.0047198287870041655,0.006891306330244484,0.017942228492975776,0.02782918792581912,0.033779501733020134,0.03889016052854144,0.035462263906306024",0
