id,heartbeat_signals
1,"-0.02130496186831632,-0.02084902518924192,-0.020550419257379104,-0.020349082473021696,-0.019958841776840375,-0.01939199720361029,-0.01884832352666388,-0.01822119325467808,-0.017594902569310955,-0.01718964189500971,-0.016746353313048523,-0.01610769055222705,-0.015717666980716416,-0.015793476468255907,-0.016042753442111035,-0.01648516563327429,-0.017188779021848788,-0.01750504829184063,-0.0168495972873155,-0.01590341982305077,-0.01579112512311487,-0.016581195340963584,-0.017520850995009996,-0.01797932488119658,-0.017848055839690513,-0.01733063637098775,-0.01659397393163431,-0.015618187711552878,-0.014483904348595145,-0.013461611625199543,-0.012558939784926393,-0.011811705004916906,-0.011490174405363707,-0.011451147139495355,-0.011197468767708108,-0.010461483893369428,-0.0093498455209724,-0.00786175757530616,-0.005761798935014051,-0.003050559007289122,-9.259624277979661e-05,0.0030156990945415796,0.007278870807982285,0.014765233633386554,0.02752296744233207,0.045728602376117866,0.06674174149982526,0.08654386631569388,0.10230849541028508,0.11348248703546493,0.12070953646520644,0.12473421591260614,0.12593477807767584,0.12387739823684729,0.11760932231731669,0.1063870945599068,0.08939797056694387,0.06626337115759462,0.03911172805797536,0.012899043531703125,-0.007301386609927185,-0.01937702294483845,-0.02456760773625577,-0.025483775837633615,-0.02429679809340546,-0.0225585428354087,-0.02128017462981946,-0.020703744109002997,-0.020484885226201843,-0.020155665581696347,-0.01987546236186133,-0.02008820803859046,-0.020629770864966757,-0.021140221796633663,-0.02148425314413127,-0.021745996930858214,-0.022012604627563714,-0.02217092544161514,-0.02217735433395407,-0.021872160782534733,-0.021235263280336314,-0.020717688104626486,-0.02047513294990644,-0.020202352333450913,-0.019854361329771253,-0.019677091833208538,-0.019850020639481825,-0.02013799476883915,-0.019892291465313017,-0.018701417536641785,-0.016979802529825117,-0.015576853418862502,-0.014993993999415034,-0.014999790448184447,-0.015039472460967707,-0.015120271913107164,-0.015321134968053096,-0.01545882500903284,-0.016141444452025366,-0.0176359748585877"
2,"-0.018007981384458804,-0.017859397316629333,-0.017940534904915206,-0.018350319157298123,-0.018937703227476788,-0.019191149094829885,-0.019002557140667564,-0.018744561091552203,-0.018691438985228848,-0.01875444938304205,-0.01877438689301858,-0.01880352174804989,-0.018886549058725444,-0.01903350831183659,-0.01925306066174781,-0.019277832150091045,-0.018675983500976212,-0.01771750086465107,-0.01711964697457602,-0.01705066351233997,-0.017347805795544846,-0.017816978761218683,-0.01820467543047133,-0.01841265600968811,-0.01850152316672571,-0.018282902128360368,-0.017545293781957016,-0.016730486218591745,-0.016164290081270405,-0.015540784733700352,-0.014717642033486023,-0.013843475825590645,-0.013082478027911626,-0.012156730239463509,-0.010529637618937326,-0.00800361200620514,-0.0043891817469448036,0.0013119061465001192,0.010669590974634824,0.023914029567547623,0.03963190768738534,0.056446750769434506,0.07315060952692287,0.08830634210361954,0.10069985407990278,0.10934120514443224,0.11377855716468588,0.11419647136408262,0.11056654890913031,0.102571485459517,0.08993251175437667,0.07255830005621955,0.051607915756362366,0.030358421557394544,0.012847920468124108,0.0013048947336257166,-0.004648356490414507,-0.006499516046049703,-0.006168798886771576,-0.005734497874052558,-0.006474519165157178,-0.008342236637088996,-0.010436334531264468,-0.012185075825381309,-0.013564901917566985,-0.014202615259159224,-0.013920086325265757,-0.013514349484488042,-0.013651984007194473,-0.01404159752649714,-0.014132306871145639,-0.014110291249034068,-0.01465419889483488,-0.016159557784062195,-0.017991983387938393,-0.018945452533761786,-0.018732206790863626,-0.01807830200288363,-0.017894700977323375,-0.018477411987181336,-0.019101996478539496,-0.019184076083480828,-0.01885211525690267,-0.01816737382472644,-0.017024429039322775,-0.01568041215612792,-0.014804616032974893,-0.014540051343092442,-0.014482340739928823,-0.014468736208670507,-0.01432373958877442,-0.013662993132171342,-0.012583177338779561,-0.011615453213133287,-0.010974481916845247,-0.010478566200208372,-0.009857948411302053,-0.008829750640403145,-0.0067744695368321395,-0.0038843146581297727"
3,"-0.03700501188646732,-0.03746131396689667,-0.037981950330429504,-0.038037690628117016,-0.0379946576429715,-0.0378894808822805,-0.037180322779769126,-0.03603113460128271,-0.035177297549480846,-0.03458879053817432,-0.03389246615260122,-0.03323046214660663,-0.032677020352306796,-0.0319958082145706,-0.03132299654589166,-0.031072710878488508,-0.03116854125036217,-0.031232388600430205,-0.03137688932843408,-0.03156400661564995,-0.031228376980007466,-0.030227375003698764,-0.028947868909854346,-0.027667553875760476,-0.026760322665502878,-0.02646709096733124,-0.025941385152974172,-0.024114766161800194,-0.02104358494616765,-0.01758386950971036,-0.014368142575984288,-0.010887978575246038,-0.005499640996240229,0.0033869377437831805,0.01626410886422791,0.03245149490059718,0.05069159918994437,0.06926009353038398,0.08624374284932967,0.10051402404208898,0.11191404211473133,0.12047241764666383,0.12614343104961567,0.1292796650027983,0.13038850075734199,0.12984829910363826,0.1279514505284962,0.12457015411417305,0.11870539035072691,0.10902754715444885,0.09510034435457038,0.07795551549245539,0.05946966631558159,0.04143975028137881,0.025173720297612112,0.011427603895905802,0.0008336015284140519,-0.006336373676937956,-0.010708977077186432,-0.01365186565011256,-0.016182019200404296,-0.018311699977398233,-0.020251622925316237,-0.022685082857812677,-0.025485388327721292,-0.02792137278545659,-0.02980425911877438,-0.03113612997203763,-0.03160463526417745,-0.031133917335109507,-0.030305950989933272,-0.029633973143899484,-0.028978545805830702,-0.028106953378992605,-0.02718509105728817,-0.026448654544652506,-0.025970640365331477,-0.025587287809607284,-0.024958436128166284,-0.024031460878309208,-0.023182694609166665,-0.022443087191100997,-0.021637459367936263,-0.020912007517733366,-0.02031156626600028,-0.019656680288296258,-0.018939110231531275,-0.018477732270590908,-0.018207034176608072,-0.017972194555684773,-0.01806342288555829,-0.01836918486497341,-0.01841753682717373,-0.018185671254550506,-0.01794955928575681,-0.017436125472870545,-0.0161358631864712,-0.014245084554927123,-0.012082595589472112,-0.009849255230563125"
4,"-0.03806239107207943,-0.03637539627054753,-0.03444847662335748,-0.03234980321268455,-0.030273437129549663,-0.028491749269350164,-0.026867884680232157,-0.025406518705617165,-0.02405834814946206,-0.02269915508123277,-0.021698170621615276,-0.021277765441795715,-0.021095368771435696,-0.020796837062287965,-0.02018965844095999,-0.01923296709476463,-0.018288952426076976,-0.017918618948637333,-0.01804165934332791,-0.01805745481531673,-0.017522363680380737,-0.016522338276727444,-0.015554766340895254,-0.014857249738429834,-0.014331564070421798,-0.013855424898501001,-0.013480469388052807,-0.013022428466114233,-0.012059214731065637,-0.0107107881495625,-0.009561392388525602,-0.008698639238787553,-0.007626720540932164,-0.005884775909021922,-0.003289449023759161,-0.0001803288395292313,0.0027304955833897804,0.005264063173782363,0.008686215637834449,0.01554453395343569,0.028356323647759973,0.047888458056005945,0.0717081306506222,0.09507881217754921,0.11407786001717524,0.12715750913747437,0.13454987443450972,0.13735471463939564,0.13673399381585427,0.13317837040459035,0.12645690462277215,0.11637160313755945,0.1024566938483864,0.083872270087064,0.06099001448046715,0.036203021717042816,0.012963095286771198,-0.005458449604056614,-0.01724863633221929,-0.023199717522109475,-0.025851302427172484,-0.027330114527274407,-0.028722153357553903,-0.030342486895966747,-0.03202921478624132,-0.03392394829320122,-0.03626531834799107,-0.03861440858920173,-0.0401462386946263,-0.04053196110538093,-0.040067286609550834,-0.03924588002028084,-0.038159428665475836,-0.03648767045577994,-0.034502542254657875,-0.03261372592153289,-0.03045251369577273,-0.027942375964996602,-0.025729982592605616,-0.024069102018964506,-0.022668227610026292,-0.021330682281822666,-0.019855757858360468,-0.017992252114675145,-0.01593408516362449,-0.01423384008244577,-0.013119382500585308,-0.012127601495393714,-0.010782825856966438,-0.009352175035688859,-0.008361584036716607,-0.007881881378999367,-0.007477883281725051,-0.006589731412069755,-0.005390078479727611,-0.004563520333801474,-0.004105007178815345,-0.0038660552686078375,-0.0044825325410193795,-0.005784869074680232"
5,"-0.021258463951846905,-0.020185054044886637,-0.01887527493763301,-0.018064064973544985,-0.017491419889614453,-0.01720234836860756,-0.0171177731945856,-0.0165618891337765,-0.01566696663981465,-0.01511503046364563,-0.014664334792693148,-0.014188238135396158,-0.014242833756462611,-0.014814997543940854,-0.015588961656609564,-0.01679732744413214,-0.018628577772865557,-0.020522666368742018,-0.021794869085038804,-0.022775369685608428,-0.02420876545974856,-0.026091399543593026,-0.028315191832998285,-0.031156057402141238,-0.034330856964461594,-0.03745433497043613,-0.040817317903028866,-0.04433718370627976,-0.047028174939377436,-0.04867449738985466,-0.049748374087797885,-0.049716342905222415,-0.047443564647909976,-0.04203043387513235,-0.032244144544776365,-0.016093818787453792,0.007584261927715975,0.037011997449912785,0.06782794199317399,0.09572883565744264,0.11836929156504898,0.13540136511126627,0.14765820773545763,0.15615748209788516,0.16142722628241246,0.16396088637154596,0.16439609025322593,0.16255698779058653,0.15727782504940488,0.14635803707377357,0.12745031761161552,0.10054473069000204,0.0684303271094993,0.03523763884716717,0.005020932926055391,-0.019502024618594113,-0.037360413929118055,-0.0489775787134229,-0.05560400035576593,-0.05856438510522695,-0.0591354607334616,-0.05854381212299847,-0.05733754628783497,-0.055556344669954974,-0.05358789063220558,-0.052192764009132836,-0.05132444912804773,-0.050141817014178025,-0.04832529635151321,-0.046241791959921286,-0.04401775771148431,-0.04145500217126216,-0.03861545050846889,-0.035688357401097145,-0.03262474992697055,-0.029290671112031777,-0.025844466472472183,-0.022717043918049948,-0.020129799581469945,-0.017886029917224044,-0.015850918451559323,-0.014119697033163764,-0.01262120437360105,-0.011258814935139472,-0.010043507024191628,-0.008948031096071965,-0.008113445360902694,-0.007498182362100578,-0.006494502636405192,-0.005053631102458031,-0.0038708047589734867,-0.0028193791318215783,-0.0011684972084168993,0.0012291487711458549,0.003988756920954115,0.0066113556230705806,0.008870860257247037,0.011042907409942432,0.013600219141381695,0.016028808959438437"
6,"-0.018892104804569848,-0.014979190374920792,-0.011432270598205035,-0.009971600581285281,-0.00918491281436766,-0.008491322639165313,-0.007964094880506742,-0.00742551272637168,-0.006918228035325991,-0.006451011892761455,-0.005884718377795695,-0.005294484792092144,-0.00473514222992083,-0.004086774799597556,-0.003273302201665232,-0.00233735504436694,-0.0014561149472148288,-0.0007747845793482644,-0.0005177867748076409,-0.0008279257737302537,-0.0014949349812422852,-0.002329963511552971,-0.0034968603736513088,-0.004859282728012171,-0.005669198350132562,-0.005893084943480259,-0.00652621808173319,-0.008164341209966133,-0.010461958187831133,-0.012818301670469018,-0.014732896511286897,-0.0158278828081532,-0.01604210465472357,-0.01577263973308607,-0.015458227446574505,-0.01495777488067622,-0.014158431711187608,-0.01359544149725432,-0.013872830878106396,-0.014821570294937192,-0.015619252159581196,-0.015767194288802133,-0.015314410503034823,-0.01430024739115271,-0.012412357507464652,-0.008909309027569604,-0.002586048689097842,0.007840115321513103,0.0227698551693903,0.041193886400774676,0.06053192835066677,0.07752732798396714,0.0901486582574133,0.09811809540444756,0.10208749410614958,0.10292323001530158,0.10079309392101958,0.09470257537143706,0.08372745559678758,0.0681463325437709,0.04924954508663695,0.028959047232966093,0.009629210779519032,-0.006197333881583958,-0.017027202258763627,-0.023452915650760547,-0.026926752312427846,-0.02852610547272097,-0.02914257940214103,-0.029346498478827504,-0.029355239026868596,-0.029046389454563656,-0.028405619085513104,-0.02779444544284157,-0.027237231436651757,-0.026674357138618238,-0.026228091234360332,-0.025654966205917673,-0.02469982252998623,-0.023826683422271164,-0.02351447745293836,-0.023251461699228093,-0.02228785857814805,-0.020922573311675075,-0.01991885379131858,-0.019163879884138174,-0.018089452356232605,-0.01636174954730213,-0.014058426805519553,-0.011776155093624868,-0.009885092298387077,-0.00784438089994019,-0.0053584538538537785,-0.0028868803334067272,-0.00037779535356166627,0.002384021718972923,0.0048444861839075926,0.006865453357800255,0.008948944613242027,0.01061036916718483"
7,"-0.03304294488182641,-0.02957999527757857,-0.02559149149373463,-0.02267019719220298,-0.021011254416321568,-0.020947783679213156,-0.022113802872631455,-0.02334120116582633,-0.024271243963090716,-0.025628289838482393,-0.027757956863858846,-0.030187977641071284,-0.03217194615554965,-0.03325348210306914,-0.033832794573530875,-0.03455599700082042,-0.03518665192062949,-0.03554504029597445,-0.036170307983966477,-0.037271854141932806,-0.03833851661006152,-0.03857264658135964,-0.03772890824475733,-0.036478842754714746,-0.035341712387926466,-0.03364483244114522,-0.03075992619283041,-0.02719107372302912,-0.023495085966974277,-0.01967760520080511,-0.016033526566473333,-0.013074867551473524,-0.011050159355712075,-0.010032816726874588,-0.009580431321427274,-0.008976728645058857,-0.007788488627371276,-0.005701573708985858,-0.0021635873792029137,0.004045059929931483,0.014520109670406206,0.03007937579377795,0.049960934978910326,0.07202085066733974,0.09334055127001226,0.1111565154627677,0.12424393321283875,0.13301100509968083,0.13782731478996907,0.13850267325673074,0.13509098356909766,0.128383800828338,0.11946745390652899,0.10882125430540765,0.09679915484190477,0.0841149256690153,0.07146455154970058,0.05967857530810994,0.04924130493002754,0.03988270924784118,0.03145743992045466,0.024027893898917185,0.017525515450218465,0.011777889876712605,0.006399155298073694,0.0014350319442826276,-0.002662276904868227,-0.005756450313755712,-0.007880096151464622,-0.00941055135197405,-0.010944596683005459,-0.012484464845407939,-0.013633104748378172,-0.014633544314929775,-0.016172329542254227,-0.018347585989944598,-0.02055078896965748,-0.022217396861142713,-0.023466442908096463,-0.024981722520287908,-0.027123542536273776,-0.02930364503821134,-0.03069808442406488,-0.030887821987108488,-0.029955244725254376,-0.028704282743055753,-0.02809776827332605,-0.028374825414074822,-0.029255959183616093,-0.03041844939175528,-0.03193670074463251,-0.034206931270680224,-0.03697288728863793,-0.03951200449413189,-0.041441842545750396,-0.042739386766972504,-0.043640836457324944,-0.044612777758658684,-0.045979730297306065,-0.04750834778349214"
8,"-0.017306292595998085,-0.01686672864370914,-0.017477570204172233,-0.019055575159826837,-0.020322093774830186,-0.020580989219657675,-0.019757538577804712,-0.01818286803013605,-0.016341862001684276,-0.015063726162760055,-0.015217664298482564,-0.016771871439582864,-0.018798382179930073,-0.020384910332707895,-0.021259265148907885,-0.021293143971345546,-0.02053266954563296,-0.01947933388279699,-0.018220589489269773,-0.016770173216746898,-0.01566667546135589,-0.014998829749350795,-0.014345835128953571,-0.01387649638837013,-0.014226055625166711,-0.015224000714115948,-0.015994085505915884,-0.01626512646050418,-0.01640810143860938,-0.01643728855336027,-0.015933863875097543,-0.015073941535264396,-0.014432498018576712,-0.014136862650796611,-0.013958772339328046,-0.01348652710702708,-0.0125202999800971,-0.011157049744428826,-0.00948799251823812,-0.007637401173698516,-0.005758818361498275,-0.0036585994968923174,-0.0010553292345308884,0.0014289406614625966,0.003289689127762757,0.005626437573061749,0.010271277379118288,0.018888215550839582,0.032214980422498374,0.04893065496100443,0.06671083675005157,0.08395773834036033,0.09933280129740962,0.11139661939989198,0.11935576879581242,0.1233042508238289,0.12397208547869179,0.12187605049529715,0.11691280587475861,0.10842944098755239,0.095852413692576,0.07948668095594466,0.06013459244071653,0.03935081620969813,0.01965328418860765,0.0036404622661785624,-0.007028508412607853,-0.012808271720504277,-0.015720385929283348,-0.01726625183497507,-0.017983420246404896,-0.018184240274301183,-0.018039800912736687,-0.01753276990151728,-0.017073253145349382,-0.01743622154595839,-0.018520967237498437,-0.019572509146851297,-0.020354217121354296,-0.021131678942611837,-0.022185040048855548,-0.023560929417228954,-0.02480509520124477,-0.02572452937309963,-0.026832907428281344,-0.028266086756133096,-0.029613344310855966,-0.030636875406766934,-0.031247300530764438,-0.03143738900170992,-0.031528216187482666,-0.031874442192292435,-0.03216101453249534,-0.0318374572235621,-0.031052364273925076,-0.030435861217308707,-0.030383595491516896,-0.031193777952158025,-0.033219803082257665,-0.03594461873607804"
9,"-0.01814255581932258,-0.018966923207045683,-0.019667355131994108,-0.01996535112768351,-0.02014261501480269,-0.02032865136162628,-0.020548274935603524,-0.020835447873219698,-0.021199676718256018,-0.021545642562301508,-0.021665083935743762,-0.021508203593664073,-0.02122946667803436,-0.021161679294716365,-0.02164901402662483,-0.022520880157576,-0.023320607625908596,-0.023471753028720323,-0.022797506895401012,-0.022220366557473274,-0.022424959275955912,-0.02278573627225483,-0.022438014535314563,-0.021297513840030542,-0.019749274263354648,-0.01801742186909979,-0.016336865598500228,-0.014903103297988857,-0.013592155902223915,-0.012298960127554152,-0.010796113395612615,-0.008651286814406467,-0.0057469887288345844,-0.002405692591200055,0.0011595267133282655,0.005918031952262627,0.013338813889082424,0.0232940263762845,0.03459332678977172,0.046715398109604914,0.05948366554125481,0.07198392442604223,0.08308146305797318,0.09249565264674652,0.10031851691767318,0.10626280689882397,0.11009798034491824,0.1116940303570539,0.11034027110896588,0.10480452003413099,0.09430190947429337,0.07943435388011016,0.061972236631335026,0.04352550537687615,0.024897279272386226,0.007446746186404986,-0.00635023520322453,-0.015055575425427375,-0.019552473064500538,-0.021742929907063044,-0.022969742521519863,-0.023756631539543493,-0.024347906529382096,-0.025093497559999463,-0.026162687862633358,-0.02721891456103328,-0.028014640190747724,-0.028513844154262974,-0.02860639760510226,-0.028461733861255153,-0.028278049342760472,-0.02812528832917687,-0.028095461473978664,-0.02803160843868202,-0.027519733523258143,-0.02626174310773162,-0.024569067199718297,-0.02295458211626302,-0.021696122391114805,-0.020694678749169075,-0.019483138989983682,-0.018217436371990303,-0.017376630812131227,-0.016872042636342906,-0.016286446521603534,-0.01517831294268298,-0.013418206636834351,-0.011617689585301988,-0.010436715196406939,-0.0095079807947661,-0.008328294682468894,-0.007159118560221271,-0.0061578674917034115,-0.0051077940288042425,-0.00402954558672379,-0.002940337101622295,-0.0015663411810625735,0.0005338839373347434,0.004076200910419769,0.00831851500316906"
10,"-0.011572424903190104,-0.012413577672030635,-0.013421164787397686,-0.014172338785757105,-0.014523479701203712,-0.014407853912853121,-0.014092540295236485,-0.014152303353221063,-0.01461277575015773,-0.015032026490080808,-0.015062979116535808,-0.014792077762479061,-0.014858816351767216,-0.015478529138372742,-0.015760595657862746,-0.014878368914447512,-0.013423079369688663,-0.012420375014741764,-0.011863024300434778,-0.011317145618676045,-0.01074392295601133,-0.010144822583314355,-0.009263773863969083,-0.007997147958604858,-0.006761264264629183,-0.006146659768354891,-0.006341946347891132,-0.006851524558860744,-0.007171416980980212,-0.007213289297767612,-0.0066381659491167415,-0.005550316297242019,-0.004724107565593586,-0.004050105564194004,-0.002888651191557602,-0.001168814273617709,0.0010395682966947359,0.004625210291223475,0.01120018609374237,0.021190406624235096,0.033425905781742,0.04625916579577033,0.05815843842524379,0.06786894561214096,0.0745162530291639,0.07757834588894735,0.07690032667300392,0.07272504397302682,0.06584523645766652,0.056619132531343486,0.04447041098750723,0.029480344607727305,0.013550762376346146,0.00013587723972058666,-0.007795855115994479,-0.010022712231599002,-0.00869915934415818,-0.006473775064692759,-0.0047659497016267136,-0.0033110667743856334,-0.0017449592907244557,-0.0008847546102952932,-0.0014776115343991987,-0.0030505495996403405,-0.005145717838467807,-0.007635140329824309,-0.009832514086270077,-0.011035353934063174,-0.011389000770260243,-0.011493482941682885,-0.01157902253381117,-0.011508663225937561,-0.011270387683498598,-0.011062186058172368,-0.010998503769591229,-0.010959466195664774,-0.010847703862164559,-0.010572293208501874,-0.010012816428650827,-0.009458941256793457,-0.009116780343975402,-0.00879803808700811,-0.008483484595381846,-0.008326901640947048,-0.008438870152992333,-0.0088165510407339,-0.009196594749348313,-0.009311068648034302,-0.00926128354303474,-0.009455339495772739,-0.009901371728848087,-0.009975395735469655,-0.009257002591641028,-0.0080048486118324,-0.006670786785060168,-0.005306894365663643,-0.004102655205773185,-0.003926059004925625,-0.0056890771695773355,-0.008611563480514919"
