id,heartbeat_signals
1,"0.05328198106880708,0.049804626958069226,0.04675793331588157,0.044921539670133986,0.04352963837296543,0.04234634541762233,0.04140824367761084,0.040732271067295225,0.040038001143272994,0.03893072062595092,0.03754900357675274,0.036309880137568196,0.03507901031549414,0.03351899617290893,0.03170972481382531,0.029826037499780175,0.028036007578691208,0.026386115180051822,0.024507510054932777,0.02204571113788068,0.018903036705384,0.014906730905686227,0.010269534069773587,0.005551346441774213,0.0006873604742305695,-0.00484358290770201,-0.011507293688836365,-0.01971455564631111,-0.030168637794056666,-0.04412953838212981,-0.062409083960614745,-0.08386887437330756,-0.10524802929835744,-0.12266164345659691,-0.13391078215273094,-0.13914323787544536,-0.13963532558732306,-0.13708882208289408,-0.13304734905081603,-0.12827897184140893,-0.12269907405819047,-0.11574528904321646,-0.10758489457689646,-0.10023956641134643,-0.0966463256352422,-0.09626974891225308,-0.09163766345567784,-0.07319196984925955,-0.03974967662062425,-0.0013223700247924214,0.030274398823632975,0.05086720001219844,0.06377575984370554,0.0736262610315922,0.0816914679473022,0.08680949262847196,0.08873970235280601,0.0889097724352911,0.08904991332630768,0.0896950701521283,0.08983464567581656,0.08820598831800827,0.08453226445240405,0.0793520784125927,0.07323141113647433,0.06649797854834633,0.059339203788498385,0.0520939752441647,0.045537667687046396,0.04028168500293361,0.0361803481048074,0.03262969071243435,0.02898361390375681,0.02467718713415834,0.019576854779627867,0.014130117758874475,0.00873466809850268,0.0036260733807783885,-0.0006717908604145645,-0.0038357833420338966,-0.006235388589925811,-0.008188020213482042,-0.009533346401930487,-0.010087757616728421,-0.010097297328401644,-0.010111429409050632,-0.010316787511559178,-0.010417450134931089,-0.010180643100319409,-0.009822446583122826,-0.009828221476044757,-0.010392028658810268,-0.01132093542331418,-0.012532883031703967,-0.013954374996594576,-0.015356922292153935,-0.016552954536973502,-0.017685985918930863,-0.019190758480128425,-0.02086628448233764"
2,"0.043862457261104534,0.03953108003808127,0.03554078670130792,0.03310975773615431,0.031250526970989415,0.029724653042521976,0.02874504240228637,0.028292651543765826,0.028160229055515698,0.028134738933763753,0.0276905303375498,0.026509362353657667,0.025164437040041024,0.02410639960839535,0.023103537533097254,0.021846281599680564,0.020252745694720076,0.018489862813460503,0.01684507733369013,0.015586763083998562,0.01488012832074323,0.014463109491496269,0.013843262207121163,0.012969966928493372,0.01217021130002445,0.011644974628401451,0.011339222833452373,0.011286058061729429,0.011556572409563884,0.01170116145991236,0.011056935977601157,0.009339162562283378,0.006449454103128444,0.0025818709670638457,-0.0018462420321274722,-0.007187844293223021,-0.014057836957454842,-0.021722881823956285,-0.028499106216014453,-0.033344564973029324,-0.036075370348265724,-0.03688489576505041,-0.03694294234025953,-0.039179960027799714,-0.047556280647187366,-0.06457095448073394,-0.08840720894847193,-0.11308351239295554,-0.1323855010938132,-0.14337065734628301,-0.14659344583087813,-0.14423076140918167,-0.1383412394201593,-0.13051571190122213,-0.122806352909902,-0.1178381610092129,-0.11596202007871198,-0.11159410559547042,-0.0956250027381086,-0.06448770212738358,-0.025036743691307706,0.011445366979812646,0.038442047928638645,0.05712609729891428,0.07183546104356368,0.08410426576784936,0.09228504623290172,0.09527259692411326,0.09428347093901908,0.09157862918565894,0.08858360860861093,0.08509290907530771,0.08006523260044542,0.07337588823112952,0.06616262244350075,0.059504966670690565,0.05335746049772323,0.04690645376867138,0.03995123823467385,0.03352634176543083,0.028629593932402622,0.024995255509977707,0.02170367931937528,0.018195681166961866,0.01471702080157715,0.011910828470006393,0.009764463157119999,0.007715175175065911,0.005464290566408694,0.0031238664896091617,0.0008915207427113714,-0.0010269574336801146,-0.002547842823750021,-0.003955421264002459,-0.005591854328219778,-0.007208132485436072,-0.008278646295573025,-0.008688280113922003,-0.008340751051081549,-0.007455199668909604"
3,"0.040804951525160296,0.03703660981537327,0.033990575241187995,0.0326294201337437,0.031864410555851874,0.03132948770187599,0.030863537977190728,0.03004932343869858,0.02878803775099381,0.027304981615297666,0.025520980703074084,0.023380706123668576,0.021233808689685996,0.019209658637030884,0.01704271256122529,0.01445403039088844,0.011248278053776574,0.0075332305375372804,0.0036635374354818118,-0.00023626436049969252,-0.004011154784048884,-0.00703181047125695,-0.009052526109791487,-0.01125820666936906,-0.015503925369272586,-0.02249262166874172,-0.03170290624109943,-0.042553480522321885,-0.05441364416963414,-0.06659659111911567,-0.07861508854456584,-0.08983773907671487,-0.09908925682632397,-0.10507221142865263,-0.107283456473052,-0.10595438181263037,-0.10192161267205795,-0.09766253052866217,-0.09627404427083393,-0.09702276490903937,-0.09331508015144976,-0.07848396490492973,-0.053280611394496726,-0.024760181512299022,0.0009805052020330218,0.022679890976244496,0.04185666803228666,0.05856256543285859,0.07021242953317881,0.07476178426608122,0.07334662422678383,0.0694687022105472,0.0664326384618635,0.06517359395538493,0.06454913163633925,0.06317950937477008,0.0605208463288998,0.05719095360417255,0.05389263119582301,0.050179294543938394,0.04551788610516712,0.04036788049830767,0.03577606142855912,0.032660787592494314,0.03080747166173252,0.02895921862391075,0.026450049018117885,0.023628666355091282,0.02111578242031059,0.0191939371460349,0.017644015334702848,0.016167595328678855,0.014545589152984553,0.012697613286422577,0.010841182649929185,0.009288492145044042,0.008128631212662232,0.007021367432312561,0.005503955266331281,0.003649397890857678,0.0019181578335950855,0.00028035639964310577,-0.0014580652826568508,-0.0030653396625542617,-0.004608731376451472,-0.006692268627224565,-0.009470197738930652,-0.01243776496869095,-0.014954498108089076,-0.016589783597041344,-0.017473128151142145,-0.018255935940912668,-0.01926335978876513,-0.02045448170919595,-0.021701600762040515,-0.022724314789908745,-0.023523903972078417,-0.023895097997660528,-0.022767652963653184,-0.020337961224012727"
4,"0.04192820487626701,0.03982325625778196,0.0378161850347512,0.03643073303746778,0.03518727140022963,0.03393427967394665,0.03293013696336132,0.03211046639173382,0.03122051261609321,0.030274989802762324,0.029200051447334487,0.027924015751196095,0.0268076094269565,0.02598980640912818,0.025072097399612907,0.024003248183665206,0.022956935162805808,0.022008813616813172,0.02154685090003105,0.021658536068115825,0.02182973401852,0.021724046624133006,0.021274911893774652,0.020479186086030922,0.019526545099545593,0.01839480105902499,0.01668264757392899,0.014162292302174619,0.01091850120894211,0.0071500160384367,0.00292322936947087,-0.0017607325527113776,-0.0067237600084039395,-0.012004481080900707,-0.017920825507452623,-0.024630561734032018,-0.0327263816182045,-0.043364606948749274,-0.05670859531342112,-0.07132419744758364,-0.08536421520823986,-0.09751591961717213,-0.10682699260998657,-0.11257555551624218,-0.11512503834378335,-0.11573864346890356,-0.1150704006440822,-0.11317733264643881,-0.11005518240593035,-0.10532626713810167,-0.09880364289191632,-0.09156018026116276,-0.08636186017194535,-0.08537991449506485,-0.08556400346242186,-0.07859561811215568,-0.05873605950098745,-0.029497932335755657,-0.00040269596135922986,0.021625960351983227,0.036321765416789366,0.04762370154225743,0.05866921808077652,0.06866415360857667,0.07466861026778118,0.07554038002565922,0.07336473365356058,0.07133166693837201,0.07030226871844864,0.06849179584440357,0.06478590416039676,0.06020132075938084,0.055831114835493606,0.05165143753856566,0.047228703999163624,0.0424658711095963,0.03766750452363648,0.03323590558971878,0.029422348175775735,0.02604718508415941,0.022814061635813614,0.0198659865973504,0.017497269433373437,0.015576052216576534,0.01370722556147231,0.01153586850389881,0.008818470877268607,0.005857046791651839,0.0034663110291344654,0.0019326069500546703,0.0004983913714529734,-0.0014520618477683947,-0.0034072955287103093,-0.004763154308499516,-0.005710340705476859,-0.006692130470723999,-0.007816024985989413,-0.008626481039248977,-0.007860935143679575,-0.005430731853355179"
5,"0.026549503770964634,0.029585384974783947,0.03178022756874376,0.031694401276137665,0.030717016005101593,0.030084157335020345,0.029914357948138133,0.029440507058429065,0.02819789244650521,0.02668507535528806,0.025574757068006097,0.024888739698613424,0.024160283655532473,0.023026058330302364,0.021511566158457944,0.01996672712370133,0.018826664186445442,0.018304084711573465,0.018309393844232413,0.018401087621756462,0.018038325589647866,0.01692715442170393,0.015131459199801862,0.013078950166028634,0.011072619422490153,0.009022956766751182,0.00688357274520543,0.0047205167392882635,0.002478104218191883,0.0001573331434355299,-0.0022948691636666546,-0.004961080754253021,-0.007688126548904432,-0.010546437885656002,-0.014119979790580175,-0.019358938081401558,-0.027277572312981967,-0.03881010171567451,-0.05476522121220026,-0.0743111089495149,-0.09377078814627046,-0.10865454387048751,-0.1167209012424116,-0.11869719845600335,-0.11692618787432035,-0.11335095468601913,-0.10848686678851541,-0.10228536927653623,-0.09638502707742738,-0.09443750302363446,-0.09705921766935022,-0.09792727678440455,-0.08902824689277983,-0.06875591164486117,-0.04291354937213749,-0.018961545014398534,-0.00044156741361318225,0.013702767283725027,0.025850577329017917,0.03638640570391364,0.04428404939273146,0.05031085198301561,0.05711490912733258,0.06608493991201617,0.07573016610936689,0.08298914436449095,0.08591514241036768,0.08531544234103566,0.08344756499791328,0.0809749993817161,0.07682901697898326,0.07058581397948088,0.06342725445986261,0.05691632447665995,0.051275079752057834,0.04579160876070736,0.04020327612424348,0.03493022920037308,0.030436746245937805,0.026492336558634887,0.022445695427339714,0.018169535062030555,0.014337177158658808,0.011485355916742317,0.00909179335988334,0.006179755322435095,0.0027795419020027815,-0.0003748615016315668,-0.003222337903385414,-0.006316879113231387,-0.01010439011305999,-0.014457419991957862,-0.018520578342788523,-0.021564743835581206,-0.023688313265001808,-0.025276339224029103,-0.026337110891146598,-0.026987217408703808,-0.028273598155426245,-0.030552498179134642"
6,"0.01340818031310785,0.014122924099813253,0.014885022593085911,0.015156130843661953,0.014972428980141943,0.014362480565554555,0.01358679833240193,0.012889414637636029,0.01236734519426523,0.01193098044030761,0.011552909541955945,0.011342720312761373,0.010991564944026012,0.009982508375542393,0.008356864118439205,0.006570349920739377,0.005069276538036297,0.004089504030814206,0.003434933573209474,0.002648651150360514,0.0011589637482870632,-0.0012665682490366967,-0.0039014326094672022,-0.005801922861211822,-0.006797147990589326,-0.00765131059264804,-0.009151184648452795,-0.011013034404088354,-0.012506155224990989,-0.013345758297978565,-0.013785343108054474,-0.014358132828249909,-0.015373127608241138,-0.01730475273363783,-0.021287457669673868,-0.029019484944252175,-0.04193427584999655,-0.05896146004555616,-0.07600400458116237,-0.08843999890728821,-0.09358447137119642,-0.09214638112245571,-0.08828284548617954,-0.0868212930677256,-0.0880060227084648,-0.08468729105637349,-0.06857190086536004,-0.04038335134555751,-0.010510396157047706,0.011201010935521262,0.023816750257387873,0.033256070420540615,0.044158424592204454,0.05526580541239541,0.0627516494672169,0.06546306638379057,0.06558551089860268,0.06606647408551024,0.06790269233528007,0.06945532660135155,0.06873924514526127,0.06591187170684258,0.06267801352260169,0.05997324535571484,0.0571613606196798,0.05338771203474596,0.048589273484725345,0.043356663743003204,0.03865527362394991,0.03496473368331873,0.031739976160872374,0.028461554036748382,0.025274003466153383,0.022329952071914336,0.019488901767230768,0.016463550294974538,0.013128183875274799,0.009794682291925622,0.006754589032667152,0.003931949177604241,0.0012193514739411715,-0.0014878934847877279,-0.004165370617930521,-0.0066575615795267246,-0.008954029869760391,-0.011088465493538403,-0.013135366521822803,-0.015259575413540213,-0.017377318165639352,-0.019218514235482875,-0.02088039314647084,-0.022755296776716193,-0.02492361582463077,-0.027093886174080116,-0.028827556770732524,-0.02987322655605964,-0.030633530957292314,-0.03201085144967595,-0.035094158155141914,-0.03947370268535623"
7,"0.02120342763047773,0.019037493012055484,0.017018203244368667,0.01577477981112692,0.015056069528274242,0.014534892893276141,0.013731932864220163,0.012438207686308638,0.010956176355898798,0.009637382440830369,0.008398020608269541,0.007291893083581729,0.006676356017285643,0.0065193607472503416,0.006488737480257623,0.006239996121918454,0.005578236133810338,0.00481097792129908,0.004236243264071279,0.0038002610479823187,0.003573321072559669,0.0035848361882806403,0.0036491197211331993,0.0037003950614031885,0.003845938823536229,0.004129185919714581,0.004478401618526957,0.004785907977555879,0.004773350522539353,0.003864166442165074,0.0016175091966503345,-0.0018742523131908238,-0.0060415247560657356,-0.009925819941895021,-0.012534136477444634,-0.013647888468955092,-0.013923085185047012,-0.014041898196967814,-0.014246074688184888,-0.01436608219652319,-0.014344347740790641,-0.014601752209917346,-0.015381983957932856,-0.016312081981488317,-0.01702625579166354,-0.01762340807244408,-0.018206568068553614,-0.018899083459090197,-0.01982286069078377,-0.020805757492085984,-0.022107653319783174,-0.02469813284678738,-0.029244709901289006,-0.03508586236546901,-0.04014492239451717,-0.04205825721979324,-0.04026672582576869,-0.036698098079670026,-0.03328918178835741,-0.02980751137184041,-0.025161248244050017,-0.01957227668553232,-0.014435777578265314,-0.01055225195874486,-0.007220736367351786,-0.0028292343006445786,0.003909519912982572,0.012965306965910122,0.02306142538963588,0.0321781117321977,0.03817359659984034,0.040230920504768605,0.03921983853121908,0.036302986543626015,0.03248997530215415,0.028772492590656076,0.02541923913523914,0.02209514470209803,0.018898047594087128,0.016246516589358228,0.014158476913016579,0.012430027208653213,0.010946963866571856,0.009560814085637897,0.008083893564379666,0.006607564137859085,0.005342839054136971,0.004265117975808506,0.0034322020794139117,0.0030008396398081456,0.002732221051966171,0.0022277242376874153,0.0014786650140351486,0.0006010803583842324,-0.00026809254837377103,-0.0010641531980551365,-0.001955363701695991,-0.0031963079536771015,-0.0052169571224686025,-0.007764015256600972"
8,"0.03275305661081679,0.028525493546042377,0.024856138229689642,0.02308522228166579,0.0220128899581421,0.021023490606004197,0.020225604799474342,0.01961813161671737,0.01895003889008262,0.018031462633847695,0.017093814126979717,0.01649942609968799,0.01616300578298452,0.01559184102642723,0.014452237145508515,0.012868138274545332,0.010922666737866946,0.008683679491792773,0.006408455929528878,0.0038008372671679558,-2.5334003337956768e-05,-0.0051590797508171415,-0.01051715257474889,-0.015227266720544017,-0.01907714814864775,-0.0218757758285653,-0.023658849026762435,-0.024942048719327578,-0.026259556531123204,-0.027944865447632708,-0.030201892429255695,-0.03279789328802399,-0.03521426984809797,-0.03737940880048082,-0.03957669993087588,-0.041776349201478755,-0.04335716704765724,-0.043492654150528345,-0.041971374477554946,-0.03962601332593625,-0.037924275522337944,-0.037679082381213314,-0.03826848277146286,-0.03878144653510583,-0.0391937654528159,-0.03967271190159291,-0.03920859834017136,-0.03607993640856823,-0.02940285578532971,-0.01919518170631558,-0.006230112244982461,0.007526274763517499,0.01977407488760065,0.029180123695983273,0.035587031810745975,0.039714905169060524,0.04249237988627755,0.04425056985218749,0.04462188225948786,0.043423193862219864,0.041293431969757585,0.03886625037056789,0.03624250651666833,0.03323576626953932,0.029644891033274015,0.02571323427160513,0.021917463872164658,0.018626347404655935,0.016248856466165612,0.014834273166700468,0.013793368885029592,0.012732953834264815,0.0118997042760602,0.011438564659459305,0.010831796475412131,0.00967914601638084,0.008418337707632034,0.007614282827423213,0.007196254105927391,0.006563175268111898,0.005315381525498514,0.0038060944719076617,0.002637512177315865,0.0017375552865755983,0.0004768954939841086,-0.0013803544461929718,-0.0033482218074586123,-0.005040434617337247,-0.006710024705773143,-0.008400408245741453,-0.009660231629950694,-0.010311385230684533,-0.010451206244891653,-0.010258913087741878,-0.010053569729647022,-0.009982440945052018,-0.010119365306923978,-0.010401168236866876,-0.010523660214863811,-0.010541478843723612"
9,"0.03351579892195125,0.030868592034433595,0.02884821807921291,0.02822653222880582,0.02802832164148307,0.027727506591352494,0.027357462633837884,0.02689375496179018,0.026067794175996195,0.024887011011702737,0.023680300646196598,0.022574048358272605,0.02165775136186464,0.021294001671799165,0.02138813022732737,0.021373626273077123,0.02119861635768938,0.021196501976560603,0.021613836939523692,0.02235950831020049,0.022987179987587508,0.02327829336407619,0.023280360475862807,0.022360487300102497,0.018904904157434274,0.01130995270252555,-0.0007718643879888465,-0.01550780209950546,-0.02953811174131382,-0.040160821133167796,-0.04676581181673191,-0.05022587193390665,-0.05169877962880784,-0.052228500791075355,-0.052550920011170704,-0.052997414883934085,-0.05343488034199484,-0.053430915009778784,-0.05271614596273083,-0.05147646561486255,-0.05019806290336715,-0.04931633734459115,-0.048867405158028704,-0.048074685276832924,-0.045882606074842486,-0.04198533636406848,-0.037032798153531526,-0.032192081712935694,-0.028605139332084722,-0.027017173758291962,-0.02773183627471512,-0.03035896517304898,-0.033841588264566624,-0.03686740393129709,-0.038100386900350086,-0.03637697616123556,-0.030832446418883275,-0.02102643294947021,-0.007557481288043094,0.007496022917425321,0.021428018858467887,0.032283855883190854,0.03956389370447294,0.04377312053319912,0.04542231963837276,0.04498438182928702,0.0432115047573883,0.04064677824223832,0.037441482182061656,0.03407398405932756,0.030955354901256074,0.027890319253596307,0.024793240554190812,0.021853042151868465,0.01918700704698978,0.016757440847319643,0.014689369281345288,0.013146227721117704,0.011889507771411817,0.010549885340026932,0.009138757995124938,0.008069970112450114,0.007575104332478266,0.0073801359732184185,0.007118580098702046,0.006646811984320669,0.0059006489618985275,0.004962480914224174,0.003991235526183995,0.0029847479931788823,0.0019194981195398142,0.0009906609907961161,0.0002629511132258705,-0.0003517177831319218,-0.000699430392449657,-0.0007815996244043277,-0.0007724228144551648,-0.0002474427413894087,0.001727570444471055,0.004637657727955172"
10,"0.0395208527358184,0.03738614911441232,0.035695096011479716,0.035064012278583356,0.03498295632505005,0.03502193338299622,0.03482030397450467,0.03441926788067742,0.034078157925887226,0.03376470463733361,0.033298020476783846,0.03259289612869626,0.03172998439191939,0.030919156918555554,0.030131020506820788,0.029107994044299035,0.02773633234234721,0.026038643211779525,0.024310902037939203,0.022896240214190622,0.021643354617207802,0.02031280661901308,0.019094314626614803,0.017930905037267783,0.016212454688286332,0.013358250824036744,0.0091712273545623,0.0037232837284081055,-0.002888069527849396,-0.010439755004460816,-0.018574764513316855,-0.026957305270688986,-0.03504517678014263,-0.04213767721324843,-0.04783049409593837,-0.05211509872015124,-0.05523138601732841,-0.05776589284065137,-0.06038911659906698,-0.06292374125338998,-0.06453218461792687,-0.06499716234301417,-0.06466385784911693,-0.06355446663768921,-0.06131480131003966,-0.057762704712355756,-0.0533138727237531,-0.048746837068567334,-0.04487999808770585,-0.04248568304275463,-0.04163715715040128,-0.04160358234392969,-0.04219823817598212,-0.04377738787205543,-0.04476052509010803,-0.04219021745485199,-0.036619079611710126,-0.03253526277112359,-0.033200854117803213,-0.03788767834925855,-0.042883560961600536,-0.04398531738016764,-0.03948104803451355,-0.030928001328488886,-0.020412234265130974,-0.008401561686995074,0.004880302457696967,0.01833222382292933,0.030681906422857647,0.040644148727617596,0.04720999937370021,0.050704967424932745,0.05240440053898923,0.053235427915408334,0.05327529983918172,0.05213285529924411,0.049646098601255906,0.0462015668170524,0.04244688942644391,0.03856565766965836,0.03441760706436528,0.03022709878890259,0.026336180699195355,0.022899209718234836,0.020104332572783656,0.01806327764735101,0.01667024402818698,0.01567063859293799,0.014632101872596434,0.013237372001532313,0.011539271702509485,0.009988060516635061,0.008882304821325598,0.00787719913640686,0.006703130737938295,0.005419727715677766,0.003915226847901909,0.002482336124831591,0.0024875018153361628,0.00417596404617851"
