id,heartbeat_signals,label
0,"-0.06946800689411203,-0.07427462169172633,-0.07803010467457228,-0.0802325406870899,-0.081274358355659,-0.08137064475919281,-0.08093411790752283,-0.08048496382827039,-0.0803688143949283,-0.08072200259268589,-0.08128271694576497,-0.08147499746214734,-0.08107865375274573,-0.08056200546165057,-0.08048066536819193,-0.08053493860462446,-0.079858534472456,-0.07818948617175103,-0.07593968127261413,-0.07347884209603331,-0.07094941724651113,-0.06858557287257042,-0.06644833649387924,-0.0641699037900112,-0.06166255700350695,-0.059492771282535384,-0.05774773470314884,-0.055711058763452836,-0.052940099923634576,-0.04918153470586453,-0.04418897787586906,-0.037669781244158235,-0.0291035847104881,-0.01820810500198969,-0.004995761621957695,0.010980099525207898,0.030798795964750214,0.055389572516689245,0.08531251001202356,0.12064529111629635,0.1597603620132712,0.19804494874260425,0.22972620738143584,0.25171604480664866,0.26440578405974885,0.2696761468903301,0.2698052635162024,0.2672156987631566,0.26354236969776024,0.2590560612254721,0.25304144921449007,0.24437425805683072,0.23184574050405615,0.21321481463341663,0.18523537368954596,0.14682495265452955,0.10227617849040865,0.06037406250066496,0.028646971676531574,0.008875953098528067,-0.0016787244491963116,-0.0068857365090223,-0.009530881404796243,-0.010835792423443291,-0.011100358758066031,-0.010822908937255626,-0.010823424327392972,-0.011230809276932041,-0.011804480826892672,-0.012782286232658202,-0.014337781548927842,-0.0164438589871424,-0.0189698846771722,-0.02148683756490055,-0.02389754902763641,-0.026494583951159334,-0.02926298940513533,-0.03233026339158168,-0.03622161914082589,-0.04091794080383154,-0.04601227591309187,-0.05157385966917066,-0.05757401892839631,-0.06306229546910097,-0.06698273133712329,-0.06959011388081376,-0.07194268715993984,-0.07436176969347597,-0.07661452678765063,-0.0787530615536346,-0.08126850226113219,-0.08436918956505374,-0.08726441238353083,-0.08893573542787131,-0.08930261819395269,-0.08912296968947814,-0.08889287467326379,-0.0887220864463944,-0.08854741447746428,-0.08893716096277937",0
1,"-0.10731250317646163,-0.10762333854614281,-0.10489341541292685,-0.0997261351179975,-0.09400645030323784,-0.0888251506551147,-0.08444520705793884,-0.08054015130284109,-0.07644796326775255,-0.07191049410487443,-0.06734199223728571,-0.0633959613997021,-0.060451713908342974,-0.05807444334109546,-0.055440888496930185,-0.052253153148679066,-0.048559371794811845,-0.04411064260536268,-0.0376650268273267,-0.02653603524278958,-0.008235960581970236,0.016816406559005626,0.045578416887480544,0.07489611372091076,0.10248694266810576,0.12651775481437183,0.14537133605664931,0.1579023430089336,0.16405934398048808,0.16520116864655737,0.16304799252463562,0.15847454370755246,0.15133470221894962,0.14101649975845656,0.12726509999045052,0.11000145662122118,0.08945933839203907,0.06719833801156866,0.04632245729038825,0.030348064834285704,0.020641111004254087,0.015358279616226378,0.011858683301393003,0.009275687953287037,0.0077142375044801925,0.007189275962715624,0.007904055015855393,0.009533029192299869,0.011160819865733751,0.011677496250682484,0.010184383700669541,0.006745271520885776,0.0019260192531417863,-0.0037765772101176487,-0.009552556016127756,-0.014176747113385069,-0.016760574983593624,-0.01753870979327876,-0.017767518234549806,-0.01830363922864514,-0.018697292241232233,-0.018276043743514325,-0.017432550960036264,-0.01709587542459451,-0.01747951447256163,-0.018440261022502458,-0.02015795084228611,-0.022529997881018504,-0.024618030655417678,-0.02554757959286008,-0.0254279295233098,-0.02486540354584854,-0.024290221384782817,-0.02374109877753605,-0.022887475337169172,-0.02156511209399753,-0.020151535600800408,-0.01945338542415348,-0.020106251824123067,-0.021553740393363052,-0.02257444859991642,-0.022878540825490234,-0.02277192396924138,-0.021952073664907423,-0.020440009965291273,-0.019171350791925446,-0.0181137440857366,-0.016446551871150544,-0.01439896537543267,-0.012716116738405642,-0.011556069137861447,-0.010672542706159804,-0.009921868084770608,-0.009192906236246023,-0.008148176404944002,-0.006504758473540984,-0.004368435221646122,-0.0021351267096129944,-0.00045347832963185675,-6.00107913912018e-05",0
2,"-0.09991379693738431,-0.10239828394267761,-0.10365703313888572,-0.10276739906908974,-0.10062073201673252,-0.09855013285320202,-0.09733038799575139,-0.09677465220738041,-0.09660283575954923,-0.09662402660328634,-0.09629037490454298,-0.09509009095537352,-0.0927264753572836,-0.0890183834921301,-0.08412045361724946,-0.078631497998083,-0.07298630324306746,-0.0669692026965448,-0.06076305923871714,-0.055162171832119605,-0.05044742067176729,-0.04665197838336979,-0.043723033833900804,-0.040151070143525966,-0.03351390321786854,-0.022074357086830518,-0.004040611587842913,0.022360250128255335,0.05653664812347215,0.0948204867572416,0.13188002389046322,0.16313727641790224,0.1866804202349061,0.2026320779537298,0.21162603727591156,0.2144932696176068,0.21242465052500603,0.20667422028335958,0.19842069084247324,0.18882592660713804,0.17851467628020498,0.16695704856956314,0.15275761526697662,0.1347289964150368,0.11249870733331312,0.08786783475902446,0.0648916194784096,0.04669989248340603,0.033763520220917706,0.024960502228892713,0.018794276305786492,0.014207012023485833,0.01082044521982143,0.00851916727383617,0.007324113205010821,0.007133692482051569,0.00756427874512456,0.008281700826308434,0.008881678955283762,0.00871382635764122,0.007136756551314669,0.003847364286149839,-0.0006511237450776558,-0.005068160750261501,-0.0084640879547742,-0.011011090201875302,-0.012920601483419572,-0.013975962857844956,-0.01459969440610942,-0.015734287043992004,-0.01773707668600529,-0.020165689048452853,-0.022401132289496806,-0.024459938935126997,-0.026830948525380344,-0.029510408395810768,-0.031738388255395614,-0.03307804994386623,-0.0340047151796218,-0.035015217746901334,-0.03611061845798168,-0.03730773891081696,-0.03870830587431003,-0.039881158310920796,-0.04027988332786582,-0.040178123828877824,-0.04009305537055471,-0.039850928999289464,-0.03925422857611075,-0.03890553690864759,-0.03920461407187264,-0.039877841017822734,-0.04078473810649047,-0.041776132064418034,-0.04253959831351789,-0.04311703962060771,-0.04387260247840493,-0.044908318683862844,-0.046148718662701545,-0.04761128010637742",0
3,"-0.04137870134590234,-0.0433503197709422,-0.04482681891370199,-0.04582471243984676,-0.04649469023244082,-0.046272737970733724,-0.044604729337744606,-0.04196368676697598,-0.0393607363423617,-0.03728503463990973,-0.035995341740796494,-0.03538784578403334,-0.0349746440792546,-0.034425541809214116,-0.03358499837233965,-0.03285259618287607,-0.03297541224600073,-0.03375550068163534,-0.034431347146780464,-0.03472670906497616,-0.034578826995203385,-0.034172421826003746,-0.03375770879296712,-0.0333227847860858,-0.03307619493979087,-0.03319759689839688,-0.03362460340337706,-0.03457013127515464,-0.036191913984320326,-0.037982782724157754,-0.03949020998106198,-0.04056972905001226,-0.04065746986628274,-0.03892369166269524,-0.03505268381360431,-0.02929555288289607,-0.021980099009666854,-0.013598242777785943,-0.004847383084320284,0.0041329742380314255,0.014915251739986105,0.030043783916888306,0.05060780720457973,0.07552301234944442,0.10210437518103418,0.127347517483191,0.1496983245300358,0.16849153325150582,0.18251574615106822,0.19089143309401027,0.19385654760526475,0.1921794658543918,0.1861984941242363,0.1753331069627773,0.15882592968513115,0.13660789488100172,0.10914848176688466,0.07870298695884406,0.050430121124840716,0.029125700859090123,0.015916074676873837,0.00924945738522373,0.006986512331666098,0.007042318319633617,0.007911861383453442,0.008938139102514078,0.009648081114487603,0.009989348223647443,0.010387561284252278,0.010850969876859962,0.010953555206600823,0.010466905628714648,0.009682788556185096,0.009061197672122656,0.008263882678604187,0.0060764968487521664,0.0018642348254759578,-0.0038688457854046676,-0.01027302999157928,-0.016403074480595567,-0.021793875862463008,-0.027197524947638746,-0.03338709174994768,-0.03998049464661224,-0.046118828234965256,-0.051467242028332943,-0.055997061964928596,-0.059570185196684805,-0.06218108779396561,-0.06395891342428374,-0.06493934285046511,-0.06523214499905192,-0.06534712998211603,-0.06576124677544687,-0.06675745008414281,-0.06814407684781226,-0.0692527397493536,-0.07034682283023067,-0.0726269799133068,-0.07600255131569988",0
4,"-0.02661843925135604,-0.029354559298965147,-0.03156047724867414,-0.03230746340012418,-0.03200396911874745,-0.031371989274540074,-0.031219985548980922,-0.03179683356734937,-0.03254860244282748,-0.03269601856870406,-0.03204128680486676,-0.031032428676647864,-0.03015721508292396,-0.029942837669171746,-0.030239487046400462,-0.03005538939040775,-0.029245754345027117,-0.028710908944444585,-0.028837982551973118,-0.029002800904413012,-0.02858841317200078,-0.02768709768872668,-0.026859585111073475,-0.026352992704045286,-0.025624974643095683,-0.02426502042167858,-0.022888666279332254,-0.02220150410781238,-0.022273912024627418,-0.023034152082146403,-0.024443405397501783,-0.026257165783387326,-0.02798281905303185,-0.029492790085437398,-0.03089955976365963,-0.03185782759298364,-0.03169449031148733,-0.03006713618314319,-0.02768533348288013,-0.025454439677831592,-0.023056910630374045,-0.019627584531211578,-0.014974624551986337,-0.009303725542970376,-0.002645653393607228,0.005463390383236566,0.017165987014385403,0.03644359210404843,0.0652960510783053,0.10012233311262589,0.13376044089128883,0.16089989980210959,0.18037551451005976,0.1932652116568154,0.20082441888883726,0.20370075705787297,0.20211387079632406,0.19634545195077222,0.1867221918108922,0.17359341364956601,0.15727881045886713,0.1373125483720932,0.11196386978191145,0.08038757650775405,0.04631154039251548,0.017064743062299326,-0.0027314732757419136,-0.013927498403990407,-0.019907952633728826,-0.023578268965597282,-0.025960833808948675,-0.026922153899911233,-0.026800749263061918,-0.02620694202462051,-0.025608931957328246,-0.025740472351378524,-0.027091639411248397,-0.029064036571941232,-0.030899301385598266,-0.032412173009621764,-0.033777535111131435,-0.03558428770717298,-0.037847773761533476,-0.04005838090721031,-0.042207987364277,-0.04459768862368105,-0.04718320571004961,-0.049673621468401014,-0.05199486114496693,-0.05415244951601536,-0.056073820543873915,-0.057596614442636584,-0.058537744857707824,-0.05901424807000924,-0.05953670089681484,-0.060646768204095036,-0.06236093132061529,-0.06441816480744889,-0.06732548940157193,-0.0710066991080662",0
5,"-0.051814550120014374,-0.05216068400473117,-0.0517713606347463,-0.05008072014755341,-0.047906491521557265,-0.04586364602011861,-0.043749397223034114,-0.0411959072388747,-0.03847630331284774,-0.03622140910465799,-0.03439550895594487,-0.03260536045243004,-0.030905725694927416,-0.029512755896925952,-0.02866134299449133,-0.028861341052463213,-0.030300172289947386,-0.03223796356188688,-0.03354581877316706,-0.03402208980763258,-0.03432141259762295,-0.034748068703334384,-0.035025831385554373,-0.034766244386199935,-0.03381108732677132,-0.03248117834470304,-0.031378069048215856,-0.030553829997775644,-0.029642090154056888,-0.028553544664893654,-0.027363695082830347,-0.025912372867862077,-0.02373699698223125,-0.020658451823243967,-0.017057346018332475,-0.013015972220673244,-0.008377813247545968,-0.0033469320777005096,0.0023653742870193006,0.010992001070587176,0.026126755083253933,0.05027832375402866,0.08242934747647532,0.11731956211004421,0.1491273888587604,0.17498398369220144,0.1940644427500228,0.20623830121877698,0.21215448859597988,0.21299830151423563,0.20910517847245605,0.1990026947062549,0.18028954539999256,0.1520605290793178,0.11647275156702144,0.07853174039936425,0.04462310229671321,0.019359072011357142,0.003118718478833632,-0.0062567629967865135,-0.010837035644951282,-0.012629056228724012,-0.01345488160299782,-0.014210546216654657,-0.015095701686142882,-0.0162188720580205,-0.017671759659631803,-0.019188540211723254,-0.020414991414949984,-0.02149755374361184,-0.022768842037480558,-0.02421932083839118,-0.025832699340446713,-0.027766804580589777,-0.029720525746331578,-0.03114376794105017,-0.03199339688056568,-0.03231641057628454,-0.03224676401525545,-0.03260393713485671,-0.033780976518306305,-0.035087179466737034,-0.03581084365616108,-0.03598310360634563,-0.03608297550383546,-0.036511806088299764,-0.037407062875383174,-0.03837770993547221,-0.03880024892125658,-0.03870261236424147,-0.038728943515853764,-0.03917746454679705,-0.03964029648962017,-0.03949984064959536,-0.03832880258059887,-0.03656941499640895,-0.03535639192385123,-0.03521088362958802,-0.036530740398457995,-0.038926648862924546",0
6,"-0.053016949432366955,-0.05059085621919493,-0.04781740045273444,-0.04590402298580379,-0.045042188972688024,-0.04458381860619415,-0.04392241566343852,-0.04290924565594936,-0.041833447807495316,-0.0411667164634443,-0.04092214993682036,-0.04053197995792479,-0.03989120732814247,-0.039357663690399114,-0.038623069806745236,-0.03697236972827256,-0.03415763936972094,-0.030663601536439572,-0.02737798506714184,-0.024677808736279172,-0.02223482073061908,-0.019947858534808294,-0.01794951196632244,-0.015802035532972825,-0.013020079718348704,-0.009599683447094498,-0.00599992983381939,-0.003076607733680098,-0.0010143788111934282,0.001085704599586762,0.004267999913883852,0.009368294125031817,0.017238977165854708,0.028773604243434697,0.044436140208157615,0.06350088382589514,0.08385548698022166,0.10265949600858787,0.11740642997370043,0.1270351406143319,0.13201898437764786,0.13294836093456996,0.13001509308079645,0.1235441777951316,0.11388590973946183,0.10103804497330038,0.08504345974865574,0.06706863244579622,0.049579561243608905,0.03519757692778902,0.025095963922179415,0.01856286565640164,0.01416347673927243,0.010792665018400649,0.007971302207138403,0.005336165626119854,0.0025450980158597536,0.00023895710674440296,-0.000886931346259695,-0.0015546915687352503,-0.0027616505278587056,-0.004622143309929383,-0.006722475521365678,-0.009072711881610018,-0.011979816166894391,-0.014961595040633657,-0.017279895102443807,-0.01901780247238713,-0.020524304527128043,-0.021805583188544087,-0.022707331249951307,-0.023249221550782392,-0.023683579250349404,-0.02399519551700402,-0.02383026950778007,-0.023257076517051722,-0.022661465769805433,-0.02229691268213367,-0.02229420825358444,-0.02199632621146437,-0.02079399692239206,-0.019687026186192794,-0.01963550476187384,-0.02025502732861681,-0.02075864299041852,-0.02073072419944154,-0.020331940778779284,-0.019787997666133608,-0.01927545150032517,-0.01893960843924336,-0.01854129483440095,-0.018042663219158206,-0.01777459580932636,-0.0174716004296617,-0.016723226602147853,-0.016003726835139342,-0.015932229831961298,-0.016545761659740088,-0.017942976339717184,-0.019731825993112156",0
7,"-0.03971087992918476,-0.037876530639996714,-0.036039052745824016,-0.03493873066393477,-0.0344991794267141,-0.03424784832769337,-0.03365218821381692,-0.03284254099024435,-0.032519292218551765,-0.03273096480843167,-0.03285179867328285,-0.03255471210356846,-0.03196348127465229,-0.031319803278685554,-0.03060187836364274,-0.029459201914597194,-0.027654046815306102,-0.02559804872461756,-0.024186447151044857,-0.02393462874009998,-0.024438543225697898,-0.024821667193368632,-0.0246924072295399,-0.02426724307509158,-0.023744048797503733,-0.02344508623301053,-0.023705255944272766,-0.0240809523822266,-0.023939405469368624,-0.023478010723554807,-0.023084736771106187,-0.02280673919070686,-0.023054005140344364,-0.024106264201171027,-0.025369136075843943,-0.026430927962938597,-0.02715518361260595,-0.027006709414361965,-0.02544004740406107,-0.022349478028938732,-0.017897505311077824,-0.011847293300031717,-0.004045650887057203,0.00483946587234961,0.014615842451913372,0.0274566248753582,0.04635185756259168,0.071339792362607,0.09933163180146186,0.12679687354771135,0.150963423380149,0.1703065692567587,0.18481522632047165,0.19464650845878778,0.19917690413761613,0.19758974096631726,0.18970052234447582,0.1760524786629683,0.15694575925926896,0.13257352871228845,0.1042789835653007,0.0745019102571091,0.046701060983153256,0.0245173071731402,0.009334442531609297,1.4115026875288761e-05,-0.005171038270694164,-0.007931585360724525,-0.009921517013458003,-0.01192028457133612,-0.013795825771533182,-0.01517811050407128,-0.01616719578069939,-0.017311527284223624,-0.018708690025360866,-0.02017175050499785,-0.022063692770806262,-0.025104744467524892,-0.029218803868731838,-0.033255302771450924,-0.03613076208246033,-0.037840117120433385,-0.0391587401572446,-0.040414220463687915,-0.041405280147218164,-0.04251066856794739,-0.044306359689217076,-0.046492473311562796,-0.04856535155173318,-0.050637468952354964,-0.052919751909597496,-0.05491105416275238,-0.055972392682347716,-0.05630523136980933,-0.05648119394049178,-0.05676168601682205,-0.05710813336808834,-0.05774014647532856,-0.059338211337855454,-0.061543704659927645",0
8,"-0.05567239293873011,-0.05249269294854772,-0.049818128277173246,-0.04853009362620736,-0.04766306386983739,-0.04657199811875587,-0.04549879875055041,-0.044707711232568885,-0.04398338154907311,-0.043002990186274806,-0.0418255943725731,-0.04080656528193653,-0.040244742845979994,-0.040053433690542754,-0.039801281413024206,-0.039225194242115895,-0.038384655786306766,-0.03753736139326777,-0.03712235205964011,-0.03732858962860878,-0.03797059078171072,-0.03871012614518179,-0.03895112619505249,-0.03791537529697213,-0.03508594542515833,-0.03050532427542554,-0.024819452841368078,-0.018672472909495676,-0.012260428273993807,-0.00556944694109154,0.0019377822351889541,0.012631521232920828,0.030472406290409454,0.057018191442563274,0.08844854848061198,0.11854376680608689,0.14367834562296392,0.16358103361814944,0.17885354253925045,0.18923230265111787,0.19338989442408214,0.1902598159239495,0.17984308041002547,0.16239523449445972,0.1382956277282373,0.10863574617034985,0.07600157247307635,0.04518774336161209,0.021079248040926816,0.005498228928962821,-0.003120628474650576,-0.007890524126492285,-0.011403434271211802,-0.014553106301121117,-0.01703918183999699,-0.01898089603393322,-0.0211405445952021,-0.023627566918547407,-0.025630721277355675,-0.026632037763581806,-0.026874899287927564,-0.026653104454139237,-0.026255702905739517,-0.026214704251592516,-0.02636526842910253,-0.02579586991088704,-0.02461593840012144,-0.023746735118954393,-0.023551658670910913,-0.023812008839039438,-0.02371801995150885,-0.02276798346430514,-0.021557849329616074,-0.02094994465344943,-0.02110614299388422,-0.021247875522851012,-0.020972147120582957,-0.020875795926209653,-0.021405473069569067,-0.02225138276826527,-0.022716376841456512,-0.0223083775182209,-0.02108512191357982,-0.01984149486087443,-0.01930719435071901,-0.01908367554323745,-0.01836496974611948,-0.017174251568847984,-0.01603454918553472,-0.015272247864812571,-0.014828828451112178,-0.01426291432173292,-0.013616796141933535,-0.013149008988850797,-0.012585374547703698,-0.01183208959272515,-0.011168172764478679,-0.010641581760200927,-0.01025596023349995,-0.009966188711349647",0
9,"-0.03343415200165762,-0.029817370589846334,-0.026930598205290493,-0.02563733695192548,-0.024838899721323984,-0.024026058149642204,-0.022995058207366824,-0.021923908113349044,-0.021162465890035335,-0.020622489493321274,-0.02031536786708083,-0.020637502891868144,-0.02147145738531446,-0.022237596787216804,-0.022734530505950472,-0.023139455791167565,-0.023507174759804822,-0.023613779882345427,-0.023528943967255578,-0.023749732901134288,-0.02437422324913737,-0.024682825045083442,-0.024220717392855425,-0.023561349582121208,-0.02334642563249932,-0.023438440194697457,-0.023493168442525247,-0.023525334850136165,-0.02361392367254192,-0.02379133398346532,-0.024025984835477257,-0.02382925681381237,-0.02274152623574692,-0.02087543659165246,-0.018325515263490244,-0.015160168381622964,-0.01164599997676704,-0.007677075745423596,-0.0026112724140516935,0.0050891361081751435,0.01730084008598836,0.03445785206263833,0.055571573843844535,0.07860523364931857,0.10054446469401788,0.11898601293307885,0.13290466968015252,0.1418909711639258,0.1457489216279831,0.14442405577511985,0.13799910177720323,0.1268549305770908,0.1111527784493484,0.09058899749897521,0.06627638629883936,0.04141320936766002,0.019411432352988624,0.0029230830336682695,-0.006605941977365359,-0.0099408225246575,-0.009736808338196984,-0.008258248748552466,-0.006262197040743198,-0.0042747117513099175,-0.0029379332087822035,-0.002408549243845551,-0.002570818417973811,-0.0033320776312761174,-0.004669502419917468,-0.006638117551256942,-0.008927054628216885,-0.010724592955842188,-0.01170392113796638,-0.012028322431792512,-0.011569576127408346,-0.010464914926023486,-0.009645375482499427,-0.009909908953824209,-0.011281639118576395,-0.013382709719346395,-0.015880809354478956,-0.018310417542092644,-0.02023873948231726,-0.021825766641885083,-0.02343136899823542,-0.024890142921827688,-0.025742247355049486,-0.0258764382745499,-0.025573715373472097,-0.02531619824268541,-0.02560332968730232,-0.026783565141930102,-0.028517426910205715,-0.02983390286022096,-0.030363580320850084,-0.030933414820278213,-0.03233559227331591,-0.03386084223838,-0.034352025431187,-0.03393652440840149",0
