id,heartbeat_signals,label
27,"-0.028549917574553108,-0.026864756880371155,-0.025275693518095554,-0.024274824659840932,-0.023394471379722837,-0.022338934038538483,-0.0210576167572335,-0.01961978933727565,-0.018177547832617436,-0.016871812205986214,-0.01572793399535971,-0.014614795169292372,-0.013539788897364069,-0.012666650051081085,-0.011802848769339291,-0.01057714967554707,-0.008915236141940397,-0.006958029868423199,-0.004214699941842925,0.0007380353099539216,0.008657893432999275,0.018007390764600895,0.025737401947055205,0.02983084242109829,0.030414255141584468,0.028690947921507837,0.025905632961901348,0.023003699037613456,0.020326831687018765,0.017996543917083108,0.016350355108331494,0.015398037517717234,0.01468888977208016,0.013976835116966235,0.013422092845249922,0.01324938135224879,0.01353355901052844,0.014141111125874184,0.014649739426118136,0.014674370843120399,0.014667880837900826,0.015137550347732509,0.015557149162223338,0.015292621730737088,0.01447026919620037,0.013425863085656575,0.012174524028785438,0.010725793946759654,0.009178706756879151,0.007436816258905077,0.00528573576100233,0.0026363736515447878,-0.00022764499089927837,-0.002646529145507892,-0.004164347145517722,-0.00486407767613356,-0.005057785293954065,-0.004944547221643447,-0.0046874648133251595,-0.004341258876756404,-0.003884829439965376,-0.0034581101562602967,-0.0030017069041214928,-0.002320389862624006,-0.0016861165610549955,-0.0014252096163508976,-0.001284263311130518,-0.0009631916055058976,-0.0007014928724386471,-0.0011354473086413464,-0.002232087039758579,-0.003111553502974429,-0.003343133565913481,-0.0032895482591656644,-0.0033367563686852453,-0.003526980787679712,-0.0037365005020559283,-0.003823953565327054,-0.003707990214902035,-0.0036579182956754663,-0.004157969828740393,-0.0049625185171604524,-0.0053896746594866984,-0.005391197798843839,-0.005478272869853251,-0.005824400704980526,-0.005946771912565041,-0.005504815138024588,-0.00468782918975108,-0.003948508623928537,-0.0037351193494302715,-0.004117600625447915,-0.0047324341938641545,-0.005139131002277475,-0.0050314573515513605,-0.004392309171655673,-0.00360566824231473,-0.0034550891864328914,-0.005231132679936634,-0.008647898780329621",3
110,"-0.003299647356946739,-0.0044196818690515945,-0.006165986473792556,-0.007873169768602127,-0.009078683930702984,-0.009651720767922034,-0.009697671278910918,-0.009409466131751042,-0.008980350101537544,-0.008571434260947608,-0.008294645989364996,-0.008197389162262292,-0.008267406001672455,-0.008458266812249916,-0.008705570922765632,-0.008955186170418905,-0.009151704776607823,-0.009251723361127796,-0.009213666531597792,-0.009018817116418743,-0.008662010978725126,-0.008162801065984028,-0.007539134601496951,-0.006805863547536584,-0.005954359193003684,-0.004975870696855624,-0.0038590394936725073,-0.002608328122476423,-0.0012304395169548017,0.00023996592102796177,0.0017401007525492383,0.0031780039926254874,0.004493938465933338,0.005689146514671904,0.0068284347834033955,0.007961700638737022,0.009076717829264495,0.010080273771627889,0.010869191734201571,0.01139075453308944,0.011702101927980183,0.01194749199045727,0.01231715048294292,0.012962069850361144,0.013955175895397635,0.01525893767211117,0.016751863825572415,0.01824744882439193,0.019554187009239533,0.020507096476862694,0.02100911233307964,0.02101279414191117,0.020514187428106137,0.019528734819767368,0.018116830867920434,0.016383492578940225,0.014482263035003709,0.012558345556598502,0.010708728909255819,0.008941303501019878,0.007209787947658943,0.005460476403713463,0.003709640031131181,0.002052962283638668,0.0006411980353045492,-0.00041255876131835205,-0.0010875685029542261,-0.0014780621032796796,-0.0017234279504944254,-0.001944299431942101,-0.002186834701891602,-0.002453374749193807,-0.002736591543179998,-0.0030652829583458978,-0.0034796976939605578,-0.004006369277442138,-0.004615639746207944,-0.005241654451387094,-0.005802853604412759,-0.006253852808586006,-0.006584368533770622,-0.006820009734339864,-0.006982187531714633,-0.007087506768467304,-0.007136771212827741,-0.007141952599113159,-0.007115809082208777,-0.007079435403215777,-0.007041496830880033,-0.0070129452744851755,-0.006996493689774319,-0.006999165619502739,-0.007007312784316643,-0.007019996965502811,-0.007045926087365704,-0.007162779306239546,-0.00747547865000776,-0.008063809375158286,-0.008835860032442376,-0.009524200998211302",1
206,"-0.0077006143539060795,-0.008799197563786693,-0.01018762588526595,-0.011521832592654158,-0.012583469918229652,-0.013352858524015188,-0.013932526470123704,-0.014418349322974089,-0.014822649797177609,-0.015087134711575995,-0.015159912924672295,-0.015068172498659174,-0.01494289708923878,-0.01496616013049444,-0.015284925827112245,-0.01594512419967456,-0.016883005926280663,-0.017971460320984012,-0.019071986346863593,-0.02004656640546109,-0.02072271666906285,-0.020872033297841465,-0.02022895357383593,-0.018566331125448796,-0.015727371345750644,-0.011616589585556392,-0.0061899037400455145,0.0004306669711638955,0.007784954284997697,0.015008215121429616,0.02106900967100611,0.025189010534932724,0.02717738880539233,0.027413771856151282,0.026569803424066184,0.02527132365256869,0.023925237599037363,0.02270055806942698,0.021626540792456267,0.02068991548022985,0.019914166928120088,0.019362404582447045,0.019098567464546412,0.01912979900618592,0.019394589855598426,0.019790256255730866,0.020234086252762996,0.020694189376947753,0.021179200448808774,0.021681712579376924,0.02212990854158407,0.022383123049592394,0.022292374355972238,0.02176835085873335,0.02081304363733363,0.019485513833360748,0.017848725194437223,0.01594097358271315,0.013791441863027328,0.011449950470734629,0.00899786243538812,0.006529034646485122,0.00412614851609952,0.0018781609596204112,-7.249232081458015e-05,-0.0015140658139802914,-0.0022548821340047376,-0.0022740324699165905,-0.0018073961361533102,-0.0012595477487921149,-0.0009904815692828965,-0.0011358683258291292,-0.0015959922850157342,-0.0021764567253750138,-0.0027602080235514283,-0.0033780489515194655,-0.004150271727294087,-0.00516685853513239,-0.006407845437777011,-0.007750006124469914,-0.009034668119470481,-0.010128603754499439,-0.010948103658175477,-0.011460181933954271,-0.011684621710043114,-0.011699455377530796,-0.011628226171219318,-0.01160196455412462,-0.011713024313966862,-0.01198969616362609,-0.012407111482321445,-0.012912303973990989,-0.013460215409539459,-0.013939363186026527,-0.01417094349857104,-0.013825230558661493,-0.012579809133892395,-0.010331097899799104,-0.007565439748265661,-0.005325095835208456",1
87,"-0.04618220672144924,-0.044782124492101616,-0.042819378784615836,-0.04081187786141349,-0.039107497943799974,-0.03777710339513618,-0.036710922208185615,-0.03577545862403486,-0.03490125071258943,-0.034075591934943805,-0.03329183830483551,-0.03251760901557521,-0.03168920286994581,-0.030707950386935412,-0.029428452328170263,-0.027630398757927832,-0.025041346776936813,-0.021390259825658564,-0.016509585175763508,-0.010410938374544099,-0.003330860780080158,0.004308052573649412,0.011974353626870382,0.0191450052719353,0.02539401627441018,0.03046805349057502,0.03430731778210738,0.037041463915359785,0.038923092839028506,0.040244022819845515,0.04122748875680582,0.04197020613288682,0.04242754439761853,0.042480929432254566,0.042019343191185055,0.04101667233832185,0.039536863748748985,0.03771051894427835,0.03568712628983173,0.03362084543880117,0.03164617235948208,0.029856006622205555,0.028254443244347005,0.026759524067687668,0.025246773349996143,0.02364526403515832,0.02198232390945165,0.020368757785041325,0.01891181481267612,0.017658644140485347,0.01657989430537432,0.01561895865468621,0.014729055271302194,0.01389983536836148,0.013134782411266865,0.012432892091133851,0.011763146713237305,0.011079036830081712,0.010332661838023949,0.009503319443616487,0.008591877182840602,0.007618739959620591,0.006610485671839861,0.005613212631858655,0.0046883762143932195,0.0039014144623163993,0.0032783233849587035,0.002788657555622631,0.002348734326300228,0.0018739386446555706,0.0013166097680397115,0.0006852862691300032,2.6262500840701364e-06,-0.0007404873313934246,-0.0016234332043389976,-0.002771151466066879,-0.00431378378036662,-0.006326902943640356,-0.008807110967479659,-0.011657988027449218,-0.014718435202487612,-0.017790874760794217,-0.020679454222939597,-0.02319088012984638,-0.025144931692945516,-0.02638325685310461,-0.02681852901382875,-0.02646424409126169,-0.025442002639839867,-0.02392869745183157,-0.022102879222649197,-0.02009844111492054,-0.017998382046183536,-0.015872321333247896,-0.013805210383299293,-0.01195323458335551,-0.010517096003583859,-0.009656062554325828,-0.009318846836479544,-0.009208013707509455",3
61,"0.0034179033207951126,0.0038315988094327347,0.004414543656902747,0.004949232535213843,0.005257793679625922,0.005238444537836784,0.0048311343965586895,0.0039709849476938786,0.002584893916180664,0.0006298319171403333,-0.001865747238642801,-0.004787778189227987,-0.007951086181217093,-0.011130763407720345,-0.014101067598335348,-0.016672135204278293,-0.018717924042674194,-0.020185033130975083,-0.02108856300097528,-0.021497327885273032,-0.02152103899766017,-0.02129229955983586,-0.020943042798368172,-0.020567046888295748,-0.020192285654347497,-0.019769595117053507,-0.01918687174664424,-0.018281026155713642,-0.016841694923487527,-0.014615994825803946,-0.01135509460729034,-0.006908546524846515,-0.0013335636651856664,0.005054184605882528,0.011727619679519574,0.01808303227037461,0.023590557996117756,0.027901062808114885,0.030871487467052483,0.03252992749072192,0.03301685541866711,0.032539270506361684,0.031334964770992235,0.029633367989998605,0.027610196231007578,0.025367401708246973,0.0229597776842832,0.02045363308681586,0.01796104483931471,0.01561434357592928,0.013493892557028542,0.011580467034593867,0.009780799151413555,0.008015168521554594,0.006283583679961069,0.004651167682999557,0.0031743601308263925,0.0018522059897105314,0.0006450076737254951,-0.00046938406895685736,-0.0014704060080178438,-0.0023144979430143042,-0.0029725689103652364,-0.003445936126301674,-0.0037599060909473403,-0.003948872984173735,-0.0040531399071914165,-0.004119719597473759,-0.004197470526944191,-0.004311895436967861,-0.004439964297901666,-0.00450849734671549,-0.004436763987039349,-0.00419561251916567,-0.0038419426054350225,-0.0034874156778386123,-0.003226841688325155,-0.0030791372343113577,-0.002992915070938018,-0.0029002275567091562,-0.0027653719329910897,-0.0025890954508744346,-0.002390886627003763,-0.002193333012793619,-0.0020225898602126424,-0.001906342551795226,-0.0018685737611563447,-0.0019275071570901692,-0.002104640282316106,-0.002429563173291016,-0.00293597722248623,-0.0036465007262427296,-0.0045751499970165255,-0.005668100280677657,-0.006803007605442446,-0.007717096222408959,-0.008102145585130616,-0.007739975318786674,-0.006773049952123578,-0.0057141926201564885",3
136,"-0.021223267290586552,-0.021387789710892884,-0.021875036424051926,-0.02267388504186612,-0.023785629209918648,-0.0251740338796713,-0.02670556107946554,-0.028138810129280455,-0.02917612329238054,-0.029551270143541954,-0.029114139924668277,-0.027875482945893156,-0.025991372081105142,-0.02369166456692203,-0.02119578354495389,-0.0186645161478299,-0.01619242391847258,-0.01383369280426136,-0.011627270744845215,-0.00960979959774027,-0.007802799508747134,-0.0061896716118981995,-0.004699831805738394,-0.0032267277428578087,-0.0016752403603204,-5.602094451835626e-06,0.0017781146197231382,0.003707242909196426,0.005964538882830175,0.008946577841087273,0.013197902403422473,0.019181895603017793,0.026964671218449907,0.035978941443117474,0.04505639413180371,0.052778416419526235,0.05798327334575418,0.06014707135798486,0.059449176363673584,0.056543809102330186,0.05222884406570256,0.0471967311053702,0.04194374152543185,0.036791570493847826,0.03194427684517813,0.027525707811719625,0.023591268767166083,0.020132210091400787,0.017090621359080543,0.01439040078309281,0.011969004361717585,0.00979266215482149,0.007848774074785334,0.006126236832627842,0.004598434663606522,0.003217576991993751,0.0019287446857461782,0.0006977110165757583,-0.00046902412665337373,-0.0015403234090939216,-0.0025065122366860274,-0.0034079992769587425,-0.0043107855995191124,-0.005245748818912793,-0.006172958267588159,-0.007004513550133561,-0.007662121007835934,-0.008119355488994374,-0.008402542858823643,-0.008564673031429638,-0.008655511851900034,-0.008703016664328218,-0.008711238201094686,-0.008676270568554904,-0.008609856600947104,-0.008548214988074933,-0.008536226636527318,-0.008597249616037174,-0.008717547876843541,-0.008855850688167972,-0.008967336610425626,-0.009019602067664147,-0.008992304469443803,-0.008871261473072774,-0.008653866122161895,-0.00836382525010438,-0.008057405286518611,-0.007800490267747158,-0.00763381338798929,-0.007557636047903431,-0.007552424802627834,-0.007613914699244113,-0.007759617824266173,-0.008052629226904993,-0.008567655396160563,-0.009418904835018789,-0.01068896513575273,-0.012356833371766886,-0.014139399329794917,-0.015519690699757345",1
358,"-0.0316137641689323,-0.03391860771842173,-0.03661163691594854,-0.037484126222270014,-0.03617521178588712,-0.032926962278566535,-0.02759967448365014,-0.019653849550272495,-0.00853393799234542,0.005612475245116516,0.021317103205681476,0.03614514318775869,0.04793371576227334,0.05570926168216442,0.05969833880594633,0.060920685998714225,0.06075313965373891,0.06045451002459895,0.06078766901546234,0.06192269074492973,0.06357161785308463,0.06527340088316053,0.06660833315125556,0.06713564173656877,0.06639666122506807,0.06422124241145136,0.06082360033714193,0.056379895823016724,0.050521536569765435,0.042288035454318695,0.030766489404464248,0.0160133652040807,-0.0006678865782535903,-0.017333811493108142,-0.032152864908863696,-0.04390694133415733,-0.05230447696266681,-0.057869414295559654,-0.06138717590756074,-0.06341767242428652,-0.06425963596189598,-0.06425183945459251,-0.0638984171597005,-0.06357193577243488,-0.06323333457645618,-0.06253871306141773,-0.061147529787768065,-0.05893025947864086,-0.05595794736766656,-0.052399612691173256,-0.04847247783936219,-0.044386360091553986,-0.04028435690247714,-0.03627282491114865,-0.032454336427934424,-0.02890963350095281,-0.02570935668619033,-0.022907579387518556,-0.020450002466678024,-0.018093982554300655,-0.015502059288519457,-0.012527196774705832,-0.009398854432123432,-0.0065340880631543224,-0.004175356427627036,-0.0022617676352293253,-0.0006149047556912451,0.0007869592521284191,0.001688138412687959,0.001735809136195851,0.0008704879654674869,-0.00047819828927989083,-0.0016765244691486075,-0.002327486073965504,-0.002347594604571665,-0.0017941833751529968,-0.000837769645477951,0.00022372190957915816,0.0011430777298897243,0.0019520299689810422,0.0029665274236714,0.004451949195227442,0.006250321682119794,0.007918976685945073,0.009273619825292248,0.01055910606942588,0.012120975531860118,0.014155695215111355,0.01664163882189365,0.019314512711029116,0.021860085798573556,0.024155765951667893,0.02620071708828861,0.027989488715970165,0.02958377837582961,0.031080054402222376,0.03231627475278037,0.03275608083227108,0.032028015948243324,0.030885772153164473",0
275,"-0.010294271265913202,-0.008810987413515547,-0.006598629138088674,-0.004474930608923788,-0.0029653276537521256,-0.0021641318609352256,-0.0019043957218523588,-0.001978750999856671,-0.0022415360455327327,-0.0026028499961862628,-0.002996615238858469,-0.0033706585671884337,-0.003685624289044509,-0.003914140325495974,-0.004050704414583828,-0.0040907031529257565,-0.004042593324905641,-0.003897717974808035,-0.003639722016285707,-0.0032328216817496536,-0.002667973139092006,-0.0019791136333169868,-0.0012788250418643843,-0.0007233047054900354,-0.0004776489287474095,-0.0006239354152030585,-0.0011220152510142967,-0.0017828702611520364,-0.0023417964724780638,-0.0025307327522775536,-0.0021752278415683723,-0.0012103203610392965,0.00030461588162283837,0.0022274424445065666,0.004347755830893196,0.006458859868333666,0.008400487426175052,0.010112913865642004,0.011595901828547306,0.012858873483514999,0.013837228336101709,0.014399214497383905,0.014379650201127497,0.013682979222636754,0.012330620649881496,0.010498285458227008,0.008473376162147828,0.0066241081747814845,0.005312475721940213,0.004827266787637341,0.005282033529031893,0.006583685560349217,0.008420554237737965,0.01034062371238298,0.011829369495933162,0.012438310105470918,0.01186829952703733,0.010053644091711056,0.007154645791513259,0.003526087582929327,-0.0003935301430978422,-0.004168071105787541,-0.007460124504890753,-0.010045591330789916,-0.011828403676636678,-0.012808352425114633,-0.013087937137818417,-0.012835319495770214,-0.012260372464098168,-0.011536635046712651,-0.0107703935622524,-0.009972934110597576,-0.009112290580185145,-0.008147684756299733,-0.007080793349795278,-0.005931900495389553,-0.004727595763420855,-0.0034662829662255867,-0.0021544884057134173,-0.0008257400111566504,0.00042775987382576153,0.0015002791914106028,0.002307363121768602,0.002841065145762156,0.0031508626113058713,0.0033236256834958122,0.003419860867532931,0.0034632949106706556,0.0034245933959621833,0.0032653209855780796,0.0029495415752188725,0.0024725193975526083,0.0018406347613754703,0.001042475363345785,2.7181423196520615e-05,-0.0012996180367960686,-0.0030116932042035804,-0.005051277901426954,-0.007112113247059404,-0.008665668568301088",2
211,"-0.01911098373120397,-0.01812020072960134,-0.016345346267077843,-0.01444139416342402,-0.012873559396517298,-0.011803423057835036,-0.011190934381852369,-0.010924989396807055,-0.010875741075015821,-0.010900821598422789,-0.010868790941368611,-0.010709041498927444,-0.010433379044433144,-0.01010262731862889,-0.009774501853277995,-0.00945009022667305,-0.009091607188746284,-0.008642710424265024,-0.008074155248076628,-0.007384901472825292,-0.006609288384863896,-0.005787690696491668,-0.004960397987906914,-0.004150069482227459,-0.003379165671257331,-0.0026838619320883605,-0.0021385462388702065,-0.0018656007393864082,-0.0020305927534845225,-0.0027578342994994953,-0.003977586486269974,-0.005283363786587503,-0.005982622601768198,-0.005379413880628459,-0.0031382659106524435,0.000553271680530612,0.005107772037413291,0.009828113863444524,0.01413524662625347,0.017657924998057364,0.020210741787359585,0.021764770341370046,0.022423511415656516,0.022405993286126094,0.021987469843761986,0.021440238357815847,0.02096356381429315,0.02067138888521476,0.020594035627027774,0.020722198943003117,0.02103201571243557,0.02151830608801128,0.02217662911748408,0.022989658923192977,0.02388978518186785,0.024766538552763978,0.02547571645023762,0.02589290461926845,0.02593928957623022,0.025618459009576683,0.024976707220815034,0.02405961828629348,0.022811196530021352,0.02103569556298568,0.01840408176651577,0.014628358969670796,0.009686647992807898,0.004017540171113665,-0.0015679269647736749,-0.0061878079812807685,-0.009280440139613738,-0.010765158410728448,-0.010974873791331968,-0.010406665291165351,-0.009530924861538309,-0.008674937848179284,-0.008039768268835762,-0.007721878574828797,-0.0077559612732424205,-0.008110089202887569,-0.008710320179410397,-0.009461825426072143,-0.010297829408219217,-0.011175641554340351,-0.012062311167098064,-0.012893886255950268,-0.013593106057700477,-0.014094296551621074,-0.014392614433473894,-0.01453834479446528,-0.014620325251023747,-0.014705292106228701,-0.01482603962191592,-0.014903893992071954,-0.014793374993477104,-0.014238536832601206,-0.013018098555887689,-0.011074384587143521,-0.008788597218907443,-0.006936739775643325",1
198,"-0.015276446433668572,-0.014041116689721411,-0.012064341305456416,-0.010163601997998983,-0.008894839415241385,-0.008365870095231764,-0.008353814890652622,-0.008535218316667259,-0.008657970661179404,-0.008608725292498232,-0.008406092968367529,-0.008159753960771565,-0.008006727988916551,-0.008043386585322998,-0.008286115234217128,-0.008651299056020634,-0.009010872280618726,-0.009245779576922852,-0.009307562444291234,-0.009205414786942479,-0.00898209209622508,-0.008664247226751964,-0.008270120512813256,-0.007819262586052811,-0.007368340776919724,-0.006989972524121257,-0.006746048057803711,-0.006635243469915397,-0.006595436097488416,-0.0065107187365657515,-0.006254624137846582,-0.00570201213356164,-0.0047636157955470715,-0.0033982836904113967,-0.001643136954920743,0.0004044771538150582,0.0026048799442832393,0.004831189217932019,0.006985884269167131,0.009010952018144336,0.010851839667806007,0.012457496371299503,0.013785853006841209,0.01484425959500374,0.015674317959921025,0.01632550444580294,0.016812060589392996,0.017140171433652318,0.017336534709510604,0.017478354913206956,0.017651059177537093,0.0179128506932002,0.01825951085854355,0.018652290738173982,0.01903796910757355,0.01938556453301027,0.019681474515897968,0.019937596645866806,0.020173554178664677,0.020432132314614437,0.02077446130652738,0.021289521821610674,0.022053170548244183,0.02308689282924059,0.024290069408678172,0.025426786692187314,0.026141616232920772,0.026059970785813208,0.024897261717220898,0.022571995678843937,0.019223290466689635,0.015172206931546917,0.01080672545146738,0.006489600548887642,0.0024734159433846548,-0.0011050870374422206,-0.004210961324297935,-0.006851362972555786,-0.009053003534105875,-0.010843431819010735,-0.012275316091708899,-0.013418866605475754,-0.014356699798584643,-0.015141000720268555,-0.015789482426683543,-0.016283741398635837,-0.016614028656144503,-0.016800352111018435,-0.016918164216258358,-0.017069144615754872,-0.01734715193728159,-0.017774480450686914,-0.018294830381069382,-0.018784686063781753,-0.01913143609750151,-0.019266684482208613,-0.019200111634367578,-0.01898684215940205,-0.018730734823409922,-0.018549058286821907",1
