id,heartbeat_signals,label
332,"-0.028877294158993483,-0.026947866869430598,-0.023986552834453223,-0.0210270316586251,-0.018760412588297387,-0.0173496479556349,-0.016618718663697213,-0.016313987845306382,-0.016239042073633386,-0.016265735576502488,-0.016302634007729216,-0.01627909397548008,-0.01614333974582874,-0.015881162553789324,-0.015546958249870263,-0.01521950763474933,-0.014960278359232665,-0.014732487161437796,-0.01442219475383627,-0.013881155755890245,-0.013027778441249555,-0.011868328195816319,-0.010502085486696705,-0.009047754713207262,-0.007608116396862874,-0.006212804224540125,-0.004831305050927881,-0.0033695616026091224,-0.001723122472541666,0.0002095197923373815,0.0024771607945291985,0.00508046313979045,0.007949401285716029,0.010982564441585477,0.014059408298101789,0.01709603845420092,0.02004054996948698,0.022879979444699536,0.025592301242878257,0.028152746785407745,0.030521395777656946,0.03268033055973449,0.03460620328722369,0.03626395116788814,0.03755917160688352,0.03836436391081305,0.03854128547552439,0.038024519392174425,0.03684707482379182,0.035162178028907476,0.03317369352376898,0.031082756667536238,0.029003008972141933,0.026959753241707768,0.024897366406721258,0.022760812474478656,0.020525280829479298,0.018231183411743346,0.015940553765932952,0.013728875467214463,0.011645825037720048,0.009725655938736963,0.00795881016636904,0.006312218984755341,0.004723791992989404,0.0031538700518696505,0.0015928661284545231,8.909554777308815e-05,-0.0012930874665712244,-0.0024891543305716746,-0.0034808481845779726,-0.004275258040727398,-0.004909203520560679,-0.00541690773789813,-0.005850761298920398,-0.0062556514332254565,-0.0066766958206630755,-0.007126339456587222,-0.007612947192186581,-0.008136920617043047,-0.008719484565056806,-0.009370645954272089,-0.010103397616286286,-0.010921507658482932,-0.011852401829884868,-0.012915603538814574,-0.014114647374465272,-0.0153933257045544,-0.01666537070726601,-0.01781922470761113,-0.01876579622184077,-0.01942851023309558,-0.019772913569335443,-0.01976917830280836,-0.019419435244138722,-0.018716746672752443,-0.017694610610964195,-0.016431913005437532,-0.015139046892693825,-0.014112531772572962",3
35,"-0.021850627160711324,-0.021348852457947494,-0.020212065403516534,-0.018904020782748603,-0.01779258214785826,-0.0170447957659522,-0.016657520018049023,-0.01654269163566461,-0.016598559448537782,-0.016747862379531166,-0.016954871392282224,-0.017227368872796307,-0.017598500472022945,-0.01809024100942031,-0.01868594422071975,-0.01931851516440445,-0.019913903980065324,-0.02042557195917071,-0.020855692162551155,-0.02121777351487702,-0.021511119402627392,-0.021709147639371103,-0.02179803915767021,-0.021800299943756214,-0.02178476179433484,-0.02182361002754208,-0.02195439318315113,-0.022142891599117455,-0.022301146264849706,-0.02231507667410145,-0.022084111995222637,-0.021524789296115947,-0.020573314134418368,-0.019163183313211977,-0.017207215049727838,-0.014558614789402943,-0.011022874905525719,-0.0064224383512119995,-0.0007214021539088747,0.005903177818847718,0.013077824379665787,0.020362903358975344,0.02738689704689126,0.03393610234890124,0.0399355322572362,0.04538679074627028,0.050293904712350616,0.05465173794333454,0.05845819720949738,0.06174155209202037,0.06454043678032545,0.06687474172202557,0.06869829734195923,0.06989517235775256,0.07029639911691751,0.06974662863638792,0.06816544426775435,0.06560469887795514,0.06223835690072793,0.058318724228810265,0.05408624485119022,0.04971176501565336,0.045268718648642056,0.04077368451163447,0.03622616509299079,0.031648375135112414,0.027080998474824314,0.022585353888452904,0.018232511454702487,0.014114788867845902,0.010327961831604608,0.006950367132033029,0.003997997946807552,0.0014182939244482134,-0.0009016230289265147,-0.0030836935489491554,-0.005227415940547209,-0.007375618074175257,-0.00952607094551933,-0.011653004061044532,-0.013754251679837914,-0.015856248813407546,-0.017997747805048793,-0.02018561898713988,-0.022389633458665646,-0.024547873991438658,-0.02659889482818944,-0.02849138202494935,-0.0302110718406721,-0.031788188565107754,-0.03331143849449011,-0.03489754019906888,-0.03664754937150773,-0.03865975644010423,-0.04102566913172513,-0.04389829394785195,-0.04740295140292613,-0.05148287165115902,-0.055641148829427896,-0.05897480023454988",3
362,"0.1700421383807197,0.16698980877171288,0.16303679613881344,0.15845395732270162,0.15376872432040628,0.14934330029192322,0.14520232203819566,0.14133168842236965,0.13803715137709083,0.1359105129326611,0.13536997313680932,0.13614193031276317,0.137046110611723,0.1360031886889701,0.13003512663687827,0.11565667624545128,0.09022944648375614,0.05372456361572586,0.009589322196334238,-0.03588062610906728,-0.07569345500848024,-0.1052234403335301,-0.12389108892877737,-0.13388001192761273,-0.13781201500304124,-0.1377211324243453,-0.1350111127425016,-0.13061341064618553,-0.12545547437098487,-0.12081276583288919,-0.11791231044677758,-0.11718637514412472,-0.11804223528022056,-0.11940990257222833,-0.1205093301907692,-0.12107554093072292,-0.1210559446087573,-0.1203832539871687,-0.1189802187286042,-0.11676549256730734,-0.11375455703369802,-0.11033140452367912,-0.10723864175158238,-0.10499396635022373,-0.10339494344782602,-0.10184585021864478,-0.1000200225591873,-0.09795472098416325,-0.09571388617198906,-0.09328072952973099,-0.09071115844652627,-0.08820203323247117,-0.08604045624405526,-0.08449096364046571,-0.08351971702267619,-0.0824874662548507,-0.08017258400212746,-0.07523002820597713,-0.06680497152330922,-0.05489273767877756,-0.040267435235165516,-0.024134400470169792,-0.007726832675796602,0.008043853104530485,0.02271278691193057,0.036061058067354934,0.047948461397374686,0.058391289775845984,0.06746067490164659,0.0749103672130437,0.08009193763976377,0.08240749570835554,0.08187662583826402,0.07933850575398643,0.07617581197611098,0.07365301146724351,0.07226460781882899,0.07174998356262716,0.07171224334999843,0.0720191520473559,0.07266235234821486,0.07349519298644877,0.07417167657885451,0.07426184551503853,0.07342278408763253,0.07145564575027272,0.06820262956420992,0.06351269476062008,0.05742771990402132,0.05037052709245374,0.0429833400984973,0.03574893521292716,0.028915296312693545,0.022656934349011476,0.016946551075722266,0.01131280577460353,0.004895028913360994,-0.0032186535801494165,-0.013090062792124435,-0.02233920342443224",4
295,"-0.03150517650768497,-0.030084457985918786,-0.027714840978980387,-0.02525452066649217,-0.023323160958073824,-0.022133465612415915,-0.021601860935247852,-0.021527303598660966,-0.021698062984731134,-0.02192943793730838,-0.022075271428496593,-0.02204923188812949,-0.021835531392814078,-0.021483853683968518,-0.021088630535627748,-0.020726728156048965,-0.020442588954243168,-0.02023215439567816,-0.020077025962042763,-0.019941592390012475,-0.019797403034892455,-0.01961420760539323,-0.01937785013491035,-0.019054820630948155,-0.018578651402191712,-0.01782812969147672,-0.016678613356949118,-0.015036929271570354,-0.012876769736025515,-0.010193933918698841,-0.006978894415639966,-0.0031832964673012415,0.0012379808817725158,0.006296692131563114,0.01191917436737601,0.017957682816179543,0.024201621971616148,0.030443585733593362,0.03650785841840577,0.042273325126011604,0.04762001773270393,0.052394510916279335,0.05638401548834086,0.0593862597929081,0.06128139603928527,0.06210966222020445,0.06204700347689922,0.0613398068247125,0.06017398978862852,0.05860955957155935,0.056570918742550845,0.053948248216616215,0.05068435603158236,0.04683964365714276,0.04255905051689866,0.038036775661790395,0.033459669183788086,0.028994007703213448,0.02474960233503315,0.020780254502578532,0.0170732150973419,0.01358995305739244,0.010282563894559324,0.007130631330889842,0.004134850110488142,0.0013299503989820383,-0.0012396512547023092,-0.0035271581653799206,-0.005522228459653888,-0.007254835705624796,-0.008804019673760155,-0.010249745969925436,-0.01163791233114106,-0.012933965091282695,-0.014052267860755502,-0.014902645685340776,-0.0154703369375042,-0.015828029040577132,-0.016122256683627115,-0.016494549585230042,-0.01702825984109864,-0.017701909287202403,-0.018430360317761116,-0.019118184105163458,-0.019727513477830944,-0.02026197123541569,-0.02073914148875325,-0.02114804193356369,-0.021478528857099097,-0.021737410258320503,-0.021968058531771015,-0.022209498604267297,-0.022489672102742234,-0.022758837465752593,-0.022914759452877687,-0.0227517336902176,-0.022071759064506688,-0.020796839476479118,-0.01919722225386243,-0.017854133231120325",3
138,"0.051707369548539175,0.04937103881355388,0.04685134516480209,0.04532218513326018,0.04499553669559288,0.04586762885429983,0.0479710481242559,0.05099982572102442,0.05417293603652319,0.05640246300118455,0.056502502260115384,0.05354641212249661,0.04733549304371855,0.038465781292304324,0.02781093089159062,0.016036145116720496,0.0036605286772949663,-0.0086966747975184,-0.020320653583766835,-0.030488588785662046,-0.038498436906853006,-0.04386260606922404,-0.04668906297867512,-0.04780339880170728,-0.04830618599644723,-0.0489503915544755,-0.04992775821213674,-0.05107250798415347,-0.05209228467165131,-0.052689923170928715,-0.05265835711075714,-0.051978503892991995,-0.05089609188936356,-0.04982596790267044,-0.04900691571194887,-0.048295320369810796,-0.04740133984087738,-0.046176252030058124,-0.04458661208427314,-0.04262369681589487,-0.0403369264151639,-0.037866417765589355,-0.03540458970092067,-0.03305123902799831,-0.030671666582952783,-0.028023579637276363,-0.025046260677647092,-0.021895179007545257,-0.018738200291030294,-0.015681565032057143,-0.012849336135353745,-0.01034750788231592,-0.008139745403138249,-0.006066670994735818,-0.003947337675383383,-0.0015801626553252068,0.0013135284587562912,0.005090561524988921,0.01006040506748046,0.016207357674268827,0.02300911825506237,0.029604473338498014,0.03511966263541967,0.03894089154338892,0.04093263846375793,0.04143016256654876,0.040953304837391916,0.039946579874012886,0.03870099801524805,0.03734398570672508,0.035929600437233936,0.03461017017806915,0.03358108697571417,0.03283424423936428,0.032126554096486584,0.03113850762509747,0.029588718198958266,0.02733801573724949,0.024457642940909227,0.021138048335198445,0.01752511619983578,0.013725419474826875,0.00999657202359118,0.006765141591555349,0.00430098737203892,0.002445758458848382,0.0007791650928721389,-0.000985125044261903,-0.002810656905698275,-0.004451836192819858,-0.005752701056348938,-0.006914607532885211,-0.008351208782101036,-0.010207314021751138,-0.012228520927313427,-0.014123844827798618,-0.015883082448550398,-0.01776205715700295,-0.019947635690626533,-0.022041080803252344",4
19,"-0.062291385528781384,-0.059913134645424554,-0.0578980137542259,-0.05750343287783638,-0.058120692114081496,-0.058751796406110085,-0.05890204857206735,-0.05915889514104497,-0.0599185036389914,-0.06072201395580876,-0.06129629894496469,-0.06178978101337715,-0.06208858246311627,-0.06201263976787322,-0.06142712564679023,-0.06029463126913717,-0.05919609771316883,-0.05853545574956737,-0.05776193725141271,-0.05637981838110939,-0.054850536708341474,-0.05397842719113638,-0.053731082468867014,-0.05335449599519934,-0.05252841321205537,-0.051872287335654244,-0.05197628226220169,-0.052932368483295994,-0.05470581912820777,-0.056723602984110305,-0.05777121739812677,-0.05643530204006436,-0.0514436485593506,-0.04260596438537059,-0.03109993135999417,-0.017885205256323394,-0.0029545776384659606,0.013407315527377034,0.03123674906660942,0.05213262770259504,0.07716572552893572,0.1049146554521054,0.13165340724160585,0.15313543725609982,0.1672044167746576,0.17421163067574338,0.17614159691468695,0.17536331552506945,0.17309351334736142,0.16952887337127637,0.16531605335526928,0.1615405609608484,0.1587163061493816,0.15702790194743357,0.156467123486151,0.15671473656834123,0.15703056814933775,0.1560283213994181,0.15294436570056874,0.14839292015987834,0.14312798568592616,0.1375273641746181,0.13174358724964047,0.1256702689254955,0.11858136660607152,0.10931036790123327,0.0969026017796514,0.0804543398250193,0.0596617022533272,0.03608278372840995,0.012084225310555197,-0.010831493484878524,-0.0316099416076894,-0.049286099459520144,-0.0636836056763585,-0.07516943475986962,-0.08400725670510203,-0.0900278371751714,-0.0930086678659845,-0.093778172102043,-0.0940041815644716,-0.09443804070800993,-0.09446324045116283,-0.09330852300610326,-0.09097238532065094,-0.08785483438125447,-0.08401247531990458,-0.07975734153717123,-0.07603524034655323,-0.07387749695986298,-0.07353865447524499,-0.0740286257300248,-0.07451549092495141,-0.07514992275318377,-0.07622803784898399,-0.07768811445902457,-0.07923669291927493,-0.08041938797142498,-0.08018679040832888,-0.07858528253683716",1
204,"0.2833508984591919,0.2753161573688888,0.2657458141622038,0.25672436944743626,0.24732895687929066,0.2349804555711,0.21724680102618274,0.19300108783477368,0.16248194062069354,0.12646238522306752,0.08610901494589143,0.0438379083753012,0.003449380884378156,-0.0313948542516064,-0.05891489725552354,-0.07948218701006801,-0.09460619584799501,-0.10578569444797747,-0.11391989288672491,-0.11955641276797377,-0.1235105999499759,-0.12684318045478218,-0.13016343532888788,-0.13325048755111218,-0.13547014856302103,-0.13646982062659138,-0.13645650184347433,-0.1359280394121871,-0.13523604647162457,-0.13435913836554178,-0.13308197572039498,-0.1314122372917203,-0.1296186611129276,-0.127761238738543,-0.1254957589006937,-0.12251917458217434,-0.11897331156322091,-0.11524299641161548,-0.11152206691813732,-0.107753513214674,-0.10387569907699001,-0.09989997877672582,-0.09574561772761556,-0.09119948101850114,-0.0861001290452448,-0.08045078333126979,-0.07435341011796791,-0.06790604632323231,-0.061119348313235844,-0.05387853165478865,-0.04603938259233417,-0.03766119598437423,-0.029106151334697045,-0.020750761859978095,-0.012680473400700942,-0.004835125895176984,0.0027489995905986553,0.010040959468380906,0.017198149162390736,0.024469979184948337,0.03195862465405455,0.039616057303213575,0.04747615770151256,0.05567280065474803,0.06412319696540728,0.07234639801423201,0.07970822313668688,0.08576562428886383,0.0903952282497413,0.09378778101247057,0.09638471336815332,0.09864201986677598,0.10066072709219862,0.1020364678448292,0.10213540239444455,0.10046064956287479,0.09680482574899532,0.09132046576888728,0.08454536034567559,0.07717311902696469,0.06967867324449503,0.062220340194419715,0.05483413988796812,0.04749477114322745,0.040048256369619145,0.032330882787621223,0.024328380933227173,0.01612619090968706,0.007846641988404207,-0.00023794571426108413,-0.007680827366194826,-0.014129027171608771,-0.01957007036615646,-0.024251466124678794,-0.028449610015937293,-0.03239530584847641,-0.03630404986167882,-0.04030929690594401,-0.04439354899911632,-0.04836364634788934",4
429,"0.14333455951515114,0.14592588237173706,0.14906382791092126,0.15007417401126238,0.148874823019023,0.1466735948660554,0.1445042138671165,0.14274358207359036,0.1412227991184445,0.13965253247834852,0.1379476896032429,0.13617632520619544,0.1343435146074202,0.13239610922307077,0.13039481145893722,0.12853298777172148,0.12697659948315432,0.12575887592198198,0.12484302967286082,0.12429812164395113,0.12438130465595298,0.12517529498025137,0.12570751331990282,0.12333898986349467,0.11449063826283892,0.09643777379401014,0.06838163711355777,0.03098424967445515,-0.014009610348496238,-0.0629162330553139,-0.10988337049261815,-0.14896644048037438,-0.17679998437344313,-0.19347064575323752,-0.2014874902382307,-0.20401974848293108,-0.20359901730688018,-0.20190598770572693,-0.20007983013799446,-0.19869237003322815,-0.19750558576865246,-0.19570562806236547,-0.19267112244347268,-0.18857340779891313,-0.18431907918386614,-0.18092348587810014,-0.17882086994339058,-0.17777825978040207,-0.1773896932500552,-0.1773527753206774,-0.17730476086096758,-0.17680641560596166,-0.17564261064108794,-0.17400413557580446,-0.1723179175023029,-0.17092029720048052,-0.16990498469513438,-0.1692118065035913,-0.16864510794601978,-0.1677618713195484,-0.16600692993164873,-0.16315167269474745,-0.15952363718181328,-0.15566509502282988,-0.1516703429410296,-0.14680313987320054,-0.13975047803120205,-0.12916763989299745,-0.11391998008514102,-0.0931549134140185,-0.06671932209828593,-0.03568357623724444,-0.002306436098883223,0.030611463183801896,0.060550535432932,0.08590797065173508,0.1062565943721992,0.12219412289392081,0.13485323315461506,0.1452880723924561,0.15412417923303706,0.1615545149691232,0.1673904432712976,0.17115055555506992,0.17239196000791485,0.17115574515202453,0.16809471185832653,0.16401201719744657,0.1592597981226736,0.1537067133436053,0.14712669339516246,0.13948578950434865,0.13107945869025628,0.12246254884147786,0.11413348447887761,0.10635082959053238,0.09919891714830986,0.09267115712553742,0.08687075840718556,0.08239598372956447",4
112,"0.08178484023853373,0.07853147680854383,0.07491415793531388,0.07241355804743518,0.07145536131840699,0.07188329078551921,0.07348230324916458,0.07606353566393613,0.07926123782309757,0.08229751961746468,0.08407303252115471,0.08360494932421345,0.08034839818046347,0.07411172976182134,0.06488807081519272,0.05288423693053887,0.03852480544704145,0.022129685078559787,0.0035715889097397355,-0.017394882125623463,-0.04021167751306309,-0.06309874801822263,-0.08377988831507993,-0.10052784120237976,-0.11248867911148616,-0.11951925231201771,-0.12219605907092132,-0.12179070749158821,-0.11980649210705535,-0.11738007746855655,-0.11501977424675486,-0.11276257847009599,-0.11053307232471052,-0.10833303179302892,-0.1061124055710361,-0.10359778061591235,-0.10035469580701814,-0.09598517164930384,-0.0901665352329157,-0.08259139285129605,-0.07305882547568573,-0.0615589863674493,-0.04821526011340369,-0.033409461618539506,-0.01813631981145534,-0.003976725224303375,0.0076880378396296314,0.016539377382760734,0.02324171709677842,0.02857825800421407,0.032905686753567615,0.036267915636824126,0.038632767552863295,0.039985163652658744,0.04043659233095007,0.04033670678318338,0.040147101272780455,0.04010206510047947,0.04004091376900522,0.03960663534653079,0.038562297020806005,0.036968804900524066,0.035189375201483915,0.03367970939589855,0.03263051856815795,0.0318235291801517,0.03093229621766827,0.029916743727111103,0.029022883972308053,0.028476751742126064,0.02824572069185246,0.02805400319938124,0.027651160583714522,0.027032708321775706,0.026341853864720946,0.025689726250804457,0.02507999564513553,0.02435475832241408,0.023275124979931623,0.021729106911763413,0.019765775449838735,0.017481533860699366,0.014969391314575024,0.012307647236555155,0.009569566723460765,0.006849869133826972,0.004237678863764582,0.0017972969002446881,-0.0004092124619336779,-0.0023352414644999264,-0.00400250854055912,-0.005504303780982912,-0.006925846200795352,-0.008309892523788512,-0.009715033894755629,-0.011256235546413348,-0.013177580547217287,-0.01588905715133087,-0.01955534390882343,-0.02328196722897953",4
291,"-0.11713252531776674,-0.11853426290744551,-0.11926690615963065,-0.11877927750482975,-0.11793988455802051,-0.11707077433028368,-0.11625515961502053,-0.11563199497928311,-0.1153126249891907,-0.11505837632445903,-0.11461769166307312,-0.11446970572836512,-0.1149297819122106,-0.11537768125495318,-0.11537816847150217,-0.11500423018871342,-0.11399892232408093,-0.11198570081812809,-0.1089993567217703,-0.10515090285446316,-0.10026015486338702,-0.0933549787757132,-0.0829928696421085,-0.06820654707053686,-0.04884957637961862,-0.025923671985251917,-0.0012755877304183594,0.023507909282598716,0.04743139957491671,0.06983544930061458,0.09037975593508496,0.1089346971013776,0.12535823013943082,0.13937351168819545,0.15078763512306104,0.15991766406019825,0.16728422711790947,0.1730307357420653,0.17727419927965182,0.17999526864823645,0.180948473047997,0.18025832445867596,0.17856575739022462,0.1767470453935015,0.17521070381412962,0.17387151635674725,0.1729047557250405,0.17249334520205162,0.17194688613795117,0.16981695787428364,0.16464450362229333,0.15601417195233613,0.14521095727562527,0.1340206251833358,0.1235586745846955,0.1146432547899573,0.10805384380345906,0.10375480670734338,0.10057507872717386,0.09671347604585145,0.09040964943750152,0.08075414653765112,0.06797206892675323,0.05287794615965713,0.03658916322075978,0.02054326650600813,0.006213515313192142,-0.0056264479022933855,-0.01525617915382127,-0.023378589482954903,-0.030370485346190357,-0.03656180116058905,-0.042458712710372826,-0.04821081139089012,-0.0533720209145766,-0.05757599060781704,-0.06126113871116445,-0.06526803500171341,-0.06977581383245568,-0.0742147901227026,-0.07821945389518736,-0.08185682267585215,-0.08500919128257522,-0.08733537216461007,-0.08879070122028854,-0.08961086213388403,-0.09002715802984174,-0.08988561365508929,-0.08886375921364376,-0.08743645622136986,-0.08638763661631255,-0.08546536783972358,-0.08401701200315115,-0.08235549884959359,-0.08095323113804209,-0.07963268980691807,-0.078020879720335,-0.07591497564304384,-0.07320543103312416,-0.07034735263718683",1
