id,heartbeat_signals,label
622,"6.6676562241003925,6.591675857802516,6.474901462289041,6.305682388627469,6.054556770552001,5.661128402354202,5.023988832421016,4.0347115071813855,2.6632435810041244,1.0139289258520803,-0.6711977521822221,-2.080290604918058,-3.0301288279628604,-3.563660487124613,-3.8116033743950233,-3.8548295178075733,-3.73405113409982,-3.503509084446682,-3.2063178182034857,-2.8469528627656575,-2.435882510046199,-2.016938543825836,-1.6315406195525282,-1.2895428733059124,-0.9939251199021482,-0.7666858616421401,-0.623375837805797,-0.5461340806390145,-0.5055856517010189,-0.4834886687325741,-0.467975232624934,-0.4512404686464584,-0.43345449628320454,-0.4191283695560384,-0.4113863671573301,-0.4100436289411462,-0.4136601241990854,-0.421743828488474,-0.4352158219927622,-0.45737765980048684,-0.48916057491411413,-0.5273029510443386,-0.5677466064941417,-0.6037695719962808,-0.630023893046173,-0.6466244891651831,-0.6539632190935514,-0.6551915350163551,-0.6588325780777233,-0.6738994642445832,-0.7080327415651473,-0.764654654879235,-0.8373727502046733,-0.9144198630589662,-0.9847514529644852,-1.039372023000039,-1.076962025196249,-1.1045434065777875,-1.1269394936255663,-1.1418644954943225,-1.1469741845296566,-1.147152948593381,-1.1564865027183329,-1.1908959526334235,-1.2560740992924821,-1.3486838451843943,-1.4561417816822457,-1.55055250754888,-1.6021932604210218,-1.5979660502454034,-1.5375704506725358,-1.4148590059585815,-1.2155716026662522,-0.9410613668066712,-0.6246638983343846,-0.31792579938539545,-0.060306688069403425,0.14232864221668073,0.31109073559220946,0.46414856677985417,0.5982681123353615,0.7049815431407132,0.7915539269545828,0.8744758863411635,0.9673864187982026,1.078477642276784,1.2061157792721922,1.3391209332472815,1.4695695524645918,1.6000121142044073,1.730062637532738,1.8414580337353632,1.910644736803334,1.9359311146535303,1.9373611628222256,1.9362300968837567,1.9445163112782886,1.9686161523909034,2.0073195546554103,2.036231356586933",2
414,"-1.3554186928330019,-1.3956495707810639,-1.3812403968742828,-1.3430251775332938,-1.3563832435322052,-1.484047942421574,-1.6941007594141908,-1.9137224230131036,-2.101095396448086,-2.2468551348243633,-2.393476160245889,-2.620584101308191,-2.9622519965971215,-3.3643410126585707,-3.7357058882356338,-4.021253583012619,-4.225325441168197,-4.382126440395334,-4.535667750762135,-4.727758914698411,-4.967927973251616,-5.2458943124155955,-5.539390991946357,-5.768518193944821,-5.8528667673458425,-5.829406669842916,-5.82072161324103,-5.916712211047496,-6.104553042441266,-6.306509414724648,-6.4815837827762515,-6.644813605056298,-6.80040518637216,-6.914186738004979,-6.954911705477162,-6.8799668570112775,-6.464627379838655,-5.108279762016668,-2.2400926928730365,1.5904691867961724,4.699916299328679,5.987831975909231,5.884693926958958,5.406382680449715,5.0635319501938465,4.647190391856713,3.9434456218448113,3.2892704511955286,3.061268330412054,3.3323337503522192,4.249417446676404,6.296840126110283,9.902432822497385,14.61684575131387,19.170737733198326,22.71441431718526,24.956654254045734,25.66276773291128,25.02994503600278,23.71360379282508,22.27316675378457,20.733256020672627,18.91757787964122,17.074604330851813,15.550112863667145,13.952991151988458,11.60626323102442,8.450727998453475,4.864089213888063,1.3884467948688548,-1.4393934187726356,-3.431741145471662,-4.714749050181157,-5.4983293743136405,-5.966005495052596,-6.249013808471531,-6.448746371180766,-6.644214486830268,-6.869334132377628,-7.0914828699027375,-7.246780038347213,-7.287539099320787,-7.152588497517105,-6.835513622783392,-6.530558807119852,-6.449238525148846,-6.58871073086403,-6.836207203170296,-7.101706804334258,-7.271980964579542,-7.227169328945074,-7.001687717723197,-6.760853115183735,-6.635944262898326,-6.640449642491807,-6.732866609695728,-6.874464126496272,-7.023869153748107,-7.148653248541677,-7.25003923906078",1
564,"2.3025938470497436,1.8879193474306621,1.2602866561720392,0.7149897927387214,0.3779537898833667,0.20045386838054657,0.10333155376479963,0.038961102699746064,-0.00811967343961606,-0.041044726085504246,-0.06547906677795856,-0.08808415915024614,-0.11297509252164906,-0.1407889297171434,-0.16574436496823286,-0.1745133031187558,-0.1574027977211745,-0.11948172596279094,-0.07503429135643547,-0.0351033409313799,-0.003688021098825933,0.020679046679436208,0.04246345567612719,0.06435644792747675,0.08625488468841369,0.10977803875988812,0.14007544763655888,0.17962035929015774,0.2208996430636505,0.24917622921741778,0.24708038319311054,0.19719250051101245,0.09611568395387327,-0.03228512759415958,-0.15397622740528094,-0.2479564744346554,-0.3069427151730899,-0.32914013336934467,-0.3175147331974024,-0.28014579952023855,-0.22296202962726364,-0.15045428482414414,-0.08041957258737109,-0.05459229385660169,-0.11547360551675734,-0.27503735291416653,-0.5257251494409934,-0.859321988639584,-1.2622712636512228,-1.715666758971829,-2.1736852044387884,-2.525287565717724,-2.629664372171156,-2.386305648548624,-1.774384620401122,-0.9294827433906385,-0.1564510227451219,0.296350951972697,0.448532656888589,0.46710870750702815,0.4629991548506682,0.4643360451437475,0.46832053912675153,0.46935129725458924,0.46728209332639636,0.46482435922456644,0.46064548449797527,0.44805468872030874,0.42614503982821406,0.4076222908209781,0.40319381050894787,0.40306360740799496,0.3835055122796094,0.33133211412696895,0.25540849841214763,0.16864671538119103,0.07957595944570617,0.0019237703452503752,-0.051360593687741485,-0.07713284147324995,-0.07904744369033256,-0.06258653460339936,-0.03517760863011343,-0.0021113771220337973,0.03859686461358347,0.09089063523070973,0.14953544056781265,0.1953834361125817,0.21255603187552685,0.20540628204170952,0.19025753298240566,0.18184225142759924,0.18754012557437205,0.21453922739314457,0.27567395790291815,0.3708707047437043,0.47503305871793255,0.564439095106108,0.6369873423037866,0.6920652178161362",2
478,"-11.756495176453296,-11.81717479020218,-11.961399489268736,-12.187029285802595,-12.42291854689299,-12.60399185542348,-12.721287925304452,-12.804566550878029,-12.876533852401721,-12.929058128026742,-12.938773202041684,-12.898236139396712,-12.837355351618221,-12.802239888824694,-12.831698552729627,-12.948630662950386,-13.136762147547767,-13.354403333722736,-13.573629853237641,-13.713000053086784,-13.39207148194988,-11.87072687905141,-8.718087707028616,-4.479987952338378,-0.22675823504858217,3.3844169009519525,6.401319323033941,9.066778339809353,11.331510440098903,12.913616159710159,13.775916735907863,14.278215871994092,14.664410388659629,14.906352694905227,15.013809168991038,15.17724310088979,15.64231069956589,16.364328835809545,16.97004255031777,17.2908843788464,17.468366381325875,17.636037397659255,18.09464102639912,19.11358880116044,20.227724941070235,20.436849688786836,19.414401990835934,17.944501077012948,16.90650648951099,16.38532243619673,15.95107106147756,15.329270073250022,14.605843252642853,14.03020990963805,13.65998487122419,13.171971067206481,12.082872294301389,10.09236043866634,7.373866120610723,4.683716006235973,2.806287862999051,1.612904189417297,0.42178106322467557,-0.7240006803961334,-1.403783792224783,-1.743836982182403,-2.0633759763440818,-2.5143185753527053,-3.0756890928797267,-3.4907667410133856,-3.61519772290991,-3.6898051404264587,-3.9494010594352043,-4.240545407746928,-4.321660858895345,-4.220374781630667,-4.161865855059236,-4.31514304980925,-4.6483205230991205,-4.989922590573317,-5.177511798414542,-5.235930192608637,-5.408230503372088,-5.88270866768408,-6.5959595929501775,-7.381195414380195,-8.09698170873672,-8.607354758218499,-8.841045360184022,-8.866648994702707,-8.81610048008568,-8.782351365299835,-8.782960776941792,-8.783730261964656,-8.756703323796799,-8.683484117484422,-8.541607903897845,-8.338372679295325,-8.120032349942882,-7.961497909180339",1
56,"5.508023611386291,5.421934919453409,5.319093793211659,5.222217712405391,5.127219375973255,5.029551330383059,4.930292396609576,4.832334473722659,4.737349800551585,4.64281965887377,4.547779594015635,4.456248026595549,4.372968717485261,4.297479371459602,4.22275172157418,4.142702644617513,4.056627123844162,3.963953949234944,3.861813064801435,3.746643981251646,3.6095327579533336,3.4188237126731753,3.1027491496151907,2.55565055118375,1.6653515006653934,0.41558421500869347,-0.9612094513193898,-2.1240875529833545,-2.9481365549564487,-3.5307200629741153,-3.993976816778373,-4.392670038788079,-4.740013385455146,-5.052692208953339,-5.355853086877447,-5.666501000153001,-5.979688206177352,-6.273360942290881,-6.5308739513982665,-6.748551086031821,-6.92613765791678,-7.059293009933226,-7.13714100160553,-7.146528431803431,-7.0743714621540645,-6.909835733379338,-6.663666632665892,-6.381449870343939,-6.109029457079912,-5.860326917195341,-5.6272280366016,-5.393177375125343,-5.139420457082721,-4.860616340580104,-4.583346905315372,-4.3475193186607815,-4.161334407825782,-3.9935203257061125,-3.808837713095267,-3.593723337953688,-3.3561731812635167,-3.114888968461531,-2.88725107633895,-2.6863943060945426,-2.5145997177173314,-2.348645816151289,-2.135211097682073,-1.8024376112763218,-1.2849281460099617,-0.5598866003692047,0.3098008269981447,1.1681201925696758,1.85841410378708,2.326473668830383,2.6196144063239064,2.81595311922569,2.971670267738687,3.119332209661403,3.2703319101098103,3.4176010924073905,3.546878712826757,3.6372441814572456,3.674966779774204,3.67216128444659,3.6545105587810127,3.6404699786757355,3.631247566832175,3.6166632673181063,3.5894901276743436,3.551256268457589,3.506985368766605,3.4606811151240517,3.414089147473341,3.364259268095795,3.303883946663851,3.229237229405822,3.1486596943295497,3.0741016815047866,3.0087324068313315,2.95492772188467",0
111,"1.8799118363376823,1.86384214542455,1.8388966591805238,1.8119027681510302,1.7847241852830442,1.7537803588030976,1.7167496157479452,1.6783654408277409,1.6452366640436822,1.61864386270671,1.5952406657657874,1.571569529450249,1.547470492889568,1.5226614457260332,1.4948986409591738,1.4651793297434055,1.4362224758377349,1.4080371080222998,1.3795062228776476,1.349225588391766,1.3176521811569135,1.2871522988848474,1.2576501434946403,1.2278057561799076,1.1975456469566597,1.1670814754840186,1.1369713359699944,1.1099607260015536,1.0897353900364954,1.0735110155425263,1.045090453138626,0.9834220971308569,0.8788779876640442,0.736808015682977,0.5655352618586915,0.3670966342320223,0.14140232562299926,-0.10548256723940441,-0.3619970754077946,-0.6241584121828041,-0.9004324024085151,-1.2035541353702357,-1.5396581305204613,-1.904373816430393,-2.2977580240748705,-2.729156350728525,-3.1876580327730517,-3.6240590204526772,-3.975621738480445,-4.209046742640351,-4.3325229870091535,-4.371664680164404,-4.352809238409198,-4.300785242625806,-4.234054189886149,-4.161848532685674,-4.090531862363595,-4.028003464238489,-3.9806345683196014,-3.94783278343522,-3.9205653012345083,-3.8885711023690446,-3.846132976280688,-3.7887417031273714,-3.7094080350615446,-3.5994457166434985,-3.450037759360984,-3.2546933894185646,-3.0035474082269404,-2.6600672940411867,-2.1680708537989632,-1.531676704578472,-0.8630735554746292,-0.2923319799174049,0.14318989142421557,0.48444670830463465,0.7754382814790527,1.0274063180501567,1.2311269466455779,1.3882731382790052,1.519481487047537,1.6432344184672545,1.7585830326112823,1.8507248527543882,1.9141809105429308,1.9654532205294677,2.032005472915258,2.140826723544693,2.313125404081071,2.553017140044175,2.824538203816002,3.065297534712748,3.248635660027306,3.3928453177048015,3.5164146428951346,3.6232857181750333,3.7099646289938253,3.7690579316543067,3.7981417291350166,3.805948682338289",0
860,"1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31",3
828,"-6.04154560683076,-6.447985666461308,-6.926294685761897,-7.162659596803071,-7.075838814237871,-6.702115146722958,-6.205793157843526,-5.8755612122058,-5.856658008525428,-6.053774921966868,-6.29194286687278,-6.3412909293970765,-5.936125468368953,-4.984929046364684,-3.708263457679651,-2.496817528483638,-1.673409610040589,-1.3207575620665075,-1.117070482161835,-0.5591858124956706,0.4050352047513375,1.2974617395586536,1.7054180867047668,1.6223611093802677,1.401348030683803,1.4544789658744834,1.8846311961702287,2.5125166955273914,3.0780909099588643,3.4191890753498857,3.5412643698231445,3.535635741279356,3.486527447798356,3.4415157195025023,3.4158603962437613,3.4110813242919606,3.428728516904771,3.470243136448076,3.5377590569385697,3.643413702850758,3.826937211215058,4.180554446238093,4.788018270212182,5.539716933527898,6.1463402766170985,6.54324814042405,6.954847655501118,7.337517282340803,7.4297783204018115,7.33562330567003,7.420417334899046,7.826053589576577,8.37215138437945,8.793739783261715,8.997860735966524,9.051931513545036,8.96010487633846,8.536388079531639,7.5122478938296755,5.821608689351458,3.802733865922842,1.9460522999218075,0.4683262111765991,-0.6616436048706156,-1.4729433295089542,-1.9867475987759704,-2.2665290346300226,-2.391991075601915,-2.45871596760568,-2.5207264412380903,-2.571769735448707,-2.606878810810346,-2.6344584783042393,-2.6568661796441884,-2.670356048396555,-2.6753039820577698,-2.6774304486244933,-2.6785155666655953,-2.6750945735125997,-2.668896089611353,-2.674259962795361,-2.711925992347375,-2.78554590754299,-2.879610153468624,-2.9873572202699474,-3.110092222531841,-3.241084943636892,-3.373459972951493,-3.4946231358451207,-3.575948001027534,-3.593098173467226,-3.525066992513235,-3.324465814902492,-2.9692023449457468,-2.5885257111714166,-2.3865675979643726,-2.4723367364085185,-2.89378464718704,-3.5516449523753995,-4.093271495938042",3
625,"3.946850579029778,3.8450804752428174,3.69745489969775,3.5102205842177887,3.2415653943590703,2.8411233560947804,2.3176621664782946,1.7360129385180731,1.1470651482883203,0.5547909327014027,-0.05529527368162146,-0.6700210671711453,-1.2297809314489356,-1.6679788659601353,-1.951199473769195,-2.062949321885138,-1.999693779575396,-1.8005718855577464,-1.5299590008376827,-1.2355361739751718,-0.9489098400260176,-0.7023097467025141,-0.5201005545087867,-0.4002646542934354,-0.31838004328113767,-0.2508548640680015,-0.1864709178017685,-0.12347040198919457,-0.06897902032562464,-0.034114713122785245,-0.022546084130290245,-0.02823724647060688,-0.04570531555160906,-0.07358760751723747,-0.10829942493060263,-0.14253929071198035,-0.17000256192714336,-0.1929269010442497,-0.22206110402907564,-0.2667483549198657,-0.3304495498718837,-0.4091224796024654,-0.48913812038584736,-0.5589118572828256,-0.6164595553876014,-0.6629192732592669,-0.7018360107176694,-0.7377395181171398,-0.7700944675501498,-0.796590283588124,-0.818615660492026,-0.8397111743744302,-0.8604645553683398,-0.8770459076153008,-0.8860910249723305,-0.88961195659764,-0.8977852488034019,-0.9191080817326958,-0.9503848192440766,-0.9860097341077873,-1.0228695462997932,-1.0541230780250401,-1.0725485379973305,-1.0807812071422993,-1.0894338861892727,-1.099217004043815,-1.0950201914538114,-1.0622082337632386,-0.9989802422573374,-0.9142237290831454,-0.8195398106467413,-0.724685418449716,-0.6367922246629554,-0.5581105438439623,-0.4850305394241282,-0.4084452240451344,-0.32059431683547257,-0.2225216662945998,-0.11516081715335058,0.010734286647614444,0.16986493276739845,0.3648955498602895,0.5744469696523167,0.7656209905048272,0.9138835682777176,1.0133164393279999,1.0752815870508603,1.1171911219726378,1.1521574618206616,1.188721597881878,1.2325794882650514,1.2822727935009115,1.3303037324806501,1.369299515970987,1.395639945280096,1.4113382892559234,1.4181725578380608,1.4136830352886518,1.3972355061519015,1.3734040734707906",2
396,"-4.643574271296958,-4.731002589733722,-4.806526457558446,-4.763405135569131,-4.5663140867485055,-4.1665551478701355,-3.6130377256318784,-3.1316293010330303,-2.87538599618708,-2.7915541749712336,-2.763846270156588,-2.7327514305841296,-2.716804436288346,-2.7483102873968406,-2.808896229342368,-2.853029809375431,-2.8636470159198493,-2.8576686079485003,-2.84863439854519,-2.8331043297595864,-2.8126394546337616,-2.790484492995358,-2.763526387630096,-2.7327037110355925,-2.701149844367773,-2.6760635156947425,-2.66367991985765,-2.661028814530959,-2.6658822912387774,-2.683860668723662,-2.721487344704295,-2.791136193729713,-2.908693704919636,-3.0386241600653987,-3.072318566920382,-2.93625229236891,-2.6882485531379805,-2.477770244514234,-2.4641516906166165,-2.7148297069036786,-3.0891668955281206,-3.2963516882286195,-3.074513716333702,-2.288185228769961,-0.8377154807362128,1.337614368635284,3.851826519368165,6.029388749379633,7.430582658297849,7.879563521633404,7.614762706778075,7.288359287203637,7.545048926131011,8.888746750669418,11.714035059104125,15.601759976378284,18.965233599907272,20.658924244271738,20.97491380944832,20.433833899122167,19.293899488255473,18.105311715906996,17.41973562960776,17.154398894566214,16.641845411336128,15.162569065474932,12.699567411230385,10.057810432229926,7.905295163923629,6.261718474275453,4.825239291717962,3.1524120684815986,1.1069789413785949,-0.8890485406936346,-2.3757731477318487,-3.2722653310856433,-3.802287575060931,-4.206164011839061,-4.611710571687936,-5.072281737063118,-5.550785075155455,-5.927503620230031,-6.183250820794207,-6.481913669983868,-6.978756072244886,-7.5996708225774245,-8.089312913396853,-8.325908981972807,-8.407382630676166,-8.451317881871343,-8.492999933644153,-8.520162760045526,-8.532184535990796,-8.548639498668516,-8.553682442025284,-8.498131192053792,-8.383632020231557,-8.267586908702315,-8.184110516956995,-8.128770582226663",1
