id,heartbeat_signals,label
684,"4.103032728952367,3.9836080762533896,3.808549546088276,3.606101921233673,3.3695950296323733,3.0630759564779644,2.6318255675568407,2.026561046590925,1.2601452083271993,0.43634915971526156,-0.30904174622464153,-0.8956065881372426,-1.309696830120565,-1.565794896731238,-1.685878333930047,-1.7005776771070886,-1.645726497276458,-1.5424859106506226,-1.3904600468361545,-1.1927180370706312,-0.9758871030624638,-0.7734543033697723,-0.6074968927152946,-0.4911103132295962,-0.4255467526544321,-0.39709846089041556,-0.3892887458390828,-0.39375601655195447,-0.40823758117679954,-0.42605037659854195,-0.43616811258227206,-0.4343899708746026,-0.4250351250636719,-0.4170650229508197,-0.41647300622414396,-0.42073123527494594,-0.4265187391128793,-0.43333903263780216,-0.43940943608847305,-0.4445861575641825,-0.45221973563240847,-0.46820048877666687,-0.4980750017092601,-0.5384890551816739,-0.5784332629799287,-0.607536306697688,-0.6224633954719214,-0.629501962339748,-0.6353223276064719,-0.6381086631060999,-0.638885769942102,-0.648480262930845,-0.6764319785429518,-0.7251267933689134,-0.7900254226194716,-0.864446888419933,-0.943767758075807,-1.0202116630101552,-1.0844230720332455,-1.1326160314125737,-1.1617860638526325,-1.1663209344896328,-1.1449371097297198,-1.10337407647421,-1.049313387236665,-0.9886934818170066,-0.9260629034971666,-0.863696132456145,-0.7994222775117017,-0.7301626021104057,-0.6537967348872962,-0.5672039516121872,-0.4658268441454789,-0.34355359316812883,-0.19838924472507258,-0.0436340979452583,0.09646013973700462,0.2072292542932752,0.29094002037270195,0.357043154145958,0.4144106270849779,0.46794460852483066,0.5171573669330529,0.5656841175039906,0.6250654374296558,0.7011854784792559,0.789424763115476,0.8818992286930902,0.9733827520312963,1.0631562376784793,1.1474740036189885,1.2189003365581548,1.2768928457309832,1.3235880084419636,1.3545715047527676,1.362895962945566,1.34978507043136,1.3292560153030477,1.314340600939338,1.3010364484896648",2
983,"-5.277556919082825,-5.162331449296745,-5.002266063721503,-4.795954712481402,-4.54570489727428,-4.259243799375781,-3.9499793805537413,-3.6362758353081723,-3.3398039159150485,-3.0821388048944414,-2.879651778474063,-2.7380741358958955,-2.6496064888133777,-2.5947635985392754,-2.5487954751717803,-2.489200502085019,-2.4001104382893965,-2.271652376439156,-2.0962610463346847,-1.8651029728314505,-1.5669416115415329,-1.1909541447687244,-0.7338798877139567,-0.2086627779351533,0.35189370846982015,0.9024217505499994,1.4011464957922568,1.825095167964057,2.174588711995572,2.4665813352527053,2.7228743154634634,2.9598923120069864,3.1833656781666573,3.388355545097517,3.563117322050176,3.6942394569321166,3.770614340484925,3.7864278915901144,3.744169020555222,3.6575143135353203,3.5510100978383976,3.4546480187562834,3.3942989427098746,3.383015857025433,3.4180673428013284,3.485580589579798,3.5688796056906993,3.6548778000692215,3.735506576266772,3.8057168304945668,3.86196526697794,3.90232918013045,3.9267964388701913,3.9366895296321056,3.9340908872545297,3.9224850545519727,3.9069677199256594,3.891983712284925,3.8769007765499293,3.853306952904787,3.8073257168717083,3.726474131435636,3.606887770356063,3.4564498323179276,3.2917725537464797,3.1306950727543423,2.9836305919743804,2.8462260716143604,2.6943190852417747,2.4837428178479755,2.157996057205837,1.6654738278040213,0.9806261768494242,0.11911730391019137,-0.8620296341685076,-1.8804315800412548,-2.85302419423273,-3.7176145840089694,-4.442068052272153,-5.0198132621115885,-5.458391352630698,-5.769461310361491,-5.964287106121775,-6.052472161368799,-6.040734785695141,-5.932178771982413,-5.728541598772502,-5.434847788173887,-5.061216130504539,-4.6184746251745326,-4.110818289183732,-3.5328009738906383,-2.8739227577604662,-2.1287908271116107,-1.3078735108556794,-0.4453201137622811,0.40131107553737344,1.1615334333785365,1.769712013285972,2.1793183445737925",4
247,"3.397378530912553,3.388341691573252,3.3780989679687923,3.3547905344504367,3.3147123157359584,3.262321168044845,3.203813452123154,3.1405408643557173,3.0673165683317682,2.9750268065446406,2.859027733633493,2.722347152521135,2.5680797368779866,2.393406081977909,2.1837364198814266,1.9117702749835699,1.5568903101521308,1.1363338170776165,0.7084658826682032,0.3261657685432414,0.004347139087152119,-0.2651633132147527,-0.4919713057895718,-0.6783670641600392,-0.8324018708356729,-0.9742565549127198,-1.1231176464158987,-1.2963450023704706,-1.5102399409526397,-1.7670337510310552,-2.0524621981234024,-2.3544949421666903,-2.6671839878092674,-2.949405882823407,-3.1282771972056116,-3.1822716154123047,-3.1545287964988913,-3.096404546825242,-3.0390190757879956,-2.9942932887890503,-2.9632002947488636,-2.9419355700772147,-2.9229697455500694,-2.896232179007679,-2.8532486777399857,-2.789469583808874,-2.7074208585758823,-2.617458867950555,-2.524286443510411,-2.416676870309093,-2.2789050265260835,-2.105910108920861,-1.9094490170894072,-1.713129645421703,-1.539171334564462,-1.3997265851631298,-1.2950754541145555,-1.213286617907615,-1.1379126489156768,-1.0605197382601803,-0.9816313428432294,-0.9042014038439552,-0.8315403094480366,-0.766717256620251,-0.7120357361964188,-0.6655332896172912,-0.6196205087827281,-0.5673768819214083,-0.5069184265998897,-0.44045144991549456,-0.3706262531009339,-0.2964706127820579,-0.2126693835499771,-0.1150867847502286,-0.004945402156521672,0.11592976554319345,0.2524334456810752,0.4132088447779414,0.5917367797243722,0.7588011162908206,0.8859005027119466,0.9687271616244097,1.0232309836206022,1.0725253022664907,1.1428606439385551,1.258372221572968,1.4328648997164177,1.6650680602467514,1.9217093346961862,2.1374162883985552,2.267058918099257,2.317044948973042,2.3192567157156563,2.3003337145509555,2.2736577023242917,2.2443328453607596,2.212874134414323,2.1764375422757944,2.1355406643588517,2.0988145370873688",0
62,"3.5510079774372336,3.642708663256899,3.7336253169146296,3.822839132712291,3.9089924425148688,3.9907878187907038,4.069935338019702,4.152066046356069,4.239047159412568,4.3264091629484565,4.411520568004924,4.4953172709660265,4.578587503732578,4.662142154237838,4.746208386219825,4.831134545284925,4.9182678788595915,5.005544859043832,5.088723525516265,5.166580386914625,5.238484258047801,5.30496120281967,5.368714521831607,5.431081972176302,5.492405201701436,5.548511354574955,5.5616789058336265,5.363807553835645,4.567179366814373,2.8564956597790676,0.5160465107031573,-1.815539742219947,-3.813138383479145,-5.393819430960642,-6.449401670951336,-6.976496773853335,-7.140279239639056,-7.140212147947506,-7.1263579359478415,-7.178074200808596,-7.29833391048268,-7.43919513769777,-7.548640026785779,-7.603808440436766,-7.613395229160017,-7.597321175389609,-7.564698072659733,-7.5128977451853105,-7.445174492669204,-7.382972398449064,-7.357347200309138,-7.387169248248074,-7.466862341753257,-7.569446875512583,-7.658525835570638,-7.706635126975252,-7.702708048062606,-7.64238152364665,-7.5193870815790635,-7.330165240874285,-7.083805481810872,-6.794804829586304,-6.468352104986537,-6.094980821915867,-5.66307172744079,-5.175845430801384,-4.63412246761336,-4.026776116167323,-3.355110338291415,-2.6501825067610083,-1.9676574601586676,-1.3481592866584444,-0.7849468486091444,-0.24531373416050517,0.30048044234522586,0.8667577180844794,1.4405730124409357,1.991065061495904,2.5001180998955643,2.9708926145140486,3.4074203495621322,3.8061747070448293,4.171581388962982,4.514979436953229,4.833909311362531,5.110506254338086,5.328926125601938,5.487695164231849,5.601620989648797,5.692703466227956,5.776544299920614,5.860051993585117,5.9503763090399815,6.055705205625815,6.178128575096314,6.316857063140564,6.472702265548259,6.644043166815945,6.8216199413087395,6.981268224164093",0
404,"-3.0097494969878307,-3.051893066643374,-3.134623560433763,-3.2350076582669853,-3.3022904577498178,-3.3278722339802522,-3.351737281329675,-3.390111782724804,-3.428531780046363,-3.457885591981503,-3.463414602909352,-3.4251078521913234,-3.3210451300048263,-3.111428608216304,-2.8141882089895356,-2.559148057646355,-2.4331932792722224,-2.3969872005288257,-2.3916796186416516,-2.3926434122248947,-2.390583198890524,-2.3795067073434923,-2.3653734291371658,-2.3721392930940377,-2.42255689451476,-2.5311865356887866,-2.7206402248033976,-2.9736636527994795,-3.1961857709691257,-3.321133064995876,-3.369491336167095,-3.3949168027370327,-3.4387892852648205,-3.5168148168851046,-3.6361001429933992,-3.757734709805793,-3.7481281748043243,-3.502286529875751,-3.0652058579889205,-2.539423051385498,-1.825385929556994,-0.509503190901569,1.857909582966855,5.416598631157362,9.861412629907152,14.329058969201814,17.802172926359315,19.930720040025335,21.2664868764408,22.514659179498796,23.814551456691078,24.86732266835275,25.27097961315371,24.830746255837024,23.479110538918103,20.796803115768462,16.134521309964466,9.743184266052285,3.229296479052163,-1.788958287744275,-4.8551962137066225,-6.4595224702015015,-7.243713177026415,-7.584568538277616,-7.622852673637113,-7.458883508107172,-7.255402323521698,-7.124651641349163,-6.986003146594265,-6.535006425932587,-5.543643334636136,-4.603699902079117,-4.829796530785447,-6.144364037350143,-7.048694895046068,-6.384990016503344,-4.461353310314773,-2.4924423952310173,-1.3675863630537466,-1.1540535852186282,-1.4917610290181347,-2.0704868846506317,-2.694401669941504,-3.107506367470127,-3.125021494527079,-2.8523355449270076,-2.5415523560605804,-2.3225629388812505,-2.1823252436963747,-2.087315405077841,-2.033582454828643,-2.0228764106780037,-2.0427923141247515,-2.066820652709116,-2.0693671829157303,-2.0793239107738026,-2.1651085332209066,-2.3193452391916596,-2.4485380246891904,-2.50184062427601",1
498,"5.880236440218298,5.812574864813336,5.722570560506852,5.618693155745873,5.499132832603313,5.361773460233649,5.20665019058531,5.030930814983919,4.8208594699024525,4.545233084297242,4.167432907232366,3.664261765992836,3.0372067076536853,2.3037925426816637,1.4699074882390972,0.5182849862828771,-0.5953877613505254,-1.905696608870615,-3.275937457920116,-4.412302735510285,-5.262139474178365,-6.065733493656156,-7.058535475731194,-8.183127013128132,-8.719685983443345,-7.901236001887595,-6.1564716747017885,-4.5915656601673085,-3.546925371902062,-2.7862503323638186,-2.2036032079077703,-1.7438434965880445,-1.326899467778138,-0.9188525998098092,-0.5150328396739683,-0.12516184151494247,0.22219362273422583,0.4989388816373639,0.6894322139280247,0.7867193127981791,0.8103891872778046,0.7956148850674207,0.7411669380695294,0.619767421891507,0.429056059604747,0.1914983516499591,-0.06677585496929428,-0.321692318307254,-0.558158543068294,-0.7666017084700973,-0.9339224439070604,-1.0561814111117265,-1.1535374453801852,-1.2499029215282373,-1.3506545335213715,-1.4531751591063884,-1.5586835344148726,-1.660929669216313,-1.7424209223155094,-1.7937330695880478,-1.822306648221713,-1.840761808081921,-1.8529890474010342,-1.8494212357748934,-1.8172170657684577,-1.7465155326249926,-1.6244048326375582,-1.4453163613130373,-1.2271602982294763,-1.0039479703641119,-0.7968577353302919,-0.6031179376532076,-0.41508164770031275,-0.22716181696632542,-0.02554688034455399,0.20374482849449205,0.4592818889814998,0.7269984355713612,0.9781020628929076,1.1826421678082566,1.3446421963035773,1.4922600392183307,1.6317628631753243,1.7416026495287484,1.8076181094964232,1.8359967587129153,1.8417208230160123,1.8420668153225117,1.846815335341291,1.8501051611281083,1.8443945042623744,1.8330428398983303,1.814393490663158,1.7753022015334077,1.7085328836221025,1.6161445527461131,1.5061746077546152,1.3953798831987134,1.3017128016647606,1.2338088044334503",2
521,"6.799150774983667,6.711341051937526,6.583726447323902,6.415592728094109,6.197961330280998,5.895540122327881,5.427734900991094,4.7063757206900325,3.7281223413728553,2.610481777038261,1.5055938536337554,0.5214200753692337,-0.28723775733421353,-0.918194679489492,-1.3972516304562799,-1.7566492464832146,-2.0229800574431254,-2.1973443709326297,-2.272389182778979,-2.2642578303288516,-2.2084309226039966,-2.1324037481790263,-2.0502640352236092,-1.9801640053268281,-1.9349875536537446,-1.9039945184915474,-1.8740299575593689,-1.8485058536940988,-1.8343606666343328,-1.8288188470855324,-1.8249047427819098,-1.819464036896374,-1.810792267919898,-1.7907461675500285,-1.740464157718721,-1.643428341033622,-1.511766541782662,-1.393972278092032,-1.3450245274156554,-1.3786889111750715,-1.4521178263135852,-1.5125055956741649,-1.5438909492803778,-1.5579676715503339,-1.5651810667332382,-1.568444587305023,-1.5695450510091582,-1.5686518622357288,-1.5664787399161344,-1.568613637438111,-1.5820936788236766,-1.6156210731910592,-1.6715126624776964,-1.7349764365723466,-1.7932518832011628,-1.8469160112760246,-1.8915913986338693,-1.9196696090591077,-1.9346329258364203,-1.9485116651568146,-1.9677834126168599,-1.9857098718639647,-1.9819348626801536,-1.9379898017561021,-1.8606456509355807,-1.7661211068707254,-1.6540885838843946,-1.5094162122277968,-1.3079712966121473,-1.0239372332148773,-0.647360209894721,-0.21430901096568733,0.18961495989434285,0.4934470202240502,0.6950758887727562,0.8338689140690168,0.9380034590642996,1.008313130503745,1.0406275285359445,1.0486324613342304,1.0596980696493015,1.103911919459292,1.189741668994353,1.286693146251324,1.3698573145038733,1.4478127281231066,1.5270038684993876,1.6081808182834392,1.698304062585521,1.7949997330245715,1.8983702445810708,2.016515506448669,2.1428199087765254,2.2555294760269717,2.341120858824482,2.406545753917235,2.453475032956902,2.4656720491351853,2.437147846155428,2.386933928634236",2
748,"3.157154488296166,3.1099344125219988,3.0367317743070137,2.9612555100712123,2.8906976439822727,2.815689936656932,2.7319522760696784,2.6445821416148765,2.545293790035265,2.4108068721741067,2.2187731683266505,1.9482369752907311,1.5871543134348074,1.1400921560197097,0.6009950814821479,-0.04494005991449246,-0.770936195937455,-1.4923764296209763,-2.0947152832857663,-2.490595412327355,-2.6655346272574527,-2.661212715637592,-2.528446177160091,-2.303708763354924,-2.026107416711612,-1.749170008552074,-1.5044936007094112,-1.2875512766706736,-1.093038845837801,-0.9299467366965137,-0.8077849621948427,-0.7293585700587246,-0.6900725673372836,-0.6760180212483853,-0.670501667389694,-0.6679868772264208,-0.674603895263576,-0.6945430594746536,-0.7236340052997212,-0.7518648252194118,-0.7692612049601455,-0.7726869801382024,-0.7690760918331474,-0.7652082638448103,-0.7595308999773938,-0.7497447601766694,-0.735989144286481,-0.7199593970769858,-0.706813478393717,-0.6985739574882044,-0.6892781069691134,-0.6741248801666067,-0.6559083584510121,-0.6405357934022637,-0.629195838020582,-0.6190929749061111,-0.6117610889570533,-0.6143372290671345,-0.6311396867491306,-0.6550134576902411,-0.674425597589519,-0.6855940818873023,-0.6921160147971146,-0.700636088979107,-0.7141042815773915,-0.7278435315171832,-0.7348622240733431,-0.7310740816469368,-0.7156265460659168,-0.690698613498518,-0.6579916593576263,-0.6115064054200547,-0.5480913760201576,-0.4774471165017773,-0.40756511039502374,-0.3355137852036427,-0.25240927858508866,-0.15456931904246551,-0.05453607526183624,0.025239457799802745,0.07941890938177165,0.12903391799179031,0.19356679430603418,0.2746133427551558,0.3648668846649268,0.45951456135136093,0.5598701432967106,0.6671816184474384,0.7844168904809432,0.9174636690091911,1.0611548423573223,1.2026209082097257,1.3379090317513465,1.4721707870849872,1.6139566153812945,1.7661557315776022,1.920400399932427,2.0661818066645563,2.1919408749117624,2.2759570527221378",2
793,"-2.3918182158794674,-2.1093650817323186,-1.8557357369299292,-1.7996272224799748,-1.7811097399436409,-1.5728559721616917,-1.1936400506998952,-0.8372009152930021,-0.6086943080170083,-0.46938425870014744,-0.3487337786385444,-0.22087226380377756,-0.1089874529844711,-0.04146145600766771,-0.011064753285716322,0.018338422851144842,0.07107552667617989,0.1481431670667831,0.24064617976594638,0.33432081780316425,0.42225928646623334,0.5342353619953442,0.7713235301460051,1.273421027406353,2.0062196674159387,2.6039100234677868,2.747791269834255,2.57108840915987,2.3668848500716066,2.2287318307009083,2.105356637909871,1.9208159570342351,1.6243594268446584,1.289997081357805,1.09811293220109,1.0761588596254867,1.0444471047569288,0.8896033860543531,0.6517905411660597,0.39183000746775176,0.15907934344170493,-0.00834242065652624,-0.11839903888264913,-0.20990343120623767,-0.3123470869416646,-0.4255827173383512,-0.5268817462702851,-0.5963890846881134,-0.6307293395705995,-0.6389780540732964,-0.6313948085228958,-0.6128341418766244,-0.5878199736910695,-0.5642801057755762,-0.5485785433149711,-0.5413442575458485,-0.5387900708497838,-0.5362285181266515,-0.5303047090341615,-0.5181742157430185,-0.5001220873247407,-0.4823340348634274,-0.46994215313402454,-0.46181216007496195,-0.4536883289386364,-0.44345176038437883,-0.4322816301005208,-0.4226172102236043,-0.41667036729892293,-0.41309170731360034,-0.4081852587464234,-0.40196105015454586,-0.39711933829843915,-0.39561074099098625,-0.3976431771065053,-0.39882312403779174,-0.3915594557547166,-0.3731443905994929,-0.347185459459286,-0.3159326712707684,-0.2793636000568078,-0.23936981972977944,-0.19930433064904118,-0.16142296292027258,-0.1251541507549876,-0.0887887413109516,-0.05051690503871997,-0.00851889970393116,0.03729341985349899,0.08487497458413329,0.131614010580697,0.17739636759525435,0.2237129685558079,0.2687257942884833,0.30909695947975346,0.34566117993268863,0.3817842251880095,0.41814901401802607,0.45246056729264406,0.4827588568486315",3
1023,"-4.0613898174326,-3.5784823430529693,-2.8524390014188317,-2.016651379919078,-1.1461833989275685,-0.28611609875653166,0.527175218385536,1.263541572339113,1.89604902987388,2.4166614945307003,2.8519714772394282,3.2428690286137476,3.6079249344144166,3.930495324951214,4.177669181259663,4.329587931822946,4.398527052123587,4.431438529205261,4.496527913283744,4.665230005804634,4.993807870159179,5.490617569130055,6.093528873984253,6.708416086132049,7.279928589413235,7.802196093103454,8.25986683906924,8.589558334184446,8.722249992748463,8.663694007703832,8.510921355088755,8.357742606916192,8.181548782296517,7.83836047728648,7.16933913024285,6.12022560589213,4.772151283400179,3.2660330430863613,1.7186117079724226,0.19255256317917135,-1.3039255035641109,-2.7789167887067165,-4.194854581505194,-5.474622028776758,-6.572168970959534,-7.492202621044721,-8.249137167268788,-8.858494299422386,-9.354642209500728,-9.767176767850952,-10.092187007582925,-10.318849245840102,-10.470410701819343,-10.590097452069944,-10.689048053353527,-10.737126791999653,-10.706805284412862,-10.60158107907547,-10.449537875781655,-10.284992480732193,-10.120921390284394,-9.933368267132199,-9.686029290171941,-9.37192267809085,-9.027869954087276,-8.711962250058018,-8.462286945293766,-8.274556861520633,-8.12373056869015,-7.986306082539201,-7.823361855404453,-7.574131843168029,-7.197000842768897,-6.7013773032973845,-6.1286193970090785,-5.509953380220647,-4.831501958733679,-4.028910379526063,-3.0310446782014777,-1.8251845643447409,-0.49663357749335457,0.7908629998298693,1.8907940640370295,2.7824530848887257,3.568329636620496,4.351734847169539,5.147453516341704,5.924453685984629,6.68243910868532,7.452705387668186,8.260303044820146,9.103792264783415,9.952692741167098,10.76272001428315,11.496703112390424,12.130148006928298,12.64700173629046,13.04015230127505,13.31770600657962,13.505247954229532",4
