id,heartbeat_signals,label
303,"1.184883352649647,1.1732742664606335,1.1552973593694391,1.1450517428468452,1.1538703946784865,1.1733616650206748,1.1853782660215952,1.1873915457377096,1.1853238237826442,1.1807114917063886,1.170191055927782,1.1535779013196916,1.1312787206359634,1.098655544459037,1.0594035192445401,1.022936269921042,0.9892513601492767,0.958514804913935,0.9291888299230131,0.8954053768172837,0.854086478783567,0.812400515098378,0.7792221874786446,0.7550497806809932,0.7346756643683127,0.7095879967359856,0.6756809994314756,0.6250612666826745,0.5459804519412589,0.422185275141565,0.22168249726126,-0.07459167244456039,-0.42321234271903235,-0.7478054649031132,-1.0278468737242836,-1.2659211993716117,-1.4426425050027878,-1.5581505083553706,-1.631062621786592,-1.6814700383952923,-1.727984460105819,-1.7718069936274747,-1.8060377468297164,-1.8509657777221054,-1.9436906332449349,-2.0727723480930873,-2.1829955514117585,-2.24811932653557,-2.278308619494892,-2.284058990543598,-2.262063590696899,-2.209039616603408,-2.1257740801924,-2.0201017001855703,-1.8958372623003816,-1.7550708997232773,-1.6137564204588166,-1.492663449836591,-1.3942849349357815,-1.3089235956859415,-1.235583234295806,-1.172574491950524,-1.1109482656527587,-1.0460676716102726,-0.9765577835519045,-0.891887923087981,-0.7784029555990108,-0.6398348631331449,-0.49048357384529584,-0.3377430526292334,-0.17849785700028575,-0.006255295857584886,0.17674282296771224,0.3620320766863353,0.534320405123928,0.674576203554898,0.7735903251024188,0.8356863905556767,0.873162679602752,0.8974943556687509,0.9178196907246985,0.9405020443208745,0.9637219233921839,0.9821525738642339,0.9957487017035286,1.0023528729774287,1.0000112363836373,1.0025621947338643,1.0332382447435728,1.092174664285809,1.1563378823485815,1.2050306630995191,1.2363237758200785,1.261227805620448,1.2830172727273461,1.2968668977469209,1.3026980781505446,1.3015974458740611,1.296575694502571,1.2956708656723777",0
187,"-12.223093331099534,-11.06133241724531,-9.435549865224035,-7.806898863426113,-6.395775966620025,-5.130002768185086,-3.8552015911231834,-2.7027863317355934,-1.8814771915420607,-1.334521536576652,-0.8740268304162466,-0.40376000883157026,0.09275618526365825,0.6035094609975182,1.068284378744103,1.4266896271733671,1.7298807171138613,2.05940373286421,2.3847068969370024,2.6649106943784098,2.9222990132945803,3.1755098826086385,3.419797292862331,3.653820124443641,3.8862700932285428,4.13178040154849,4.420894737760772,4.805010326574944,5.330661611684281,6.022161632178829,6.856987254260927,7.773056794627447,8.720350976939432,9.616157842252477,10.272292947179295,10.459047450015795,10.050168644235074,9.084751278588179,7.689550699766489,6.083343625176285,4.5984807699079315,3.38800911500436,2.3548914123621887,1.475743946269707,0.7764981239208981,0.06384827786318459,-0.875973631000345,-1.9066326160387268,-2.79998722130268,-3.563186002682378,-4.244214297307394,-4.787289460004626,-5.134837798063222,-5.3042630752096045,-5.357658996067361,-5.327941656006201,-5.218798275799515,-5.04954113914186,-4.85099923460347,-4.644505472776141,-4.448203014973664,-4.279822784775465,-4.133890439052713,-3.9752931641487557,-3.7818828535144586,-3.5666118201776147,-3.351271008396539,-3.148815225099783,-2.9621398683445808,-2.7829647522885104,-2.6014581046429655,-2.4168878595002745,-2.23217848870844,-2.0476489438648873,-1.862865042432647,-1.6789990074825614,-1.4966771740897808,-1.3167075703290028,-1.1418358493368146,-0.9712797515881135,-0.7988970269781444,-0.6212074425772034,-0.44141148869401725,-0.2645414660486214,-0.09131597399474778,0.08937467079457129,0.29582913556407675,0.5332565532125297,0.7860922036102256,1.0343344749641368,1.2739810258695243,1.510928993867756,1.7432489405015232,1.966001609844346,2.181384919190819,2.3946031559750125,2.6093291585064513,2.8252514916543934,3.0373190333697275,3.242600364117802",3
249,"6.297158012458681,6.2305460303231275,6.16245378956733,6.092784579570017,6.017959788181349,5.942288922400672,5.8784957962148106,5.832290448387674,5.796069462865825,5.759560634626791,5.7128538954275765,5.636981815086379,5.492856872542763,5.21941181362539,4.7583915973218796,4.095939561338756,3.280861331720577,2.4042373894972293,1.5698437788490167,0.8665001674210029,0.3470265988526433,0.013855644218084162,-0.19515327232841173,-0.37678983045895365,-0.5903842562600263,-0.828731345985676,-1.0623712921222075,-1.2777398793112087,-1.470686341984567,-1.6369679797563195,-1.7782226631624725,-1.9064374918851765,-2.0318401410152784,-2.153069694100036,-2.2643889376367614,-2.3645477095674496,-2.45836602573871,-2.5487162288759526,-2.6310885732135705,-2.7336735656743754,-3.0320279700390116,-3.8849069517049166,-5.436931949588892,-7.164987783223248,-8.363215047057343,-8.902424815143869,-9.069482935189132,-9.089941241033475,-9.041669531791527,-8.950178581307418,-8.835534712436989,-8.71426148466362,-8.594952333185635,-8.474672181016656,-8.339563196381684,-8.17780372073613,-7.994682189919144,-7.809891461856128,-7.634163885685389,-7.45991216966999,-7.274935737651672,-7.064592237244336,-6.805422547293424,-6.460418161761005,-5.9317378797597815,-4.928668900162661,-3.0226540846228835,-0.32346137569228617,2.1599312319798742,3.6212489464048083,4.213818520302123,4.413073986698614,4.493618016418189,4.547224662728698,4.594770259536255,4.636337200252269,4.660548106441254,4.657646533113839,4.630611959756615,4.586715427316236,4.528667681578487,4.4584736493355015,4.380002325125992,4.294716506307073,4.202966364880805,4.109150510939729,4.018962480102927,3.9355107508648457,3.860761082745941,3.7964481223974795,3.740560410711123,3.6860026618404085,3.628563574478763,3.5716717491224825,3.519157429552192,3.4671309745587937,3.4090665150886954,3.3463848373849627,3.285740211923489,3.2284196745079807",0
223,"2.4869634417899897,2.460262595344488,2.4193726391239863,2.3842765674786373,2.3476757743077905,2.281374876560525,2.1518824404931176,1.9427584134830456,1.6708888196107283,1.3741546671928275,1.083978567781198,0.8102160914100116,0.5546826784333991,0.32748294601913575,0.13028389098270288,-0.06506760930508593,-0.29859222563570853,-0.5781350757436012,-0.8767970688201667,-1.173197914859415,-1.462375943593052,-1.7334509549824726,-1.9626643985989767,-2.1270690132061256,-2.2093463694129207,-2.203689167911827,-2.1295454467568375,-2.02045784236486,-1.9008911474087498,-1.777074961618926,-1.6383936617780162,-1.4716303649473241,-1.2778450815739784,-1.0669132404570623,-0.845893938525323,-0.6298756346911287,-0.447116174929866,-0.31382696612806393,-0.21756051538746934,-0.13528063281313818,-0.05769205353439899,0.011647343325460469,0.0710464249473639,0.12070608711175845,0.15929531346169323,0.18680086607011814,0.20460717937623873,0.2135808545368505,0.2126183388283005,0.19711287902398444,0.1611108422403449,0.10531980708466904,0.04147488887063622,-0.013933341398598476,-0.05027818957656738,-0.06723153322639819,-0.06995545357074073,-0.06338565373967597,-0.0502429983621262,-0.03166355094842688,-0.01087899304810458,0.008011491029745077,0.023252006000638037,0.03493307835110171,0.04353730608707451,0.04541271529680779,0.032982769045689864,0.005233646302454709,-0.029728807976046934,-0.06832465489948669,-0.11860862796010352,-0.19028902386636615,-0.2833597987057437,-0.38466642092765246,-0.48353517429150505,-0.5922076881013312,-0.7323068300807809,-0.8938765866899012,-1.0247395428930508,-1.0744232971224466,-1.0328455774555532,-0.9229241366122998,-0.7746825349920767,-0.6064040231709682,-0.4206933565941129,-0.21889266654757566,-0.012357001274617918,0.18126868795441942,0.35070861463236236,0.5025736179972484,0.6512922470763618,0.8008962311551595,0.9468296319304592,1.0878415602695548,1.228046495224435,1.375839895506815,1.5498035822561194,1.7607186349830204,1.9743182117114606,2.1277432113167083",2
417,"1.80000892255438,1.7922292275595417,1.7744367128415526,1.750002661248849,1.7171643785278876,1.6729612453240326,1.6196075107871757,1.5637311182511386,1.5122580900872293,1.466866208413291,1.4237884025289373,1.380370165911036,1.3389112439022761,1.3036802792383075,1.2762367646287884,1.2550794936559633,1.2382555390731613,1.2237683249693199,1.2119639269256726,1.206528479514221,1.209618662634465,1.2191939002959278,1.2331739878804937,1.2520862092950742,1.2769389980761006,1.3066690652700113,1.3369339720580837,1.362768447403756,1.380473935966386,1.3838829392994247,1.3632287322158907,1.3157670544368356,1.250677878060244,1.1798774539135841,1.1108683827863823,1.043308018592291,0.9690609432988389,0.8760116885288238,0.7437388695594405,0.5253427553056909,0.14190510147377555,-0.467643215885436,-1.25760950131056,-2.0805838257579765,-2.8156521004601496,-3.4124199046947146,-3.852145334646109,-4.147456604689627,-4.3344515808960615,-4.449961000573886,-4.519548884492472,-4.557895940167,-4.577986643675894,-4.592004339535762,-4.605777156464112,-4.615865821974451,-4.6110489438738025,-4.581444946415109,-4.522823270122182,-4.432386388700382,-4.3084200251955185,-4.151678053560868,-3.962207517047503,-3.7397191452383858,-3.4876639364699162,-3.2139221208633986,-2.9298057652961624,-2.6433580698545374,-2.356760456007623,-2.0733360384730615,-1.7955419531748775,-1.5210200057280592,-1.257111504634705,-1.0245161331354036,-0.8267989275794083,-0.6415117847975618,-0.4419427358881516,-0.1975526678959758,0.12590205639425833,0.5296609781191124,0.9588242865465881,1.3463433563381004,1.6699334880272807,1.9539299765873266,2.231281740342597,2.515582995048594,2.7992013308376382,3.0664653170024243,3.3041430119068043,3.4984454996171523,3.6345898285740397,3.705927660119892,3.7227459894319894,3.7081045093943468,3.6786018309321733,3.6361055149959793,3.5791930394607103,3.510424577056937,3.4384379054009546,3.3843516607479716",0
18,"6.739101167855628,6.558448363298759,6.273937581442733,5.9202320392019665,5.507341900952635,5.0173467448157245,4.4083544284291225,3.62130807002252,2.63814202611626,1.5286047832896592,0.3924096758270872,-0.7195276119172833,-1.761222329640674,-2.642926142840178,-3.3221252556513443,-3.8006859943211104,-4.025708486951237,-3.9391931105483087,-3.571502950747945,-3.0138370919561277,-2.3752987849715756,-1.782800180237774,-1.3208396102082194,-0.9805874448311735,-0.7334485795837182,-0.5795748229411244,-0.49665042031009166,-0.4320881354818493,-0.36020104579941337,-0.2959406399591875,-0.25635982650396394,-0.24495866935064936,-0.26262527357904886,-0.3145208239708335,-0.4021081245102469,-0.523561037575569,-0.6844508669365428,-0.8913742045176114,-1.1422990939028266,-1.4087705132269879,-1.6307410501642128,-1.7657139049373152,-1.819189771627597,-1.8199725292683375,-1.798790491415513,-1.7787887882984903,-1.7649504762824855,-1.7433120027641087,-1.687185571139331,-1.5758182132039662,-1.4321669364528977,-1.3107158970459711,-1.2246771778833303,-1.1470035484144747,-1.0689927937102508,-0.9986165728049923,-0.9422066175568811,-0.9005278425562901,-0.8658754715964829,-0.8366659729823132,-0.8204278428859142,-0.8176743870797518,-0.8144756938230282,-0.7939148323423966,-0.7545081178719213,-0.7046214956289125,-0.6375547714572023,-0.5373252234714212,-0.4012407387421004,-0.2429022741126562,-0.0797836712147979,0.07568499101875337,0.21211889763899983,0.3281331419156106,0.4395392900209518,0.5650742405075861,0.7248700485721584,0.9227341240679978,1.114283520410178,1.242353827184007,1.295120936910986,1.3024038662711677,1.294485430456053,1.2721113581533068,1.2262786242247232,1.177564569882311,1.161431756310376,1.1802738482068742,1.2080427317533609,1.2309349229191255,1.2471542038444698,1.2478646391715364,1.2284900022047935,1.195644801006404,1.1436106333240028,1.0574801543341934,0.9477274131583364,0.8470430736163737,0.7769617626909571,0.7308841606796208",2
10,"-4.25520615160289,-3.898339669045694,-3.3309697335130135,-2.564920060038406,-1.6570279744298482,-0.6698964230777094,0.3813438549352286,1.522710525559721,2.748906105104685,3.9577976614490957,4.96237334008888,5.592450668250684,5.833990098628214,5.881180993876409,6.016430944104792,6.417180035592067,7.06760327614871,7.833249271396397,8.611753371522287,9.412652374772497,10.298539842369202,11.285087605986948,12.331725714186067,13.380563020916858,14.317576578972004,14.91953155584902,14.946179771364704,14.308163194920066,13.13088939772536,11.705167168245598,10.382489537585762,9.420572761028241,8.876543655251478,8.642474340481616,8.527220242135764,8.282985679618072,7.627187279173446,6.332639662310836,4.362164087547275,1.8998617925753085,-0.7859509641574673,-3.4899294718318714,-6.104994038129395,-8.575432495578237,-10.826443499528333,-12.752797580060479,-14.291947717803454,-15.480722953265595,-16.41195243852507,-17.14626363960643,-17.69412156971545,-18.07323635451025,-18.34507089120355,-18.588761224391547,-18.851628160934567,-19.12861823968428,-19.397788281505257,-19.669534416627563,-19.98093205137053,-20.345147918606997,-20.714201127267227,-20.98050185266787,-21.000210023910135,-20.606745798461098,-19.65245283194888,-18.133892414057563,-16.281705884323394,-14.441480600234632,-12.826392146246835,-11.403166931058554,-10.00947405269029,-8.53769534617637,-7.0071523559671824,-5.520419895182229,-4.178229467871308,-2.997812802099051,-1.8765221086569754,-0.6502580950853742,0.7716095596685006,2.3328668032940953,3.8965365666720473,5.330366681511642,6.534445187538904,7.4800916781645945,8.237497307861583,8.925256683608975,9.632577772660504,10.383874888431873,11.15909377502901,11.947698303285307,12.780039989197551,13.693635521162408,14.661417660222844,15.577036790373768,16.3355084781303,16.9118072415462,17.34952953699005,17.703841199901294,18.008460808012313,18.265569809711458",4
374,"-15.809661737158688,-15.506187915387052,-15.093985655602204,-14.65043347773219,-14.253892443933312,-13.990786926344134,-13.931609291090064,-14.08300137993346,-14.311286993734896,-14.366913787925132,-14.130768812487934,-13.738531167038722,-13.32343816438114,-12.779582290072373,-11.773944330815674,-9.911743479841402,-7.418359668007614,-5.381687306279359,-4.411012412620794,-3.742661870651517,-2.0805875219149934,1.065167198745418,5.225759087866038,10.117116368165998,15.799817467416666,21.79226575860222,26.95575968678855,30.22850046564284,31.68631072448774,32.31394391048859,32.52459924974501,32.02029662800882,30.70577371197436,28.964440667264743,26.987055924059405,24.030033112012422,19.45928326965605,14.098461686762741,9.173181360420596,5.040052593731859,1.90363684440812,0.1929277466059114,-0.28117906695513284,-0.3567635903587707,-0.6519229675400044,-1.173300771595633,-1.6756092209095774,-2.0709372056461355,-2.415809725836068,-2.718417951686652,-2.9470711037257917,-3.1671602947793716,-3.492137303101577,-3.922446973541307,-4.374191917478852,-4.7936553281681515,-5.133039829493544,-5.32071514710411,-5.339842963475501,-5.266813139748139,-5.185717512060087,-5.110820456031446,-5.01411652233463,-4.8671519326260775,-4.6504965383088415,-4.404144045779578,-4.226305741658967,-4.15182870345388,-4.125925244361971,-4.101439407727742,-4.074693225430819,-4.04168823057239,-3.9722582447867545,-3.8510727471791686,-3.702868470249978,-3.548390019818701,-3.3730543444748324,-3.155342244381611,-2.8887281081848037,-2.5767907507173025,-2.24085440602974,-1.9303406098340226,-1.6917429471998062,-1.5302211884176025,-1.4189452239285458,-1.3294144666497605,-1.2448603687648152,-1.1496951527731412,-1.0329988331570767,-0.9076207949943935,-0.8009007831786086,-0.7214627760253585,-0.6420840824710439,-0.5296208001260077,-0.3874593128831645,-0.26658003746149106,-0.2516835174416734,-0.3681212357060861,-0.5016454341866243,-0.5242078673946935",1
189,"1.6060399916897241,1.5893030840213367,1.565316851512089,1.5391488586983622,1.5130736770250657,1.4872934961970428,1.4586272847538955,1.4233279017899356,1.3839960700396565,1.3450072416993182,1.3062185888603652,1.2720021178743077,1.2515626027017563,1.2454124012495997,1.2447036315135056,1.2390885882331382,1.2233509694675484,1.1992662449178693,1.170453865419898,1.1385872502414665,1.104137378985103,1.067888327790174,1.0291034379588768,0.983548527597387,0.9274087792871508,0.8631782511660786,0.7952069752423492,0.7205354188815236,0.6354402726117923,0.5448928126651973,0.45696026792648436,0.3725956214315622,0.2833033147410462,0.17531146509087736,0.028276847182476916,-0.18368652027583043,-0.47278634570250355,-0.818092372027122,-1.1725249325338871,-1.491024191258118,-1.7500011628391847,-1.9449767814409622,-2.0836761376956634,-2.182297762765287,-2.2618913509745857,-2.344671065379666,-2.4479735154188877,-2.5838249947958123,-2.759624983689137,-2.9673394675646416,-3.1804707089863444,-3.369626695266925,-3.516129140170111,-3.6155819819795036,-3.674379251119117,-3.6996068470139205,-3.689877020323295,-3.6409201205251587,-3.552937581915982,-3.422048806261554,-3.226735449238408,-2.930904165031965,-2.524577601239862,-2.060475029805774,-1.6195240110466087,-1.2449834434188558,-0.9300744973525862,-0.6561672272169203,-0.41641497079569045,-0.2077073402397801,-0.020955563843995884,0.15422162123072525,0.3235716549478109,0.4868229727040765,0.6358686399756694,0.7627474062810999,0.8717520260551348,0.97718540184401,1.0896989774504435,1.2085175702625244,1.3271798531133236,1.442715862159483,1.554988527767418,1.6580291668203557,1.740399210608531,1.7971311334813196,1.8319497746804485,1.847997466400336,1.846688628846855,1.8324943888063645,1.8120379550255965,1.7920821033531409,1.7801316258178694,1.781101714699119,1.79231378374448,1.8063865893976492,1.8177923738717912,1.826644287925916,1.8352003882156707,1.84126951520232",0
362,"1.3220005751139636,1.31396879783627,1.2973300364634754,1.2830225696887987,1.275377657065969,1.2742727010057795,1.278999385926582,1.2913092323458764,1.3091865144785713,1.323344758558341,1.3265016015476867,1.3196371770951925,1.3046596146047422,1.2775214940630688,1.2364400194479646,1.1883160302319373,1.1404928081039154,1.0919477837517748,1.0330425597834325,0.9571738784847863,0.868644670664926,0.7742151185749113,0.6743053880629906,0.5600207908517356,0.4107440744314108,0.20113638654225563,-0.08381930047107655,-0.43999481940504015,-0.8460896930192033,-1.2732329141063956,-1.6947904320206613,-2.0852776992051565,-2.417954379017778,-2.666058931134913,-2.805686121824211,-2.8294894480911106,-2.7539266087420744,-2.6076752686587814,-2.417888900420894,-2.198349551658791,-1.9525389816615868,-1.6948828558044786,-1.455213152364914,-1.2583780142242933,-1.1069723206591529,-0.9941376280578756,-0.9134315403231942,-0.8480283396338492,-0.7813498247552045,-0.7089258076048636,-0.6330916550137348,-0.5617152479175745,-0.5028213409393117,-0.4577642476274487,-0.42017717590997583,-0.37908742303670795,-0.3287391294775993,-0.2737121542811435,-0.21988962626411512,-0.16969471250096202,-0.12480377618661553,-0.08579483693099621,-0.0534101652229414,-0.027458087788199248,-0.005617274506013681,0.013420568655966969,0.03053339516388609,0.048410762579602085,0.06918936460636405,0.0930902487984645,0.118748429764158,0.14196072670003823,0.15563998329202722,0.15316472195005593,0.13030536826236783,0.08684414750934932,0.030403384022642865,-0.022757081155460157,-0.05098915111851754,-0.03906624658918034,0.005514615019230562,0.055571757031961266,0.09118913290070185,0.11695240224521475,0.15104933036268842,0.20802331543954866,0.2902243031137818,0.39024266729758617,0.49612365743676057,0.5946384737276162,0.6829646558308022,0.7765168826271279,0.8914236234855182,1.0200883496069357,1.1368872709653848,1.2308687657505126,1.3129354294682418,1.3890016048291312,1.4515497433821865,1.4935931587805906",2
