id,heartbeat_signals,label
88,"0.010025247525256686,0.006402681778455432,0.0024306001117680998,-0.0016207040833992048,-0.005595079482574317,-0.009489015472816664,-0.013369798180946857,-0.017274616873858062,-0.02116945643270879,-0.02496973344973835,-0.028590244798798292,-0.031988823840454594,-0.0351819321241425,-0.03822630713423186,-0.04117799660753885,-0.044071012620638395,-0.046913640599517914,-0.04970648297617508,-0.05243939315440149,-0.055085017177027185,-0.05758402844881283,-0.059849521881009116,-0.06176831035303293,-0.06321600892969975,-0.06407104314899537,-0.06424766344284227,-0.06372234624863815,-0.06255706895785695,-0.060892623684935476,-0.058930732314847356,-0.05688910783703843,-0.054954220440085355,-0.05322149220172623,-0.051652686769212364,-0.0500444630640392,-0.0480245538947251,-0.04504950918666367,-0.04042461570373246,-0.033349604191404536,-0.023029010452946752,-0.008830589230337638,0.009529365079410268,0.03184812586344232,0.05737513657055249,0.08485961353959592,0.11267423629798035,0.13900618282788157,0.16207763781080864,0.18038207280666907,0.19286582901583937,0.19902394046279925,0.19887625316243007,0.19287079651212824,0.1817433345222269,0.16639257656671302,0.14778705881480036,0.1269417598860998,0.10493571183736372,0.08293306316204074,0.062130729281381636,0.04363930204087485,0.028322568572313078,0.016683599040694497,0.008817210470484449,0.004441696843841325,0.002964842856299943,0.0035944557250461306,0.005468978917863243,0.007813275878537085,0.010054709788164584,0.01187105017346124,0.013139661655587442,0.013838107796369403,0.013937415553506471,0.013363844097114996,0.012022977549927205,0.009871010160903526,0.006959706931562226,0.003441800959225416,-0.00047482500158946284,-0.00458047026357955,-0.0087186991614141,-0.012812559414664748,-0.016873303220550473,-0.020976511595403147,-0.025236221109846246,-0.02977010939031488,-0.03467942598197549,-0.04002673152241776,-0.04583342225027687,-0.05208467066312228,-0.05875443169924277,-0.06581474980092794,-0.07322509614589146,-0.08089758533220393,-0.08867139898924603,-0.09630446428486794,-0.10348687477801699,-0.10986517845324617,-0.11509298399752965",3
369,"0.39492669988944284,0.38555910998169585,0.37680577917834956,0.3698241269385276,0.36328989725276395,0.3568448332428621,0.35053163319291786,0.343962822080917,0.33680514570518133,0.32925494360916824,0.3216530289890315,0.31416695779940873,0.30702082330336455,0.300038122432447,0.29295054748772287,0.28626281791977215,0.28008840433813315,0.2722730866362471,0.2579611084376475,0.22751634268270618,0.16040021177878416,0.02964568921116295,-0.17205992459061403,-0.415704633098956,-0.6550620495938413,-0.8560800284653269,-1.0095252887389554,-1.1291070052372822,-1.2326113091309254,-1.316679644070627,-1.3634526407722174,-1.367889556944004,-1.339589752931978,-1.2880121754936606,-1.217257848894808,-1.1255424629016566,-0.9967940122955892,-0.7943836131758102,-0.48796433202310885,-0.10199498184040034,0.27900103006057203,0.5612440028333856,0.7021625409304071,0.7296180192867014,0.7002909827022742,0.6535775616841121,0.6045114335360331,0.5564431557244285,0.5107209256048189,0.4691178850816183,0.4331367150249303,0.4034150401496334,0.37952419718605174,0.3600205507537263,0.3432588806849961,0.3281828524220648,0.3136236740604046,0.2984870943168086,0.2832418443722422,0.2691625252610127,0.2564508140352011,0.24435252406337704,0.23224958478649133,0.22016050167919177,0.20849062986396788,0.19738429405520175,0.1863057960113938,0.17485665731045485,0.1635816847870173,0.1530021176992324,0.1428418217455672,0.13260345446181848,0.12206354803665972,0.11130465873083797,0.10062799318107865,0.09009643981084131,0.07955789222254644,0.06920107523494418,0.05931294579113963,0.049624623356174236,0.03957346389099789,0.028830293587921524,0.017401447809158033,0.005363728697340336,-0.007752036422148334,-0.022584669051981227,-0.03916529109451755,-0.057135658973460596,-0.07617199714931017,-0.09594790735197575,-0.11615838691869235,-0.13661817846227603,-0.1567395592591636,-0.17457583285482609,-0.18724590544251285,-0.19399225963825312,-0.19693259578795053,-0.19783513395530566,-0.1970213773215208,-0.1961729847294406",4
281,"0.023107337143835158,0.025696631580975904,0.027855372781174503,0.02850220980217151,0.02821001980315206,0.027555272955290075,0.0270443004738736,0.02665544749489719,0.026088666622422346,0.025489405838400633,0.0251499212214875,0.025064954045992835,0.025158429682500302,0.0253246083745549,0.025224365288190637,0.024637138198976324,0.023802410103848357,0.022991551808965963,0.022158510608440818,0.02115333430222406,0.020017711519365447,0.018850255874475016,0.017804071141372932,0.017062117276078523,0.016182693872608955,0.014558269344570954,0.011969117313209307,0.0076640829864986215,0.0006405104072461643,-0.008905116304549474,-0.019499646494405512,-0.029665225361263273,-0.038574279408779735,-0.04597465850922959,-0.05259498482349419,-0.05946187674002949,-0.06629667802034202,-0.07148640077829603,-0.0737218653819527,-0.07301507653737689,-0.07024208343036172,-0.06663751352366366,-0.06349023111608611,-0.06126487457496642,-0.059651305946547065,-0.058533997973923266,-0.05804968156953795,-0.05782461919981381,-0.05679242134573438,-0.05460394568712883,-0.05213201426612575,-0.050142760434019454,-0.04845606589709285,-0.04581014434212556,-0.04035162256157189,-0.030749134925696517,-0.0171434108288213,-0.0010895415350539034,0.015309927246837607,0.03013163605488276,0.04194259274822092,0.05008070200841945,0.05500816707540838,0.05759221173977322,0.05833283380436563,0.05741886885917834,0.05499612946057258,0.051317955380245014,0.04665041158072872,0.0413490394682437,0.03603883476425525,0.031167278418429235,0.026742358557165127,0.022846787572233615,0.0198144338682993,0.017662535834580537,0.01604593668789521,0.01458293185840788,0.012970202456228597,0.01123283172102059,0.009650868845015828,0.008414843446504588,0.007481114927772245,0.006650588594589377,0.0059091061279767515,0.005299917163467963,0.004690979585825761,0.0041050541694456905,0.0035575210515357975,0.0027430823818885286,0.0016153266953373435,0.00044774707641943856,-0.0006722645277651984,-0.0015474547516351467,-0.0020522411829886344,-0.002674063602399926,-0.0038817676684532176,-0.005245832900783301,-0.00622083535922445,-0.006963837586721325",2
223,"0.1823798788985252,0.18528947204093787,0.1880097568816831,0.18865287478926906,0.18825951329123616,0.18745938795194544,0.18668588179298434,0.1862537079755292,0.18643192871285524,0.1877272220407669,0.19072540557647844,0.19590885607326558,0.20378730394042086,0.21546112933182604,0.23174373561672929,0.25072559781443193,0.2672432068246609,0.27615202372942016,0.2758009690707375,0.2680887497131679,0.2563410834919956,0.24289018595067516,0.2277716278274436,0.2080602780854785,0.17731778232911374,0.12866088112280671,0.060800595784377826,-0.021809385431561273,-0.11687002841914457,-0.22481051088173726,-0.33453585848134587,-0.4248873923607888,-0.49158823648158645,-0.5484906928047371,-0.601296658207022,-0.6438767270224972,-0.6715331128134634,-0.684847513109758,-0.6855520427662642,-0.6736373544524694,-0.6497956824676914,-0.6181692750253673,-0.5833390986286093,-0.5465369895851144,-0.5068357423332279,-0.46448091946038567,-0.4215446971024079,-0.3792386872293774,-0.3358693204544359,-0.2871516109507552,-0.22691266325989412,-0.1471630219263441,-0.043229905964714044,0.07548686498117468,0.18562791097203693,0.2655806538063409,0.30950934663563456,0.32701634011409514,0.33127721719278785,0.32956973252023997,0.3238966360347977,0.31505185687072007,0.30404829127378985,0.29104554686992595,0.2748997100307814,0.25541923781652626,0.2348062575500886,0.2155245804007755,0.19799479671710907,0.1815347993363845,0.16627361200284738,0.1525073469991968,0.13954884210747612,0.12692078294201206,0.11505323976051443,0.10438517981359977,0.09481684162576559,0.0857343211637702,0.07665682847977501,0.06797694971929502,0.06062451859251816,0.05478182984416427,0.04983170020291536,0.0457885066928842,0.04295394523753382,0.04041250616986647,0.03664485376874277,0.031174872694414074,0.024670729488785653,0.01786021659082286,0.010792769471533042,0.0033820840750038855,-0.0038322274477060603,-0.010198370733116649,-0.015501510380151795,-0.01993745161736507,-0.024085215652248526,-0.028832662892382968,-0.03469966611789868,-0.04062106076372196",4
350,"0.09397900470490334,0.08358286260305342,0.06719628322397159,0.04948394184245464,0.03421879759918817,0.022616103967200762,0.014424279341701096,0.008502741441118344,0.0034547562868458837,-0.0010736598975019107,-0.00451129208887141,-0.006237599926255555,-0.00543077597658459,-0.0002861994459622541,0.010713136811211943,0.026620615631116673,0.04493605747071938,0.06287262929406534,0.07874646881846731,0.0936871329379258,0.11107095945069656,0.13472395615747929,0.1672191861612577,0.20701184870313658,0.2471741387748772,0.279972534194088,0.3018787918742222,0.31253845371982203,0.312883727786048,0.3055634953333408,0.29333585628061215,0.2771287651353217,0.25767072911760536,0.23676062913343818,0.21624018004942036,0.19754192617652333,0.18156169104446573,0.1681262324881238,0.156255833653915,0.14509471201817384,0.13439843707721905,0.12367280586659085,0.10916167527610843,0.08105936066439728,0.028402310263856256,-0.04683464288538863,-0.12852665159941928,-0.20740344840505048,-0.2919308819074114,-0.393099898381888,-0.5025109585284095,-0.5922514924894651,-0.6424640395134666,-0.6646038931087161,-0.6872056728953124,-0.7212817669717424,-0.7551100103188657,-0.7763018060377713,-0.7815831202354584,-0.772686668513584,-0.7532928274044335,-0.7268418769415672,-0.6954875320483633,-0.6590262021274103,-0.6102548351480916,-0.5333663066355263,-0.41758617486116706,-0.2711449795633581,-0.1114345084618037,0.048350931324963764,0.19330494446205748,0.30270038323379667,0.3639597439491714,0.3843680203308467,0.38315021088451523,0.37582550302282025,0.3681243586648611,0.35870682059684855,0.3447768205366312,0.3268944005489122,0.3089030939803315,0.29415538464918206,0.2830699296663263,0.2742648594175494,0.26629489028977493,0.2576613723791175,0.2469245754830396,0.23333512149261998,0.21726545212371,0.20010730435281288,0.18312931671469068,0.1665375558368692,0.14954062395411216,0.13145831089762322,0.11274302644792616,0.09438984600591255,0.07695158114406092,0.06008639681907063,0.04305798888110729,0.028247905853030053",4
336,"-0.0064907484009076866,-0.0064637467881171196,-0.006377265476685101,-0.006247129333822876,-0.0060955315354002115,-0.00594319948050942,-0.0058064315054303095,-0.00569859437265352,-0.005628619505831767,-0.005596874425798648,-0.0055959489298273435,-0.005616090206879254,-0.005647242239430028,-0.00567644039670856,-0.0056891793762584575,-0.005675129168605575,-0.0056288418497172366,-0.005545181391403697,-0.005419379209745112,-0.005250624519064773,-0.005041232655556949,-0.004791351970377389,-0.004499558164748341,-0.004166206795446492,-0.0037928475749646196,-0.0033790860427621028,-0.0029235914008650665,-0.0024277749688775274,-0.0018945201998532557,-0.001326161341675125,-0.0007247922273122542,-9.517634563593891e-05,0.0005559758491268663,0.001223225810437989,0.0019019616282786589,0.002586663478744755,0.0032712378849903967,0.003952171035657426,0.00462867956911811,0.0052982375621146716,0.00595768399441321,0.006604680362562121,0.007237697209912852,0.00785268841353881,0.008444105678390268,0.009008439746933272,0.009544445815731939,0.010049743275092393,0.010521771783923717,0.01095933737986382,0.011361239141506774,0.01172243448537058,0.012033356034407972,0.012283252149912605,0.012459909350975129,0.012548854771870843,0.012535663182727252,0.012410327940606869,0.012169642151893478,0.011814359175379041,0.011350272853843268,0.01079000981859729,0.01015156316007304,0.009453171943173244,0.008711934465633286,0.007944765380050511,0.007166459620885357,0.006385957813882237,0.005606504486638297,0.004828524648377297,0.004050303594472948,0.0032664371872313525,0.002469378808008904,0.0016541676096532565,0.0008190699044176575,-3.609944531257625e-05,-0.0009101216145263047,-0.0017971767036437103,-0.0026878528076460517,-0.003573208697681851,-0.004444761618561777,-0.005290489426909684,-0.006099475730135362,-0.006866222372699404,-0.007581875626706203,-0.008233940135097984,-0.00881327132061327,-0.009313192102814172,-0.009721099308203363,-0.010019196811160369,-0.010191915646671712,-0.010228209857487403,-0.010117231580002883,-0.00985318346545,-0.009447561884160793,-0.008932444294459885,-0.008354977918091755,-0.007773829764318119,-0.007259646753938143,-0.006884823471254076",1
11,"-0.014651202747319986,-0.015114897164848623,-0.01580316742044688,-0.01664026860161849,-0.017526951886372433,-0.018365444196236147,-0.01907510044106625,-0.019594237583689778,-0.019884535823621208,-0.019938911641883356,-0.01977531466737603,-0.019420982804256637,-0.018904441670371308,-0.018257461459670193,-0.01751064546087941,-0.016683416251749267,-0.015783297737960916,-0.014816642324844864,-0.013790695748895576,-0.012706991352078617,-0.011563687153145347,-0.01036621015869102,-0.0091231250595398,-0.007840426152358138,-0.00652728643228942,-0.005195041482846718,-0.0038525115448399816,-0.002505552604872202,-0.0011602513310843277,0.00017774910037024472,0.0015077395444435537,0.002833236633143471,0.004158682111801509,0.005488898996010877,0.006831445614916609,0.008195302299534413,0.009584796422416775,0.010998327061339824,0.012431134046136216,0.013874179964667471,0.015311608785839564,0.016721770065695807,0.018083686883325095,0.019379098261826905,0.02059099062022765,0.02170503268474744,0.022714412468602424,0.023618801490260327,0.024419458875247935,0.02511756055571246,0.025716653305254467,0.026220678605879455,0.026629599024787287,0.0269399239888726,0.027148974064347214,0.02725562705728865,0.02725809074976654,0.027154013376974206,0.026945086739901147,0.026636181903532036,0.026230972556870014,0.025731150242724793,0.02513930487075411,0.02445754906670944,0.023683530805596265,0.02281028261798773,0.02183137461898546,0.02074133912079959,0.019534264295463316,0.018205082478761625,0.016755930029227123,0.015195518542086395,0.013536332456954486,0.011792714140000743,0.009983362116600447,0.008128351344849655,0.0062429432582102595,0.0043356004122140634,0.0024106327101960368,0.00046698286295770997,-0.001504771124925558,-0.003520970918222205,-0.005599158777240404,-0.00775617944952986,-0.010008114840829252,-0.012366939794083959,-0.014834394738277884,-0.017399812345848503,-0.020041754372448872,-0.022728219870469607,-0.02541515309123807,-0.028049482293764777,-0.030576463223487116,-0.03294392634111082,-0.03510469631795454,-0.03701911666481242,-0.03866092069983415,-0.04001681491759787,-0.041081628764357114,-0.04185474239993567",1
383,"0.4431895843193873,0.4363272320709962,0.4276293411111268,0.41571519121302325,0.4022984684445484,0.38838543453308205,0.3736067326098167,0.3584662006313891,0.3437552916302625,0.3203782651511913,0.26133322762615396,0.14231518662818932,-0.02201905244377278,-0.18867206375206658,-0.33721105693480546,-0.4867492051322082,-0.665449147292467,-0.8659954744222599,-1.0365894996555634,-1.1255169345392875,-1.1241150199359908,-1.062761345263377,-0.977735030538257,-0.8883611395654227,-0.7962839451359295,-0.698646593227571,-0.5962028184851862,-0.4912377173317416,-0.389922059074887,-0.3014469059348135,-0.22411521070561435,-0.14209513398361795,-0.042904285816858234,0.071749062614483,0.19119164613998407,0.30179427786006385,0.39160635004203925,0.4550683363113466,0.4924125148306582,0.5067932599437623,0.5042616013254682,0.49342795201671175,0.4814671880572978,0.470791257451628,0.46060007134977143,0.450301645731896,0.440608090208077,0.43156449345571113,0.42104484740511117,0.40658424944069727,0.38802791353161326,0.3672363755999457,0.3461273118055881,0.3260635338793527,0.3077508390942245,0.2908931478336274,0.2746137873120824,0.2580936588582361,0.24111324625528985,0.22410787963736567,0.2076742276980963,0.1923166584029221,0.17788892187158267,0.16357770179328135,0.14882788767466604,0.134039192784718,0.12000892639717042,0.10655936912856334,0.09272132367018826,0.07822399107836175,0.06377755100336757,0.049944668874124076,0.036505824647559804,0.02318412542825765,0.010050109958753328,-0.002919200553852086,-0.015758776168212973,-0.028336247817062787,-0.04068312843459565,-0.05288753416044689,-0.06484981314770266,-0.07641863744047561,-0.08758848429912525,-0.09840478726791102,-0.10865860188728771,-0.11843292156052088,-0.12837097825939225,-0.13887261669859674,-0.14966745346256705,-0.16034567000129596,-0.17087551807546708,-0.18135836814832595,-0.19179451668882597,-0.20211227936728116,-0.21226064910328368,-0.22221731837457925,-0.23193430675955362,-0.24206243286362183,-0.254435014629258,-0.2687202800318953",4
15,"0.03488510066151547,0.03433754059242172,0.033797216584827594,0.03310679858113272,0.0323983248037291,0.03170627490314215,0.030788175569196483,0.029888183216839836,0.029547513599140818,0.029592549932315512,0.029522489191887782,0.0294658019566498,0.029523278266126635,0.028900017880765225,0.027365882189711935,0.02583956014816556,0.02482542997726188,0.024014268043722295,0.022907809752418337,0.021438235444336012,0.019934631216792134,0.01844185873073688,0.016720315340179856,0.014875391658936366,0.01313398965716829,0.011302043158037248,0.009359993433511501,0.007782520158354497,0.006622120587244915,0.0053398688113903,0.0036653271495517975,0.001410704614647526,-0.001676611708604045,-0.005428494105437512,-0.00951833821143809,-0.014022958208060099,-0.019512377292628953,-0.026773855225170104,-0.036804059501602815,-0.051008951589528735,-0.0700669270183025,-0.09176198689293952,-0.11128476087724497,-0.12474703540441007,-0.13152565094799898,-0.1331371359558996,-0.131227813452073,-0.1271008878009008,-0.1217146874667415,-0.11512268020906338,-0.10731363933481164,-0.09988265804324553,-0.09558796615605786,-0.09544339049307686,-0.09510511670347561,-0.08554701176865524,-0.06121131061681345,-0.027111341742292266,0.005265153434866554,0.028573136163125235,0.04399498521585919,0.05623815581696397,0.06722173885890274,0.07549612851393685,0.07948310064230822,0.07991411897515237,0.079446083314746,0.07992060133498706,0.08054751035131204,0.07953157250294006,0.0764867022540577,0.07220779154201017,0.06741344266348538,0.06232603406268479,0.056834801445795655,0.05101324017601434,0.045393230863689085,0.0405777655290193,0.036516930846640774,0.03255950588040914,0.028398747188078652,0.024353788660126496,0.02076590987499348,0.017478395321901055,0.014093547321871888,0.010577738888394903,0.007212645347323604,0.004184992028338594,0.0013763984836080712,-0.0014623326190977975,-0.004310907886043977,-0.006896853313717227,-0.009099207977675314,-0.011113105158602324,-0.013137427309224084,-0.015148188697787515,-0.017107357005782364,-0.019384744045131283,-0.022996041089185904,-0.027549297486782406",2
25,"0.22685979778437754,0.21436954406149739,0.2007857273415531,0.1901221318240749,0.18317910094426587,0.1813084614365018,0.18400998544478536,0.18632496235707557,0.18177382616935128,0.16573208052089233,0.13191297936237162,0.06260861282343894,-0.06277430688569469,-0.22997793355127255,-0.3869338052058082,-0.4959775662708845,-0.5577896767202517,-0.5888144923411962,-0.6021680912256584,-0.6040842472181378,-0.5950464060007634,-0.5730604237319394,-0.5358167033897878,-0.48027281272214783,-0.4036104913165015,-0.3054339199437201,-0.18843179571017016,-0.061226622854825996,0.05832335109343095,0.15295732574731646,0.21955376735870336,0.264148117245653,0.29085289417092636,0.30269087227777147,0.30510913573190734,0.30358686235259924,0.3002881204288728,0.2941311679440677,0.2834602481988895,0.2679557785042036,0.24846925399693673,0.2264086083939826,0.20406579980298314,0.18446812032221926,0.16967061923316717,0.1593615745475877,0.15154785901026346,0.144543078008695,0.1381011277822763,0.13224577431710308,0.1260675960654384,0.11887680633728034,0.11098424069190235,0.10309787420556826,0.09531807058332564,0.08715094709670868,0.07876555850271116,0.07055598480816833,0.06246593453156113,0.055026784136198104,0.04900045130302422,0.044064672262303095,0.039328161106226334,0.034347909772742546,0.029207155623421965,0.024346008031078725,0.020020584441302003,0.015892903220357968,0.011870261355030054,0.008342249073012453,0.004913684753808489,0.001004352469557157,-0.0027937471479955733,-0.005509956331763266,-0.006897524761399099,-0.007708631130194321,-0.009142132062917863,-0.011723412600650629,-0.015323534306111053,-0.020022641520650086,-0.02567935096356877,-0.031489791960106595,-0.03682092909643403,-0.04159666024825104,-0.045924122703704884,-0.05003093139948722,-0.05414427509792635,-0.05822409419552721,-0.062257956166382966,-0.06634637880955147,-0.07034385521712583,-0.07421247570604267,-0.07813870943442508,-0.08204358974104553,-0.08588729934454314,-0.0900318580389734,-0.09480652154910313,-0.09940415099595684,-0.10174902468815183,-0.1019020066039264",4
