Step,Train,Test
0,1.352280498,1.603351766
1,1.302907586,1.402438525
2,1.064386845,1.118959696
3,0.94949019,1.182598388
4,0.784730494,1.007998455
5,0.698497474,1.032819436
6,0.602323055,1.004775474
7,0.588949859,1.05710153
8,0.539868534,0.681499159
9,0.502867639,0.673352857
10,0.468992889,0.675436389
11,0.354182243,0.58881361
12,0.361220181,0.510267355
13,0.308781534,0.490745273
14,0.27310434,0.377480197
15,0.322247237,0.338736386
16,0.268981993,0.524230907
17,0.18998757,0.348880235
18,0.237699896,0.36817342
19,0.27693519,0.44605803
20,0.174417078,0.276374468
21,0.241063222,0.290579855
22,0.188616157,0.438448589
23,0.12280038,0.293779769
24,0.186157063,0.255648012
25,0.158418491,0.256750896
26,0.097460069,0.247568346
27,0.154116467,0.293136877
28,0.049867574,0.225013116
29,0.113846816,0.246225443
30,0.080430366,0.246583822
31,0.129752219,0.366052729
32,0.060223952,0.307649688
33,0.103441566,0.379710202
34,0.206878737,0.251584989
35,0.069078311,0.148733484
36,0.088160835,0.140083578
37,0.061385065,0.227183278
38,0.036816441,0.155550434
39,0.053864941,0.428617839
40,0.053366356,0.129901434
41,0.015254918,0.124405665
42,0.032534003,0.133198081
43,0.09030953,0.116137607
44,0.058515623,0.125142591
45,0.040074445,0.070417643
46,0.019011024,0.077890992
47,0.060027614,0.093694197
48,0.018811386,0.023546353
49,0.016082225,0.026324037
50,0.034724019,0.032707318
51,0.013056524,0.023701436
52,0.024835438,0.020845365
53,0.048212364,0.018178094
54,0.003251978,0.023955848
55,0.010749791,0.024119085
56,0.006099628,0.020467939
57,0.025291111,0.028367228
58,0.020311764,0.031008341
59,0.008314908,0.02719967
60,0.003236056,0.021555978
61,0.014966166,0.022765925
62,0.010826466,0.028065703
63,0.01853832,0.018988826
64,0.007906294,0.015313725
65,0.00117735,0.015941861
66,0.017141709,0.017901878
67,0.00041548,0.014604691
68,0.00837527,0.012413779
69,0.005198794,0.068451389
70,0.002494959,0.068598931
71,0.005113354,0.047446213
72,0.000549101,0.03977278
73,0.001835921,0.037785635
74,0.001588898,0.038217777
75,0.002321674,0.039714717
76,0.000950611,0.041698376
77,0.000234211,0.044124481
78,0.000538288,0.046365912
79,0.000665349,0.046715479
80,0.000260145,0.0471212
81,0.000166912,0.047899664
82,0.000257891,0.048210559
83,0.001046805,0.047842138
84,0.000163856,0.047618037
85,0.000154679,0.047506872
86,0.000130229,0.04742507
87,0.00016507,0.047294967
88,0.000296576,0.047374601
89,0.000113151,0.047685454
90,4.81702E-05,0.04822187
91,5.37041E-05,0.04846079
92,0.000285001,0.048779984
93,0.00019569,0.049115475
94,4.4398E-05,0.049258879
95,4.99188E-05,0.04934155
96,6.50524E-05,0.049259591
97,5.84524E-05,0.049190718
98,9.73187E-05,0.049153356
99,2.14428E-05,0.049153356
