2024/7/2 	 20:55:47 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.911960
	0.002000	-0.915183
	0.004000	-0.957087
	0.006000	-1.031224
	0.008000	-1.105361
	0.010000	-1.153712
	0.012000	-1.156935
	0.014000	-1.111808
	0.016000	-1.034447
	0.018000	-0.957087
	0.020000	-0.911960
	0.022000	-0.915183
	0.024000	-0.957087
	0.026000	-1.034447
	0.028000	-1.115031
	0.030000	-1.163382
	0.032000	-1.160158
	0.034000	-1.108585
	0.036000	-1.031224
	0.038000	-0.957087
	0.040000	-0.915183
	0.042000	-0.908736
	0.044000	-0.963534
	0.046000	-1.037671
	0.048000	-1.111808
	0.050000	-1.150488
	0.052000	-1.156935
	0.054000	-1.108585
	0.056000	-1.037671
	0.058000	-0.957087
	0.060000	-0.915183
	0.062000	-0.915183
	0.064000	-0.960310
	0.066000	-1.037671
	0.068000	-1.108585
	0.070000	-1.163382
	0.072000	-1.160158
	0.074000	-1.111808
	0.076000	-1.034447
	0.078000	-0.960310
	0.080000	-0.905513
	0.082000	-0.911960
	0.084000	-0.957087
	0.086000	-1.031224
	0.088000	-1.118255
	0.090000	-1.160158
	0.092000	-1.160158
	0.094000	-1.111808
	0.096000	-1.034447
	0.098000	-0.957087
	0.100000	-0.915183
	0.102000	-0.911960
	0.104000	-0.953863
	0.106000	-1.034447
	0.108000	-1.108585
	0.110000	-1.156935
	0.112000	-1.153712
	0.114000	-1.108585
	0.116000	-1.034447
	0.118000	-0.957087
	0.120000	-0.915183
	0.122000	-0.911960
	0.124000	-0.960310
	0.126000	-1.031224
	0.128000	-1.115031
	0.130000	-1.156935
	0.132000	-1.163382
	0.134000	-1.108585
	0.136000	-1.034447
	0.138000	-0.966757
	0.140000	-0.918407
	0.142000	-0.911960
	0.144000	-0.960310
	0.146000	-1.028001
	0.148000	-1.108585
	0.150000	-1.156935
	0.152000	-1.156935
	0.154000	-1.111808
	0.156000	-1.037671
	0.158000	-0.960310
	0.160000	-0.918407
	0.162000	-0.915183
	0.164000	-0.960310
	0.166000	-1.031224
	0.168000	-1.105361
	0.170000	-1.160158
	0.172000	-1.160158
	0.174000	-1.111808
	0.176000	-1.040894
	0.178000	-0.960310
	0.180000	-0.915183
	0.182000	-0.915183
	0.184000	-0.960310
	0.186000	-1.037671
	0.188000	-1.108585
	0.190000	-1.156935
	0.192000	-1.156935
	0.194000	-1.115031
	0.196000	-1.040894
	0.198000	-0.963534
	0.200000	-0.918407
	0.202000	-0.915183
	0.204000	-0.963534
	0.206000	-1.037671
	0.208000	-1.108585
	0.210000	-1.166605
	0.212000	-1.163382
	0.214000	-1.115031
	0.216000	-1.044118
	0.218000	-0.966757
	0.220000	-0.921630
	0.222000	-0.915183
	0.224000	-0.960310
	0.226000	-1.028001
	0.228000	-1.115031
	0.230000	-1.156935
	0.232000	-1.160158
	0.234000	-1.121478
	0.236000	-1.040894
	0.238000	-0.963534
	0.240000	-0.918407
	0.242000	-0.911960
	0.244000	-0.960310
	0.246000	-1.031224
	0.248000	-1.121478
	0.250000	-1.156935
	0.252000	-1.163382
	0.254000	-1.115031
	0.256000	-1.040894
	0.258000	-0.966757
	0.260000	-0.918407
	0.262000	-0.911960
	0.264000	-0.960310
	0.266000	-1.031224
	0.268000	-1.108585
	0.270000	-1.163382
	0.272000	-1.160158
	0.274000	-1.115031
	0.276000	-1.047341
	0.278000	-0.966757
	0.280000	-0.918407
	0.282000	-0.915183
	0.284000	-0.960310
	0.286000	-1.031224
	0.288000	-1.108585
	0.290000	-1.156935
	0.292000	-1.160158
	0.294000	-1.118255
