2024/7/2 	 21:00:49 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.372900
	0.002000	-1.463154
	0.004000	-1.527621
	0.006000	-1.524398
	0.008000	-1.466378
	0.010000	-1.379347
	0.012000	-1.279423
	0.014000	-1.227849
	0.016000	-1.224626
	0.018000	-1.285869
	0.020000	-1.372900
	0.022000	-1.466378
	0.024000	-1.521175
	0.026000	-1.530845
	0.028000	-1.463154
	0.030000	-1.372900
	0.032000	-1.272976
	0.034000	-1.227849
	0.036000	-1.227849
	0.038000	-1.282646
	0.040000	-1.372900
	0.042000	-1.463154
	0.044000	-1.517951
	0.046000	-1.517951
	0.048000	-1.463154
	0.050000	-1.372900
	0.052000	-1.282646
	0.054000	-1.221402
	0.056000	-1.224626
	0.058000	-1.279423
	0.060000	-1.372900
	0.062000	-1.463154
	0.064000	-1.524398
	0.066000	-1.514728
	0.068000	-1.463154
	0.070000	-1.366453
	0.072000	-1.272976
	0.074000	-1.218179
	0.076000	-1.231072
	0.078000	-1.279423
	0.080000	-1.372900
	0.082000	-1.463154
	0.084000	-1.517951
	0.086000	-1.514728
	0.088000	-1.459931
	0.090000	-1.366453
	0.092000	-1.276199
	0.094000	-1.224626
	0.096000	-1.221402
	0.098000	-1.279423
	0.100000	-1.372900
	0.102000	-1.456707
	0.104000	-1.521175
	0.106000	-1.514728
	0.108000	-1.453484
	0.110000	-1.363230
	0.112000	-1.272976
	0.114000	-1.218179
	0.116000	-1.218179
	0.118000	-1.276199
	0.120000	-1.369677
	0.122000	-1.459931
	0.124000	-1.521175
	0.126000	-1.508281
	0.128000	-1.456707
	0.130000	-1.363230
	0.132000	-1.266529
	0.134000	-1.218179
	0.136000	-1.218179
	0.138000	-1.272976
	0.140000	-1.372900
	0.142000	-1.456707
	0.144000	-1.511505
	0.146000	-1.508281
	0.148000	-1.453484
	0.150000	-1.360007
	0.152000	-1.266529
	0.154000	-1.221402
