2024/7/2 	 21:09:57 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.630769
	0.002000	-1.640439
	0.004000	-1.598535
	0.006000	-1.514728
	0.008000	-1.427697
	0.010000	-1.356783
	0.012000	-1.340667
	0.014000	-1.385794
	0.016000	-1.466378
	0.018000	-1.559855
	0.020000	-1.630769
	0.022000	-1.643662
	0.024000	-1.598535
	0.026000	-1.517951
	0.028000	-1.424474
	0.030000	-1.360007
	0.032000	-1.343890
	0.034000	-1.382570
	0.036000	-1.469601
	0.038000	-1.563078
	0.040000	-1.637216
	0.042000	-1.643662
	0.044000	-1.601759
	0.046000	-1.511505
	0.048000	-1.421251
	0.050000	-1.356783
	0.052000	-1.340667
	0.054000	-1.385794
	0.056000	-1.472824
	0.058000	-1.563078
	0.060000	-1.627546
	0.062000	-1.646886
	0.064000	-1.598535
	0.066000	-1.517951
	0.068000	-1.427697
	0.070000	-1.360007
	0.072000	-1.347113
	0.074000	-1.389017
	0.076000	-1.466378
	0.078000	-1.563078
	0.080000	-1.633992
	0.082000	-1.643662
	0.084000	-1.604982
	0.086000	-1.514728
	0.088000	-1.427697
	0.090000	-1.360007
	0.092000	-1.343890
	0.094000	-1.389017
	0.096000	-1.472824
	0.098000	-1.563078
	0.100000	-1.637216
	0.102000	-1.643662
	0.104000	-1.601759
	0.106000	-1.521175
	0.108000	-1.427697
	0.110000	-1.356783
	0.112000	-1.350337
	0.114000	-1.389017
	0.116000	-1.476048
	0.118000	-1.569525
	0.120000	-1.637216
	0.122000	-1.653332
	0.124000	-1.608205
	0.126000	-1.524398
	0.128000	-1.430921
	0.130000	-1.366453
	0.132000	-1.353560
	0.134000	-1.395464
	0.136000	-1.482494
	0.138000	-1.579195
	0.140000	-1.646886
	0.142000	-1.656556
	0.144000	-1.608205
	0.146000	-1.524398
	0.148000	-1.430921
	0.150000	-1.363230
	0.152000	-1.363230
	0.154000	-1.405134
	0.156000	-1.492164
	0.158000	-1.579195
	0.160000	-1.646886
	0.162000	-1.653332
	0.164000	-1.611429
	0.166000	-1.534068
	0.168000	-1.437367
	0.170000	-1.376124
	0.172000	-1.369677
	0.174000	-1.408357
	0.176000	-1.485718
	0.178000	-1.585642
	0.180000	-1.656556
	0.182000	-1.663002
	0.184000	-1.614652
	0.186000	-1.534068
	0.188000	-1.443814
	0.190000	-1.379347
	0.192000	-1.372900
	0.194000	-1.414804
	0.196000	-1.492164
	0.198000	-1.592089
	0.200000	-1.663002
	0.202000	-1.669449
	0.204000	-1.624322
	0.206000	-1.534068
	0.208000	-1.447037
	0.210000	-1.379347
	0.212000	-1.366453
	0.214000	-1.418027
	0.216000	-1.505058
	0.218000	-1.592089
	0.220000	-1.659779
	0.222000	-1.669449
	0.224000	-1.617875
	0.226000	-1.537291
	0.228000	-1.447037
	0.230000	-1.379347
	0.232000	-1.369677
	0.234000	-1.414804
	0.236000	-1.505058
	0.238000	-1.592089
	0.240000	-1.656556
	0.242000	-1.666226
	0.244000	-1.621099
	0.246000	-1.540515
	0.248000	-1.440591
	0.250000	-1.379347
	0.252000	-1.372900
	0.254000	-1.418027
	0.256000	-1.498611
	0.258000	-1.595312
	0.260000	-1.663002
	0.262000	-1.675896
	0.264000	-1.624322
	0.266000	-1.530845
	0.268000	-1.440591
	0.270000	-1.382570
