2024/7/2 	 21:11:54 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.424474
	0.002000	-1.430921
	0.004000	-1.392240
	0.006000	-1.295540
	0.008000	-1.195615
	0.010000	-1.121478
	0.012000	-1.105361
	0.014000	-1.156935
	0.016000	-1.247189
	0.018000	-1.343890
	0.020000	-1.424474
	0.022000	-1.437367
	0.024000	-1.385794
	0.026000	-1.292316
	0.028000	-1.195615
	0.030000	-1.118255
	0.032000	-1.102138
	0.034000	-1.144042
	0.036000	-1.240742
	0.038000	-1.343890
	0.040000	-1.421251
	0.042000	-1.430921
	0.044000	-1.379347
	0.046000	-1.282646
	0.048000	-1.182722
	0.050000	-1.111808
	0.052000	-1.098915
	0.054000	-1.150488
	0.056000	-1.237519
	0.058000	-1.337443
	0.060000	-1.414804
	0.062000	-1.427697
	0.064000	-1.379347
	0.066000	-1.285869
	0.068000	-1.185945
	0.070000	-1.108585
	0.072000	-1.095691
	0.074000	-1.140818
	0.076000	-1.234296
	0.078000	-1.334220
	0.080000	-1.411580
	0.082000	-1.427697
	0.084000	-1.376124
	0.086000	-1.279423
	0.088000	-1.179499
	0.090000	-1.105361
	0.092000	-1.089245
	0.094000	-1.144042
	0.096000	-1.237519
	0.098000	-1.334220
	0.100000	-1.414804
	0.102000	-1.421251
	0.104000	-1.372900
	0.106000	-1.272976
	0.108000	-1.173052
	0.110000	-1.102138
	0.112000	-1.086021
	0.114000	-1.140818
	0.116000	-1.231072
	0.118000	-1.330996
	0.120000	-1.405134
	0.122000	-1.421251
	0.124000	-1.369677
	0.126000	-1.269753
	0.128000	-1.179499
	0.130000	-1.102138
	0.132000	-1.086021
	0.134000	-1.137595
	0.136000	-1.231072
	0.138000	-1.330996
	0.140000	-1.398687
	0.142000	-1.421251
	0.144000	-1.366453
	0.146000	-1.269753
	0.148000	-1.169829
	0.150000	-1.098915
	0.152000	-1.089245
	0.154000	-1.134372
	0.156000	-1.231072
	0.158000	-1.327773
	0.160000	-1.401910
	0.162000	-1.411580
	0.164000	-1.369677
	0.166000	-1.266529
	0.168000	-1.169829
	0.170000	-1.098915
	0.172000	-1.079574
	0.174000	-1.131148
	0.176000	-1.221402
	0.178000	-1.324550
	0.180000	-1.398687
	0.182000	-1.418027
	0.184000	-1.363230
	0.186000	-1.269753
