2024/7/3 	 21:07:50 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.856404
	0.002000	-1.907978
	0.004000	-1.895084
	0.006000	-1.827394
	0.008000	-1.733916
	0.010000	-1.640439
	0.012000	-1.592089
	0.014000	-1.604982
	0.016000	-1.666226
	0.018000	-1.762927
	0.020000	-1.862851
	0.022000	-1.914424
	0.024000	-1.898308
	0.026000	-1.827394
	0.028000	-1.737140
	0.030000	-1.640439
	0.032000	-1.595312
	0.034000	-1.601759
	0.036000	-1.669449
	0.038000	-1.772597
	0.040000	-1.859627
	0.042000	-1.914424
	0.044000	-1.898308
	0.046000	-1.833840
	0.048000	-1.730693
	0.050000	-1.650109
	0.052000	-1.595312
	0.054000	-1.604982
	0.056000	-1.675896
	0.058000	-1.766150
	0.060000	-1.862851
	0.062000	-1.917648
	0.064000	-1.895084
	0.066000	-1.833840
	0.068000	-1.743586
	0.070000	-1.646886
	0.072000	-1.601759
	0.074000	-1.604982
	0.076000	-1.679119
	0.078000	-1.775820
	0.080000	-1.869297
	0.082000	-1.917648
	0.084000	-1.904754
	0.086000	-1.840287
	0.088000	-1.740363
	0.090000	-1.650109
	0.092000	-1.601759
	0.094000	-1.614652
	0.096000	-1.685566
	0.098000	-1.775820
	0.100000	-1.872521
	0.102000	-1.920871
	0.104000	-1.907978
	0.106000	-1.837064
	0.108000	-1.746810
	0.110000	-1.656556
	0.112000	-1.601759
	0.114000	-1.621099
	0.116000	-1.679119
	0.118000	-1.782267
	0.120000	-1.882191
	0.122000	-1.920871
	0.124000	-1.914424
	0.126000	-1.837064
	0.128000	-1.743586
	0.130000	-1.650109
	0.132000	-1.604982
	0.134000	-1.614652
	0.136000	-1.685566
	0.138000	-1.788713
	0.140000	-1.878968
	0.142000	-1.927318
	0.144000	-1.911201
	0.146000	-1.843511
	0.148000	-1.756480
	0.150000	-1.659779
	0.152000	-1.604982
	0.154000	-1.617875
	0.156000	-1.688789
	0.158000	-1.791937
	0.160000	-1.878968
	0.162000	-1.924095
	0.164000	-1.907978
	0.166000	-1.840287
	0.168000	-1.746810
	0.170000	-1.659779
	0.172000	-1.611429
	0.174000	-1.621099
	0.176000	-1.695236
	0.178000	-1.795160
	0.180000	-1.882191
	0.182000	-1.927318
	0.184000	-1.917648
	0.186000	-1.849957
	0.188000	-1.750033
	0.190000	-1.656556
	0.192000	-1.611429
	0.194000	-1.627546
	0.196000	-1.695236
	0.198000	-1.788713
	0.200000	-1.882191
	0.202000	-1.930541
	0.204000	-1.920871
	0.206000	-1.843511
	0.208000	-1.756480
	0.210000	-1.659779
	0.212000	-1.608205
	0.214000	-1.627546
	0.216000	-1.701683
	0.218000	-1.795160
	0.220000	-1.888638
	0.222000	-1.930541
	0.224000	-1.917648
	0.226000	-1.846734
	0.228000	-1.746810
	0.230000	-1.659779
	0.232000	-1.617875
	0.234000	-1.637216
	0.236000	-1.704906
	0.238000	-1.791937
	0.240000	-1.885414
	0.242000	-1.933765
	0.244000	-1.917648
	0.246000	-1.849957
	0.248000	-1.753257
	0.250000	-1.663002
	0.252000	-1.614652
	0.254000	-1.630769
	0.256000	-1.698459
	0.258000	-1.808054
	0.260000	-1.895084
	0.262000	-1.936988
	0.264000	-1.920871
	0.266000	-1.843511
	0.268000	-1.756480
	0.270000	-1.659779
	0.272000	-1.621099
	0.274000	-1.630769
	0.276000	-1.708129
	0.278000	-1.801607
	0.280000	-1.898308
	0.282000	-1.930541
	0.284000	-1.914424
	0.286000	-1.853181
	0.288000	-1.750033
	0.290000	-1.666226
	0.292000	-1.624322
	0.294000	-1.637216
	0.296000	-1.711353
	0.298000	-1.804830
	0.300000	-1.895084
	0.302000	-1.936988
	0.304000	-1.924095
	0.306000	-1.849957
	0.308000	-1.756480
	0.310000	-1.666226
	0.312000	-1.621099
	0.314000	-1.640439
	0.316000	-1.711353
	0.318000	-1.808054
	0.320000	-1.901531
	0.322000	-1.946658
	0.324000	-1.924095
	0.326000	-1.856404
	0.328000	-1.759703
	0.330000	-1.669449
	0.332000	-1.627546
	0.334000	-1.646886
	0.336000	-1.721023
	0.338000	-1.811277
	0.340000	-1.904754
	0.342000	-1.949881
	0.344000	-1.933765
	0.346000	-1.856404
	0.348000	-1.756480
	0.350000	-1.672673
	0.352000	-1.627546
	0.354000	-1.646886
	0.356000	-1.721023
	0.358000	-1.817724
	0.360000	-1.901531
	0.362000	-1.949881
	0.364000	-1.936988
	0.366000	-1.866074
	0.368000	-1.766150
	0.370000	-1.675896
	0.372000	-1.627546
	0.374000	-1.653332
	0.376000	-1.721023
	0.378000	-1.820947
	0.380000	-1.911201
	0.382000	-1.953105
	0.384000	-1.936988
	0.386000	-1.866074
	0.388000	-1.762927
	0.390000	-1.679119
	0.392000	-1.627546
	0.394000	-1.656556
	0.396000	-1.721023
	0.398000	-1.824170
	0.400000	-1.917648
	0.402000	-1.959551
	0.404000	-1.940211
	0.406000	-1.866074
	0.408000	-1.769373
	0.410000	-1.679119
	0.412000	-1.637216
	0.414000	-1.656556
	0.416000	-1.721023
	0.418000	-1.827394
	0.420000	-1.917648
	0.422000	-1.956328
	0.424000	-1.946658
	0.426000	-1.862851
