2024/7/4 	 20:29:08 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-3.119961
	0.002000	-3.210215
	0.004000	-3.297245
	0.006000	-3.345596
	0.008000	-3.335926
	0.010000	-3.261788
	0.012000	-3.171534
	0.014000	-3.078057
	0.016000	-3.039377
	0.018000	-3.049047
	0.020000	-3.116737
	0.022000	-3.213438
	0.024000	-3.290799
	0.026000	-3.345596
	0.028000	-3.326256
	0.030000	-3.258565
	0.032000	-3.168311
	0.034000	-3.084504
	0.036000	-3.032930
	0.038000	-3.045823
	0.040000	-3.113514
	0.042000	-3.210215
	0.044000	-3.300469
	0.046000	-3.345596
	0.048000	-3.326256
	0.050000	-3.268235
	0.052000	-3.171534
	0.054000	-3.081280
	0.056000	-3.029707
	0.058000	-3.052270
	0.060000	-3.110291
	0.062000	-3.200545
	0.064000	-3.294022
	0.066000	-3.339149
	0.068000	-3.326256
	0.070000	-3.265012
	0.072000	-3.165088
	0.074000	-3.074834
	0.076000	-3.032930
	0.078000	-3.045823
	0.080000	-3.113514
	0.082000	-3.203768
	0.084000	-3.297245
	0.086000	-3.348819
	0.088000	-3.319809
	0.090000	-3.258565
	0.092000	-3.165088
	0.094000	-3.081280
	0.096000	-3.029707
	0.098000	-3.042600
	0.100000	-3.110291
	0.102000	-3.203768
	0.104000	-3.290799
	0.106000	-3.339149
	0.108000	-3.323032
	0.110000	-3.255342
	0.112000	-3.165088
	0.114000	-3.078057
	0.116000	-3.032930
	0.118000	-3.039377
	0.120000	-3.107067
	0.122000	-3.203768
	0.124000	-3.294022
	0.126000	-3.335926
	0.128000	-3.323032
	0.130000	-3.248895
	0.132000	-3.168311
	0.134000	-3.081280
	0.136000	-3.032930
	0.138000	-3.042600
	0.140000	-3.107067
	0.142000	-3.197321
	0.144000	-3.287575
	0.146000	-3.345596
	0.148000	-3.319809
	0.150000	-3.252118
	0.152000	-3.165088
	0.154000	-3.078057
	0.156000	-3.029707
	0.158000	-3.045823
	0.160000	-3.107067
	0.162000	-3.206991
	0.164000	-3.287575
	0.166000	-3.332702
	0.168000	-3.319809
	0.170000	-3.255342
	0.172000	-3.158641
	0.174000	-3.074834
	0.176000	-3.029707
	0.178000	-3.042600
	0.180000	-3.107067
	0.182000	-3.203768
	0.184000	-3.290799
	0.186000	-3.335926
	0.188000	-3.316586
	0.190000	-3.255342
	0.192000	-3.161864
	0.194000	-3.078057
	0.196000	-3.023260
	0.198000	-3.039377
	0.200000	-3.103844
	0.202000	-3.203768
	0.204000	-3.287575
	0.206000	-3.329479
	0.208000	-3.319809
	0.210000	-3.248895
