2024/7/4 	 20:36:21 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-2.620340
	0.002000	-2.610670
	0.004000	-2.646127
	0.006000	-2.739604
	0.008000	-2.845975
	0.010000	-2.923336
	0.012000	-2.952346
	0.014000	-2.907219
	0.016000	-2.816965
	0.018000	-2.713817
	0.020000	-2.633233
	0.022000	-2.617117
	0.024000	-2.662244
	0.026000	-2.752498
	0.028000	-2.852422
	0.030000	-2.936229
	0.032000	-2.962016
	0.034000	-2.923336
	0.036000	-2.836305
	0.038000	-2.729934
	0.040000	-2.655797
	0.042000	-2.626787
	0.044000	-2.662244
	0.046000	-2.755721
	0.048000	-2.862092
	0.050000	-2.942676
	0.052000	-2.965239
	0.054000	-2.926559
	0.056000	-2.836305
	0.058000	-2.733158
	0.060000	-2.652574
	0.062000	-2.626787
	0.064000	-2.665467
	0.066000	-2.755721
	0.068000	-2.858869
	0.070000	-2.942676
	0.072000	-2.968463
	0.074000	-2.926559
	0.076000	-2.833082
	0.078000	-2.726711
	0.080000	-2.649350
	0.082000	-2.633233
	0.084000	-2.662244
	0.086000	-2.755721
	0.088000	-2.858869
	0.090000	-2.942676
	0.092000	-2.962016
	0.094000	-2.923336
	0.096000	-2.826635
	0.098000	-2.726711
	0.100000	-2.649350
	0.102000	-2.620340
	0.104000	-2.662244
	0.106000	-2.758944
	0.108000	-2.855645
	0.110000	-2.939453
	0.112000	-2.955569
	0.114000	-2.916889
	0.116000	-2.826635
	0.118000	-2.726711
	0.120000	-2.639680
	0.122000	-2.623563
	0.124000	-2.665467
	0.126000	-2.758944
	0.128000	-2.858869
	0.130000	-2.936229
	0.132000	-2.962016
	0.134000	-2.920112
	0.136000	-2.829858
	0.138000	-2.726711
	0.140000	-2.649350
	0.142000	-2.626787
	0.144000	-2.668690
	0.146000	-2.755721
	0.148000	-2.865315
	0.150000	-2.939453
	0.152000	-2.958793
	0.154000	-2.920112
	0.156000	-2.829858
	0.158000	-2.723488
	0.160000	-2.652574
	0.162000	-2.623563
	0.164000	-2.662244
	0.166000	-2.762168
	0.168000	-2.858869
	0.170000	-2.936229
	0.172000	-2.955569
	0.174000	-2.920112
	0.176000	-2.833082
	0.178000	-2.726711
	0.180000	-2.652574
	0.182000	-2.623563
	0.184000	-2.668690
	0.186000	-2.755721
	0.188000	-2.858869
	0.190000	-2.949123
	0.192000	-2.962016
	0.194000	-2.920112
	0.196000	-2.833082
	0.198000	-2.726711
	0.200000	-2.649350
	0.202000	-2.623563
	0.204000	-2.662244
	0.206000	-2.752498
	0.208000	-2.855645
	0.210000	-2.945899
	0.212000	-2.965239
	0.214000	-2.920112
	0.216000	-2.829858
	0.218000	-2.726711
	0.220000	-2.646127
	0.222000	-2.623563
	0.224000	-2.665467
	0.226000	-2.755721
	0.228000	-2.862092
	0.230000	-2.939453
	0.232000	-2.958793
	0.234000	-2.923336
	0.236000	-2.829858
	0.238000	-2.723488
	0.240000	-2.646127
	0.242000	-2.626787
	0.244000	-2.662244
	0.246000	-2.755721
	0.248000	-2.855645
	0.250000	-2.936229
	0.252000	-2.958793
	0.254000	-2.916889
	0.256000	-2.826635
	0.258000	-2.726711
	0.260000	-2.642904
