2024/7/2 	 20:12:43 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.899066
	0.002000	-0.895843
	0.004000	-0.837823
	0.006000	-0.744345
	0.008000	-0.657314
	0.010000	-0.605741
	0.012000	-0.605741
	0.014000	-0.666985
	0.016000	-0.754015
	0.018000	-0.844269
	0.020000	-0.902290
	0.022000	-0.899066
	0.024000	-0.831376
	0.026000	-0.750792
	0.028000	-0.657314
	0.030000	-0.605741
	0.032000	-0.605741
	0.034000	-0.657314
	0.036000	-0.754015
	0.038000	-0.844269
	0.040000	-0.902290
	0.042000	-0.895843
	0.044000	-0.837823
	0.046000	-0.744345
	0.048000	-0.650868
	0.050000	-0.605741
	0.052000	-0.608964
	0.054000	-0.660538
	0.056000	-0.757239
	0.058000	-0.844269
	0.060000	-0.892620
	0.062000	-0.899066
	0.064000	-0.831376
	0.066000	-0.747569
	0.068000	-0.654091
	0.070000	-0.599294
	0.072000	-0.605741
	0.074000	-0.654091
	0.076000	-0.750792
	0.078000	-0.837823
	0.080000	-0.889396
	0.082000	-0.889396
	0.084000	-0.834599
	0.086000	-0.744345
	0.088000	-0.650868
	0.090000	-0.596071
	0.092000	-0.599294
	0.094000	-0.657314
	0.096000	-0.750792
	0.098000	-0.837823
	0.100000	-0.892620
	0.102000	-0.889396
	0.104000	-0.824929
	0.106000	-0.741122
	0.108000	-0.650868
	0.110000	-0.592847
	0.112000	-0.592847
	0.114000	-0.657314
	0.116000	-0.747569
	0.118000	-0.834599
	0.120000	-0.889396
	0.122000	-0.889396
	0.124000	-0.824929
	0.126000	-0.731452
	0.128000	-0.650868
	0.130000	-0.596071
	0.132000	-0.596071
	0.134000	-0.650868
	0.136000	-0.744345
	0.138000	-0.834599
	0.140000	-0.889396
	0.142000	-0.886173
	0.144000	-0.834599
	0.146000	-0.734675
	0.148000	-0.644421
	0.150000	-0.592847
	0.152000	-0.592847
	0.154000	-0.650868
	0.156000	-0.741122
	0.158000	-0.834599
	0.160000	-0.889396
	0.162000	-0.882950
	0.164000	-0.828152
	0.166000	-0.744345
	0.168000	-0.650868
	0.170000	-0.589624
	0.172000	-0.589624
	0.174000	-0.650868
	0.176000	-0.737898
	0.178000	-0.831376
	0.180000	-0.879726
	0.182000	-0.882950
	0.184000	-0.824929
	0.186000	-0.741122
	0.188000	-0.644421
	0.190000	-0.589624
	0.192000	-0.592847
	0.194000	-0.647644
	0.196000	-0.734675
	0.198000	-0.828152
	0.200000	-0.886173
	0.202000	-0.876503
	0.204000	-0.828152
	0.206000	-0.731452
	0.208000	-0.650868
	0.210000	-0.589624
	0.212000	-0.596071
	0.214000	-0.644421
	0.216000	-0.731452
	0.218000	-0.821706
	0.220000	-0.879726
	0.222000	-0.876503
	0.224000	-0.818482
	0.226000	-0.737898
	0.228000	-0.637974
	0.230000	-0.583177
	0.232000	-0.589624
	0.234000	-0.644421
	0.236000	-0.731452
	0.238000	-0.821706
	0.240000	-0.879726
	0.242000	-0.873280
	0.244000	-0.831376
	0.246000	-0.731452
	0.248000	-0.641198
	0.250000	-0.586401
	0.252000	-0.583177
	0.254000	-0.641198
	0.256000	-0.731452
	0.258000	-0.824929
	0.260000	-0.879726
	0.262000	-0.873280
	0.264000	-0.821706
