2024/7/3 	 14:17:26 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.905513
	0.002000	-0.841046
	0.004000	-0.744345
	0.006000	-0.631528
	0.008000	-0.557390
	0.010000	-0.550944
	0.012000	-0.608964
	0.014000	-0.715335
	0.016000	-0.824929
	0.018000	-0.892620
	0.020000	-0.902290
	0.022000	-0.841046
	0.024000	-0.744345
	0.026000	-0.628304
	0.028000	-0.560614
	0.030000	-0.557390
	0.032000	-0.612187
	0.034000	-0.712112
	0.036000	-0.824929
	0.038000	-0.886173
	0.040000	-0.902290
	0.042000	-0.847493
	0.044000	-0.747569
	0.046000	-0.634751
	0.048000	-0.560614
	0.050000	-0.554167
	0.052000	-0.612187
	0.054000	-0.715335
	0.056000	-0.818482
	0.058000	-0.899066
	0.060000	-0.908736
	0.062000	-0.847493
	0.064000	-0.737898
	0.066000	-0.631528
	0.068000	-0.563837
	0.070000	-0.557390
	0.072000	-0.621858
	0.074000	-0.721782
	0.076000	-0.828152
	0.078000	-0.902290
	0.080000	-0.908736
	0.082000	-0.844269
	0.084000	-0.744345
	0.086000	-0.637974
	0.088000	-0.570284
	0.090000	-0.560614
	0.092000	-0.615411
	0.094000	-0.718558
	0.096000	-0.834599
	0.098000	-0.902290
	0.100000	-0.908736
	0.102000	-0.847493
	0.104000	-0.747569
	0.106000	-0.637974
	0.108000	-0.560614
	0.110000	-0.557390
	0.112000	-0.612187
	0.114000	-0.725005
	0.116000	-0.828152
	0.118000	-0.905513
	0.120000	-0.908736
	0.122000	-0.847493
	0.124000	-0.747569
	0.126000	-0.644421
	0.128000	-0.567060
	0.130000	-0.557390
	0.132000	-0.618634
	0.134000	-0.721782
	0.136000	-0.824929
	0.138000	-0.902290
	0.140000	-0.908736
	0.142000	-0.844269
	0.144000	-0.744345
	0.146000	-0.641198
	0.148000	-0.563837
	0.150000	-0.557390
	0.152000	-0.615411
	0.154000	-0.712112
	0.156000	-0.824929
	0.158000	-0.899066
	0.160000	-0.905513
	0.162000	-0.844269
	0.164000	-0.737898
	0.166000	-0.631528
	0.168000	-0.560614
	0.170000	-0.557390
	0.172000	-0.612187
	0.174000	-0.715335
	0.176000	-0.824929
	0.178000	-0.899066
	0.180000	-0.908736
	0.182000	-0.850716
	0.184000	-0.750792
