2024/7/3 	 14:22:42 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.318862
	0.002000	-0.396222
	0.004000	-0.499370
	0.006000	-0.589624
	0.008000	-0.625081
	0.010000	-0.605741
	0.012000	-0.531603
	0.014000	-0.431679
	0.016000	-0.344649
	0.018000	-0.299522
	0.020000	-0.325308
	0.022000	-0.399446
	0.024000	-0.502593
	0.026000	-0.583177
	0.028000	-0.625081
	0.030000	-0.605741
	0.032000	-0.528380
	0.034000	-0.431679
	0.036000	-0.347872
	0.038000	-0.299522
	0.040000	-0.322085
	0.042000	-0.402669
	0.044000	-0.499370
	0.046000	-0.589624
	0.048000	-0.621858
	0.050000	-0.605741
	0.052000	-0.528380
	0.054000	-0.428456
	0.056000	-0.341425
	0.058000	-0.302745
	0.060000	-0.318862
	0.062000	-0.396222
	0.064000	-0.499370
	0.066000	-0.589624
	0.068000	-0.625081
	0.070000	-0.599294
	0.072000	-0.528380
	0.074000	-0.425233
	0.076000	-0.334979
	0.078000	-0.302745
	0.080000	-0.315638
	0.082000	-0.392999
	0.084000	-0.496147
	0.086000	-0.586401
	0.088000	-0.628304
	0.090000	-0.599294
	0.092000	-0.528380
	0.094000	-0.425233
	0.096000	-0.338202
	0.098000	-0.299522
	0.100000	-0.315638
	0.102000	-0.399446
	0.104000	-0.499370
	0.106000	-0.583177
	0.108000	-0.621858
	0.110000	-0.599294
	0.112000	-0.525157
	0.114000	-0.418786
	0.116000	-0.334979
	0.118000	-0.296298
	0.120000	-0.318862
	0.122000	-0.396222
	0.124000	-0.492923
	0.126000	-0.583177
	0.128000	-0.621858
	0.130000	-0.602517
	0.132000	-0.518710
	0.134000	-0.422009
	0.136000	-0.331755
	0.138000	-0.293075
	0.140000	-0.322085
	0.142000	-0.392999
	0.144000	-0.492923
	0.146000	-0.583177
	0.148000	-0.621858
	0.150000	-0.596071
	0.152000	-0.521933
	0.154000	-0.418786
	0.156000	-0.328532
	0.158000	-0.286628
	0.160000	-0.312415
	0.162000	-0.396222
	0.164000	-0.499370
	0.166000	-0.589624
	0.168000	-0.625081
	0.170000	-0.599294
	0.172000	-0.521933
	0.174000	-0.422009
	0.176000	-0.328532
	0.178000	-0.293075
	0.180000	-0.312415
	0.182000	-0.399446
	0.184000	-0.489700
	0.186000	-0.586401
	0.188000	-0.625081
	0.190000	-0.602517
	0.192000	-0.521933
