2024/7/3 	 14:37:51 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.973204
	0.002000	-0.924853
	0.004000	-0.834599
	0.006000	-0.744345
	0.008000	-0.673431
	0.010000	-0.663761
	0.012000	-0.712112
	0.014000	-0.799142
	0.016000	-0.899066
	0.018000	-0.960310
	0.020000	-0.976427
	0.022000	-0.924853
	0.024000	-0.837823
	0.026000	-0.744345
	0.028000	-0.666985
	0.030000	-0.660538
	0.032000	-0.705665
	0.034000	-0.795919
	0.036000	-0.892620
	0.038000	-0.963534
	0.040000	-0.976427
	0.042000	-0.924853
	0.044000	-0.837823
	0.046000	-0.744345
	0.048000	-0.676655
	0.050000	-0.657314
	0.052000	-0.702441
	0.054000	-0.795919
	0.056000	-0.892620
	0.058000	-0.963534
	0.060000	-0.976427
	0.062000	-0.928077
	0.064000	-0.841046
	0.066000	-0.744345
	0.068000	-0.670208
	0.070000	-0.657314
	0.072000	-0.708888
	0.074000	-0.799142
	0.076000	-0.889396
	0.078000	-0.963534
	0.080000	-0.969980
	0.082000	-0.924853
	0.084000	-0.834599
	0.086000	-0.744345
	0.088000	-0.670208
	0.090000	-0.657314
	0.092000	-0.705665
	0.094000	-0.795919
	0.096000	-0.895843
	0.098000	-0.963534
	0.100000	-0.969980
	0.102000	-0.924853
	0.104000	-0.841046
	0.106000	-0.737898
	0.108000	-0.673431
	0.110000	-0.657314
	0.112000	-0.705665
	0.114000	-0.789472
	0.116000	-0.892620
	0.118000	-0.963534
	0.120000	-0.976427
	0.122000	-0.928077
	0.124000	-0.837823
	0.126000	-0.744345
	0.128000	-0.673431
	0.130000	-0.660538
	0.132000	-0.702441
	0.134000	-0.795919
	0.136000	-0.895843
	0.138000	-0.969980
	0.140000	-0.979650
	0.142000	-0.931300
	0.144000	-0.837823
	0.146000	-0.741122
	0.148000	-0.670208
	0.150000	-0.654091
	0.152000	-0.705665
	0.154000	-0.799142
	0.156000	-0.892620
	0.158000	-0.966757
	0.160000	-0.976427
	0.162000	-0.934523
	0.164000	-0.837823
	0.166000	-0.741122
	0.168000	-0.673431
	0.170000	-0.654091
	0.172000	-0.705665
	0.174000	-0.795919
	0.176000	-0.899066
	0.178000	-0.973204
	0.180000	-0.979650
	0.182000	-0.931300
	0.184000	-0.837823
	0.186000	-0.741122
	0.188000	-0.670208
	0.190000	-0.657314
	0.192000	-0.708888
	0.194000	-0.792696
	0.196000	-0.899066
	0.198000	-0.966757
	0.200000	-0.979650
	0.202000	-0.934523
	0.204000	-0.841046
	0.206000	-0.737898
	0.208000	-0.673431
	0.210000	-0.654091
	0.212000	-0.699218
	0.214000	-0.795919
	0.216000	-0.889396
	0.218000	-0.966757
	0.220000	-0.976427
	0.222000	-0.928077
	0.224000	-0.837823
	0.226000	-0.734675
	0.228000	-0.660538
	0.230000	-0.650868
	0.232000	-0.695995
	0.234000	-0.783025
	0.236000	-0.879726
	0.238000	-0.957087
