2024/7/3 	 17:46:27 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.943435
	0.002000	-1.998232
	0.004000	-2.033689
	0.006000	-2.049806
	0.008000	-2.030465
	0.010000	-1.985338
	0.012000	-1.933765
	0.014000	-1.895084
	0.016000	-1.888638
	0.018000	-1.904754
	0.020000	-1.949881
	0.022000	-1.991785
	0.024000	-2.030465
	0.026000	-2.053029
	0.028000	-2.030465
	0.030000	-1.991785
	0.032000	-1.936988
	0.034000	-1.895084
	0.036000	-1.888638
	0.038000	-1.901531
	0.040000	-1.943435
	0.042000	-2.001455
	0.044000	-2.036912
	0.046000	-2.049806
	0.048000	-2.030465
	0.050000	-1.991785
	0.052000	-1.943435
	0.054000	-1.901531
	0.056000	-1.891861
	0.058000	-1.911201
	0.060000	-1.940211
	0.062000	-1.995008
	0.064000	-2.036912
	0.066000	-2.053029
	0.068000	-2.030465
	0.070000	-1.991785
	0.072000	-1.936988
	0.074000	-1.904754
	0.076000	-1.885414
	0.078000	-1.901531
	0.080000	-1.943435
	0.082000	-1.991785
	0.084000	-2.036912
	0.086000	-2.049806
	0.088000	-2.027242
	0.090000	-1.988562
	0.092000	-1.943435
	0.094000	-1.901531
	0.096000	-1.882191
	0.098000	-1.901531
	0.100000	-1.949881
	0.102000	-1.995008
	0.104000	-2.036912
	0.106000	-2.049806
	0.108000	-2.033689
	0.110000	-1.995008
	0.112000	-1.936988
	0.114000	-1.898308
	0.116000	-1.891861
	0.118000	-1.901531
	0.120000	-1.953105
	0.122000	-1.998232
	0.124000	-2.030465
	0.126000	-2.053029
	0.128000	-2.036912
	0.130000	-1.985338
	0.132000	-1.940211
	0.134000	-1.898308
	0.136000	-1.888638
	0.138000	-1.907978
	0.140000	-1.949881
	0.142000	-1.998232
	0.144000	-2.033689
	0.146000	-2.049806
	0.148000	-2.040135
	0.150000	-1.991785
	0.152000	-1.943435
	0.154000	-1.898308
	0.156000	-1.891861
	0.158000	-1.907978
	0.160000	-1.949881
	0.162000	-1.998232
	0.164000	-2.043359
	0.166000	-2.056252
	0.168000	-2.036912
	0.170000	-1.995008
	0.172000	-1.940211
	0.174000	-1.907978
	0.176000	-1.891861
	0.178000	-1.904754
	0.180000	-1.949881
	0.182000	-2.001455
	0.184000	-2.040135
	0.186000	-2.053029
	0.188000	-2.033689
	0.190000	-1.995008
	0.192000	-1.943435
	0.194000	-1.907978
	0.196000	-1.895084
	0.198000	-1.907978
	0.200000	-1.946658
	0.202000	-2.001455
