2024/7/3 	 17:48:24 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-2.104603
	0.002000	-2.088486
	0.004000	-2.036912
	0.006000	-1.975668
	0.008000	-1.924095
	0.010000	-1.911201
	0.012000	-1.924095
	0.014000	-1.972445
	0.016000	-2.036912
	0.018000	-2.091709
	0.020000	-2.114273
	0.022000	-2.091709
	0.024000	-2.033689
	0.026000	-1.982115
	0.028000	-1.924095
	0.030000	-1.898308
	0.032000	-1.930541
	0.034000	-1.975668
	0.036000	-2.033689
	0.038000	-2.085262
	0.040000	-2.107826
	0.042000	-2.088486
	0.044000	-2.040135
	0.046000	-1.975668
	0.048000	-1.927318
	0.050000	-1.901531
	0.052000	-1.924095
	0.054000	-1.975668
	0.056000	-2.033689
	0.058000	-2.088486
	0.060000	-2.107826
	0.062000	-2.091709
	0.064000	-2.033689
	0.066000	-1.975668
	0.068000	-1.924095
	0.070000	-1.907978
	0.072000	-1.924095
	0.074000	-1.978892
	0.076000	-2.040135
	0.078000	-2.088486
	0.080000	-2.107826
	0.082000	-2.085262
	0.084000	-2.040135
	0.086000	-1.972445
	0.088000	-1.927318
	0.090000	-1.898308
	0.092000	-1.924095
	0.094000	-1.975668
	0.096000	-2.033689
	0.098000	-2.085262
	0.100000	-2.114273
	0.102000	-2.088486
	0.104000	-2.036912
	0.106000	-1.982115
	0.108000	-1.924095
	0.110000	-1.901531
	0.112000	-1.927318
	0.114000	-1.972445
	0.116000	-2.043359
	0.118000	-2.091709
	0.120000	-2.111049
	0.122000	-2.085262
	0.124000	-2.043359
	0.126000	-1.972445
	0.128000	-1.920871
	0.130000	-1.907978
	0.132000	-1.924095
	0.134000	-1.975668
	0.136000	-2.040135
	0.138000	-2.091709
	0.140000	-2.107826
	0.142000	-2.088486
	0.144000	-2.036912
	0.146000	-1.972445
	0.148000	-1.927318
	0.150000	-1.904754
	0.152000	-1.920871
	0.154000	-1.978892
	0.156000	-2.036912
	0.158000	-2.091709
	0.160000	-2.111049
	0.162000	-2.091709
	0.164000	-2.030465
	0.166000	-1.978892
	0.168000	-1.920871
	0.170000	-1.904754
	0.172000	-1.927318
	0.174000	-1.975668
	0.176000	-2.040135
	0.178000	-2.088486
	0.180000	-2.107826
	0.182000	-2.091709
	0.184000	-2.033689
	0.186000	-1.975668
	0.188000	-1.927318
	0.190000	-1.898308
	0.192000	-1.920871
	0.194000	-1.978892
	0.196000	-2.033689
	0.198000	-2.094933
	0.200000	-2.107826
	0.202000	-2.085262
	0.204000	-2.040135
	0.206000	-1.975668
	0.208000	-1.924095
	0.210000	-1.904754
	0.212000	-1.920871
	0.214000	-1.972445
	0.216000	-2.033689
	0.218000	-2.091709
	0.220000	-2.111049
	0.222000	-2.088486
	0.224000	-2.036912
	0.226000	-1.975668
	0.228000	-1.927318
	0.230000	-1.904754
	0.232000	-1.924095
	0.234000	-1.972445
	0.236000	-2.033689
	0.238000	-2.085262
	0.240000	-2.107826
	0.242000	-2.085262
	0.244000	-2.040135
	0.246000	-1.982115
	0.248000	-1.924095
	0.250000	-1.907978
	0.252000	-1.917648
	0.254000	-1.972445
	0.256000	-2.030465
	0.258000	-2.091709
	0.260000	-2.107826
	0.262000	-2.088486
	0.264000	-2.033689
	0.266000	-1.975668
	0.268000	-1.917648
	0.270000	-1.901531
	0.272000	-1.914424
	0.274000	-1.972445
	0.276000	-2.030465
	0.278000	-2.088486
	0.280000	-2.107826
	0.282000	-2.088486
	0.284000	-2.040135
	0.286000	-1.975668
	0.288000	-1.924095
	0.290000	-1.901531
	0.292000	-1.917648
	0.294000	-1.972445
	0.296000	-2.036912
	0.298000	-2.082039
	0.300000	-2.107826
	0.302000	-2.088486
	0.304000	-2.036912
	0.306000	-1.975668
	0.308000	-1.927318
	0.310000	-1.901531
	0.312000	-1.920871
	0.314000	-1.975668
	0.316000	-2.033689
	0.318000	-2.091709
	0.320000	-2.107826
	0.322000	-2.088486
	0.324000	-2.040135
	0.326000	-1.982115
	0.328000	-1.927318
	0.330000	-1.907978
	0.332000	-1.917648
	0.334000	-1.972445
	0.336000	-2.030465
	0.338000	-2.085262
	0.340000	-2.107826
	0.342000	-2.088486
	0.344000	-2.040135
	0.346000	-1.978892
	0.348000	-1.927318
	0.350000	-1.901531
	0.352000	-1.920871
	0.354000	-1.969222
	0.356000	-2.027242
	0.358000	-2.085262
	0.360000	-2.107826
	0.362000	-2.088486
	0.364000	-2.033689
	0.366000	-1.972445
	0.368000	-1.927318
	0.370000	-1.904754
	0.372000	-1.920871
	0.374000	-1.969222
	0.376000	-2.033689
	0.378000	-2.082039
	0.380000	-2.111049
	0.382000	-2.088486
	0.384000	-2.036912
	0.386000	-1.982115
	0.388000	-1.924095
	0.390000	-1.904754
	0.392000	-1.917648
	0.394000	-1.969222
	0.396000	-2.040135
	0.398000	-2.085262
	0.400000	-2.107826
	0.402000	-2.094933
	0.404000	-2.036912
	0.406000	-1.978892
	0.408000	-1.924095
	0.410000	-1.904754
	0.412000	-1.914424
	0.414000	-1.969222
	0.416000	-2.030465
	0.418000	-2.085262
	0.420000	-2.107826
	0.422000	-2.088486
	0.424000	-2.040135
	0.426000	-1.978892
	0.428000	-1.924095
	0.430000	-1.898308
	0.432000	-1.920871
	0.434000	-1.969222
	0.436000	-2.033689
	0.438000	-2.088486
	0.440000	-2.107826
	0.442000	-2.088486
	0.444000	-2.036912
	0.446000	-1.972445
	0.448000	-1.924095
	0.450000	-1.901531
	0.452000	-1.924095
	0.454000	-1.969222
	0.456000	-2.033689
	0.458000	-2.085262
	0.460000	-2.107826
	0.462000	-2.091709
	0.464000	-2.040135
	0.466000	-1.982115
	0.468000	-1.927318
	0.470000	-1.907978
	0.472000	-1.920871
	0.474000	-1.969222
	0.476000	-2.033689
	0.478000	-2.082039
	0.480000	-2.111049
	0.482000	-2.094933
	0.484000	-2.040135
	0.486000	-1.975668
	0.488000	-1.920871
	0.490000	-1.907978
	0.492000	-1.917648
	0.494000	-1.969222
	0.496000	-2.027242
	0.498000	-2.082039
	0.500000	-2.107826
	0.502000	-2.091709
	0.504000	-2.040135
	0.506000	-1.975668
	0.508000	-1.924095
	0.510000	-1.904754
	0.512000	-1.920871
	0.514000	-1.965998
	0.516000	-2.030465
	0.518000	-2.088486
	0.520000	-2.104603
	0.522000	-2.094933
	0.524000	-2.036912
	0.526000	-1.982115
	0.528000	-1.927318
	0.530000	-1.904754
	0.532000	-1.920871
	0.534000	-1.965998
	0.536000	-2.030465
	0.538000	-2.082039
	0.540000	-2.107826
	0.542000	-2.098156
	0.544000	-2.043359
	0.546000	-1.975668
	0.548000	-1.927318
	0.550000	-1.904754
	0.552000	-1.917648
	0.554000	-1.969222
	0.556000	-2.033689
	0.558000	-2.088486
	0.560000	-2.104603
	0.562000	-2.091709
	0.564000	-2.040135
	0.566000	-1.975668
	0.568000	-1.927318
	0.570000	-1.898308
	0.572000	-1.917648
	0.574000	-1.962775
	0.576000	-2.030465
	0.578000	-2.088486
	0.580000	-2.101379
	0.582000	-2.101379
	0.584000	-2.043359
	0.586000	-1.982115
	0.588000	-1.924095
	0.590000	-1.904754
	0.592000	-1.917648
	0.594000	-1.972445
	0.596000	-2.030465
	0.598000	-2.088486
	0.600000	-2.111049
	0.602000	-2.101379
	0.604000	-2.040135
	0.606000	-1.982115
	0.608000	-1.924095
	0.610000	-1.907978
	0.612000	-1.917648
	0.614000	-1.969222
	0.616000	-2.030465
	0.618000	-2.085262
	0.620000	-2.107826
	0.622000	-2.091709
	0.624000	-2.046582
	0.626000	-1.982115
	0.628000	-1.927318
	0.630000	-1.904754
	0.632000	-1.914424
	0.634000	-1.969222
	0.636000	-2.030465
	0.638000	-2.085262
	0.640000	-2.107826
	0.642000	-2.098156
	0.644000	-2.046582
	0.646000	-1.985338
	0.648000	-1.927318
	0.650000	-1.907978
	0.652000	-1.920871
	0.654000	-1.965998
	0.656000	-2.027242
	0.658000	-2.091709
	0.660000	-2.111049
	0.662000	-2.091709
	0.664000	-2.040135
	0.666000	-1.978892
	0.668000	-1.930541
	0.670000	-1.901531
	0.672000	-1.917648
	0.674000	-1.965998
	0.676000	-2.024019
	0.678000	-2.085262
	0.680000	-2.104603
	0.682000	-2.085262
	0.684000	-2.036912
	0.686000	-1.985338
	0.688000	-1.930541
	0.690000	-1.907978
	0.692000	-1.914424
	0.694000	-1.969222
	0.696000	-2.027242
	0.698000	-2.088486
	0.700000	-2.107826
	0.702000	-2.091709
	0.704000	-2.046582
	0.706000	-1.982115
	0.708000	-1.927318
	0.710000	-1.901531
	0.712000	-1.914424
	0.714000	-1.959551
	0.716000	-2.030465
	0.718000	-2.085262
	0.720000	-2.107826
	0.722000	-2.088486
	0.724000	-2.046582
	0.726000	-1.975668
	0.728000	-1.936988
	0.730000	-1.907978
	0.732000	-1.917648
	0.734000	-1.965998
	0.736000	-2.033689
	0.738000	-2.082039
	0.740000	-2.104603
	0.742000	-2.098156
	0.744000	-2.043359
	0.746000	-1.982115
	0.748000	-1.927318
	0.750000	-1.901531
	0.752000	-1.920871
	0.754000	-1.965998
	0.756000	-2.030465
	0.758000	-2.088486
	0.760000	-2.107826
	0.762000	-2.094933
	0.764000	-2.036912
	0.766000	-1.985338
	0.768000	-1.927318
	0.770000	-1.898308
	0.772000	-1.914424
	0.774000	-1.972445
	0.776000	-2.030465
	0.778000	-2.085262
	0.780000	-2.107826
	0.782000	-2.094933
	0.784000	-2.046582
	0.786000	-1.985338
	0.788000	-1.933765
	0.790000	-1.901531
	0.792000	-1.914424
	0.794000	-1.965998
	0.796000	-2.027242
	0.798000	-2.085262
	0.800000	-2.104603
	0.802000	-2.091709
	0.804000	-2.036912
	0.806000	-1.982115
	0.808000	-1.930541
	0.810000	-1.904754
	0.812000	-1.914424
	0.814000	-1.962775
	0.816000	-2.020795
	0.818000	-2.085262
	0.820000	-2.104603
	0.822000	-2.094933
	0.824000	-2.043359
	0.826000	-1.985338
	0.828000	-1.927318
	0.830000	-1.901531
	0.832000	-1.917648
	0.834000	-1.965998
	0.836000	-2.027242
	0.838000	-2.085262
	0.840000	-2.107826
	0.842000	-2.091709
	0.844000	-2.043359
	0.846000	-1.988562
	0.848000	-1.930541
	0.850000	-1.901531
	0.852000	-1.911201
	0.854000	-1.962775
	0.856000	-2.024019
	0.858000	-2.082039
	0.860000	-2.107826
	0.862000	-2.091709
	0.864000	-2.043359
	0.866000	-1.985338
	0.868000	-1.930541
	0.870000	-1.901531
	0.872000	-1.914424
	0.874000	-1.959551
	0.876000	-2.020795
	0.878000	-2.082039
	0.880000	-2.107826
	0.882000	-2.091709
	0.884000	-2.040135
	0.886000	-1.985338
	0.888000	-1.927318
	0.890000	-1.901531
	0.892000	-1.917648
	0.894000	-1.959551
	0.896000	-2.020795
	0.898000	-2.085262
	0.900000	-2.104603
	0.902000	-2.091709
	0.904000	-2.040135
	0.906000	-1.982115
	0.908000	-1.930541
	0.910000	-1.904754
	0.912000	-1.914424
	0.914000	-1.962775
	0.916000	-2.020795
	0.918000	-2.082039
	0.920000	-2.107826
	0.922000	-2.094933
	0.924000	-2.040135
	0.926000	-1.985338
	0.928000	-1.930541
	0.930000	-1.904754
	0.932000	-1.917648
	0.934000	-1.959551
	0.936000	-2.030465
	0.938000	-2.088486
	0.940000	-2.111049
	0.942000	-2.091709
	0.944000	-2.043359
	0.946000	-1.985338
	0.948000	-1.927318
	0.950000	-1.904754
	0.952000	-1.917648
	0.954000	-1.969222
	0.956000	-2.027242
	0.958000	-2.082039
	0.960000	-2.107826
	0.962000	-2.101379
	0.964000	-2.053029
	0.966000	-1.988562
	0.968000	-1.936988
	0.970000	-1.901531
	0.972000	-1.917648
	0.974000	-1.962775
	0.976000	-2.024019
	0.978000	-2.082039
	0.980000	-2.114273
	0.982000	-2.091709
	0.984000	-2.053029
	0.986000	-1.991785
	0.988000	-1.936988
	0.990000	-1.907978
	0.992000	-1.920871
	0.994000	-1.965998
	0.996000	-2.033689
	0.998000	-2.085262
	1.000000	-2.111049
	1.002000	-2.098156
	1.004000	-2.049806
	1.006000	-1.991785
	1.008000	-1.933765
	1.010000	-1.911201
	1.012000	-1.924095
	1.014000	-1.972445
	1.016000	-2.036912
	1.018000	-2.085262
	1.020000	-2.114273
	1.022000	-2.104603
	1.024000	-2.049806
	1.026000	-1.991785
	1.028000	-1.933765
	1.030000	-1.907978
	1.032000	-1.924095
	1.034000	-1.972445
	1.036000	-2.027242
	1.038000	-2.082039
	1.040000	-2.111049
	1.042000	-2.101379
	1.044000	-2.053029
	1.046000	-1.995008
	1.048000	-1.936988
	1.050000	-1.911201
	1.052000	-1.927318
	1.054000	-1.965998
	1.056000	-2.030465
	1.058000	-2.085262
	1.060000	-2.107826
	1.062000	-2.098156
	1.064000	-2.056252
	1.066000	-1.998232
	1.068000	-1.943435
	1.070000	-1.917648
	1.072000	-1.930541
	1.074000	-1.978892
	1.076000	-2.033689
	1.078000	-2.082039
	1.080000	-2.117496
	1.082000	-2.101379
	1.084000	-2.059476
	1.086000	-2.004679
	1.088000	-1.949881
	1.090000	-1.917648
	1.092000	-1.930541
	1.094000	-1.972445
	1.096000	-2.030465
	1.098000	-2.094933
	1.100000	-2.114273
	1.102000	-2.104603
	1.104000	-2.059476
	1.106000	-2.007902
	1.108000	-1.956328
	1.110000	-1.927318
	1.112000	-1.940211
	1.114000	-1.975668
	1.116000	-2.036912
	1.118000	-2.088486
	1.120000	-2.117496
	1.122000	-2.104603
	1.124000	-2.059476
	1.126000	-2.011125
	1.128000	-1.956328
	1.130000	-1.930541
	1.132000	-1.940211
	1.134000	-1.985338
	1.136000	-2.036912
	1.138000	-2.094933
	1.140000	-2.117496
	1.142000	-2.101379
	1.144000	-2.062699
	1.146000	-2.011125
	1.148000	-1.959551
	1.150000	-1.940211
	1.152000	-1.949881
	1.154000	-1.988562
	1.156000	-2.036912
	1.158000	-2.091709
	1.160000	-2.117496
	1.162000	-2.104603
	1.164000	-2.065922
	1.166000	-2.014349
	1.168000	-1.969222
	1.170000	-1.946658
	1.172000	-1.946658
	1.174000	-1.985338
	1.176000	-2.043359
	1.178000	-2.094933
	1.180000	-2.120719
	1.182000	-2.114273
	1.184000	-2.075592
	1.186000	-2.014349
	1.188000	-1.972445
	1.190000	-1.943435
	1.192000	-1.953105
	1.194000	-1.995008
	1.196000	-2.049806
	1.198000	-2.091709
	1.200000	-2.123943
	1.202000	-2.111049
	1.204000	-2.078816
	1.206000	-2.024019
	1.208000	-1.978892
	1.210000	-1.940211
	1.212000	-1.953105
	1.214000	-1.991785
	1.216000	-2.046582
	1.218000	-2.098156
	1.220000	-2.123943
	1.222000	-2.111049
	1.224000	-2.075592
	1.226000	-2.024019
	1.228000	-1.972445
	1.230000	-1.953105
	1.232000	-1.959551
	1.234000	-1.998232
	1.236000	-2.049806
	1.238000	-2.104603
	1.240000	-2.127166
	1.242000	-2.114273
	1.244000	-2.075592
	1.246000	-2.030465
	1.248000	-1.978892
	1.250000	-1.959551
	1.252000	-1.969222
	1.254000	-2.004679
	1.256000	-2.053029
	1.258000	-2.107826
	1.260000	-2.123943
	1.262000	-2.123943
	1.264000	-2.082039
	1.266000	-2.030465
	1.268000	-1.988562
	1.270000	-1.965998
	1.272000	-1.965998
	1.274000	-2.004679
	1.276000	-2.056252
	1.278000	-2.104603
	1.280000	-2.133613
	1.282000	-2.120719
	1.284000	-2.088486
	1.286000	-2.033689
	1.288000	-1.985338
	1.290000	-1.962775
	1.292000	-1.969222
	1.294000	-2.001455
	1.296000	-2.053029
	1.298000	-2.104603
	1.300000	-2.133613
	1.302000	-2.127166
	1.304000	-2.088486
	1.306000	-2.033689
	1.308000	-1.985338
	1.310000	-1.959551
	1.312000	-1.969222
	1.314000	-2.007902
	1.316000	-2.056252
	1.318000	-2.104603
	1.320000	-2.133613
	1.322000	-2.123943
	1.324000	-2.088486
	1.326000	-2.036912
	1.328000	-1.991785
	1.330000	-1.969222
	1.332000	-1.978892
	1.334000	-2.011125
	1.336000	-2.062699
	1.338000	-2.107826
	1.340000	-2.130390
	1.342000	-2.133613
	1.344000	-2.091709
	1.346000	-2.040135
	1.348000	-1.991785
	1.350000	-1.969222
	1.352000	-1.975668
	1.354000	-2.014349
	1.356000	-2.062699
	1.358000	-2.111049
	1.360000	-2.136836
	1.362000	-2.127166
	1.364000	-2.094933
	1.366000	-2.040135
	1.368000	-1.998232
	1.370000	-1.969222
	1.372000	-1.978892
	1.374000	-2.007902
	1.376000	-2.062699
	1.378000	-2.114273
	1.380000	-2.136836
	1.382000	-2.133613
	1.384000	-2.088486
	1.386000	-2.043359
	1.388000	-1.995008
	1.390000	-1.972445
	1.392000	-1.978892
	1.394000	-2.011125
	1.396000	-2.062699
	1.398000	-2.114273
	1.400000	-2.140060
	1.402000	-2.133613
	1.404000	-2.094933
	1.406000	-2.049806
	1.408000	-1.998232
	1.410000	-1.982115
	1.412000	-1.982115
	1.414000	-2.011125
	1.416000	-2.062699
	1.418000	-2.114273
	1.420000	-2.140060
	1.422000	-2.133613
	1.424000	-2.098156
	1.426000	-2.049806
	1.428000	-2.001455
	1.430000	-1.975668
	1.432000	-1.978892
	1.434000	-2.011125
	1.436000	-2.062699
	1.438000	-2.117496
	1.440000	-2.140060
	1.442000	-2.130390
	1.444000	-2.091709
	1.446000	-2.046582
	1.448000	-1.998232
	1.450000	-1.982115
	1.452000	-1.982115
	1.454000	-2.011125
	1.456000	-2.065922
	1.458000	-2.120719
	1.460000	-2.146506
	1.462000	-2.136836
	1.464000	-2.094933
	1.466000	-2.053029
	1.468000	-2.007902
	1.470000	-1.978892
	1.472000	-1.978892
	1.474000	-2.017572
	1.476000	-2.072369
	1.478000	-2.114273
	1.480000	-2.146506
	1.482000	-2.136836
	1.484000	-2.101379
	1.486000	-2.049806
	1.488000	-2.007902
	1.490000	-1.985338
	1.492000	-1.988562
	1.494000	-2.024019
	1.496000	-2.065922
	1.498000	-2.120719
	1.500000	-2.146506
	1.502000	-2.140060
	1.504000	-2.107826
	1.506000	-2.056252
	1.508000	-2.011125
	1.510000	-1.982115
	1.512000	-1.991785
	1.514000	-2.020795
	1.516000	-2.072369
	1.518000	-2.117496
	1.520000	-2.140060
	1.522000	-2.140060
	1.524000	-2.107826
	1.526000	-2.056252
	1.528000	-2.011125
	1.530000	-1.988562
	1.532000	-1.991785
	1.534000	-2.030465
	1.536000	-2.072369
	1.538000	-2.123943
	1.540000	-2.143283
	1.542000	-2.146506
	1.544000	-2.111049
	1.546000	-2.056252
	1.548000	-2.014349
	1.550000	-1.995008
	1.552000	-1.998232
	1.554000	-2.020795
	1.556000	-2.075592
	1.558000	-2.127166
	1.560000	-2.149730
	1.562000	-2.152953
	1.564000	-2.107826
	1.566000	-2.059476
	1.568000	-2.020795
	1.570000	-1.998232
	1.572000	-1.991785
	1.574000	-2.030465
	1.576000	-2.072369
	1.578000	-2.120719
	1.580000	-2.152953
	1.582000	-2.143283
	1.584000	-2.111049
	1.586000	-2.062699
	1.588000	-2.017572
	1.590000	-1.985338
	1.592000	-1.998232
	1.594000	-2.030465
	1.596000	-2.082039
	1.598000	-2.130390
	1.600000	-2.152953
	1.602000	-2.143283
	1.604000	-2.117496
	1.606000	-2.059476
	1.608000	-2.017572
	1.610000	-1.988562
	1.612000	-1.998232
	1.614000	-2.027242
	1.616000	-2.075592
	1.618000	-2.127166
	1.620000	-2.149730
	1.622000	-2.146506
	1.624000	-2.120719
	1.626000	-2.072369
	1.628000	-2.024019
	1.630000	-1.991785
	1.632000	-2.001455
	1.634000	-2.030465
	1.636000	-2.082039
	1.638000	-2.123943
	1.640000	-2.156176
	1.642000	-2.152953
	1.644000	-2.111049
	1.646000	-2.065922
	1.648000	-2.020795
	1.650000	-1.998232
	1.652000	-2.001455
	1.654000	-2.030465
	1.656000	-2.075592
	1.658000	-2.127166
	1.660000	-2.152953
	1.662000	-2.149730
	1.664000	-2.117496
	1.666000	-2.065922
	1.668000	-2.024019
	1.670000	-1.995008
	1.672000	-1.998232
	1.674000	-2.030465
	1.676000	-2.082039
	1.678000	-2.127166
	1.680000	-2.156176
	1.682000	-2.146506
	1.684000	-2.114273
	1.686000	-2.069146
	1.688000	-2.020795
	1.690000	-1.988562
	1.692000	-1.998232
	1.694000	-2.027242
	1.696000	-2.072369
	1.698000	-2.127166
	1.700000	-2.152953
	1.702000	-2.152953
	1.704000	-2.117496
	1.706000	-2.065922
	1.708000	-2.017572
	1.710000	-1.998232
	1.712000	-1.991785
	1.714000	-2.030465
	1.716000	-2.075592
	1.718000	-2.120719
	1.720000	-2.152953
	1.722000	-2.149730
	1.724000	-2.114273
	1.726000	-2.065922
	1.728000	-2.017572
	1.730000	-1.991785
	1.732000	-1.995008
	1.734000	-2.020795
	1.736000	-2.078816
	1.738000	-2.123943
	1.740000	-2.152953
	1.742000	-2.149730
	1.744000	-2.114273
	1.746000	-2.065922
	1.748000	-2.017572
	1.750000	-1.998232
	1.752000	-1.998232
	1.754000	-2.024019
	1.756000	-2.075592
	1.758000	-2.127166
	1.760000	-2.152953
	1.762000	-2.143283
	1.764000	-2.114273
	1.766000	-2.065922
	1.768000	-2.017572
	1.770000	-1.991785
	1.772000	-1.998232
	1.774000	-2.024019
	1.776000	-2.078816
	1.778000	-2.130390
	1.780000	-2.152953
	1.782000	-2.156176
	1.784000	-2.114273
	1.786000	-2.072369
	1.788000	-2.017572
	1.790000	-1.991785
	1.792000	-1.995008
	1.794000	-2.027242
	1.796000	-2.078816
	1.798000	-2.136836
	1.800000	-2.162623
	1.802000	-2.149730
	1.804000	-2.123943
	1.806000	-2.069146
	1.808000	-2.020795
	1.810000	-1.991785
	1.812000	-1.995008
	1.814000	-2.030465
	1.816000	-2.085262
	1.818000	-2.136836
	1.820000	-2.162623
	1.822000	-2.165846
	1.824000	-2.123943
	1.826000	-2.072369
	1.828000	-2.017572
	1.830000	-1.998232
	1.832000	-1.991785
	1.834000	-2.030465
	1.836000	-2.094933
	1.838000	-2.149730
	1.840000	-2.178740
	1.842000	-2.175517
	1.844000	-2.133613
	1.846000	-2.078816
	1.848000	-2.027242
	1.850000	-1.998232
	1.852000	-2.001455
	1.854000	-2.036912
	1.856000	-2.094933
	1.858000	-2.146506
	1.860000	-2.181963
	1.862000	-2.178740
	1.864000	-2.133613
	1.866000	-2.078816
	1.868000	-2.014349
	1.870000	-1.985338
	1.872000	-1.988562
	1.874000	-2.030465
	1.876000	-2.082039
	1.878000	-2.146506
	1.880000	-2.172293
	1.882000	-2.169070
	1.884000	-2.130390
	1.886000	-2.069146
	1.888000	-2.011125
	1.890000	-1.982115
	1.892000	-1.975668
	1.894000	-2.024019
	1.896000	-2.085262
	1.898000	-2.143283
	1.900000	-2.178740
	1.902000	-2.169070
	1.904000	-2.130390
	1.906000	-2.069146
	1.908000	-2.011125
	1.910000	-1.975668
	1.912000	-1.988562
	1.914000	-2.024019
	1.916000	-2.075592
	1.918000	-2.140060
	1.920000	-2.165846
	1.922000	-2.172293
	1.924000	-2.123943
	1.926000	-2.065922
	1.928000	-2.011125
	1.930000	-1.978892
	1.932000	-1.988562
	1.934000	-2.017572
	1.936000	-2.072369
	1.938000	-2.136836
	1.940000	-2.165846
	1.942000	-2.165846
	1.944000	-2.127166
	1.946000	-2.062699
	1.948000	-2.007902
	1.950000	-1.972445
	1.952000	-1.975668
	1.954000	-2.011125
	1.956000	-2.072369
	1.958000	-2.136836
	1.960000	-2.165846
	1.962000	-2.169070
