2024/7/3 	 20:00:49 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 500 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.560614
	0.002000	-0.502593
	0.004000	-0.431679
	0.006000	-0.376882
	0.008000	-0.344649
	0.010000	-0.354319
	0.012000	-0.402669
	0.014000	-0.473583
	0.016000	-0.534827
	0.018000	-0.567060
	0.020000	-0.557390
	0.022000	-0.499370
	0.024000	-0.428456
	0.026000	-0.360765
	0.028000	-0.331755
	0.030000	-0.347872
	0.032000	-0.396222
	0.034000	-0.470360
	0.036000	-0.531603
	0.038000	-0.557390
	0.040000	-0.541274
	0.042000	-0.489700
	0.044000	-0.425233
	0.046000	-0.357542
	0.048000	-0.328532
	0.050000	-0.344649
	0.052000	-0.392999
	0.054000	-0.463913
	0.056000	-0.518710
	0.058000	-0.550944
	0.060000	-0.534827
	0.062000	-0.486476
	0.064000	-0.415563
	0.066000	-0.354319
	0.068000	-0.328532
	0.070000	-0.328532
	0.072000	-0.383329
	0.074000	-0.451019
	0.076000	-0.518710
	0.078000	-0.550944
	0.080000	-0.531603
	0.082000	-0.473583
	0.084000	-0.412339
	0.086000	-0.357542
	0.088000	-0.318862
	0.090000	-0.331755
	0.092000	-0.380106
	0.094000	-0.454243
	0.096000	-0.512263
	0.098000	-0.550944
	0.100000	-0.538050
	0.102000	-0.480030
	0.104000	-0.412339
	0.106000	-0.351095
	0.108000	-0.325308
	0.110000	-0.328532
	0.112000	-0.383329
	0.114000	-0.454243
	0.116000	-0.512263
	0.118000	-0.547720
	0.120000	-0.538050
	0.122000	-0.483253
	0.124000	-0.412339
	0.126000	-0.354319
	0.128000	-0.315638
	0.130000	-0.334979
	0.132000	-0.383329
	0.134000	-0.447796
	0.136000	-0.515487
	0.138000	-0.547720
	0.140000	-0.531603
	0.142000	-0.480030
	0.144000	-0.415563
	0.146000	-0.347872
	0.148000	-0.318862
	0.150000	-0.331755
	0.152000	-0.373659
	0.154000	-0.447796
	0.156000	-0.512263
	0.158000	-0.544497
	0.160000	-0.531603
	0.162000	-0.480030
	0.164000	-0.415563
	0.166000	-0.351095
	0.168000	-0.315638
	0.170000	-0.322085
	0.172000	-0.373659
	0.174000	-0.438126
	0.176000	-0.512263
	0.178000	-0.538050
	0.180000	-0.525157
	0.182000	-0.470360
	0.184000	-0.405892
	0.186000	-0.341425
	0.188000	-0.302745
	0.190000	-0.315638
	0.192000	-0.367212
	0.194000	-0.434903
	0.196000	-0.499370
	0.198000	-0.531603
	0.200000	-0.515487
	0.202000	-0.463913
	0.204000	-0.392999
	0.206000	-0.331755
	0.208000	-0.302745
	0.210000	-0.305968
	0.212000	-0.357542
	0.214000	-0.425233
	0.216000	-0.489700
	0.218000	-0.518710
	0.220000	-0.505817
	0.222000	-0.454243
	0.224000	-0.383329
	0.226000	-0.318862
	0.228000	-0.280181
	0.230000	-0.293075
	0.232000	-0.347872
	0.234000	-0.412339
	0.236000	-0.480030
	0.238000	-0.512263
	0.240000	-0.499370
	0.242000	-0.444573
	0.244000	-0.383329
	0.246000	-0.318862
	0.248000	-0.283405
	0.250000	-0.296298
	0.252000	-0.344649
	0.254000	-0.409116
	0.256000	-0.476806
	0.258000	-0.512263
	0.260000	-0.499370
	0.262000	-0.447796
	0.264000	-0.376882
	0.266000	-0.309192
	0.268000	-0.273735
	0.270000	-0.289852
	0.272000	-0.338202
	0.274000	-0.402669
	0.276000	-0.470360
	0.278000	-0.502593
	0.280000	-0.492923
	0.282000	-0.438126
	0.284000	-0.363989
	0.286000	-0.309192
	0.288000	-0.270511
	0.290000	-0.276958
	0.292000	-0.334979
	0.294000	-0.396222
	0.296000	-0.457466
	0.298000	-0.492923
	0.300000	-0.489700
	0.302000	-0.441349
	0.304000	-0.367212
	0.306000	-0.299522
	0.308000	-0.270511
	0.310000	-0.276958
	0.312000	-0.328532
	0.314000	-0.392999
	0.316000	-0.451019
	0.318000	-0.489700
	0.320000	-0.476806
	0.322000	-0.431679
