2024/7/20 	 21:19:19 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.629707
	0.005000	0.751390
	0.010000	0.774411
	0.015000	0.642862
	0.020000	0.626418
	0.025000	0.757967
	0.030000	0.777700
	0.035000	0.642862
	0.040000	0.629707
	0.045000	0.757967
	0.050000	0.777700
	0.055000	0.652728
	0.060000	0.632996
	0.065000	0.764545
	0.070000	0.777700
	0.075000	0.646151
	0.080000	0.636285
	0.085000	0.764545
	0.090000	0.784277
	0.095000	0.652728
	0.100000	0.639573
	0.105000	0.764545
	0.110000	0.784277
	0.115000	0.656017
	0.120000	0.636285
	0.125000	0.767833
	0.130000	0.784277
	0.135000	0.656017
	0.140000	0.639573
	0.145000	0.771122
	0.150000	0.790854
	0.155000	0.659306
	0.160000	0.639573
	0.165000	0.771122
	0.170000	0.787566
	0.175000	0.662594
	0.180000	0.646151
	0.185000	0.774411
	0.190000	0.794143
	0.195000	0.662594
	0.200000	0.642862
	0.205000	0.774411
	0.210000	0.794143
	0.215000	0.665883
	0.220000	0.646151
	0.225000	0.774411
	0.230000	0.800721
	0.235000	0.675749
	0.240000	0.649439
	0.245000	0.774411
	0.250000	0.800721
	0.255000	0.672460
	0.260000	0.656017
	0.265000	0.777700
	0.270000	0.804009
	0.275000	0.675749
	0.280000	0.656017
	0.285000	0.784277
	0.290000	0.800721
	0.295000	0.675749
	0.300000	0.652728
	0.305000	0.784277
	0.310000	0.807298
	0.315000	0.679038
	0.320000	0.656017
	0.325000	0.784277
	0.330000	0.810587
	0.335000	0.679038
	0.340000	0.662594
	0.345000	0.787566
	0.350000	0.810587
	0.355000	0.685615
	0.360000	0.659306
	0.365000	0.790854
	0.370000	0.813876
	0.375000	0.682327
	0.380000	0.662594
	0.385000	0.787566
	0.390000	0.813876
	0.395000	0.688904
	0.400000	0.665883
	0.405000	0.790854
	0.410000	0.813876
	0.415000	0.692193
	0.420000	0.665883
	0.425000	0.794143
	0.430000	0.823742
	0.435000	0.685615
	0.440000	0.669172
	0.445000	0.797432
	0.450000	0.823742
	0.455000	0.692193
	0.460000	0.672460
	0.465000	0.797432
	0.470000	0.823742
	0.475000	0.695482
	0.480000	0.675749
	0.485000	0.804009
	0.490000	0.827030
	0.495000	0.702059
	0.500000	0.675749
	0.505000	0.804009
	0.510000	0.830319
	0.515000	0.705348
	0.520000	0.679038
	0.525000	0.804009
	0.530000	0.836897
	0.535000	0.708636
	0.540000	0.682327
	0.545000	0.804009
	0.550000	0.836897
	0.555000	0.708636
	0.560000	0.685615
	0.565000	0.810587
	0.570000	0.840185
	0.575000	0.711925
	0.580000	0.692193
	0.585000	0.813876
	0.590000	0.840185
	0.595000	0.715214
	0.600000	0.688904
	0.605000	0.817164
	0.610000	0.846763
	0.615000	0.721791
	0.620000	0.695482
	0.625000	0.817164
	0.630000	0.843474
	0.635000	0.725080
	0.640000	0.695482
	0.645000	0.820453
	0.650000	0.850051
	0.655000	0.728369
	0.660000	0.698770
	0.665000	0.823742
	0.670000	0.853340
	0.675000	0.728369
	0.680000	0.702059
	0.685000	0.827030
	0.690000	0.859918
	0.695000	0.728369
	0.700000	0.702059
	0.705000	0.830319
	0.710000	0.863206
	0.715000	0.731657
	0.720000	0.705348
	0.725000	0.827030
	0.730000	0.859918
	0.735000	0.738235
	0.740000	0.705348
	0.745000	0.827030
	0.750000	0.863206
	0.755000	0.738235
	0.760000	0.705348
	0.765000	0.827030
	0.770000	0.866495
	0.775000	0.741524
	0.780000	0.708636
	0.785000	0.836897
	0.790000	0.873073
	0.795000	0.748101
	0.800000	0.711925
	0.805000	0.836897
	0.810000	0.869784
	0.815000	0.748101
	0.820000	0.715214
	0.825000	0.840185
	0.830000	0.876361
	0.835000	0.748101
	0.840000	0.715214
	0.845000	0.843474
	0.850000	0.876361
	0.855000	0.751390
	0.860000	0.718503
	0.865000	0.843474
	0.870000	0.882939
	0.875000	0.751390
	0.880000	0.721791
	0.885000	0.846763
	0.890000	0.882939
	0.895000	0.761256
	0.900000	0.725080
	0.905000	0.846763
	0.910000	0.886227
	0.915000	0.764545
	0.920000	0.731657
	0.925000	0.850051
	0.930000	0.886227
	0.935000	0.761256
	0.940000	0.725080
	0.945000	0.853340
	0.950000	0.892805
	0.955000	0.764545
	0.960000	0.731657
	0.965000	0.856629
	0.970000	0.892805
	0.975000	0.767833
	0.980000	0.731657
	0.985000	0.856629
	0.990000	0.896094
	0.995000	0.774411
	1.000000	0.734946
	1.005000	0.856629
	1.010000	0.896094
	1.015000	0.771122
	1.020000	0.734946
	1.025000	0.859918
	1.030000	0.896094
	1.035000	0.774411
	1.040000	0.738235
	1.045000	0.856629
	1.050000	0.902671
	1.055000	0.774411
	1.060000	0.738235
	1.065000	0.863206
	1.070000	0.905960
	1.075000	0.777700
	1.080000	0.741524
	1.085000	0.863206
	1.090000	0.905960
	1.095000	0.780988
	1.100000	0.738235
	1.105000	0.863206
	1.110000	0.909249
	1.115000	0.784277
	1.120000	0.744812
	1.125000	0.866495
	1.130000	0.905960
	1.135000	0.780988
	1.140000	0.744812
	1.145000	0.866495
	1.150000	0.909249
	1.155000	0.780988
	1.160000	0.748101
	1.165000	0.869784
	1.170000	0.912537
	1.175000	0.787566
	1.180000	0.748101
	1.185000	0.873073
	1.190000	0.912537
	1.195000	0.790854
	1.200000	0.754679
	1.205000	0.869784
	1.210000	0.915826
	1.215000	0.794143
	1.220000	0.757967
	1.225000	0.876361
	1.230000	0.925692
	1.235000	0.797432
	1.240000	0.754679
	1.245000	0.882939
	1.250000	0.922403
	1.255000	0.800721
	1.260000	0.761256
	1.265000	0.882939
	1.270000	0.925692
	1.275000	0.804009
	1.280000	0.761256
	1.285000	0.882939
	1.290000	0.925692
	1.295000	0.807298
	1.300000	0.767833
	1.305000	0.889516
	1.310000	0.928981
	1.315000	0.813876
	1.320000	0.767833
	1.325000	0.886227
	1.330000	0.935558
	1.335000	0.810587
	1.340000	0.771122
	1.345000	0.892805
	1.350000	0.935558
	1.355000	0.810587
	1.360000	0.767833
	1.365000	0.889516
	1.370000	0.938847
	1.375000	0.817164
	1.380000	0.767833
	1.385000	0.896094
	1.390000	0.935558
	1.395000	0.817164
	1.400000	0.774411
	1.405000	0.892805
	1.410000	0.942136
	1.415000	0.823742
	1.420000	0.774411
	1.425000	0.899382
	1.430000	0.942136
	1.435000	0.823742
	1.440000	0.777700
	1.445000	0.896094
	1.450000	0.942136
	1.455000	0.823742
	1.460000	0.777700
	1.465000	0.902671
	1.470000	0.945424
	1.475000	0.820453
	1.480000	0.780988
	1.485000	0.905960
	1.490000	0.948713
	1.495000	0.830319
	1.500000	0.777700
	1.505000	0.902671
	1.510000	0.948713
	1.515000	0.833608
	1.520000	0.780988
	1.525000	0.905960
	1.530000	0.952002
	1.535000	0.833608
	1.540000	0.787566
	1.545000	0.905960
	1.550000	0.955291
	1.555000	0.833608
	1.560000	0.787566
	1.565000	0.905960
	1.570000	0.958579
	1.575000	0.836897
	1.580000	0.790854
	1.585000	0.909249
	1.590000	0.961868
	1.595000	0.840185
	1.600000	0.794143
	1.605000	0.912537
	1.610000	0.961868
	1.615000	0.843474
	1.620000	0.794143
	1.625000	0.912537
	1.630000	0.965157
	1.635000	0.843474
	1.640000	0.800721
	1.645000	0.915826
	1.650000	0.968446
	1.655000	0.846763
	1.660000	0.800721
	1.665000	0.925692
	1.670000	0.968446
	1.675000	0.850051
	1.680000	0.804009
	1.685000	0.919115
	1.690000	0.971734
	1.695000	0.856629
	1.700000	0.800721
	1.705000	0.922403
	1.710000	0.975023
	1.715000	0.853340
	1.720000	0.804009
	1.725000	0.925692
	1.730000	0.975023
	1.735000	0.856629
	1.740000	0.807298
	1.745000	0.928981
	1.750000	0.981600
	1.755000	0.859918
	1.760000	0.807298
	1.765000	0.928981
	1.770000	0.978312
	1.775000	0.859918
	1.780000	0.810587
	1.785000	0.928981
	1.790000	0.984889
	1.795000	0.866495
	1.800000	0.810587
	1.805000	0.932270
	1.810000	0.978312
	1.815000	0.866495
	1.820000	0.813876
	1.825000	0.935558
	1.830000	0.988178
	1.835000	0.866495
	1.840000	0.813876
	1.845000	0.932270
	1.850000	0.984889
	1.855000	0.866495
	1.860000	0.817164
	1.865000	0.928981
