2024/7/26 	 22:11:55 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	1.215100
	0.005000	1.267719
	0.010000	1.399268
	0.015000	1.343360
	0.020000	1.211811
	0.025000	1.267719
	0.030000	1.395979
	0.035000	1.340071
	0.040000	1.215100
	0.045000	1.271008
	0.050000	1.389402
	0.055000	1.340071
	0.060000	1.218388
	0.065000	1.267719
	0.070000	1.399268
	0.075000	1.343360
	0.080000	1.215100
	0.085000	1.274297
	0.090000	1.395979
	0.095000	1.340071
	0.100000	1.221677
	0.105000	1.274297
	0.110000	1.395979
	0.115000	1.346649
	0.120000	1.224966
	0.125000	1.274297
	0.130000	1.399268
	0.135000	1.346649
	0.140000	1.224966
	0.145000	1.274297
	0.150000	1.399268
	0.155000	1.343360
	0.160000	1.218388
	0.165000	1.271008
	0.170000	1.395979
	0.175000	1.343360
	0.180000	1.221677
	0.185000	1.271008
	0.190000	1.395979
	0.195000	1.340071
	0.200000	1.221677
	0.205000	1.274297
	0.210000	1.395979
	0.215000	1.340071
	0.220000	1.228255
	0.225000	1.274297
	0.230000	1.395979
	0.235000	1.346649
	0.240000	1.224966
	0.245000	1.274297
	0.250000	1.395979
	0.255000	1.349937
	0.260000	1.224966
	0.265000	1.277585
	0.270000	1.399268
	0.275000	1.346649
	0.280000	1.218388
	0.285000	1.274297
	0.290000	1.399268
	0.295000	1.346649
	0.300000	1.221677
	0.305000	1.280874
	0.310000	1.402557
	0.315000	1.340071
	0.320000	1.221677
	0.325000	1.274297
	0.330000	1.399268
	0.335000	1.343360
	0.340000	1.221677
	0.345000	1.280874
	0.350000	1.402557
	0.355000	1.346649
	0.360000	1.228255
	0.365000	1.277585
	0.370000	1.399268
	0.375000	1.346649
	0.380000	1.224966
	0.385000	1.277585
	0.390000	1.402557
	0.395000	1.353226
	0.400000	1.224966
	0.405000	1.280874
	0.410000	1.405846
	0.415000	1.346649
	0.420000	1.224966
	0.425000	1.280874
	0.430000	1.399268
	0.435000	1.349937
	0.440000	1.221677
	0.445000	1.280874
	0.450000	1.405846
	0.455000	1.353226
	0.460000	1.228255
	0.465000	1.280874
	0.470000	1.402557
	0.475000	1.349937
	0.480000	1.228255
	0.485000	1.284163
	0.490000	1.402557
	0.495000	1.353226
	0.500000	1.231543
	0.505000	1.280874
	0.510000	1.399268
	0.515000	1.349937
	0.520000	1.221677
	0.525000	1.284163
	0.530000	1.399268
	0.535000	1.349937
	0.540000	1.228255
	0.545000	1.280874
	0.550000	1.392691
	0.555000	1.346649
	0.560000	1.221677
	0.565000	1.277585
	0.570000	1.399268
	0.575000	1.340071
	0.580000	1.215100
	0.585000	1.277585
	0.590000	1.392691
	0.595000	1.336782
	0.600000	1.215100
	0.605000	1.267719
	0.610000	1.392691
	0.615000	1.336782
	0.620000	1.211811
	0.625000	1.267719
	0.630000	1.389402
	0.635000	1.333494
	0.640000	1.208522
	0.645000	1.261142
	0.650000	1.386113
	0.655000	1.320339
	0.660000	1.198656
	0.665000	1.257853
	0.670000	1.379536
	0.675000	1.320339
	0.680000	1.192079
	0.685000	1.251276
	0.690000	1.369670
	0.695000	1.313761
	0.700000	1.185501
	0.705000	1.238121
	0.710000	1.359803
	0.715000	1.300606
	0.720000	1.178924
	0.725000	1.234832
	0.730000	1.359803
	0.735000	1.294029
	0.740000	1.165769
	0.745000	1.224966
	0.750000	1.343360
	0.755000	1.290740
