2024/7/26 	 22:19:30 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.675749
	0.005000	0.547489
	0.010000	0.626418
	0.015000	0.754679
	0.020000	0.669172
	0.025000	0.544200
	0.030000	0.623130
	0.035000	0.754679
	0.040000	0.672460
	0.045000	0.540912
	0.050000	0.626418
	0.055000	0.748101
	0.060000	0.669172
	0.065000	0.540912
	0.070000	0.623130
	0.075000	0.748101
	0.080000	0.669172
	0.085000	0.540912
	0.090000	0.623130
	0.095000	0.748101
	0.100000	0.672460
	0.105000	0.537623
	0.110000	0.616552
	0.115000	0.748101
	0.120000	0.669172
	0.125000	0.537623
	0.130000	0.613263
	0.135000	0.741524
	0.140000	0.665883
	0.145000	0.537623
	0.150000	0.613263
	0.155000	0.748101
	0.160000	0.665883
	0.165000	0.534334
	0.170000	0.613263
	0.175000	0.744812
	0.180000	0.665883
	0.185000	0.534334
	0.190000	0.609975
	0.195000	0.741524
	0.200000	0.662594
	0.205000	0.537623
	0.210000	0.609975
	0.215000	0.738235
	0.220000	0.662594
	0.225000	0.531045
	0.230000	0.609975
	0.235000	0.741524
	0.240000	0.662594
	0.245000	0.531045
	0.250000	0.609975
	0.255000	0.744812
	0.260000	0.662594
	0.265000	0.531045
	0.270000	0.609975
	0.275000	0.738235
	0.280000	0.659306
	0.285000	0.534334
	0.290000	0.606686
	0.295000	0.738235
	0.300000	0.665883
	0.305000	0.531045
	0.310000	0.603397
	0.315000	0.734946
	0.320000	0.656017
	0.325000	0.524468
	0.330000	0.600109
	0.335000	0.734946
	0.340000	0.656017
	0.345000	0.531045
	0.350000	0.603397
	0.355000	0.734946
	0.360000	0.656017
	0.365000	0.524468
	0.370000	0.600109
	0.375000	0.734946
	0.380000	0.659306
	0.385000	0.527757
	0.390000	0.593531
	0.395000	0.731657
	0.400000	0.659306
	0.405000	0.527757
	0.410000	0.600109
	0.415000	0.734946
	0.420000	0.659306
	0.425000	0.521179
	0.430000	0.596820
	0.435000	0.728369
	0.440000	0.659306
	0.445000	0.524468
	0.450000	0.596820
	0.455000	0.728369
	0.460000	0.659306
	0.465000	0.524468
	0.470000	0.590242
	0.475000	0.731657
	0.480000	0.659306
	0.485000	0.521179
	0.490000	0.593531
	0.495000	0.725080
	0.500000	0.652728
	0.505000	0.524468
	0.510000	0.590242
	0.515000	0.728369
	0.520000	0.649439
	0.525000	0.514602
	0.530000	0.586954
	0.535000	0.725080
	0.540000	0.652728
	0.545000	0.517891
	0.550000	0.580376
	0.555000	0.721791
	0.560000	0.652728
	0.565000	0.514602
	0.570000	0.583665
	0.575000	0.718503
	0.580000	0.652728
	0.585000	0.514602
	0.590000	0.577088
	0.595000	0.718503
	0.600000	0.649439
	0.605000	0.514602
	0.610000	0.577088
	0.615000	0.718503
	0.620000	0.649439
	0.625000	0.514602
	0.630000	0.577088
	0.635000	0.718503
	0.640000	0.649439
	0.645000	0.514602
	0.650000	0.577088
	0.655000	0.711925
	0.660000	0.646151
	0.665000	0.511313
	0.670000	0.577088
	0.675000	0.711925
	0.680000	0.649439
	0.685000	0.508024
	0.690000	0.573799
	0.695000	0.715214
	0.700000	0.646151
	0.705000	0.504736
	0.710000	0.573799
	0.715000	0.711925
	0.720000	0.649439
	0.725000	0.511313
	0.730000	0.567221
	0.735000	0.708636
	0.740000	0.639573
	0.745000	0.514602
	0.750000	0.570510
	0.755000	0.711925
	0.760000	0.642862
	0.765000	0.508024
	0.770000	0.567221
	0.775000	0.705348
	0.780000	0.646151
	0.785000	0.511313
	0.790000	0.567221
	0.795000	0.705348
	0.800000	0.642862
	0.805000	0.501447
	0.810000	0.563933
	0.815000	0.705348
	0.820000	0.639573
	0.825000	0.504736
	0.830000	0.563933
	0.835000	0.702059
	0.840000	0.639573
	0.845000	0.501447
	0.850000	0.563933
	0.855000	0.705348
	0.860000	0.636285
	0.865000	0.504736
	0.870000	0.563933
	0.875000	0.702059
	0.880000	0.639573
	0.885000	0.504736
	0.890000	0.560644
	0.895000	0.698770
	0.900000	0.639573
	0.905000	0.504736
	0.910000	0.557355
	0.915000	0.698770
	0.920000	0.639573
	0.925000	0.501447
	0.930000	0.557355
	0.935000	0.695482
	0.940000	0.639573
	0.945000	0.501447
	0.950000	0.557355
	0.955000	0.695482
	0.960000	0.639573
	0.965000	0.501447
	0.970000	0.560644
	0.975000	0.695482
	0.980000	0.636285
	0.985000	0.501447
	0.990000	0.557355
	0.995000	0.698770
	1.000000	0.642862
	1.005000	0.501447
	1.010000	0.557355
	1.015000	0.695482
	1.020000	0.639573
	1.025000	0.498158
	1.030000	0.547489
	1.035000	0.695482
	1.040000	0.636285
	1.045000	0.498158
	1.050000	0.550778
	1.055000	0.688904
	1.060000	0.636285
	1.065000	0.494869
	1.070000	0.554066
	1.075000	0.695482
	1.080000	0.636285
	1.085000	0.498158
	1.090000	0.554066
	1.095000	0.695482
	1.100000	0.639573
	1.105000	0.498158
	1.110000	0.550778
	1.115000	0.688904
	1.120000	0.639573
	1.125000	0.498158
	1.130000	0.544200
	1.135000	0.688904
	1.140000	0.636285
	1.145000	0.491581
	1.150000	0.544200
	1.155000	0.692193
	1.160000	0.632996
	1.165000	0.491581
	1.170000	0.544200
	1.175000	0.682327
	1.180000	0.632996
	1.185000	0.491581
	1.190000	0.540912
	1.195000	0.682327
	1.200000	0.629707
	1.205000	0.488292
	1.210000	0.544200
	1.215000	0.685615
	1.220000	0.632996
	1.225000	0.488292
	1.230000	0.540912
	1.235000	0.682327
	1.240000	0.632996
	1.245000	0.488292
	1.250000	0.540912
	1.255000	0.679038
	1.260000	0.626418
	1.265000	0.491581
	1.270000	0.537623
	1.275000	0.679038
	1.280000	0.629707
	1.285000	0.488292
	1.290000	0.540912
	1.295000	0.682327
	1.300000	0.629707
	1.305000	0.488292
	1.310000	0.534334
	1.315000	0.682327
	1.320000	0.629707
	1.325000	0.485003
	1.330000	0.534334
