2024/7/10 	 20:40:44 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-3.210215
	0.005000	-3.042600
	0.010000	-3.029707
	0.015000	-3.197321
	0.020000	-3.216661
	0.025000	-3.042600
	0.030000	-3.032930
	0.035000	-3.203768
	0.040000	-3.203768
	0.045000	-3.042600
	0.050000	-3.032930
	0.055000	-3.203768
	0.060000	-3.206991
	0.065000	-3.039377
	0.070000	-3.026483
	0.075000	-3.197321
	0.080000	-3.203768
	0.085000	-3.039377
	0.090000	-3.029707
	0.095000	-3.200545
	0.100000	-3.200545
	0.105000	-3.032930
	0.110000	-3.032930
	0.115000	-3.200545
	0.120000	-3.203768
	0.125000	-3.032930
	0.130000	-3.032930
	0.135000	-3.203768
	0.140000	-3.200545
	0.145000	-3.032930
	0.150000	-3.032930
	0.155000	-3.197321
	0.160000	-3.203768
	0.165000	-3.036153
	0.170000	-3.029707
	0.175000	-3.203768
	0.180000	-3.200545
	0.185000	-3.036153
	0.190000	-3.029707
	0.195000	-3.203768
	0.200000	-3.203768
	0.205000	-3.032930
	0.210000	-3.036153
	0.215000	-3.206991
	0.220000	-3.210215
	0.225000	-3.032930
	0.230000	-3.045823
	0.235000	-3.206991
	0.240000	-3.213438
	0.245000	-3.039377
	0.250000	-3.036153
	0.255000	-3.213438
	0.260000	-3.210215
	0.265000	-3.042600
	0.270000	-3.032930
	0.275000	-3.213438
	0.280000	-3.206991
	0.285000	-3.042600
	0.290000	-3.045823
	0.295000	-3.210215
	0.300000	-3.206991
	0.305000	-3.039377
	0.310000	-3.042600
	0.315000	-3.210215
	0.320000	-3.210215
	0.325000	-3.045823
	0.330000	-3.042600
	0.335000	-3.213438
	0.340000	-3.210215
	0.345000	-3.039377
	0.350000	-3.042600
	0.355000	-3.213438
	0.360000	-3.213438
	0.365000	-3.042600
	0.370000	-3.045823
	0.375000	-3.213438
	0.380000	-3.210215
	0.385000	-3.045823
	0.390000	-3.045823
	0.395000	-3.213438
	0.400000	-3.206991
	0.405000	-3.039377
	0.410000	-3.042600
	0.415000	-3.216661
	0.420000	-3.216661
	0.425000	-3.042600
	0.430000	-3.052270
	0.435000	-3.216661
	0.440000	-3.213438
	0.445000	-3.042600
	0.450000	-3.045823
	0.455000	-3.213438
	0.460000	-3.206991
	0.465000	-3.036153
	0.470000	-3.045823
	0.475000	-3.216661
	0.480000	-3.210215
	0.485000	-3.036153
	0.490000	-3.039377
	0.495000	-3.213438
	0.500000	-3.210215
	0.505000	-3.036153
	0.510000	-3.045823
	0.515000	-3.213438
	0.520000	-3.203768
	0.525000	-3.039377
	0.530000	-3.045823
	0.535000	-3.213438
	0.540000	-3.200545
	0.545000	-3.036153
	0.550000	-3.042600
	0.555000	-3.203768
	0.560000	-3.206991
	0.565000	-3.026483
	0.570000	-3.042600
	0.575000	-3.213438
	0.580000	-3.200545
	0.585000	-3.036153
	0.590000	-3.045823
	0.595000	-3.216661
	0.600000	-3.203768
	0.605000	-3.036153
	0.610000	-3.036153
	0.615000	-3.216661
	0.620000	-3.197321
	0.625000	-3.029707
	0.630000	-3.032930
	0.635000	-3.216661
	0.640000	-3.197321
	0.645000	-3.029707
	0.650000	-3.042600
	0.655000	-3.210215
	0.660000	-3.194098
	0.665000	-3.032930
	0.670000	-3.036153
	0.675000	-3.210215
	0.680000	-3.194098
	0.685000	-3.029707
	0.690000	-3.042600
	0.695000	-3.206991
	0.700000	-3.194098
	0.705000	-3.029707
	0.710000	-3.045823
	0.715000	-3.210215
	0.720000	-3.197321
	0.725000	-3.029707
	0.730000	-3.042600
	0.735000	-3.206991
	0.740000	-3.194098
	0.745000	-3.026483
	0.750000	-3.042600
	0.755000	-3.210215
	0.760000	-3.194098
	0.765000	-3.016813
	0.770000	-3.032930
	0.775000	-3.203768
	0.780000	-3.190875
	0.785000	-3.023260
	0.790000	-3.032930
	0.795000	-3.200545
	0.800000	-3.187651
	0.805000	-3.020037
	0.810000	-3.032930
	0.815000	-3.203768
	0.820000	-3.181205
	0.825000	-3.010366
	0.830000	-3.026483
	0.835000	-3.203768
	0.840000	-3.181205
	0.845000	-3.013590
	0.850000	-3.029707
	0.855000	-3.203768
	0.860000	-3.174758
	0.865000	-3.020037
	0.870000	-3.026483
	0.875000	-3.197321
	0.880000	-3.174758
	0.885000	-3.010366
	0.890000	-3.032930
	0.895000	-3.203768
	0.900000	-3.177981
	0.905000	-3.013590
	0.910000	-3.032930
	0.915000	-3.200545
	0.920000	-3.177981
	0.925000	-3.013590
	0.930000	-3.029707
	0.935000	-3.197321
	0.940000	-3.181205
	0.945000	-3.007143
	0.950000	-3.036153
	0.955000	-3.200545
	0.960000	-3.171534
	0.965000	-3.007143
	0.970000	-3.029707
	0.975000	-3.197321
	0.980000	-3.174758
	0.985000	-3.013590
	0.990000	-3.023260
	0.995000	-3.197321
	1.000000	-3.171534
	1.005000	-3.013590
	1.010000	-3.029707
	1.015000	-3.194098
	1.020000	-3.168311
	1.025000	-3.003920
	1.030000	-3.029707
	1.035000	-3.200545
	1.040000	-3.174758
	1.045000	-3.010366
	1.050000	-3.036153
	1.055000	-3.194098
	1.060000	-3.174758
	1.065000	-3.010366
	1.070000	-3.036153
	1.075000	-3.194098
	1.080000	-3.168311
	1.085000	-3.000696
	1.090000	-3.032930
	1.095000	-3.194098
	1.100000	-3.165088
	1.105000	-3.007143
	1.110000	-3.026483
	1.115000	-3.200545
	1.120000	-3.171534
	1.125000	-2.994250
	1.130000	-3.026483
	1.135000	-3.187651
	1.140000	-3.165088
	1.145000	-2.997473
	1.150000	-3.023260
	1.155000	-3.187651
	1.160000	-3.158641
	1.165000	-2.991026
	1.170000	-3.026483
	1.175000	-3.184428
	1.180000	-3.155418
	1.185000	-2.997473
	1.190000	-3.020037
	1.195000	-3.187651
	1.200000	-3.152194
	1.205000	-2.987803
	1.210000	-3.016813
	1.215000	-3.177981
	1.220000	-3.148971
	1.225000	-2.981356
	1.230000	-3.010366
	1.235000	-3.177981
	1.240000	-3.148971
	1.245000	-2.981356
	1.250000	-3.013590
	1.255000	-3.171534
	1.260000	-3.142524
	1.265000	-2.984580
	1.270000	-3.010366
	1.275000	-3.181205
	1.280000	-3.145748
	1.285000	-2.978133
	1.290000	-3.007143
	1.295000	-3.174758
	1.300000	-3.152194
	1.305000	-2.981356
	1.310000	-3.010366
	1.315000	-3.177981
	1.320000	-3.145748
	1.325000	-2.981356
	1.330000	-3.016813
	1.335000	-3.171534
	1.340000	-3.142524
	1.345000	-2.981356
	1.350000	-3.016813
	1.355000	-3.177981
	1.360000	-3.142524
	1.365000	-2.981356
	1.370000	-3.010366
	1.375000	-3.181205
	1.380000	-3.142524
	1.385000	-2.978133
	1.390000	-3.016813
	1.395000	-3.184428
	1.400000	-3.142524
	1.405000	-2.978133
	1.410000	-3.023260
	1.415000	-3.174758
	1.420000	-3.148971
	1.425000	-2.991026
	1.430000	-3.023260
	1.435000	-3.187651
	1.440000	-3.142524
	1.445000	-2.981356
	1.450000	-3.023260
	1.455000	-3.190875
	1.460000	-3.148971
	1.465000	-2.984580
	1.470000	-3.026483
	1.475000	-3.200545
	1.480000	-3.152194
	1.485000	-2.987803
	1.490000	-3.032930
	1.495000	-3.190875
	1.500000	-3.155418
	1.505000	-3.000696
	1.510000	-3.036153
	1.515000	-3.200545
	1.520000	-3.158641
	1.525000	-3.003920
	1.530000	-3.036153
	1.535000	-3.194098
	1.540000	-3.158641
	1.545000	-2.994250
	1.550000	-3.042600
	1.555000	-3.197321
	1.560000	-3.158641
	1.565000	-2.997473
	1.570000	-3.036153
	1.575000	-3.197321
	1.580000	-3.155418
	1.585000	-3.003920
	1.590000	-3.042600
	1.595000	-3.197321
	1.600000	-3.158641
	1.605000	-2.994250
	1.610000	-3.039377
	1.615000	-3.197321
	1.620000	-3.158641
	1.625000	-3.000696
	1.630000	-3.042600
	1.635000	-3.203768
	1.640000	-3.158641
	1.645000	-3.000696
	1.650000	-3.042600
	1.655000	-3.203768
	1.660000	-3.148971
	1.665000	-2.997473
	1.670000	-3.049047
	1.675000	-3.206991
	1.680000	-3.161864
	1.685000	-3.000696
	1.690000	-3.042600
	1.695000	-3.216661
	1.700000	-3.165088
	1.705000	-3.007143
	1.710000	-3.055494
	1.715000	-3.213438
	1.720000	-3.171534
	1.725000	-3.013590
	1.730000	-3.065164
	1.735000	-3.223108
	1.740000	-3.174758
	1.745000	-3.016813
	1.750000	-3.068387
	1.755000	-3.226332
	1.760000	-3.184428
	1.765000	-3.023260
	1.770000	-3.071610
	1.775000	-3.236002
	1.780000	-3.187651
	1.785000	-3.029707
	1.790000	-3.071610
	1.795000	-3.236002
	1.800000	-3.181205
	1.805000	-3.020037
	1.810000	-3.074834
	1.815000	-3.229555
	1.820000	-3.184428
	1.825000	-3.023260
	1.830000	-3.065164
	1.835000	-3.223108
	1.840000	-3.165088
	1.845000	-3.010366
	1.850000	-3.065164
	1.855000	-3.210215
	1.860000	-3.168311
	1.865000	-3.003920
	1.870000	-3.058717
	1.875000	-3.210215
	1.880000	-3.158641
	1.885000	-2.994250
	1.890000	-3.049047
	1.895000	-3.203768
	1.900000	-3.139301
	1.905000	-2.987803
	1.910000	-3.032930
	1.915000	-3.187651
	1.920000	-3.129631
	1.925000	-2.974910
	1.930000	-3.020037
	1.935000	-3.174758
	1.940000	-3.116737
	1.945000	-2.949123
	1.950000	-3.003920
	1.955000	-3.152194
	1.960000	-3.100621
	1.965000	-2.939453
	1.970000	-2.994250
	1.975000	-3.145748
	1.980000	-3.084504
	1.985000	-2.929783
	1.990000	-2.978133
	1.995000	-3.139301
	2.000000	-3.084504
	2.005000	-2.923336
	2.010000	-2.974910
	2.015000	-3.126407
	2.020000	-3.065164
	2.025000	-2.910442
	2.030000	-2.965239
	2.035000	-3.119961
