2024/7/10 	 20:49:49 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.666226
	0.005000	-1.495388
	0.010000	-1.521175
	0.015000	-1.688789
	0.020000	-1.666226
	0.025000	-1.488941
	0.030000	-1.508281
	0.035000	-1.695236
	0.040000	-1.663002
	0.045000	-1.488941
	0.050000	-1.511505
	0.055000	-1.692013
	0.060000	-1.669449
	0.065000	-1.495388
	0.070000	-1.514728
	0.075000	-1.688789
	0.080000	-1.659779
	0.085000	-1.488941
	0.090000	-1.511505
	0.095000	-1.692013
	0.100000	-1.663002
	0.105000	-1.492164
	0.110000	-1.514728
	0.115000	-1.682343
	0.120000	-1.659779
	0.125000	-1.485718
	0.130000	-1.514728
	0.135000	-1.685566
	0.140000	-1.646886
	0.145000	-1.479271
	0.150000	-1.505058
	0.155000	-1.675896
	0.160000	-1.659779
	0.165000	-1.482494
	0.170000	-1.498611
	0.175000	-1.675896
	0.180000	-1.650109
	0.185000	-1.472824
	0.190000	-1.495388
	0.195000	-1.666226
	0.200000	-1.646886
	0.205000	-1.463154
	0.210000	-1.492164
	0.215000	-1.666226
	0.220000	-1.633992
	0.225000	-1.459931
	0.230000	-1.479271
	0.235000	-1.663002
	0.240000	-1.640439
	0.245000	-1.466378
	0.250000	-1.482494
	0.255000	-1.659779
	0.260000	-1.640439
	0.265000	-1.463154
	0.270000	-1.488941
	0.275000	-1.653332
	0.280000	-1.633992
	0.285000	-1.459931
	0.290000	-1.485718
	0.295000	-1.659779
	0.300000	-1.627546
	0.305000	-1.456707
	0.310000	-1.479271
	0.315000	-1.650109
	0.320000	-1.630769
	0.325000	-1.453484
	0.330000	-1.472824
	0.335000	-1.650109
	0.340000	-1.624322
	0.345000	-1.450261
	0.350000	-1.466378
	0.355000	-1.640439
	0.360000	-1.617875
	0.365000	-1.440591
	0.370000	-1.459931
	0.375000	-1.640439
