2024/7/11 	 16:04:29 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.595312
	0.005000	-1.514728
	0.010000	-1.466378
	0.015000	-1.546962
	0.020000	-1.601759
	0.025000	-1.517951
	0.030000	-1.476048
	0.035000	-1.553408
	0.040000	-1.598535
	0.045000	-1.524398
	0.050000	-1.469601
	0.055000	-1.550185
	0.060000	-1.598535
	0.065000	-1.521175
	0.070000	-1.479271
	0.075000	-1.556632
	0.080000	-1.608205
	0.085000	-1.527621
	0.090000	-1.479271
	0.095000	-1.559855
	0.100000	-1.604982
	0.105000	-1.527621
	0.110000	-1.482494
	0.115000	-1.563078
	0.120000	-1.608205
	0.125000	-1.534068
	0.130000	-1.482494
	0.135000	-1.563078
	0.140000	-1.601759
	0.145000	-1.534068
	0.150000	-1.485718
	0.155000	-1.569525
	0.160000	-1.611429
	0.165000	-1.530845
	0.170000	-1.488941
	0.175000	-1.566302
	0.180000	-1.617875
	0.185000	-1.537291
	0.190000	-1.488941
	0.195000	-1.569525
	0.200000	-1.611429
	0.205000	-1.537291
	0.210000	-1.495388
	0.215000	-1.566302
	0.220000	-1.624322
	0.225000	-1.534068
	0.230000	-1.492164
	0.235000	-1.572748
	0.240000	-1.617875
	0.245000	-1.550185
	0.250000	-1.492164
	0.255000	-1.572748
	0.260000	-1.621099
	0.265000	-1.550185
	0.270000	-1.495388
	0.275000	-1.569525
	0.280000	-1.617875
	0.285000	-1.550185
	0.290000	-1.495388
	0.295000	-1.572748
	0.300000	-1.617875
	0.305000	-1.543738
	0.310000	-1.498611
	0.315000	-1.572748
	0.320000	-1.621099
	0.325000	-1.543738
	0.330000	-1.495388
	0.335000	-1.575972
	0.340000	-1.621099
	0.345000	-1.546962
	0.350000	-1.505058
	0.355000	-1.582418
	0.360000	-1.627546
	0.365000	-1.553408
	0.370000	-1.501835
	0.375000	-1.579195
	0.380000	-1.630769
	0.385000	-1.559855
	0.390000	-1.505058
	0.395000	-1.585642
	0.400000	-1.627546
	0.405000	-1.559855
	0.410000	-1.508281
	0.415000	-1.582418
	0.420000	-1.633992
	0.425000	-1.559855
	0.430000	-1.514728
	0.435000	-1.588865
	0.440000	-1.633992
	0.445000	-1.569525
	0.450000	-1.514728
	0.455000	-1.592089
	0.460000	-1.640439
	0.465000	-1.569525
	0.470000	-1.517951
	0.475000	-1.592089
	0.480000	-1.640439
	0.485000	-1.575972
	0.490000	-1.517951
	0.495000	-1.592089
	0.500000	-1.650109
	0.505000	-1.572748
	0.510000	-1.517951
	0.515000	-1.595312
	0.520000	-1.646886
	0.525000	-1.575972
	0.530000	-1.521175
	0.535000	-1.598535
	0.540000	-1.653332
	0.545000	-1.572748
	0.550000	-1.524398
	0.555000	-1.601759
	0.560000	-1.643662
	0.565000	-1.569525
	0.570000	-1.517951
	0.575000	-1.592089
	0.580000	-1.646886
	0.585000	-1.579195
	0.590000	-1.524398
	0.595000	-1.592089
	0.600000	-1.646886
	0.605000	-1.575972
	0.610000	-1.514728
	0.615000	-1.595312
	0.620000	-1.643662
	0.625000	-1.572748
	0.630000	-1.524398
	0.635000	-1.592089
	0.640000	-1.650109
	0.645000	-1.579195
	0.650000	-1.524398
	0.655000	-1.588865
	0.660000	-1.653332
	0.665000	-1.579195
	0.670000	-1.521175
	0.675000	-1.588865
	0.680000	-1.650109
	0.685000	-1.575972
