2024/7/11 	 17:48:44 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	2.037414
	0.005000	2.050307
	0.010000	1.979393
	0.015000	1.969723
	0.020000	2.034190
	0.025000	2.050307
	0.030000	1.982617
	0.035000	1.969723
	0.040000	2.040637
	0.045000	2.053530
	0.050000	1.985840
	0.055000	1.972946
	0.060000	2.037414
	0.065000	2.047084
	0.070000	1.979393
	0.075000	1.979393
	0.080000	2.047084
	0.085000	2.050307
	0.090000	1.989063
	0.095000	1.972946
	0.100000	2.037414
	0.105000	2.050307
	0.110000	1.979393
	0.115000	1.969723
	0.120000	2.040637
	0.125000	2.053530
	0.130000	1.985840
	0.135000	1.979393
	0.140000	2.043860
	0.145000	2.053530
	0.150000	1.985840
	0.155000	1.976170
	0.160000	2.043860
	0.165000	2.047084
	0.170000	1.985840
	0.175000	1.972946
	0.180000	2.043860
	0.185000	2.053530
	0.190000	1.985840
	0.195000	1.979393
	0.200000	2.037414
	0.205000	2.050307
	0.210000	1.992287
	0.215000	1.979393
	0.220000	2.040637
	0.225000	2.053530
	0.230000	1.985840
	0.235000	1.979393
	0.240000	2.047084
	0.245000	2.053530
	0.250000	1.982617
	0.255000	1.972946
	0.260000	2.053530
	0.265000	2.056754
	0.270000	1.992287
	0.275000	1.985840
	0.280000	2.043860
	0.285000	2.053530
	0.290000	1.992287
	0.295000	1.985840
	0.300000	2.047084
	0.305000	2.056754
	0.310000	1.992287
	0.315000	1.985840
	0.320000	2.043860
	0.325000	2.059977
	0.330000	1.998733
	0.335000	1.982617
	0.340000	2.053530
	0.345000	2.059977
	0.350000	1.992287
	0.355000	1.982617
	0.360000	2.047084
	0.365000	2.066424
	0.370000	1.985840
	0.375000	1.982617
	0.380000	2.053530
	0.385000	2.056754
	0.390000	1.995510
	0.395000	1.985840
	0.400000	2.047084
	0.405000	2.063200
	0.410000	1.998733
	0.415000	1.982617
	0.420000	2.047084
	0.425000	2.059977
	0.430000	1.992287
	0.435000	1.995510
	0.440000	2.050307
	0.445000	2.056754
	0.450000	1.995510
	0.455000	1.985840
	0.460000	2.043860
	0.465000	2.063200
	0.470000	2.001957
	0.475000	1.979393
	0.480000	2.056754
	0.485000	2.063200
	0.490000	1.995510
	0.495000	1.989063
	0.500000	2.056754
	0.505000	2.059977
	0.510000	1.995510
	0.515000	1.989063
	0.520000	2.050307
	0.525000	2.063200
	0.530000	1.998733
	0.535000	1.998733
	0.540000	2.053530
	0.545000	2.063200
	0.550000	1.998733
	0.555000	1.989063
	0.560000	2.056754
	0.565000	2.066424
	0.570000	1.995510
	0.575000	1.989063
	0.580000	2.053530
	0.585000	2.059977
	0.590000	1.998733
	0.595000	1.992287
	0.600000	2.059977
	0.605000	2.063200
	0.610000	1.998733
	0.615000	1.995510
	0.620000	2.059977
	0.625000	2.063200
	0.630000	1.995510
	0.635000	1.992287
	0.640000	2.056754
	0.645000	2.072871
	0.650000	2.001957
	0.655000	1.992287
	0.660000	2.063200
	0.665000	2.072871
	0.670000	2.005180
	0.675000	1.995510
	0.680000	2.059977
	0.685000	2.069647
	0.690000	2.001957
	0.695000	1.995510
	0.700000	2.059977
	0.705000	2.066424
	0.710000	1.998733
	0.715000	1.995510
	0.720000	2.069647
	0.725000	2.069647
	0.730000	1.998733
	0.735000	2.001957
	0.740000	2.056754
	0.745000	2.066424
	0.750000	2.001957
	0.755000	1.995510
	0.760000	2.059977
	0.765000	2.066424
	0.770000	2.005180
	0.775000	1.998733
	0.780000	2.063200
	0.785000	2.069647
	0.790000	2.008403
	0.795000	1.995510
	0.800000	2.063200
	0.805000	2.072871
	0.810000	1.998733
	0.815000	1.998733
	0.820000	2.063200
	0.825000	2.069647
	0.830000	2.005180
	0.835000	1.998733
	0.840000	2.066424
	0.845000	2.079317
	0.850000	2.001957
	0.855000	2.001957
	0.860000	2.066424
	0.865000	2.072871
	0.870000	2.001957
	0.875000	2.001957
	0.880000	2.066424
	0.885000	2.076094
	0.890000	2.014850
	0.895000	2.001957
	0.900000	2.066424
	0.905000	2.076094
	0.910000	2.014850
	0.915000	2.001957
	0.920000	2.066424
	0.925000	2.076094
	0.930000	2.005180
	0.935000	1.995510
	0.940000	2.059977
	0.945000	2.069647
	0.950000	2.008403
	0.955000	2.005180
	0.960000	2.076094
	0.965000	2.079317
	0.970000	2.008403
	0.975000	2.005180
	0.980000	2.066424
	0.985000	2.072871
	0.990000	2.005180
	0.995000	2.005180
	1.000000	2.069647
	1.005000	2.066424
	1.010000	2.001957
	1.015000	1.995510
	1.020000	2.066424
	1.025000	2.076094
	1.030000	2.001957
	1.035000	2.001957
	1.040000	2.066424
	1.045000	2.072871
	1.050000	2.005180
	1.055000	1.998733
	1.060000	2.069647
	1.065000	2.069647
	1.070000	1.998733
	1.075000	2.005180
	1.080000	2.072871
	1.085000	2.076094
	1.090000	2.011627
	1.095000	2.005180
	1.100000	2.069647
	1.105000	2.072871
	1.110000	2.005180
	1.115000	1.998733
	1.120000	2.063200
	1.125000	2.069647
	1.130000	2.008403
	1.135000	2.005180
	1.140000	2.076094
	1.145000	2.069647
	1.150000	2.008403
	1.155000	2.005180
	1.160000	2.069647
	1.165000	2.072871
	1.170000	2.001957
	1.175000	1.995510
	1.180000	2.069647
	1.185000	2.072871
	1.190000	2.001957
	1.195000	1.998733
	1.200000	2.066424
	1.205000	2.076094
	1.210000	2.008403
	1.215000	1.995510
	1.220000	2.069647
	1.225000	2.066424
	1.230000	2.005180
	1.235000	2.005180
	1.240000	2.069647
	1.245000	2.076094
	1.250000	2.008403
	1.255000	2.001957
	1.260000	2.069647
	1.265000	2.072871
	1.270000	2.001957
	1.275000	2.005180
	1.280000	2.069647
	1.285000	2.079317
	1.290000	2.008403
	1.295000	2.005180
	1.300000	2.066424
	1.305000	2.076094
	1.310000	2.005180
	1.315000	2.001957
	1.320000	2.069647
	1.325000	2.072871
	1.330000	2.008403
	1.335000	2.005180
	1.340000	2.066424
	1.345000	2.072871
	1.350000	2.005180
	1.355000	2.011627
	1.360000	2.076094
	1.365000	2.076094
	1.370000	2.008403
	1.375000	2.014850
	1.380000	2.069647
	1.385000	2.079317
	1.390000	2.014850
	1.395000	2.011627
	1.400000	2.079317
	1.405000	2.076094
	1.410000	2.011627
	1.415000	2.008403
	1.420000	2.082541
	1.425000	2.079317
	1.430000	2.021297
	1.435000	2.011627
	1.440000	2.079317
	1.445000	2.085764
	1.450000	2.011627
	1.455000	2.018073
	1.460000	2.082541
	1.465000	2.088987
	1.470000	2.021297
	1.475000	2.021297
	1.480000	2.092211
	1.485000	2.092211
	1.490000	2.024520
	1.495000	2.024520
	1.500000	2.098657
	1.505000	2.095434
	1.510000	2.027744
	1.515000	2.030967
	1.520000	2.095434
	1.525000	2.098657
	1.530000	2.040637
	1.535000	2.030967
	1.540000	2.105104
	1.545000	2.105104
	1.550000	2.037414
	1.555000	2.030967
	1.560000	2.105104
	1.565000	2.111551
	1.570000	2.043860
	1.575000	2.043860
	1.580000	2.108328
	1.585000	2.108328
	1.590000	2.043860
	1.595000	2.047084
	1.600000	2.114774
