2024/7/11 	 20:23:09 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.589624
	0.005000	-0.554167
	0.010000	-0.654091
	0.015000	-0.692771
	0.020000	-0.586401
	0.025000	-0.557390
	0.030000	-0.654091
	0.035000	-0.689548
	0.040000	-0.583177
	0.045000	-0.554167
	0.050000	-0.657314
	0.055000	-0.692771
	0.060000	-0.586401
	0.065000	-0.554167
	0.070000	-0.654091
	0.075000	-0.692771
	0.080000	-0.586401
	0.085000	-0.554167
	0.090000	-0.650868
	0.095000	-0.683101
	0.100000	-0.586401
	0.105000	-0.557390
	0.110000	-0.647644
	0.115000	-0.679878
	0.120000	-0.579954
	0.125000	-0.547720
	0.130000	-0.641198
	0.135000	-0.683101
	0.140000	-0.570284
	0.145000	-0.544497
	0.150000	-0.637974
	0.155000	-0.673431
	0.160000	-0.576730
	0.165000	-0.541274
	0.170000	-0.644421
	0.175000	-0.673431
	0.180000	-0.570284
	0.185000	-0.541274
	0.190000	-0.644421
	0.195000	-0.683101
	0.200000	-0.576730
	0.205000	-0.544497
	0.210000	-0.654091
	0.215000	-0.676655
	0.220000	-0.579954
	0.225000	-0.541274
	0.230000	-0.654091
	0.235000	-0.683101
	0.240000	-0.579954
	0.245000	-0.547720
	0.250000	-0.650868
	0.255000	-0.689548
	0.260000	-0.589624
	0.265000	-0.550944
	0.270000	-0.654091
	0.275000	-0.679878
	0.280000	-0.589624
	0.285000	-0.557390
	0.290000	-0.650868
	0.295000	-0.692771
	0.300000	-0.579954
	0.305000	-0.550944
	0.310000	-0.644421
	0.315000	-0.683101
	0.320000	-0.579954
	0.325000	-0.550944
	0.330000	-0.650868
	0.335000	-0.683101
	0.340000	-0.586401
	0.345000	-0.557390
	0.350000	-0.647644
	0.355000	-0.686325
	0.360000	-0.583177
	0.365000	-0.554167
	0.370000	-0.644421
	0.375000	-0.679878
	0.380000	-0.589624
	0.385000	-0.550944
	0.390000	-0.644421
	0.395000	-0.683101
	0.400000	-0.589624
	0.405000	-0.550944
	0.410000	-0.644421
	0.415000	-0.683101
	0.420000	-0.583177
	0.425000	-0.554167
	0.430000	-0.647644
	0.435000	-0.683101
	0.440000	-0.579954
	0.445000	-0.547720
	0.450000	-0.650868
	0.455000	-0.679878
	0.460000	-0.586401
	0.465000	-0.547720
	0.470000	-0.647644
	0.475000	-0.683101
	0.480000	-0.576730
	0.485000	-0.550944
	0.490000	-0.647644
	0.495000	-0.673431
	0.500000	-0.579954
	0.505000	-0.550944
	0.510000	-0.650868
	0.515000	-0.686325
	0.520000	-0.589624
	0.525000	-0.544497
	0.530000	-0.644421
	0.535000	-0.683101
	0.540000	-0.583177
	0.545000	-0.547720
	0.550000	-0.644421
	0.555000	-0.683101
	0.560000	-0.583177
	0.565000	-0.547720
	0.570000	-0.641198
	0.575000	-0.679878
	0.580000	-0.586401
	0.585000	-0.544497
	0.590000	-0.647644
	0.595000	-0.683101
	0.600000	-0.576730
	0.605000	-0.541274
	0.610000	-0.647644
	0.615000	-0.689548
	0.620000	-0.586401
	0.625000	-0.550944
	0.630000	-0.647644
	0.635000	-0.686325
	0.640000	-0.583177
	0.645000	-0.544497
	0.650000	-0.647644
	0.655000	-0.683101
	0.660000	-0.592847
	0.665000	-0.550944
	0.670000	-0.650868
	0.675000	-0.689548
	0.680000	-0.589624
	0.685000	-0.557390
	0.690000	-0.650868
	0.695000	-0.689548
	0.700000	-0.592847
	0.705000	-0.544497
	0.710000	-0.647644
	0.715000	-0.686325
	0.720000	-0.583177
	0.725000	-0.547720
	0.730000	-0.650868
	0.735000	-0.683101
	0.740000	-0.586401
	0.745000	-0.550944
	0.750000	-0.644421
	0.755000	-0.683101
	0.760000	-0.583177
	0.765000	-0.547720
