2024/7/11 	 20:17:40 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.438126
	0.005000	-0.363989
	0.010000	-0.370436
	0.015000	-0.451019
	0.020000	-0.438126
	0.025000	-0.367212
	0.030000	-0.370436
	0.035000	-0.451019
	0.040000	-0.441349
	0.045000	-0.370436
	0.050000	-0.373659
	0.055000	-0.460690
	0.060000	-0.451019
	0.065000	-0.370436
	0.070000	-0.383329
	0.075000	-0.463913
	0.080000	-0.454243
	0.085000	-0.376882
	0.090000	-0.380106
	0.095000	-0.460690
	0.100000	-0.454243
	0.105000	-0.376882
	0.110000	-0.392999
	0.115000	-0.467136
	0.120000	-0.457466
	0.125000	-0.380106
	0.130000	-0.386552
	0.135000	-0.473583
	0.140000	-0.463913
	0.145000	-0.389776
	0.150000	-0.392999
	0.155000	-0.473583
	0.160000	-0.463913
	0.165000	-0.380106
	0.170000	-0.396222
	0.175000	-0.473583
	0.180000	-0.457466
	0.185000	-0.386552
	0.190000	-0.389776
	0.195000	-0.460690
	0.200000	-0.460690
	0.205000	-0.383329
	0.210000	-0.392999
	0.215000	-0.470360
	0.220000	-0.460690
	0.225000	-0.386552
	0.230000	-0.386552
	0.235000	-0.467136
	0.240000	-0.457466
	0.245000	-0.386552
	0.250000	-0.392999
	0.255000	-0.467136
	0.260000	-0.460690
	0.265000	-0.386552
	0.270000	-0.389776
	0.275000	-0.473583
	0.280000	-0.463913
	0.285000	-0.380106
	0.290000	-0.389776
	0.295000	-0.470360
	0.300000	-0.463913
	0.305000	-0.386552
	0.310000	-0.392999
	0.315000	-0.473583
	0.320000	-0.463913
	0.325000	-0.392999
	0.330000	-0.396222
	0.335000	-0.483253
	0.340000	-0.470360
	0.345000	-0.399446
	0.350000	-0.399446
	0.355000	-0.476806
	0.360000	-0.480030
	0.365000	-0.399446
	0.370000	-0.399446
	0.375000	-0.480030
	0.380000	-0.476806
	0.385000	-0.402669
	0.390000	-0.402669
	0.395000	-0.480030
	0.400000	-0.480030
	0.405000	-0.392999
	0.410000	-0.402669
	0.415000	-0.486476
	0.420000	-0.480030
	0.425000	-0.396222
	0.430000	-0.405892
	0.435000	-0.483253
	0.440000	-0.480030
	0.445000	-0.405892
	0.450000	-0.405892
	0.455000	-0.486476
	0.460000	-0.480030
	0.465000	-0.402669
	0.470000	-0.409116
	0.475000	-0.489700
	0.480000	-0.480030
	0.485000	-0.412339
	0.490000	-0.412339
	0.495000	-0.492923
	0.500000	-0.486476
	0.505000	-0.409116
	0.510000	-0.418786
	0.515000	-0.496147
	0.520000	-0.483253
	0.525000	-0.412339
	0.530000	-0.418786
	0.535000	-0.496147
	0.540000	-0.489700
	0.545000	-0.409116
	0.550000	-0.422009
	0.555000	-0.496147
	0.560000	-0.489700
	0.565000	-0.415563
	0.570000	-0.415563
	0.575000	-0.499370
	0.580000	-0.492923
	0.585000	-0.415563
	0.590000	-0.422009
	0.595000	-0.496147
	0.600000	-0.502593
	0.605000	-0.422009
	0.610000	-0.418786
	0.615000	-0.499370
	0.620000	-0.496147
	0.625000	-0.418786
	0.630000	-0.425233
	0.635000	-0.502593
	0.640000	-0.499370
	0.645000	-0.418786
	0.650000	-0.425233
	0.655000	-0.502593
	0.660000	-0.496147
	0.665000	-0.422009
	0.670000	-0.418786
	0.675000	-0.499370
	0.680000	-0.502593
	0.685000	-0.425233
	0.690000	-0.422009
	0.695000	-0.499370
	0.700000	-0.496147
	0.705000	-0.422009
	0.710000	-0.428456
	0.715000	-0.496147
	0.720000	-0.502593
	0.725000	-0.418786
	0.730000	-0.428456
	0.735000	-0.502593
	0.740000	-0.499370
	0.745000	-0.425233
	0.750000	-0.425233
	0.755000	-0.502593
	0.760000	-0.496147
	0.765000	-0.425233
	0.770000	-0.425233
	0.775000	-0.499370
	0.780000	-0.502593
	0.785000	-0.425233
	0.790000	-0.425233
	0.795000	-0.509040
	0.800000	-0.505817
	0.805000	-0.425233
	0.810000	-0.428456
	0.815000	-0.509040
	0.820000	-0.509040
	0.825000	-0.425233
	0.830000	-0.422009
	0.835000	-0.509040
	0.840000	-0.505817
	0.845000	-0.431679
	0.850000	-0.431679
	0.855000	-0.505817
	0.860000	-0.512263
	0.865000	-0.438126
	0.870000	-0.428456
	0.875000	-0.512263
	0.880000	-0.509040
	0.885000	-0.428456
	0.890000	-0.431679
	0.895000	-0.509040
	0.900000	-0.505817
	0.905000	-0.434903
	0.910000	-0.431679
	0.915000	-0.512263
	0.920000	-0.509040
	0.925000	-0.434903
	0.930000	-0.431679
	0.935000	-0.512263
	0.940000	-0.515487
	0.945000	-0.438126
	0.950000	-0.431679
	0.955000	-0.515487
	0.960000	-0.512263
	0.965000	-0.431679
	0.970000	-0.438126
	0.975000	-0.509040
	0.980000	-0.518710
	0.985000	-0.438126
	0.990000	-0.441349
	0.995000	-0.518710
	1.000000	-0.515487
	1.005000	-0.438126
	1.010000	-0.434903
	1.015000	-0.512263
	1.020000	-0.518710
	1.025000	-0.441349
	1.030000	-0.438126
	1.035000	-0.509040
	1.040000	-0.515487
	1.045000	-0.431679
	1.050000	-0.441349
	1.055000	-0.518710
	1.060000	-0.521933
	1.065000	-0.438126
	1.070000	-0.441349
	1.075000	-0.518710
	1.080000	-0.525157
	1.085000	-0.447796
	1.090000	-0.438126
	1.095000	-0.515487
	1.100000	-0.518710
	1.105000	-0.441349
	1.110000	-0.438126
	1.115000	-0.521933
	1.120000	-0.525157
	1.125000	-0.441349
	1.130000	-0.444573
	1.135000	-0.515487
	1.140000	-0.521933
	1.145000	-0.444573
	1.150000	-0.438126
	1.155000	-0.518710
	1.160000	-0.518710
	1.165000	-0.444573
	1.170000	-0.441349
	1.175000	-0.521933
	1.180000	-0.525157
	1.185000	-0.447796
	1.190000	-0.444573
	1.195000	-0.521933
	1.200000	-0.525157
	1.205000	-0.451019
	1.210000	-0.444573
	1.215000	-0.525157
	1.220000	-0.534827
	1.225000	-0.454243
	1.230000	-0.438126
	1.235000	-0.528380
	1.240000	-0.531603
	1.245000	-0.457466
	1.250000	-0.441349
	1.255000	-0.525157
	1.260000	-0.531603
	1.265000	-0.457466
	1.270000	-0.444573
	1.275000	-0.525157
	1.280000	-0.528380
	1.285000	-0.451019
	1.290000	-0.444573
	1.295000	-0.525157
	1.300000	-0.534827
	1.305000	-0.463913
	1.310000	-0.447796
	1.315000	-0.525157
	1.320000	-0.528380
	1.325000	-0.457466
	1.330000	-0.447796
	1.335000	-0.521933
	1.340000	-0.531603
	1.345000	-0.454243
	1.350000	-0.451019
	1.355000	-0.525157
	1.360000	-0.525157
	1.365000	-0.454243
	1.370000	-0.444573
	1.375000	-0.525157
	1.380000	-0.531603
	1.385000	-0.457466
	1.390000	-0.444573
	1.395000	-0.525157
	1.400000	-0.531603
	1.405000	-0.454243
	1.410000	-0.444573
	1.415000	-0.515487
	1.420000	-0.525157
	1.425000	-0.447796
	1.430000	-0.444573
	1.435000	-0.521933
	1.440000	-0.528380
	1.445000	-0.454243
	1.450000	-0.444573
	1.455000	-0.521933
	1.460000	-0.525157
	1.465000	-0.451019
	1.470000	-0.441349
	1.475000	-0.521933
	1.480000	-0.531603
	1.485000	-0.454243
	1.490000	-0.438126
	1.495000	-0.518710
	1.500000	-0.531603
	1.505000	-0.451019
	1.510000	-0.441349
	1.515000	-0.521933
	1.520000	-0.525157
	1.525000	-0.454243
	1.530000	-0.441349
	1.535000	-0.515487
	1.540000	-0.521933
	1.545000	-0.451019
	1.550000	-0.434903
	1.555000	-0.518710
	1.560000	-0.528380
	1.565000	-0.447796
	1.570000	-0.438126
	1.575000	-0.518710
	1.580000	-0.525157
	1.585000	-0.447796
	1.590000	-0.438126
	1.595000	-0.512263
	1.600000	-0.528380
	1.605000	-0.441349
	1.610000	-0.425233
	1.615000	-0.502593
	1.620000	-0.515487
	1.625000	-0.438126
	1.630000	-0.422009
	1.635000	-0.502593
	1.640000	-0.509040
	1.645000	-0.434903
	1.650000	-0.415563
	1.655000	-0.499370
	1.660000	-0.509040
	1.665000	-0.428456
	1.670000	-0.422009
	1.675000	-0.499370
	1.680000	-0.509040
	1.685000	-0.431679
	1.690000	-0.422009
	1.695000	-0.499370
	1.700000	-0.509040
	1.705000	-0.434903
	1.710000	-0.422009
	1.715000	-0.499370
	1.720000	-0.509040
	1.725000	-0.441349
	1.730000	-0.418786
	1.735000	-0.502593
	1.740000	-0.512263
	1.745000	-0.431679
	1.750000	-0.415563
	1.755000	-0.492923
	1.760000	-0.512263
	1.765000	-0.438126
	1.770000	-0.422009
	1.775000	-0.502593
	1.780000	-0.512263
	1.785000	-0.434903
	1.790000	-0.415563
	1.795000	-0.496147
	1.800000	-0.512263
	1.805000	-0.438126
	1.810000	-0.422009
	1.815000	-0.492923
	1.820000	-0.505817
	1.825000	-0.434903
	1.830000	-0.418786
	1.835000	-0.496147
	1.840000	-0.512263
	1.845000	-0.428456
	1.850000	-0.425233
	1.855000	-0.502593
	1.860000	-0.502593
	1.865000	-0.438126
	1.870000	-0.418786
	1.875000	-0.499370
	1.880000	-0.509040
	1.885000	-0.434903
	1.890000	-0.418786
	1.895000	-0.496147
	1.900000	-0.512263
	1.905000	-0.434903
	1.910000	-0.415563
	1.915000	-0.496147
	1.920000	-0.512263
	1.925000	-0.438126
	1.930000	-0.418786
	1.935000	-0.502593
	1.940000	-0.505817
	1.945000	-0.431679
	1.950000	-0.418786
	1.955000	-0.492923
	1.960000	-0.512263
	1.965000	-0.431679
	1.970000	-0.415563
	1.975000	-0.492923
	1.980000	-0.509040
	1.985000	-0.434903
	1.990000	-0.418786
	1.995000	-0.489700
	2.000000	-0.512263
	2.005000	-0.431679
	2.010000	-0.418786
	2.015000	-0.489700
	2.020000	-0.502593
	2.025000	-0.434903
	2.030000	-0.405892
	2.035000	-0.486476
	2.040000	-0.509040
	2.045000	-0.434903
	2.050000	-0.412339
	2.055000	-0.492923
	2.060000	-0.509040
	2.065000	-0.428456
	2.070000	-0.415563
	2.075000	-0.486476
	2.080000	-0.505817
	2.085000	-0.428456
	2.090000	-0.412339
	2.095000	-0.489700
	2.100000	-0.502593
	2.105000	-0.431679
	2.110000	-0.412339
	2.115000	-0.483253
	2.120000	-0.496147
	2.125000	-0.418786
	2.130000	-0.412339
	2.135000	-0.486476
	2.140000	-0.499370
	2.145000	-0.422009
	2.150000	-0.412339
	2.155000	-0.480030
	2.160000	-0.502593
	2.165000	-0.425233
	2.170000	-0.405892
	2.175000	-0.480030
	2.180000	-0.499370
	2.185000	-0.428456
	2.190000	-0.405892
	2.195000	-0.480030
	2.200000	-0.499370
	2.205000	-0.422009
	2.210000	-0.409116
	2.215000	-0.483253
	2.220000	-0.496147
	2.225000	-0.425233
	2.230000	-0.405892
	2.235000	-0.476806
	2.240000	-0.496147
	2.245000	-0.425233
	2.250000	-0.405892
	2.255000	-0.480030
	2.260000	-0.496147
	2.265000	-0.422009
	2.270000	-0.399446
	2.275000	-0.480030
	2.280000	-0.492923
	2.285000	-0.422009
	2.290000	-0.396222
	2.295000	-0.476806
	2.300000	-0.492923
	2.305000	-0.425233
	2.310000	-0.399446
	2.315000	-0.470360
	2.320000	-0.499370
	2.325000	-0.425233
	2.330000	-0.399446
	2.335000	-0.470360
	2.340000	-0.489700
	2.345000	-0.425233
	2.350000	-0.399446
	2.355000	-0.480030
	2.360000	-0.492923
	2.365000	-0.422009
	2.370000	-0.396222
	2.375000	-0.467136
	2.380000	-0.496147
	2.385000	-0.418786
	2.390000	-0.396222
	2.395000	-0.476806
	2.400000	-0.489700
	2.405000	-0.418786
	2.410000	-0.396222
	2.415000	-0.470360
	2.420000	-0.496147
	2.425000	-0.422009
	2.430000	-0.392999
	2.435000	-0.467136
	2.440000	-0.492923
	2.445000	-0.425233
	2.450000	-0.399446
	2.455000	-0.473583
	2.460000	-0.492923
	2.465000	-0.425233
	2.470000	-0.405892
	2.475000	-0.476806
	2.480000	-0.492923
	2.485000	-0.428456
	2.490000	-0.405892
	2.495000	-0.473583
	2.500000	-0.486476
	2.505000	-0.409116
	2.510000	-0.380106
	2.515000	-0.451019
	2.520000	-0.463913
	2.525000	-0.399446
	2.530000	-0.363989
	2.535000	-0.425233
	2.540000	-0.438126
	2.545000	-0.367212
	2.550000	-0.331755
	2.555000	-0.392999
	2.560000	-0.418786
	2.565000	-0.351095
	2.570000	-0.318862
	2.575000	-0.386552
	2.580000	-0.402669
	2.585000	-0.315638
	2.590000	-0.299522
	2.595000	-0.363989
	2.600000	-0.383329
	2.605000	-0.309192
	2.610000	-0.276958
	2.615000	-0.344649
	2.620000	-0.367212
	2.625000	-0.293075
	2.630000	-0.257618
	2.635000	-0.328532
	2.640000	-0.347872
	2.645000	-0.276958
	2.650000	-0.244725
	2.655000	-0.305968
	2.660000	-0.328532
	2.665000	-0.254395
	2.670000	-0.228608
	2.675000	-0.296298
	2.680000	-0.309192
	2.685000	-0.247948
	2.690000	-0.218938
	2.695000	-0.289852
	2.700000	-0.305968
	2.705000	-0.238278
	2.710000	-0.222161
	2.715000	-0.289852
	2.720000	-0.318862
	2.725000	-0.244725
	2.730000	-0.225384
	2.735000	-0.296298
	2.740000	-0.328532
	2.745000	-0.264065
	2.750000	-0.251171
	2.755000	-0.322085
	2.760000	-0.360765
	2.765000	-0.302745
	2.770000	-0.286628
	2.775000	-0.370436
	2.780000	-0.405892
	2.785000	-0.360765
	2.790000	-0.354319
	2.795000	-0.431679
	2.800000	-0.463913
	2.805000	-0.405892
	2.810000	-0.405892
	2.815000	-0.476806
	2.820000	-0.518710
	2.825000	-0.467136
	2.830000	-0.447796
	2.835000	-0.528380
	2.840000	-0.557390
	2.845000	-0.496147
	2.850000	-0.470360
	2.855000	-0.534827
	2.860000	-0.554167
	2.865000	-0.486476
	2.870000	-0.454243
	2.875000	-0.515487
	2.880000	-0.525157
	2.885000	-0.451019
	2.890000	-0.415563
	2.895000	-0.463913
	2.900000	-0.476806
	2.905000	-0.399446
	2.910000	-0.357542
	2.915000	-0.402669
	2.920000	-0.405892
	2.925000	-0.322085
	2.930000	-0.280181
	2.935000	-0.322085
	2.940000	-0.334979
	2.945000	-0.244725
	2.950000	-0.199597
	2.955000	-0.251171
	2.960000	-0.264065
	2.965000	-0.189927
	2.970000	-0.160917
	2.975000	-0.228608
	2.980000	-0.254395
	2.985000	-0.186704
	2.990000	-0.167364
	2.995000	-0.241501
	3.000000	-0.273735
	3.005000	-0.218938
	3.010000	-0.189927
	3.015000	-0.273735
	3.020000	-0.312415
	3.025000	-0.251171
	3.030000	-0.225384
	3.035000	-0.296298
	3.040000	-0.328532
	3.045000	-0.273735
	3.050000	-0.257618
	3.055000	-0.322085
	3.060000	-0.367212
	3.065000	-0.309192
	3.070000	-0.280181
	3.075000	-0.351095
	3.080000	-0.392999
	3.085000	-0.331755
	3.090000	-0.309192
	3.095000	-0.383329
	3.100000	-0.418786
	3.105000	-0.360765
	3.110000	-0.334979
	3.115000	-0.405892
