2024/7/10 	 16:25:54 
 This file comes from Vt only measurement 	 1.000000E-2 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-23.044509
	0.005000	-22.270903
	0.010000	-21.529530
	0.015000	-22.303136
	0.020000	-23.076742
	0.025000	-22.335370
	0.030000	-21.465063
	0.035000	-22.238669
	0.040000	-22.980042
	0.045000	-22.335370
	0.050000	-21.529530
	0.055000	-22.270903
	0.060000	-23.044509
	0.065000	-22.206436
	0.070000	-21.432829
	0.075000	-22.238669
	0.080000	-23.012275
	0.085000	-22.174202
	0.090000	-21.465063
	0.095000	-22.141968
	0.100000	-23.012275
	0.105000	-22.206436
	0.110000	-21.400596
	0.115000	-22.109735
	0.120000	-22.947808
	0.125000	-22.206436
	0.130000	-21.400596
	0.135000	-22.174202
	0.140000	-22.947808
	0.145000	-22.109735
	0.150000	-21.336129
	0.155000	-22.174202
	0.160000	-22.851107
	0.165000	-22.109735
	0.170000	-21.336129
	0.175000	-22.109735
	0.180000	-22.883341
	0.185000	-22.077501
	0.190000	-21.336129
	0.195000	-22.013034
	0.200000	-22.818874
	0.205000	-22.077501
	0.210000	-21.336129
	0.215000	-22.077501
	0.220000	-22.851107
	0.225000	-22.045268
	0.230000	-21.271661
	0.235000	-22.141968
	0.240000	-22.818874
	0.245000	-22.077501
	0.250000	-21.303895
	0.255000	-22.013034
	0.260000	-22.851107
	0.265000	-22.077501
	0.270000	-21.271661
	0.275000	-22.013034
	0.280000	-22.754407
	0.285000	-21.980800
	0.290000	-21.271661
	0.295000	-22.013034
	0.300000	-22.786640
	0.305000	-21.980800
	0.310000	-21.336129
	0.315000	-22.013034
	0.320000	-22.754407
	0.325000	-22.013034
	0.330000	-21.239428
	0.335000	-22.013034
	0.340000	-22.786640
	0.345000	-21.980800
	0.350000	-21.239428
	0.355000	-21.980800
	0.360000	-22.754407
	0.365000	-21.948567
	0.370000	-21.207194
	0.375000	-22.013034
	0.380000	-22.754407
	0.385000	-22.013034
	0.390000	-21.207194
	0.395000	-21.916333
	0.400000	-22.722173
	0.405000	-21.916333
	0.410000	-21.142727
	0.415000	-22.013034
	0.420000	-22.722173
	0.425000	-21.916333
	0.430000	-21.174961
	0.435000	-21.916333
	0.440000	-22.754407
	0.445000	-21.916333
	0.450000	-21.174961
	0.455000	-21.948567
	0.460000	-22.689939
	0.465000	-21.884100
	0.470000	-21.142727
	0.475000	-21.851866
	0.480000	-22.593239
	0.485000	-21.851866
	0.490000	-21.078260
	0.495000	-21.884100
	0.500000	-22.625472
	0.505000	-21.787399
	0.510000	-21.110493
	0.515000	-21.851866
	0.520000	-22.593239
	0.525000	-21.787399
	0.530000	-21.078260
	0.535000	-21.851866
	0.540000	-22.528771
	0.545000	-21.851866
	0.550000	-21.046026
	0.555000	-21.916333
	0.560000	-22.561005
	0.565000	-21.755165
	0.570000	-20.981559
	0.575000	-21.851866
	0.580000	-22.528771
	0.585000	-21.755165
	0.590000	-20.981559
	0.595000	-21.851866
	0.600000	-22.528771
	0.605000	-21.722932
	0.610000	-21.013793
	0.615000	-21.787399
	0.620000	-22.593239
	0.625000	-21.722932
	0.630000	-20.981559
	0.635000	-21.722932
	0.640000	-22.496538
	0.645000	-21.658465
	0.650000	-20.949326
	0.655000	-21.787399
	0.660000	-22.496538
	0.665000	-21.658465
	0.670000	-20.917092
	0.675000	-21.755165
	0.680000	-22.399837
	0.685000	-21.561764
	0.690000	-20.949326
	0.695000	-21.690698
	0.700000	-22.399837
	0.705000	-21.593997
	0.710000	-20.884858
	0.715000	-21.593997
	0.720000	-22.432071
	0.725000	-21.561764
	0.730000	-20.820391
	0.735000	-21.626231
	0.740000	-22.367603
	0.745000	-21.529530
	0.750000	-20.755924
	0.755000	-21.561764
	0.760000	-22.270903
	0.765000	-21.465063
	0.770000	-20.691457
	0.775000	-21.529530
	0.780000	-22.303136
	0.785000	-21.497297
	0.790000	-20.755924
	0.795000	-21.593997
	0.800000	-22.303136
	0.805000	-21.432829
	0.810000	-20.691457
	0.815000	-21.497297
	0.820000	-22.270903
	0.825000	-21.400596
	0.830000	-20.691457
	0.835000	-21.529530
	0.840000	-22.238669
	0.845000	-21.432829
	0.850000	-20.691457
	0.855000	-21.529530
	0.860000	-22.174202
	0.865000	-21.400596
	0.870000	-20.659223
	0.875000	-21.497297
	0.880000	-22.174202
	0.885000	-21.336129
	0.890000	-20.659223
	0.895000	-21.400596
	0.900000	-22.174202
	0.905000	-21.336129
	0.910000	-20.659223
	0.915000	-21.400596
	0.920000	-22.174202
	0.925000	-21.271661
	0.930000	-20.530289
	0.935000	-21.432829
	0.940000	-22.109735
	0.945000	-21.239428
	0.950000	-20.530289
	0.955000	-21.368362
	0.960000	-22.109735
	0.965000	-21.174961
	0.970000	-20.465822
	0.975000	-21.271661
	0.980000	-21.851866
	0.985000	-20.788158
	0.990000	-20.111252
	0.995000	-20.788158
	1.000000	-21.271661
	1.005000	-20.304654
	1.010000	-19.434347
	1.015000	-20.079019
	1.020000	-20.498055
	1.025000	-19.434347
	1.030000	-18.564040
	1.035000	-19.144245
	1.040000	-19.659982
	1.045000	-18.596274
	1.050000	-17.693733
	1.055000	-18.306171
	1.060000	-18.854142
	1.065000	-17.822667
	1.070000	-17.049061
	1.075000	-17.629266
