2024/7/11 	 10:23:49 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	1.015609
	0.005000	0.922131
	0.010000	0.886674
	0.015000	0.967258
	0.020000	1.012385
	0.025000	0.928578
	0.030000	0.880228
	0.035000	0.967258
	0.040000	1.015609
	0.045000	0.931801
	0.050000	0.886674
	0.055000	0.973705
	0.060000	1.009162
	0.065000	0.925355
	0.070000	0.889898
	0.075000	0.973705
	0.080000	1.012385
	0.085000	0.931801
	0.090000	0.883451
	0.095000	0.967258
	0.100000	1.009162
	0.105000	0.922131
	0.110000	0.880228
	0.115000	0.964035
	0.120000	1.012385
	0.125000	0.925355
	0.130000	0.883451
	0.135000	0.964035
	0.140000	1.015609
	0.145000	0.925355
	0.150000	0.883451
	0.155000	0.960812
	0.160000	1.018832
	0.165000	0.925355
	0.170000	0.883451
	0.175000	0.967258
	0.180000	1.005939
	0.185000	0.925355
	0.190000	0.883451
	0.195000	0.967258
	0.200000	1.012385
	0.205000	0.928578
	0.210000	0.883451
	0.215000	0.973705
	0.220000	1.012385
	0.225000	0.931801
	0.230000	0.883451
	0.235000	0.970482
	0.240000	1.018832
	0.245000	0.931801
	0.250000	0.883451
	0.255000	0.964035
	0.260000	1.015609
	0.265000	0.928578
	0.270000	0.883451
	0.275000	0.967258
	0.280000	1.015609
	0.285000	0.938248
	0.290000	0.883451
	0.295000	0.973705
	0.300000	1.018832
	0.305000	0.938248
	0.310000	0.880228
	0.315000	0.970482
	0.320000	1.025279
	0.325000	0.935025
	0.330000	0.886674
	0.335000	0.976929
	0.340000	1.018832
	0.345000	0.938248
	0.350000	0.893121
	0.355000	0.970482
	0.360000	1.025279
	0.365000	0.935025
	0.370000	0.886674
	0.375000	0.970482
	0.380000	1.025279
	0.385000	0.941472
	0.390000	0.889898
	0.395000	0.970482
	0.400000	1.022056
	0.405000	0.935025
	0.410000	0.893121
	0.415000	0.970482
	0.420000	1.022056
	0.425000	0.944695
	0.430000	0.886674
	0.435000	0.967258
	0.440000	1.018832
	0.445000	0.944695
	0.450000	0.889898
	0.455000	0.967258
	0.460000	1.018832
	0.465000	0.938248
	0.470000	0.893121
	0.475000	0.967258
	0.480000	1.025279
	0.485000	0.941472
	0.490000	0.886674
	0.495000	0.967258
	0.500000	1.025279
	0.505000	0.938248
	0.510000	0.896345
	0.515000	0.973705
	0.520000	1.015609
	0.525000	0.944695
	0.530000	0.880228
	0.535000	0.976929
	0.540000	1.028502
	0.545000	0.938248
	0.550000	0.893121
	0.555000	0.980152
	0.560000	1.025279
	0.565000	0.947918
	0.570000	0.889898
	0.575000	0.970482
	0.580000	1.025279
	0.585000	0.944695
	0.590000	0.889898
	0.595000	0.970482
	0.600000	1.028502
	0.605000	0.941472
	0.610000	0.889898
	0.615000	0.976929
	0.620000	1.025279
	0.625000	0.938248
	0.630000	0.883451
	0.635000	0.964035
	0.640000	1.025279
	0.645000	0.944695
	0.650000	0.886674
	0.655000	0.973705
	0.660000	1.025279
	0.665000	0.947918
