2024/7/10 	 16:33:20 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-2.307674
	0.005000	-2.294781
	0.010000	-2.352801
	0.015000	-2.368918
	0.020000	-2.294781
	0.025000	-2.288334
	0.030000	-2.362471
	0.035000	-2.372141
	0.040000	-2.298004
	0.045000	-2.291557
	0.050000	-2.359248
	0.055000	-2.365695
	0.060000	-2.304451
	0.065000	-2.298004
	0.070000	-2.362471
	0.075000	-2.372141
	0.080000	-2.307674
	0.085000	-2.294781
	0.090000	-2.365695
	0.095000	-2.381811
	0.100000	-2.307674
	0.105000	-2.294781
	0.110000	-2.368918
	0.115000	-2.372141
	0.120000	-2.307674
	0.125000	-2.298004
	0.130000	-2.375365
	0.135000	-2.378588
	0.140000	-2.310898
	0.145000	-2.304451
	0.150000	-2.372141
	0.155000	-2.385035
	0.160000	-2.314121
	0.165000	-2.307674
	0.170000	-2.375365
	0.175000	-2.378588
	0.180000	-2.320568
	0.185000	-2.304451
	0.190000	-2.378588
	0.195000	-2.391482
	0.200000	-2.320568
	0.205000	-2.310898
	0.210000	-2.385035
	0.215000	-2.391482
	0.220000	-2.330238
	0.225000	-2.307674
	0.230000	-2.394705
	0.235000	-2.401152
	0.240000	-2.327014
	0.245000	-2.317344
	0.250000	-2.388258
	0.255000	-2.401152
	0.260000	-2.327014
	0.265000	-2.327014
	0.270000	-2.397928
	0.275000	-2.401152
	0.280000	-2.333461
	0.285000	-2.327014
	0.290000	-2.397928
	0.295000	-2.410822
	0.300000	-2.333461
	0.305000	-2.330238
	0.310000	-2.397928
	0.315000	-2.410822
	0.320000	-2.336684
	0.325000	-2.333461
	0.330000	-2.401152
	0.335000	-2.407598
	0.340000	-2.343131
	0.345000	-2.330238
	0.350000	-2.404375
	0.355000	-2.404375
	0.360000	-2.346355
	0.365000	-2.333461
	0.370000	-2.407598
	0.375000	-2.410822
	0.380000	-2.343131
	0.385000	-2.333461
	0.390000	-2.401152
	0.395000	-2.410822
	0.400000	-2.346355
	0.405000	-2.343131
	0.410000	-2.410822
	0.415000	-2.417268
	0.420000	-2.346355
	0.425000	-2.339908
	0.430000	-2.407598
	0.435000	-2.417268
	0.440000	-2.346355
	0.445000	-2.346355
	0.450000	-2.407598
	0.455000	-2.420492
	0.460000	-2.356025
	0.465000	-2.339908
	0.470000	-2.407598
	0.475000	-2.423715
	0.480000	-2.349578
	0.485000	-2.346355
	0.490000	-2.410822
	0.495000	-2.417268
	0.500000	-2.359248
	0.505000	-2.346355
	0.510000	-2.420492
