2024/7/20 	 9:42:06 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.195762
	0.005000	-0.110256
	0.010000	-0.162875
	0.015000	-0.245093
	0.020000	-0.195762
	0.025000	-0.113544
	0.030000	-0.162875
	0.035000	-0.245093
	0.040000	-0.192474
	0.045000	-0.110256
	0.050000	-0.166164
	0.055000	-0.245093
	0.060000	-0.192474
	0.065000	-0.113544
	0.070000	-0.162875
	0.075000	-0.248382
	0.080000	-0.199051
	0.085000	-0.110256
	0.090000	-0.166164
	0.095000	-0.248382
	0.100000	-0.192474
	0.105000	-0.110256
	0.110000	-0.162875
	0.115000	-0.248382
	0.120000	-0.195762
	0.125000	-0.113544
	0.130000	-0.162875
	0.135000	-0.248382
	0.140000	-0.192474
	0.145000	-0.113544
	0.150000	-0.166164
	0.155000	-0.248382
	0.160000	-0.195762
	0.165000	-0.116833
	0.170000	-0.169453
	0.175000	-0.251671
	0.180000	-0.199051
	0.185000	-0.113544
	0.190000	-0.166164
	0.195000	-0.251671
	0.200000	-0.195762
	0.205000	-0.116833
	0.210000	-0.169453
	0.215000	-0.254959
	0.220000	-0.195762
	0.225000	-0.116833
	0.230000	-0.169453
	0.235000	-0.258248
	0.240000	-0.202340
	0.245000	-0.116833
	0.250000	-0.169453
	0.255000	-0.251671
	0.260000	-0.195762
	0.265000	-0.116833
	0.270000	-0.172741
	0.275000	-0.254959
	0.280000	-0.195762
	0.285000	-0.116833
	0.290000	-0.172741
	0.295000	-0.251671
	0.300000	-0.192474
	0.305000	-0.116833
	0.310000	-0.172741
	0.315000	-0.251671
	0.320000	-0.192474
	0.325000	-0.116833
	0.330000	-0.169453
	0.335000	-0.254959
	0.340000	-0.199051
	0.345000	-0.120122
	0.350000	-0.172741
	0.355000	-0.251671
	0.360000	-0.195762
	0.365000	-0.116833
	0.370000	-0.172741
	0.375000	-0.251671
	0.380000	-0.195762
	0.385000	-0.116833
	0.390000	-0.176030
	0.395000	-0.254959
	0.400000	-0.195762
	0.405000	-0.116833
	0.410000	-0.172741
	0.415000	-0.254959
	0.420000	-0.192474
	0.425000	-0.116833
	0.430000	-0.176030
	0.435000	-0.251671
	0.440000	-0.192474
	0.445000	-0.116833
	0.450000	-0.172741
	0.455000	-0.251671
	0.460000	-0.192474
	0.465000	-0.116833
	0.470000	-0.176030
	0.475000	-0.251671
	0.480000	-0.189185
	0.485000	-0.116833
	0.490000	-0.172741
	0.495000	-0.251671
	0.500000	-0.192474
	0.505000	-0.113544
	0.510000	-0.172741
	0.515000	-0.251671
	0.520000	-0.189185
	0.525000	-0.113544
	0.530000	-0.172741
	0.535000	-0.248382
	0.540000	-0.189185
	0.545000	-0.113544
	0.550000	-0.172741
	0.555000	-0.251671
	0.560000	-0.185896
	0.565000	-0.110256
	0.570000	-0.172741
	0.575000	-0.245093
	0.580000	-0.189185
	0.585000	-0.110256
	0.590000	-0.172741
	0.595000	-0.248382
	0.600000	-0.189185
	0.605000	-0.106967
	0.610000	-0.179319
	0.615000	-0.251671
	0.620000	-0.192474
	0.625000	-0.113544
	0.630000	-0.176030
	0.635000	-0.258248
	0.640000	-0.195762
	0.645000	-0.120122
	0.650000	-0.179319
	0.655000	-0.264826
	0.660000	-0.199051
	0.665000	-0.123410
	0.670000	-0.185896
	0.675000	-0.268114
	0.680000	-0.205628
	0.685000	-0.126699
	0.690000	-0.189185
	0.695000	-0.268114
	0.700000	-0.202340
	0.705000	-0.126699
	0.710000	-0.192474
	0.715000	-0.264826
	0.720000	-0.199051
	0.725000	-0.126699
	0.730000	-0.189185
	0.735000	-0.268114
	0.740000	-0.202340
	0.745000	-0.126699
	0.750000	-0.189185
	0.755000	-0.261537
	0.760000	-0.199051
	0.765000	-0.129988
	0.770000	-0.185896
	0.775000	-0.268114
	0.780000	-0.199051
	0.785000	-0.129988
	0.790000	-0.192474
	0.795000	-0.264826
	0.800000	-0.195762
