2024/7/31 	 15:44:20 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.814042
	0.005000	-0.892972
	0.010000	-0.787732
	0.015000	-0.712092
	0.020000	-0.807465
	0.025000	-0.886394
	0.030000	-0.787732
	0.035000	-0.705514
	0.040000	-0.807465
	0.045000	-0.883105
	0.050000	-0.784444
	0.055000	-0.705514
	0.060000	-0.800887
	0.065000	-0.883105
	0.070000	-0.781155
	0.075000	-0.705514
	0.080000	-0.800887
	0.085000	-0.879817
	0.090000	-0.777866
	0.095000	-0.695648
	0.100000	-0.794310
	0.105000	-0.879817
	0.110000	-0.777866
	0.115000	-0.695648
	0.120000	-0.797599
	0.125000	-0.873239
	0.130000	-0.777866
	0.135000	-0.695648
	0.140000	-0.794310
	0.145000	-0.866662
	0.150000	-0.771289
	0.155000	-0.692359
	0.160000	-0.791021
	0.165000	-0.866662
	0.170000	-0.764711
	0.175000	-0.689071
	0.180000	-0.784444
	0.185000	-0.866662
	0.190000	-0.764711
	0.195000	-0.685782
	0.200000	-0.787732
	0.205000	-0.866662
	0.210000	-0.764711
	0.215000	-0.685782
	0.220000	-0.784444
	0.225000	-0.863373
	0.230000	-0.761423
	0.235000	-0.682493
	0.240000	-0.784444
	0.245000	-0.860084
	0.250000	-0.761423
	0.255000	-0.679205
	0.260000	-0.781155
	0.265000	-0.860084
	0.270000	-0.758134
	0.275000	-0.679205
	0.280000	-0.774578
	0.285000	-0.856796
	0.290000	-0.758134
	0.295000	-0.679205
	0.300000	-0.774578
	0.305000	-0.856796
	0.310000	-0.758134
	0.315000	-0.672627
	0.320000	-0.774578
	0.325000	-0.856796
	0.330000	-0.751556
	0.335000	-0.669338
	0.340000	-0.774578
	0.345000	-0.850218
	0.350000	-0.754845
	0.355000	-0.666050
	0.360000	-0.774578
	0.365000	-0.846929
	0.370000	-0.754845
	0.375000	-0.669338
	0.380000	-0.764711
	0.385000	-0.846929
