2024/7/31 	 15:53:39 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.909415
	0.005000	-0.827197
	0.010000	-0.968612
	0.015000	-1.044253
	0.020000	-0.909415
	0.025000	-0.827197
	0.030000	-0.962035
	0.035000	-1.047542
	0.040000	-0.906126
	0.045000	-0.823908
	0.050000	-0.955457
	0.055000	-1.040964
	0.060000	-0.909415
	0.065000	-0.817331
	0.070000	-0.952169
	0.075000	-1.034387
	0.080000	-0.906126
	0.085000	-0.820620
	0.090000	-0.952169
	0.095000	-1.027809
	0.100000	-0.896260
	0.105000	-0.814042
	0.110000	-0.942302
	0.115000	-1.027809
	0.120000	-0.892972
	0.125000	-0.814042
	0.130000	-0.939014
	0.135000	-1.027809
	0.140000	-0.896260
	0.145000	-0.810754
	0.150000	-0.935725
	0.155000	-1.024520
	0.160000	-0.889683
	0.165000	-0.804176
	0.170000	-0.932436
	0.175000	-1.014654
	0.180000	-0.889683
	0.185000	-0.797599
	0.190000	-0.935725
	0.195000	-1.014654
	0.200000	-0.886394
	0.205000	-0.800887
	0.210000	-0.925859
	0.215000	-1.008077
	0.220000	-0.883105
	0.225000	-0.794310
	0.230000	-0.922570
	0.235000	-1.008077
	0.240000	-0.879817
	0.245000	-0.791021
	0.250000	-0.919281
	0.255000	-1.011366
	0.260000	-0.876528
	0.265000	-0.787732
	0.270000	-0.919281
	0.275000	-1.008077
	0.280000	-0.876528
	0.285000	-0.777866
	0.290000	-0.912704
	0.295000	-1.001499
	0.300000	-0.869951
	0.305000	-0.787732
	0.310000	-0.909415
	0.315000	-0.998211
	0.320000	-0.873239
	0.325000	-0.777866
	0.330000	-0.902838
	0.335000	-1.001499
	0.340000	-0.869951
	0.345000	-0.774578
	0.350000	-0.902838
	0.355000	-0.991633
	0.360000	-0.860084
	0.365000	-0.768000
	0.370000	-0.896260
	0.375000	-0.988345
	0.380000	-0.860084
	0.385000	-0.771289
	0.390000	-0.892972
	0.395000	-0.985056
	0.400000	-0.860084
	0.405000	-0.764711
	0.410000	-0.892972
	0.415000	-0.981767
	0.420000	-0.856796
	0.425000	-0.761423
	0.430000	-0.886394
	0.435000	-0.985056
	0.440000	-0.856796
	0.445000	-0.764711
	0.450000	-0.883105
	0.455000	-0.978478
	0.460000	-0.853507
	0.465000	-0.758134
	0.470000	-0.883105
	0.475000	-0.978478
	0.480000	-0.853507
	0.485000	-0.754845
	0.490000	-0.879817
	0.495000	-0.971901
	0.500000	-0.850218
	0.505000	-0.748268
	0.510000	-0.873239
	0.515000	-0.968612
	0.520000	-0.846929
	0.525000	-0.744979
	0.530000	-0.869951
	0.535000	-0.971901
	0.540000	-0.843641
	0.545000	-0.748268
	0.550000	-0.866662
	0.555000	-0.965323
	0.560000	-0.843641
	0.565000	-0.748268
	0.570000	-0.860084
