2024/7/31 	 15:52:16 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.866662
	0.005000	-0.695648
	0.010000	-0.620008
	0.015000	-0.794310
	0.020000	-0.876528
	0.025000	-0.705514
	0.030000	-0.626585
	0.035000	-0.800887
	0.040000	-0.879817
	0.045000	-0.705514
	0.050000	-0.629874
	0.055000	-0.804176
	0.060000	-0.889683
	0.065000	-0.712092
	0.070000	-0.636451
	0.075000	-0.810754
	0.080000	-0.892972
	0.085000	-0.718669
	0.090000	-0.639740
	0.095000	-0.817331
	0.100000	-0.899549
	0.105000	-0.721958
	0.110000	-0.646317
	0.115000	-0.820620
	0.120000	-0.909415
	0.125000	-0.735113
	0.130000	-0.652895
	0.135000	-0.827197
	0.140000	-0.909415
	0.145000	-0.741690
	0.150000	-0.659472
	0.155000	-0.830486
	0.160000	-0.922570
	0.165000	-0.751556
	0.170000	-0.666050
	0.175000	-0.840352
	0.180000	-0.929148
	0.185000	-0.754845
	0.190000	-0.672627
	0.195000	-0.843641
	0.200000	-0.932436
	0.205000	-0.758134
	0.210000	-0.672627
	0.215000	-0.846929
	0.220000	-0.935725
	0.225000	-0.761423
	0.230000	-0.682493
	0.235000	-0.856796
	0.240000	-0.939014
	0.245000	-0.768000
	0.250000	-0.685782
	0.255000	-0.856796
	0.260000	-0.942302
	0.265000	-0.774578
	0.270000	-0.692359
	0.275000	-0.856796
	0.280000	-0.952169
	0.285000	-0.777866
	0.290000	-0.689071
	0.295000	-0.863373
	0.300000	-0.955457
	0.305000	-0.787732
	0.310000	-0.698937
	0.315000	-0.869951
	0.320000	-0.962035
	0.325000	-0.791021
	0.330000	-0.698937
	0.335000	-0.873239
	0.340000	-0.965323
	0.345000	-0.797599
	0.350000	-0.698937
	0.355000	-0.876528
	0.360000	-0.965323
	0.365000	-0.800887
	0.370000	-0.708803
	0.375000	-0.879817
	0.380000	-0.971901
	0.385000	-0.804176
	0.390000	-0.708803
	0.395000	-0.879817
	0.400000	-0.971901
	0.405000	-0.810754
	0.410000	-0.712092
	0.415000	-0.883105
	0.420000	-0.975190
	0.425000	-0.814042
	0.430000	-0.721958
	0.435000	-0.886394
	0.440000	-0.978478
	0.445000	-0.817331
	0.450000	-0.718669
	0.455000	-0.886394
	0.460000	-0.981767
	0.465000	-0.817331
	0.470000	-0.718669
	0.475000	-0.892972
	0.480000	-0.988345
	0.485000	-0.823908
	0.490000	-0.725247
	0.495000	-0.892972
	0.500000	-0.994922
	0.505000	-0.830486
	0.510000	-0.725247
	0.515000	-0.892972
	0.520000	-0.994922
	0.525000	-0.830486
	0.530000	-0.735113
	0.535000	-0.896260
	0.540000	-0.998211
	0.545000	-0.833775
	0.550000	-0.728535
	0.555000	-0.896260
	0.560000	-1.001499
	0.565000	-0.833775
	0.570000	-0.735113
	0.575000	-0.902838
	0.580000	-1.001499
	0.585000	-0.840352
	0.590000	-0.738402
	0.595000	-0.902838
	0.600000	-1.004788
	0.605000	-0.840352
	0.610000	-0.741690
	0.615000	-0.906126
	0.620000	-1.004788
	0.625000	-0.843641
	0.630000	-0.741690
	0.635000	-0.909415
	0.640000	-1.008077
	0.645000	-0.846929
	0.650000	-0.744979
	0.655000	-0.909415
	0.660000	-1.011366
	0.665000	-0.853507
	0.670000	-0.748268
	0.675000	-0.909415
	0.680000	-1.017943
	0.685000	-0.853507
	0.690000	-0.748268
	0.695000	-0.912704
	0.700000	-1.021232
	0.705000	-0.856796
	0.710000	-0.748268
	0.715000	-0.912704
	0.720000	-1.014654
	0.725000	-0.860084
	0.730000	-0.748268
	0.735000	-0.912704
	0.740000	-1.017943
	0.745000	-0.856796
	0.750000	-0.751556
	0.755000	-0.915993
	0.760000	-1.021232
	0.765000	-0.869951
	0.770000	-0.758134
	0.775000	-0.915993
	0.780000	-1.027809
	0.785000	-0.869951
	0.790000	-0.758134
	0.795000	-0.915993
	0.800000	-1.027809
	0.805000	-0.866662
	0.810000	-0.761423
	0.815000	-0.919281
	0.820000	-1.031098
	0.825000	-0.873239
	0.830000	-0.764711
	0.835000	-0.919281
	0.840000	-1.034387
	0.845000	-0.873239
	0.850000	-0.764711
	0.855000	-0.922570
	0.860000	-1.034387
	0.865000	-0.883105
	0.870000	-0.768000
	0.875000	-0.925859
	0.880000	-1.034387
	0.885000	-0.876528
	0.890000	-0.761423
	0.895000	-0.922570
	0.900000	-1.034387
	0.905000	-0.883105
	0.910000	-0.764711
	0.915000	-0.922570
	0.920000	-1.037675
	0.925000	-0.883105
	0.930000	-0.771289
	0.935000	-0.925859
	0.940000	-1.034387
	0.945000	-0.879817
	0.950000	-0.764711
	0.955000	-0.915993
	0.960000	-1.027809
	0.965000	-0.876528
	0.970000	-0.754845
	0.975000	-0.909415
	0.980000	-1.024520
	0.985000	-0.866662
	0.990000	-0.744979
	0.995000	-0.902838
	1.000000	-1.011366
	1.005000	-0.856796
	1.010000	-0.731824
	1.015000	-0.886394
	1.020000	-0.994922
	1.025000	-0.840352
	1.030000	-0.715381
	1.035000	-0.863373
	1.040000	-0.975190
	1.045000	-0.814042
	1.050000	-0.695648
	1.055000	-0.840352
	1.060000	-0.952169
	1.065000	-0.794310
	1.070000	-0.672627
	1.075000	-0.820620
	1.080000	-0.932436
	1.085000	-0.777866
	1.090000	-0.659472
	1.095000	-0.804176
	1.100000	-0.922570
	1.105000	-0.764711
	1.110000	-0.649606
	1.115000	-0.794310
	1.120000	-0.912704
	1.125000	-0.758134
	1.130000	-0.639740
	1.135000	-0.781155
	1.140000	-0.906126
	1.145000	-0.751556
	1.150000	-0.633162
	1.155000	-0.784444
	1.160000	-0.899549
	1.165000	-0.758134
	1.170000	-0.639740
	1.175000	-0.794310
	1.180000	-0.915993
	1.185000	-0.771289
	1.190000	-0.649606
	1.195000	-0.807465
	1.200000	-0.932436
	1.205000	-0.781155
	1.210000	-0.666050
	1.215000	-0.817331
	1.220000	-0.942302
	1.225000	-0.797599
	1.230000	-0.675916
	1.235000	-0.837063
	1.240000	-0.971901
	1.245000	-0.823908
	1.250000	-0.705514
	1.255000	-0.856796
	1.260000	-0.988345
	1.265000	-0.843641
	1.270000	-0.721958
	1.275000	-0.873239
	1.280000	-1.004788
	1.285000	-0.856796
	1.290000	-0.735113
	1.295000	-0.883105
	1.300000	-1.011366
	1.305000	-0.869951
	1.310000	-0.741690
	1.315000	-0.896260
	1.320000	-1.027809
	1.325000	-0.879817
	1.330000	-0.748268
	1.335000	-0.899549
	1.340000	-1.034387
	1.345000	-0.889683
	1.350000	-0.758134
	1.355000	-0.909415
	1.360000	-1.037675
	1.365000	-0.896260
	1.370000	-0.764711
	1.375000	-0.912704
	1.380000	-1.047542
	1.385000	-0.899549
	1.390000	-0.768000
	1.395000	-0.915993
	1.400000	-1.050830
	1.405000	-0.902838
	1.410000	-0.771289
	1.415000	-0.919281
	1.420000	-1.054119
	1.425000	-0.902838
