2024/7/31 	 15:49:05 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.169453
	0.005000	-0.041192
	0.010000	0.044314
	0.015000	-0.097101
	0.020000	-0.172741
	0.025000	-0.037904
	0.030000	0.041026
	0.035000	-0.090523
	0.040000	-0.169453
	0.045000	-0.034615
	0.050000	0.044314
	0.055000	-0.087234
	0.060000	-0.169453
	0.065000	-0.031326
	0.070000	0.047603
	0.075000	-0.080657
	0.080000	-0.159586
	0.085000	-0.031326
	0.090000	0.054181
	0.095000	-0.074080
	0.100000	-0.156298
	0.105000	-0.018171
	0.110000	0.064047
	0.115000	-0.064213
	0.120000	-0.146431
	0.125000	-0.011594
	0.130000	0.070624
	0.135000	-0.060925
	0.140000	-0.139854
	0.145000	-0.005016
	0.150000	0.070624
	0.155000	-0.051059
	0.160000	-0.133277
	0.165000	0.001561
	0.170000	0.083779
	0.175000	-0.051059
	0.180000	-0.129988
	0.185000	-0.001728
	0.190000	0.080490
	0.195000	-0.041192
	0.200000	-0.123410
	0.205000	0.004850
	0.210000	0.090357
	0.215000	-0.037904
	0.220000	-0.113544
	0.225000	0.014716
	0.230000	0.093645
	0.235000	-0.041192
	0.240000	-0.116833
	0.245000	0.014716
	0.250000	0.087068
	0.255000	-0.037904
	0.260000	-0.116833
	0.265000	0.011427
	0.270000	0.087068
	0.275000	-0.044481
	0.280000	-0.120122
	0.285000	0.008138
	0.290000	0.083779
	0.295000	-0.041192
	0.300000	-0.123410
	0.305000	0.004850
	0.310000	0.087068
	0.315000	-0.051059
	0.320000	-0.123410
	0.325000	0.001561
	0.330000	0.080490
	0.335000	-0.047770
	0.340000	-0.123410
	0.345000	0.004850
	0.350000	0.080490
	0.355000	-0.047770
	0.360000	-0.126699
	0.365000	0.001561
	0.370000	0.083779
	0.375000	-0.047770
	0.380000	-0.129988
	0.385000	0.001561
	0.390000	0.080490
	0.395000	-0.051059
	0.400000	-0.129988
	0.405000	0.008138
	0.410000	0.080490
	0.415000	-0.054347
	0.420000	-0.126699
	0.425000	0.001561
	0.430000	0.080490
	0.435000	-0.057636
	0.440000	-0.126699
	0.445000	0.001561
	0.450000	0.080490
	0.455000	-0.054347
	0.460000	-0.129988
	0.465000	0.004850
	0.470000	0.073913
	0.475000	-0.054347
	0.480000	-0.133277
	0.485000	-0.001728
	0.490000	0.080490
	0.495000	-0.051059
	0.500000	-0.126699
	0.505000	0.004850
	0.510000	0.083779
	0.515000	-0.054347
	0.520000	-0.133277
	0.525000	0.004850
	0.530000	0.077202
	0.535000	-0.054347
	0.540000	-0.126699
	0.545000	0.001561
	0.550000	0.080490
	0.555000	-0.054347
	0.560000	-0.126699
	0.565000	0.008138
	0.570000	0.083779
	0.575000	-0.051059
	0.580000	-0.126699
	0.585000	0.011427
	0.590000	0.083779
	0.595000	-0.054347
	0.600000	-0.129988
	0.605000	0.008138
	0.610000	0.087068
	0.615000	-0.044481
	0.620000	-0.120122
	0.625000	0.011427
	0.630000	0.087068
	0.635000	-0.037904
	0.640000	-0.116833
	0.645000	0.024582
	0.650000	0.093645
	0.655000	-0.034615
	0.660000	-0.106967
	0.665000	0.027871
	0.670000	0.106800
	0.675000	-0.028037
	0.680000	-0.100389
	0.685000	0.034448
	0.690000	0.116666
	0.695000	-0.014883
	0.700000	-0.090523
	0.705000	0.041026
	0.710000	0.123244
	0.715000	-0.011594
	0.720000	-0.083946
	0.725000	0.044314
	0.730000	0.123244
	0.735000	-0.011594
	0.740000	-0.087234
	0.745000	0.044314
	0.750000	0.119955
	0.755000	-0.014883
	0.760000	-0.087234
	0.765000	0.044314
	0.770000	0.126533
	0.775000	-0.008305
	0.780000	-0.080657
	0.785000	0.054181
	0.790000	0.129821
	0.795000	0.004850
	0.800000	-0.060925
	0.805000	0.073913
	0.810000	0.152842
	0.815000	0.031160
	0.820000	-0.034615
	0.825000	0.106800
	0.830000	0.182441
	0.835000	0.057469
	0.840000	-0.008305
	0.845000	0.119955
	0.850000	0.202173
	0.855000	0.080490
	0.860000	0.004850
	0.865000	0.139687
	0.870000	0.215328
	0.875000	0.080490
	0.880000	0.014716
	0.885000	0.149554
	0.890000	0.215328
	0.895000	0.090357
	0.900000	0.014716
	0.905000	0.139687
	0.910000	0.218617
	0.915000	0.083779
	0.920000	0.014716
	0.925000	0.139687
	0.930000	0.208751
	0.935000	0.077202
	0.940000	0.004850
	0.945000	0.133110
	0.950000	0.202173
	0.955000	0.073913
	0.960000	-0.001728
	0.965000	0.119955
	0.970000	0.195596
	0.975000	0.060758
	0.980000	-0.014883
	0.985000	0.110089
	0.990000	0.175863
	0.995000	0.044314
	1.000000	-0.034615
	1.005000	0.093645
	1.010000	0.165997
	1.015000	0.027871
	1.020000	-0.041192
	1.025000	0.083779
	1.030000	0.146265
	1.035000	0.014716
	1.040000	-0.057636
	1.045000	0.064047
	1.050000	0.136399
	1.055000	0.001561
	1.060000	-0.077368
	1.065000	0.057469
	1.070000	0.123244
	1.075000	-0.011594
	1.080000	-0.083946
	1.085000	0.047603
	1.090000	0.116666
	1.095000	-0.021460
	1.100000	-0.093812
	1.105000	0.041026
	1.110000	0.106800
	1.115000	-0.024749
	1.120000	-0.103678
	1.125000	0.034448
	1.130000	0.106800
	1.135000	-0.031326
	1.140000	-0.106967
	1.145000	0.024582
	1.150000	0.093645
	1.155000	-0.037904
	1.160000	-0.106967
	1.165000	0.024582
	1.170000	0.093645
	1.175000	-0.041192
	1.180000	-0.120122
	1.185000	0.014716
	1.190000	0.093645
	1.195000	-0.047770
	1.200000	-0.123410
	1.205000	0.018005
	1.210000	0.090357
	1.215000	-0.047770
	1.220000	-0.120122
	1.225000	0.014716
	1.230000	0.090357
	1.235000	-0.051059
	1.240000	-0.126699
	1.245000	0.018005
	1.250000	0.087068
	1.255000	-0.054347
	1.260000	-0.123410
	1.265000	0.011427
	1.270000	0.087068
	1.275000	-0.057636
	1.280000	-0.126699
	1.285000	0.011427
	1.290000	0.083779
	1.295000	-0.051059
	1.300000	-0.129988
	1.305000	0.004850
	1.310000	0.083779
	1.315000	-0.057636
	1.320000	-0.133277
	1.325000	0.004850
	1.330000	0.083779
	1.335000	-0.057636
	1.340000	-0.133277
	1.345000	0.008138
	1.350000	0.080490
	1.355000	-0.054347
	1.360000	-0.133277
	1.365000	0.008138
	1.370000	0.080490
	1.375000	-0.060925
	1.380000	-0.129988
	1.385000	0.008138
	1.390000	0.080490
	1.395000	-0.057636
	1.400000	-0.129988
	1.405000	0.004850
	1.410000	0.080490
	1.415000	-0.064213
	1.420000	-0.133277
	1.425000	0.008138
	1.430000	0.077202
	1.435000	-0.064213
	1.440000	-0.136565
	1.445000	0.008138
	1.450000	0.077202
	1.455000	-0.064213
	1.460000	-0.136565
	1.465000	0.011427
	1.470000	0.073913
	1.475000	-0.064213
	1.480000	-0.139854
	1.485000	0.004850
	1.490000	0.077202
	1.495000	-0.067502
	1.500000	-0.136565
	1.505000	0.004850
	1.510000	0.073913
	1.515000	-0.067502
	1.520000	-0.133277
	1.525000	0.008138
	1.530000	0.073913
	1.535000	-0.067502
	1.540000	-0.136565
	1.545000	0.004850
	1.550000	0.073913
	1.555000	-0.064213
	1.560000	-0.139854
	1.565000	0.001561
	1.570000	0.073913
	1.575000	-0.067502
	1.580000	-0.139854
	1.585000	0.001561
	1.590000	0.077202
	1.595000	-0.070791
	1.600000	-0.139854
	1.605000	-0.001728
	1.610000	0.070624
	1.615000	-0.070791
	1.620000	-0.136565
	1.625000	-0.001728
	1.630000	0.073913
	1.635000	-0.067502
	1.640000	-0.139854
	1.645000	-0.001728
	1.650000	0.070624
	1.655000	-0.070791
	1.660000	-0.143143
	1.665000	0.001561
	1.670000	0.077202
	1.675000	-0.067502
	1.680000	-0.143143
	1.685000	0.001561
	1.690000	0.070624
	1.695000	-0.067502
	1.700000	-0.136565
	1.705000	0.004850
	1.710000	0.077202
	1.715000	-0.067502
	1.720000	-0.139854
	1.725000	0.001561
	1.730000	0.077202
	1.735000	-0.067502
	1.740000	-0.136565
	1.745000	0.004850
	1.750000	0.073913
	1.755000	-0.070791
	1.760000	-0.133277
	1.765000	0.008138
	1.770000	0.073913
	1.775000	-0.070791
	1.780000	-0.136565
	1.785000	0.001561
	1.790000	0.073913
	1.795000	-0.064213
	1.800000	-0.136565
	1.805000	0.004850
	1.810000	0.073913
	1.815000	-0.064213
	1.820000	-0.139854
	1.825000	0.004850
	1.830000	0.073913
	1.835000	-0.067502
	1.840000	-0.133277
	1.845000	0.008138
	1.850000	0.070624
	1.855000	-0.070791
	1.860000	-0.136565
	1.865000	0.004850
	1.870000	0.077202
	1.875000	-0.067502
	1.880000	-0.139854
	1.885000	0.008138
	1.890000	0.073913
	1.895000	-0.067502
	1.900000	-0.136565
	1.905000	0.004850
	1.910000	0.073913
	1.915000	-0.067502
	1.920000	-0.143143
	1.925000	0.004850
	1.930000	0.070624
	1.935000	-0.070791
	1.940000	-0.143143
	1.945000	0.001561
	1.950000	0.070624
	1.955000	-0.074080
	1.960000	-0.139854
	1.965000	0.001561
	1.970000	0.073913
	1.975000	-0.074080
	1.980000	-0.143143
	1.985000	-0.001728
	1.990000	0.064047
	1.995000	-0.077368
	2.000000	-0.143143
	2.005000	0.001561
	2.010000	0.070624
	2.015000	-0.080657
	2.020000	-0.139854
	2.025000	-0.001728
	2.030000	0.067335
	2.035000	-0.074080
	2.040000	-0.143143
