2024/7/31 	 15:37:48 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.373187
	0.005000	0.475137
	0.010000	0.531045
	0.015000	0.442250
	0.020000	0.383053
	0.025000	0.485003
	0.030000	0.540912
	0.035000	0.448827
	0.040000	0.396208
	0.045000	0.498158
	0.050000	0.557355
	0.055000	0.458694
	0.060000	0.412651
	0.065000	0.501447
	0.070000	0.567221
	0.075000	0.471848
	0.080000	0.415940
	0.085000	0.514602
	0.090000	0.573799
	0.095000	0.478426
	0.100000	0.419229
	0.105000	0.524468
	0.110000	0.577088
	0.115000	0.485003
	0.120000	0.432384
	0.125000	0.527757
	0.130000	0.590242
	0.135000	0.491581
	0.140000	0.435672
	0.145000	0.537623
	0.150000	0.600109
	0.155000	0.501447
	0.160000	0.445539
	0.165000	0.550778
	0.170000	0.606686
	0.175000	0.514602
	0.180000	0.458694
	0.185000	0.554066
	0.190000	0.616552
	0.195000	0.514602
	0.200000	0.465271
	0.205000	0.567221
	0.210000	0.626418
	0.215000	0.527757
	0.220000	0.475137
	0.225000	0.577088
	0.230000	0.636285
	0.235000	0.540912
	0.240000	0.488292
	0.245000	0.590242
	0.250000	0.642862
	0.255000	0.550778
	0.260000	0.494869
	0.265000	0.603397
	0.270000	0.656017
	0.275000	0.557355
	0.280000	0.511313
	0.285000	0.609975
	0.290000	0.675749
	0.295000	0.570510
	0.300000	0.524468
	0.305000	0.626418
	0.310000	0.679038
	0.315000	0.583665
	0.320000	0.540912
	0.325000	0.639573
	0.330000	0.695482
	0.335000	0.596820
	0.340000	0.547489
	0.345000	0.649439
	0.350000	0.702059
	0.355000	0.609975
	0.360000	0.557355
	0.365000	0.665883
	0.370000	0.715214
	0.375000	0.623130
	0.380000	0.573799
	0.385000	0.679038
	0.390000	0.731657
	0.395000	0.636285
	0.400000	0.590242
	0.405000	0.698770
	0.410000	0.751390
	0.415000	0.649439
	0.420000	0.603397
	0.425000	0.708636
	0.430000	0.761256
	0.435000	0.665883
	0.440000	0.613263
	0.445000	0.721791
	0.450000	0.771122
	0.455000	0.672460
	0.460000	0.629707
	0.465000	0.731657
	0.470000	0.784277
	0.475000	0.688904
	0.480000	0.642862
	0.485000	0.741524
	0.490000	0.800721
	0.495000	0.698770
	0.500000	0.652728
	0.505000	0.748101
	0.510000	0.807298
	0.515000	0.708636
	0.520000	0.665883
	0.525000	0.761256
	0.530000	0.810587
	0.535000	0.715214
	0.540000	0.665883
	0.545000	0.767833
	0.550000	0.813876
	0.555000	0.721791
	0.560000	0.675749
	0.565000	0.777700
	0.570000	0.830319
	0.575000	0.728369
	0.580000	0.682327
	0.585000	0.784277
	0.590000	0.836897
	0.595000	0.738235
	0.600000	0.688904
	0.605000	0.790854
	0.610000	0.843474
	0.615000	0.741524
	0.620000	0.695482
	0.625000	0.800721
	0.630000	0.846763
	0.635000	0.754679
	0.640000	0.708636
	0.645000	0.807298
	0.650000	0.853340
	0.655000	0.757967
	0.660000	0.708636
	0.665000	0.817164
	0.670000	0.866495
	0.675000	0.764545
	0.680000	0.721791
	0.685000	0.827030
	0.690000	0.876361
	0.695000	0.774411
	0.700000	0.731657
	0.705000	0.830319
	0.710000	0.879650
	0.715000	0.780988
	0.720000	0.738235
	0.725000	0.843474
	0.730000	0.886227
	0.735000	0.790854
	0.740000	0.741524
	0.745000	0.846763
	0.750000	0.896094
	0.755000	0.797432
	0.760000	0.751390
	0.765000	0.859918
	0.770000	0.905960
	0.775000	0.804009
	0.780000	0.761256
	0.785000	0.866495
	0.790000	0.922403
	0.795000	0.813876
	0.800000	0.771122
	0.805000	0.879650
	0.810000	0.925692
	0.815000	0.827030
	0.820000	0.784277
	0.825000	0.886227
	0.830000	0.938847
	0.835000	0.836897
	0.840000	0.794143
	0.845000	0.896094
	0.850000	0.945424
	0.855000	0.843474
	0.860000	0.800721
	0.865000	0.902671
	0.870000	0.948713
	0.875000	0.853340
	0.880000	0.813876
	0.885000	0.912537
	0.890000	0.958579
	0.895000	0.859918
	0.900000	0.820453
	0.905000	0.925692
	0.910000	0.975023
	0.915000	0.866495
	0.920000	0.833608
	0.925000	0.935558
	0.930000	0.981600
	0.935000	0.882939
	0.940000	0.843474
	0.945000	0.948713
	0.950000	0.991467
	0.955000	0.892805
	0.960000	0.856629
	0.965000	0.955291
	0.970000	1.001333
	0.975000	0.902671
	0.980000	0.869784
	0.985000	0.971734
	0.990000	1.014488
	0.995000	0.912537
	1.000000	0.873073
	1.005000	0.981600
	1.010000	1.021065
	1.015000	0.919115
	1.020000	0.879650
	1.025000	0.988178
	1.030000	1.034220
	1.035000	0.928981
	1.040000	0.896094
	1.045000	1.004621
	1.050000	1.047375
	1.055000	0.942136
	1.060000	0.909249
	1.065000	1.011199
	1.070000	1.057241
	1.075000	0.955291
	1.080000	0.922403
	1.085000	1.024354
	1.090000	1.063818
	1.095000	0.965157
	1.100000	0.928981
	1.105000	1.037509
	1.110000	1.080262
	1.115000	0.978312
	1.120000	0.935558
	1.125000	1.044086
	1.130000	1.086840
	1.135000	0.984889
	1.140000	0.948713
	1.145000	1.053952
	1.150000	1.093417
	1.155000	0.994755
	1.160000	0.952002
	1.165000	1.063818
	1.170000	1.096706
	1.175000	0.994755
	1.180000	0.961868
	1.185000	1.067107
	1.190000	1.109861
	1.195000	1.007910
	1.200000	0.968446
	1.205000	1.073685
	1.210000	1.113149
	1.215000	1.011199
	1.220000	0.975023
	1.225000	1.086840
	1.230000	1.123015
	1.235000	1.021065
	1.240000	0.984889
	1.245000	1.093417
	1.250000	1.132882
	1.255000	1.027643
	1.260000	0.991467
	1.265000	1.103283
	1.270000	1.139459
	1.275000	1.030931
	1.280000	0.998044
	1.285000	1.109861
	1.290000	1.146037
	1.295000	1.044086
	1.300000	1.007910
	1.305000	1.116438
	1.310000	1.152614
	1.315000	1.050664
	1.320000	1.017776
	1.325000	1.123015
	1.330000	1.162480
	1.335000	1.063818
	1.340000	1.024354
	1.345000	1.139459
	1.350000	1.169058
	1.355000	1.070396
	1.360000	1.037509
	1.365000	1.146037
	1.370000	1.188790
	1.375000	1.080262
	1.380000	1.053952
	1.385000	1.162480
	1.390000	1.195367
	1.395000	1.096706
	1.400000	1.060530
	1.405000	1.169058
	1.410000	1.201945
	1.415000	1.103283
