2024/7/10 	 21:56:25 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-2.191633
	0.005000	-2.214197
	0.010000	-2.288334
	0.015000	-2.262547
	0.020000	-2.188410
	0.025000	-2.207750
	0.030000	-2.285111
	0.035000	-2.256101
	0.040000	-2.181963
	0.045000	-2.201303
	0.050000	-2.278664
	0.055000	-2.252877
	0.060000	-2.169070
	0.065000	-2.194857
	0.070000	-2.265771
	0.075000	-2.243207
	0.080000	-2.162623
	0.085000	-2.188410
	0.090000	-2.265771
	0.095000	-2.233537
	0.100000	-2.156176
	0.105000	-2.178740
	0.110000	-2.256101
	0.115000	-2.223867
	0.120000	-2.152953
	0.125000	-2.175517
	0.130000	-2.249654
	0.135000	-2.227090
	0.140000	-2.143283
	0.145000	-2.165846
	0.150000	-2.239984
	0.155000	-2.214197
	0.160000	-2.136836
	0.165000	-2.162623
	0.170000	-2.239984
	0.175000	-2.201303
	0.180000	-2.130390
	0.185000	-2.152953
	0.190000	-2.233537
	0.195000	-2.198080
	0.200000	-2.123943
	0.205000	-2.149730
	0.210000	-2.223867
	0.215000	-2.194857
	0.220000	-2.107826
	0.225000	-2.140060
	0.230000	-2.220644
	0.235000	-2.188410
	0.240000	-2.107826
	0.245000	-2.133613
	0.250000	-2.210973
	0.255000	-2.181963
	0.260000	-2.104603
	0.265000	-2.130390
	0.270000	-2.204527
	0.275000	-2.181963
	0.280000	-2.104603
	0.285000	-2.123943
	0.290000	-2.204527
	0.295000	-2.175517
	0.300000	-2.091709
	0.305000	-2.127166
	0.310000	-2.191633
	0.315000	-2.169070
	0.320000	-2.088486
	0.325000	-2.111049
	0.330000	-2.194857
	0.335000	-2.159400
	0.340000	-2.085262
	0.345000	-2.111049
	0.350000	-2.185187
	0.355000	-2.152953
	0.360000	-2.082039
	0.365000	-2.104603
	0.370000	-2.175517
	0.375000	-2.146506
	0.380000	-2.069146
	0.385000	-2.101379
	0.390000	-2.175517
