2024/7/11 	 11:35:10 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.944193
	0.005000	-0.824929
	0.010000	-0.831376
	0.015000	-0.950640
	0.020000	-0.940970
	0.025000	-0.824929
	0.030000	-0.831376
	0.035000	-0.950640
	0.040000	-0.940970
	0.045000	-0.821706
	0.050000	-0.834599
	0.055000	-0.944193
	0.060000	-0.940970
	0.065000	-0.818482
	0.070000	-0.837823
	0.075000	-0.953863
	0.080000	-0.940970
	0.085000	-0.815259
	0.090000	-0.834599
	0.095000	-0.947417
	0.100000	-0.937747
	0.105000	-0.831376
	0.110000	-0.834599
	0.115000	-0.947417
	0.120000	-0.944193
	0.125000	-0.821706
	0.130000	-0.834599
	0.135000	-0.953863
	0.140000	-0.940970
	0.145000	-0.828152
	0.150000	-0.837823
	0.155000	-0.957087
	0.160000	-0.940970
	0.165000	-0.831376
	0.170000	-0.841046
	0.175000	-0.953863
	0.180000	-0.944193
	0.185000	-0.828152
	0.190000	-0.841046
	0.195000	-0.960310
	0.200000	-0.944193
	0.205000	-0.824929
	0.210000	-0.837823
	0.215000	-0.963534
	0.220000	-0.944193
	0.225000	-0.828152
	0.230000	-0.831376
	0.235000	-0.957087
	0.240000	-0.934523
	0.245000	-0.824929
	0.250000	-0.834599
	0.255000	-0.953863
	0.260000	-0.937747
	0.265000	-0.821706
	0.270000	-0.837823
	0.275000	-0.947417
	0.280000	-0.934523
	0.285000	-0.818482
	0.290000	-0.831376
	0.295000	-0.947417
	0.300000	-0.934523
	0.305000	-0.818482
	0.310000	-0.841046
	0.315000	-0.950640
	0.320000	-0.934523
	0.325000	-0.818482
	0.330000	-0.834599
	0.335000	-0.950640
	0.340000	-0.934523
	0.345000	-0.815259
	0.350000	-0.841046
	0.355000	-0.953863
	0.360000	-0.937747
	0.365000	-0.821706
	0.370000	-0.831376
	0.375000	-0.953863
	0.380000	-0.934523
	0.385000	-0.824929
	0.390000	-0.834599
	0.395000	-0.947417
	0.400000	-0.937747
	0.405000	-0.818482
	0.410000	-0.834599
	0.415000	-0.950640
	0.420000	-0.931300
	0.425000	-0.818482
	0.430000	-0.834599
	0.435000	-0.953863
	0.440000	-0.931300
