2024/7/11 	 16:12:44 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.028001
	0.005000	-0.969980
	0.010000	-0.944193
	0.015000	-1.002214
	0.020000	-1.024777
	0.025000	-0.966757
	0.030000	-0.940970
	0.035000	-1.005437
	0.040000	-1.028001
	0.045000	-0.969980
	0.050000	-0.940970
	0.055000	-0.995767
	0.060000	-1.024777
	0.065000	-0.966757
	0.070000	-0.940970
	0.075000	-0.998991
	0.080000	-1.028001
	0.085000	-0.963534
	0.090000	-0.934523
	0.095000	-0.998991
	0.100000	-1.021554
	0.105000	-0.966757
	0.110000	-0.940970
	0.115000	-0.998991
	0.120000	-1.024777
	0.125000	-0.963534
	0.130000	-0.937747
	0.135000	-0.995767
	0.140000	-1.028001
	0.145000	-0.966757
	0.150000	-0.940970
	0.155000	-1.002214
	0.160000	-1.028001
	0.165000	-0.960310
	0.170000	-0.944193
	0.175000	-0.998991
	0.180000	-1.028001
	0.185000	-0.963534
	0.190000	-0.931300
	0.195000	-0.998991
	0.200000	-1.018331
	0.205000	-0.960310
	0.210000	-0.928077
	0.215000	-0.989320
	0.220000	-1.015107
	0.225000	-0.953863
	0.230000	-0.928077
	0.235000	-0.989320
	0.240000	-1.011884
	0.245000	-0.947417
	0.250000	-0.924853
	0.255000	-0.986097
	0.260000	-1.008661
	0.265000	-0.937747
	0.270000	-0.918407
	0.275000	-0.976427
	0.280000	-1.002214
	0.285000	-0.937747
	0.290000	-0.921630
	0.295000	-0.973204
	0.300000	-0.995767
	0.305000	-0.944193
	0.310000	-0.918407
	0.315000	-0.979650
	0.320000	-0.998991
	0.325000	-0.940970
	0.330000	-0.915183
	0.335000	-0.976427
	0.340000	-0.998991
	0.345000	-0.940970
	0.350000	-0.911960
	0.355000	-0.976427
	0.360000	-0.995767
	0.365000	-0.937747
	0.370000	-0.915183
	0.375000	-0.976427
	0.380000	-0.998991
	0.385000	-0.934523
	0.390000	-0.921630
	0.395000	-0.976427
	0.400000	-0.998991
	0.405000	-0.934523
	0.410000	-0.921630
	0.415000	-0.979650
	0.420000	-1.008661
	0.425000	-0.940970
	0.430000	-0.921630
	0.435000	-0.982874
	0.440000	-1.002214
	0.445000	-0.940970
	0.450000	-0.918407
	0.455000	-0.982874
	0.460000	-1.005437
	0.465000	-0.944193
	0.470000	-0.921630
	0.475000	-0.976427
	0.480000	-1.005437
	0.485000	-0.940970
	0.490000	-0.921630
	0.495000	-0.989320
	0.500000	-1.011884
	0.505000	-0.940970
	0.510000	-0.915183
	0.515000	-0.986097
	0.520000	-1.008661
	0.525000	-0.950640
	0.530000	-0.921630
	0.535000	-0.982874
	0.540000	-0.998991
	0.545000	-0.944193
	0.550000	-0.921630
	0.555000	-0.979650
	0.560000	-1.005437
	0.565000	-0.944193
	0.570000	-0.921630
	0.575000	-0.973204
	0.580000	-0.998991
	0.585000	-0.944193
	0.590000	-0.915183
	0.595000	-0.982874
	0.600000	-1.002214
	0.605000	-0.940970
	0.610000	-0.918407
	0.615000	-0.973204
	0.620000	-1.005437
	0.625000	-0.940970
	0.630000	-0.918407
	0.635000	-0.976427
	0.640000	-1.002214
	0.645000	-0.944193
	0.650000	-0.915183
	0.655000	-0.979650
	0.660000	-0.998991
	0.665000	-0.940970
	0.670000	-0.921630
	0.675000	-0.969980
	0.680000	-0.995767
	0.685000	-0.934523
	0.690000	-0.911960
	0.695000	-0.979650
	0.700000	-1.002214
	0.705000	-0.934523
	0.710000	-0.911960
	0.715000	-0.976427
	0.720000	-1.002214
	0.725000	-0.934523
	0.730000	-0.908736
	0.735000	-0.976427
	0.740000	-0.992544
	0.745000	-0.931300
	0.750000	-0.915183
	0.755000	-0.966757
	0.760000	-0.995767
	0.765000	-0.934523
	0.770000	-0.908736
	0.775000	-0.966757
	0.780000	-0.989320
	0.785000	-0.934523
	0.790000	-0.902290
	0.795000	-0.969980
	0.800000	-0.986097
	0.805000	-0.928077
	0.810000	-0.899066
	0.815000	-0.960310
	0.820000	-0.989320
	0.825000	-0.924853
	0.830000	-0.895843
	0.835000	-0.953863
	0.840000	-0.979650
	0.845000	-0.921630
	0.850000	-0.889396
	0.855000	-0.957087
	0.860000	-0.976427
	0.865000	-0.915183
	0.870000	-0.889396
	0.875000	-0.947417
	0.880000	-0.966757
	0.885000	-0.902290
	0.890000	-0.882950
	0.895000	-0.944193
	0.900000	-0.963534
	0.905000	-0.908736
	0.910000	-0.882950
	0.915000	-0.944193
	0.920000	-0.963534
	0.925000	-0.902290
	0.930000	-0.879726
	0.935000	-0.937747
	0.940000	-0.960310
	0.945000	-0.899066
	0.950000	-0.879726
	0.955000	-0.944193
	0.960000	-0.960310
	0.965000	-0.902290
	0.970000	-0.882950
	0.975000	-0.940970
	0.980000	-0.963534
	0.985000	-0.895843
	0.990000	-0.879726
	0.995000	-0.937747
	1.000000	-0.957087
	1.005000	-0.899066
	1.010000	-0.876503
	1.015000	-0.940970
	1.020000	-0.963534
	1.025000	-0.895843
	1.030000	-0.879726
	1.035000	-0.944193
	1.040000	-0.963534
	1.045000	-0.908736
	1.050000	-0.879726
	1.055000	-0.944193
	1.060000	-0.963534
	1.065000	-0.899066
	1.070000	-0.876503
	1.075000	-0.947417
	1.080000	-0.963534
	1.085000	-0.905513
	1.090000	-0.889396
	1.095000	-0.944193
	1.100000	-0.969980
	1.105000	-0.902290
	1.110000	-0.879726
	1.115000	-0.947417
	1.120000	-0.966757
	1.125000	-0.895843
	1.130000	-0.882950
	1.135000	-0.947417
	1.140000	-0.966757
	1.145000	-0.905513
	1.150000	-0.876503
	1.155000	-0.940970
	1.160000	-0.953863
	1.165000	-0.899066
	1.170000	-0.873280
	1.175000	-0.931300
	1.180000	-0.950640
	1.185000	-0.882950
	1.190000	-0.866833
	1.195000	-0.918407
	1.200000	-0.944193
	1.205000	-0.873280
	1.210000	-0.850716
	1.215000	-0.908736
	1.220000	-0.928077
	1.225000	-0.857163
	1.230000	-0.831376
	1.235000	-0.892620
	1.240000	-0.899066
	1.245000	-0.828152
	1.250000	-0.792696
	1.255000	-0.841046
	1.260000	-0.863609
	1.265000	-0.789472
	1.270000	-0.754015
	1.275000	-0.815259
	1.280000	-0.824929
	1.285000	-0.754015
	1.290000	-0.725005
	1.295000	-0.776579
	1.300000	-0.792696
	1.305000	-0.718558
	1.310000	-0.695995
	1.315000	-0.747569
	1.320000	-0.760462
	1.325000	-0.699218
	1.330000	-0.666985
	1.335000	-0.728228
	1.340000	-0.737898
	1.345000	-0.670208
	1.350000	-0.647644
	1.355000	-0.708888
	1.360000	-0.718558
	1.365000	-0.660538
	1.370000	-0.641198
	1.375000	-0.689548
	1.380000	-0.715335
	1.385000	-0.650868
	1.390000	-0.628304
	1.395000	-0.689548
	1.400000	-0.708888
	1.405000	-0.650868
	1.410000	-0.628304
	1.415000	-0.692771
	1.420000	-0.708888
	1.425000	-0.650868
	1.430000	-0.631528
	1.435000	-0.695995
	1.440000	-0.715335
	1.445000	-0.660538
	1.450000	-0.641198
	1.455000	-0.708888
	1.460000	-0.731452
	1.465000	-0.676655
	1.470000	-0.666985
	1.475000	-0.737898
	1.480000	-0.766909
	1.485000	-0.715335
	1.490000	-0.712112
	1.495000	-0.779802
	1.500000	-0.812036
	1.505000	-0.766909
	1.510000	-0.760462
	1.515000	-0.841046
	1.520000	-0.870056
	1.525000	-0.821706
	1.530000	-0.815259
	1.535000	-0.895843
	1.540000	-0.918407
	1.545000	-0.870056
	1.550000	-0.857163
	1.555000	-0.924853
	1.560000	-0.953863
	1.565000	-0.902290
	1.570000	-0.882950
	1.575000	-0.944193
	1.580000	-0.966757
	1.585000	-0.905513
	1.590000	-0.886173
	1.595000	-0.950640
	1.600000	-0.966757
	1.605000	-0.908736
	1.610000	-0.886173
