2024/7/11 	 11:25:31 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.082798
	0.005000	-1.176275
	0.010000	-1.198839
	0.015000	-1.105361
	0.020000	-1.086021
	0.025000	-1.179499
	0.030000	-1.198839
	0.035000	-1.111808
	0.040000	-1.089245
	0.045000	-1.185945
	0.050000	-1.214956
	0.055000	-1.121478
	0.060000	-1.098915
	0.065000	-1.192392
	0.070000	-1.218179
	0.075000	-1.124702
	0.080000	-1.105361
	0.085000	-1.192392
	0.090000	-1.214956
	0.095000	-1.127925
	0.100000	-1.102138
	0.105000	-1.195615
	0.110000	-1.221402
	0.115000	-1.118255
	0.120000	-1.098915
	0.125000	-1.192392
	0.130000	-1.211732
	0.135000	-1.115031
	0.140000	-1.095691
	0.145000	-1.185945
	0.150000	-1.202062
	0.155000	-1.111808
	0.160000	-1.098915
	0.165000	-1.192392
	0.170000	-1.208509
	0.175000	-1.115031
	0.180000	-1.089245
	0.185000	-1.185945
	0.190000	-1.195615
	0.195000	-1.108585
	0.200000	-1.092468
	0.205000	-1.185945
	0.210000	-1.202062
	0.215000	-1.105361
	0.220000	-1.086021
	0.225000	-1.185945
	0.230000	-1.205285
	0.235000	-1.105361
	0.240000	-1.089245
	0.245000	-1.185945
	0.250000	-1.202062
	0.255000	-1.105361
	0.260000	-1.092468
	0.265000	-1.185945
	0.270000	-1.202062
	0.275000	-1.105361
	0.280000	-1.098915
	0.285000	-1.179499
	0.290000	-1.198839
	0.295000	-1.115031
	0.300000	-1.089245
	0.305000	-1.185945
	0.310000	-1.198839
	0.315000	-1.111808
	0.320000	-1.098915
	0.325000	-1.185945
	0.330000	-1.202062
	0.335000	-1.105361
	0.340000	-1.092468
	0.345000	-1.192392
	0.350000	-1.205285
	0.355000	-1.111808
	0.360000	-1.095691
	0.365000	-1.192392
	0.370000	-1.202062
	0.375000	-1.115031
	0.380000	-1.095691
	0.385000	-1.185945
	0.390000	-1.208509
	0.395000	-1.115031
	0.400000	-1.098915
	0.405000	-1.192392
	0.410000	-1.214956
	0.415000	-1.118255
	0.420000	-1.105361
	0.425000	-1.198839
	0.430000	-1.214956
	0.435000	-1.121478
	0.440000	-1.105361
	0.445000	-1.208509
	0.450000	-1.208509
	0.455000	-1.118255
	0.460000	-1.111808
	0.465000	-1.202062
	0.470000	-1.214956
	0.475000	-1.121478
	0.480000	-1.102138
	0.485000	-1.205285
	0.490000	-1.218179
	0.495000	-1.121478
	0.500000	-1.105361
	0.505000	-1.198839
	0.510000	-1.214956
	0.515000	-1.115031
	0.520000	-1.098915
	0.525000	-1.198839
	0.530000	-1.211732
	0.535000	-1.108585
	0.540000	-1.095691
	0.545000	-1.189169
	0.550000	-1.202062
	0.555000	-1.105361
	0.560000	-1.092468
	0.565000	-1.185945
	0.570000	-1.198839
	0.575000	-1.105361
	0.580000	-1.092468
	0.585000	-1.185945
	0.590000	-1.202062
	0.595000	-1.102138
	0.600000	-1.095691
	0.605000	-1.189169
	0.610000	-1.192392
	0.615000	-1.102138
	0.620000	-1.089245
	0.625000	-1.185945
	0.630000	-1.198839
	0.635000	-1.102138
	0.640000	-1.086021
	0.645000	-1.189169
	0.650000	-1.189169
	0.655000	-1.098915
	0.660000	-1.092468
	0.665000	-1.192392
	0.670000	-1.195615
	0.675000	-1.102138
	0.680000	-1.092468
	0.685000	-1.185945
	0.690000	-1.192392
	0.695000	-1.102138
	0.700000	-1.092468
	0.705000	-1.185945
	0.710000	-1.189169
	0.715000	-1.098915
	0.720000	-1.089245
	0.725000	-1.182722
	0.730000	-1.192392
	0.735000	-1.095691
	0.740000	-1.089245
	0.745000	-1.179499
	0.750000	-1.192392
	0.755000	-1.092468
	0.760000	-1.086021
	0.765000	-1.173052
	0.770000	-1.189169
	0.775000	-1.092468
	0.780000	-1.079574
	0.785000	-1.182722
	0.790000	-1.182722
	0.795000	-1.092468
	0.800000	-1.086021
	0.805000	-1.185945
	0.810000	-1.189169
	0.815000	-1.092468
	0.820000	-1.086021
	0.825000	-1.179499
	0.830000	-1.185945
	0.835000	-1.089245
	0.840000	-1.082798
	0.845000	-1.179499
	0.850000	-1.179499
	0.855000	-1.073128
	0.860000	-1.069904
	0.865000	-1.156935
	0.870000	-1.160158
	0.875000	-1.050564
	0.880000	-1.047341
	0.885000	-1.131148
	0.890000	-1.134372
	0.895000	-1.031224
	0.900000	-1.021554
	0.905000	-1.111808
	0.910000	-1.111808
	0.915000	-1.018331
	0.920000	-1.002214
	0.925000	-1.089245
	0.930000	-1.089245
	0.935000	-0.986097
	0.940000	-0.982874
	0.945000	-1.073128
	0.950000	-1.069904
	0.955000	-0.979650
	0.960000	-0.969980
	0.965000	-1.053788
	0.970000	-1.063458
	0.975000	-0.963534
	0.980000	-0.960310
	0.985000	-1.047341
	0.990000	-1.050564
	0.995000	-0.950640
	1.000000	-0.944193
	1.005000	-1.044118
	1.010000	-1.040894
	1.015000	-0.950640
	1.020000	-0.937747
	1.025000	-1.028001
	1.030000	-1.031224
	1.035000	-0.940970
	1.040000	-0.931300
	1.045000	-1.018331
	1.050000	-1.021554
	1.055000	-0.928077
	1.060000	-0.928077
	1.065000	-1.018331
	1.070000	-1.008661
	1.075000	-0.921630
	1.080000	-0.924853
	1.085000	-1.015107
	1.090000	-1.018331
	1.095000	-0.918407
	1.100000	-0.918407
	1.105000	-1.005437
	1.110000	-1.008661
	1.115000	-0.915183
	1.120000	-0.911960
	1.125000	-1.008661
	1.130000	-0.998991
	1.135000	-0.915183
	1.140000	-0.908736
	1.145000	-1.005437
	1.150000	-1.002214
	1.155000	-0.911960
	1.160000	-0.915183
	1.165000	-1.005437
	1.170000	-0.998991
	1.175000	-0.915183
	1.180000	-0.911960
	1.185000	-1.005437
	1.190000	-0.998991
	1.195000	-0.915183
	1.200000	-0.915183
	1.205000	-1.005437
	1.210000	-1.005437
	1.215000	-0.915183
	1.220000	-0.921630
	1.225000	-1.008661
	1.230000	-1.015107
	1.235000	-0.924853
	1.240000	-0.928077
	1.245000	-1.024777
	1.250000	-1.021554
	1.255000	-0.934523
	1.260000	-0.931300
	1.265000	-1.034447
	1.270000	-1.031224
	1.275000	-0.940970
	1.280000	-0.947417
	1.285000	-1.044118
	1.290000	-1.037671
	1.295000	-0.953863
	1.300000	-0.957087
	1.305000	-1.053788
	1.310000	-1.053788
	1.315000	-0.966757
	1.320000	-0.969980
	1.325000	-1.063458
	1.330000	-1.063458
	1.335000	-0.973204
	1.340000	-0.979650
	1.345000	-1.066681
	1.350000	-1.069904
	1.355000	-0.979650
	1.360000	-0.982874
	1.365000	-1.082798
	1.370000	-1.076351
	1.375000	-0.989320
	1.380000	-0.995767
	1.385000	-1.086021
	1.390000	-1.092468
	1.395000	-0.992544
	1.400000	-1.002214
