2024/7/11 	 14:59:05 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.058271
	0.005000	0.119515
	0.010000	0.071165
	0.015000	0.000251
	0.020000	0.061495
	0.025000	0.129185
	0.030000	0.064718
	0.035000	0.003474
	0.040000	0.055048
	0.045000	0.132408
	0.050000	0.077611
	0.055000	0.003474
	0.060000	0.058271
	0.065000	0.125962
	0.070000	0.080835
	0.075000	0.000251
	0.080000	0.061495
	0.085000	0.132408
	0.090000	0.080835
	0.095000	0.006697
	0.100000	0.058271
	0.105000	0.132408
	0.110000	0.077611
	0.115000	0.006697
	0.120000	0.058271
	0.125000	0.132408
	0.130000	0.074388
	0.135000	0.000251
	0.140000	0.061495
	0.145000	0.135632
	0.150000	0.074388
	0.155000	0.013144
	0.160000	0.064718
	0.165000	0.132408
	0.170000	0.071165
	0.175000	0.006697
	0.180000	0.061495
	0.185000	0.129185
	0.190000	0.077611
	0.195000	0.003474
	0.200000	0.051825
	0.205000	0.135632
	0.210000	0.071165
	0.215000	0.013144
	0.220000	0.061495
	0.225000	0.132408
	0.230000	0.084058
	0.235000	0.003474
	0.240000	0.061495
	0.245000	0.135632
	0.250000	0.077611
	0.255000	0.006697
	0.260000	0.064718
	0.265000	0.132408
	0.270000	0.080835
	0.275000	0.009921
	0.280000	0.061495
	0.285000	0.135632
	0.290000	0.080835
	0.295000	0.013144
	0.300000	0.064718
	0.305000	0.135632
	0.310000	0.080835
	0.315000	0.003474
	0.320000	0.067941
	0.325000	0.135632
	0.330000	0.080835
	0.335000	0.006697
	0.340000	0.061495
	0.345000	0.142079
	0.350000	0.084058
	0.355000	0.013144
	0.360000	0.061495
	0.365000	0.132408
	0.370000	0.084058
	0.375000	0.006697
	0.380000	0.061495
	0.385000	0.138855
	0.390000	0.084058
	0.395000	0.013144
	0.400000	0.061495
	0.405000	0.135632
	0.410000	0.084058
	0.415000	0.009921
	0.420000	0.067941
	0.425000	0.138855
	0.430000	0.084058
	0.435000	0.019591
	0.440000	0.071165
	0.445000	0.135632
	0.450000	0.080835
	0.455000	0.016368
	0.460000	0.067941
	0.465000	0.138855
	0.470000	0.084058
	0.475000	0.016368
	0.480000	0.067941
	0.485000	0.142079
	0.490000	0.084058
	0.495000	0.013144
	0.500000	0.067941
	0.505000	0.138855
	0.510000	0.090505
	0.515000	0.019591
	0.520000	0.064718
	0.525000	0.135632
	0.530000	0.090505
	0.535000	0.013144
	0.540000	0.067941
	0.545000	0.138855
	0.550000	0.087281
	0.555000	0.013144
	0.560000	0.064718
	0.565000	0.135632
	0.570000	0.084058
	0.575000	0.019591
	0.580000	0.064718
	0.585000	0.142079
	0.590000	0.084058
	0.595000	0.016368
	0.600000	0.064718
	0.605000	0.138855
	0.610000	0.087281
	0.615000	0.019591
	0.620000	0.071165
	0.625000	0.138855
	0.630000	0.087281
	0.635000	0.016368
	0.640000	0.071165
	0.645000	0.142079
	0.650000	0.087281
	0.655000	0.013144
	0.660000	0.067941
	0.665000	0.142079
	0.670000	0.090505
	0.675000	0.022814
	0.680000	0.067941
	0.685000	0.145302
	0.690000	0.090505
	0.695000	0.016368
	0.700000	0.067941
	0.705000	0.142079
	0.710000	0.090505
	0.715000	0.022814
	0.720000	0.071165
	0.725000	0.142079
	0.730000	0.096952
	0.735000	0.016368
	0.740000	0.077611
	0.745000	0.145302
	0.750000	0.093728
	0.755000	0.016368
	0.760000	0.074388
	0.765000	0.148525
	0.770000	0.096952
	0.775000	0.016368
	0.780000	0.074388
	0.785000	0.145302
	0.790000	0.096952
	0.795000	0.022814
	0.800000	0.071165
	0.805000	0.145302
	0.810000	0.100175
	0.815000	0.022814
	0.820000	0.074388
	0.825000	0.145302
	0.830000	0.090505
	0.835000	0.019591
	0.840000	0.074388
	0.845000	0.148525
	0.850000	0.093728
	0.855000	0.019591
	0.860000	0.067941
	0.865000	0.142079
	0.870000	0.093728
	0.875000	0.026038
	0.880000	0.071165
	0.885000	0.148525
	0.890000	0.100175
	0.895000	0.029261
	0.900000	0.071165
	0.905000	0.142079
	0.910000	0.090505
	0.915000	0.026038
	0.920000	0.071165
	0.925000	0.145302
	0.930000	0.096952
	0.935000	0.019591
	0.940000	0.071165
	0.945000	0.148525
	0.950000	0.096952
	0.955000	0.013144
	0.960000	0.071165
	0.965000	0.148525
	0.970000	0.103398
	0.975000	0.032484
	0.980000	0.087281
	0.985000	0.167865
	0.990000	0.122738
	0.995000	0.055048
	1.000000	0.116292
	1.005000	0.187206
	1.010000	0.145302
	1.015000	0.084058
	1.020000	0.135632
	1.025000	0.209769
	1.030000	0.177536
	1.035000	0.106622
	1.040000	0.161419
	1.045000	0.232333
	1.050000	0.180759
	1.055000	0.119515
	1.060000	0.174312
	1.065000	0.251673
	1.070000	0.200099
	1.075000	0.122738
	1.080000	0.174312
	1.085000	0.261343
	1.090000	0.206546
	1.095000	0.142079
	1.100000	0.196876
	1.105000	0.264566
	1.110000	0.212992
	1.115000	0.138855
	1.120000	0.193652
	1.125000	0.264566
	1.130000	0.216216
	1.135000	0.142079
	1.140000	0.196876
	1.145000	0.264566
	1.150000	0.219439
	1.155000	0.145302
	1.160000	0.196876
	1.165000	0.267790
	1.170000	0.219439
	1.175000	0.142079
	1.180000	0.187206
	1.185000	0.264566
	1.190000	0.212992
	1.195000	0.142079
	1.200000	0.190429
	1.205000	0.264566
	1.210000	0.216216
	1.215000	0.142079
	1.220000	0.187206
	1.225000	0.261343
	1.230000	0.216216
	1.235000	0.145302
	1.240000	0.190429
	1.245000	0.258119
	1.250000	0.209769
	1.255000	0.148525
	1.260000	0.187206
	1.265000	0.254896
	1.270000	0.212992
	1.275000	0.142079
	1.280000	0.187206
	1.285000	0.258119
	1.290000	0.209769
	1.295000	0.138855
	1.300000	0.187206
	1.305000	0.254896
	1.310000	0.212992
	1.315000	0.138855
	1.320000	0.180759
	1.325000	0.258119
	1.330000	0.212992
	1.335000	0.138855
	1.340000	0.180759
	1.345000	0.261343
	1.350000	0.206546
	1.355000	0.132408
	1.360000	0.187206
	1.365000	0.251673
	1.370000	0.209769
	1.375000	0.132408
	1.380000	0.180759
	1.385000	0.251673
	1.390000	0.206546
	1.395000	0.125962
	1.400000	0.174312
	1.405000	0.248449
	1.410000	0.200099
	1.415000	0.119515
	1.420000	0.167865
	1.425000	0.235556
	1.430000	0.190429
