2024/7/11 	 16:11:13 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.989320
	0.005000	-1.066681
	0.010000	-1.105361
	0.015000	-1.034447
	0.020000	-0.989320
	0.025000	-1.057011
	0.030000	-1.098915
	0.035000	-1.034447
	0.040000	-0.989320
	0.045000	-1.053788
	0.050000	-1.102138
	0.055000	-1.024777
	0.060000	-0.986097
	0.065000	-1.057011
	0.070000	-1.098915
	0.075000	-1.031224
	0.080000	-0.986097
	0.085000	-1.053788
	0.090000	-1.095691
	0.095000	-1.024777
	0.100000	-0.979650
	0.105000	-1.053788
	0.110000	-1.089245
	0.115000	-1.028001
	0.120000	-0.982874
	0.125000	-1.053788
	0.130000	-1.095691
	0.135000	-1.024777
	0.140000	-0.973204
	0.145000	-1.047341
	0.150000	-1.095691
	0.155000	-1.021554
	0.160000	-0.976427
	0.165000	-1.040894
	0.170000	-1.086021
	0.175000	-1.024777
	0.180000	-0.973204
	0.185000	-1.040894
	0.190000	-1.086021
	0.195000	-1.018331
	0.200000	-0.973204
	0.205000	-1.037671
	0.210000	-1.086021
	0.215000	-1.021554
	0.220000	-0.966757
	0.225000	-1.031224
	0.230000	-1.076351
	0.235000	-1.011884
	0.240000	-0.963534
	0.245000	-1.031224
	0.250000	-1.073128
	0.255000	-1.008661
	0.260000	-0.963534
	0.265000	-1.031224
	0.270000	-1.076351
	0.275000	-1.002214
	0.280000	-0.957087
	0.285000	-1.028001
	0.290000	-1.066681
	0.295000	-1.002214
	0.300000	-0.953863
	0.305000	-1.018331
	0.310000	-1.073128
	0.315000	-1.002214
	0.320000	-0.953863
	0.325000	-1.018331
	0.330000	-1.066681
	0.335000	-1.005437
	0.340000	-0.947417
	0.345000	-1.011884
	0.350000	-1.073128
	0.355000	-0.992544
	0.360000	-0.947417
	0.365000	-1.011884
	0.370000	-1.060234
	0.375000	-0.992544
	0.380000	-0.944193
	0.385000	-1.011884
	0.390000	-1.060234
	0.395000	-0.986097
	0.400000	-0.947417
	0.405000	-1.005437
	0.410000	-1.060234
	0.415000	-0.992544
	0.420000	-0.940970
	0.425000	-1.002214
	0.430000	-1.053788
	0.435000	-0.986097
	0.440000	-0.937747
	0.445000	-0.998991
	0.450000	-1.047341
	0.455000	-0.979650
	0.460000	-0.934523
	0.465000	-0.995767
	0.470000	-1.047341
	0.475000	-0.979650
	0.480000	-0.931300
	0.485000	-0.998991
	0.490000	-1.037671
	0.495000	-0.986097
	0.500000	-0.934523
	0.505000	-0.992544
	0.510000	-1.044118
	0.515000	-0.979650
	0.520000	-0.934523
	0.525000	-0.989320
	0.530000	-1.040894
	0.535000	-0.986097
	0.540000	-0.928077
	0.545000	-0.992544
	0.550000	-1.037671
	0.555000	-0.979650
	0.560000	-0.924853
	0.565000	-0.992544
	0.570000	-1.037671
	0.575000	-0.976427
	0.580000	-0.921630
	0.585000	-0.986097
	0.590000	-1.040894
	0.595000	-0.976427
	0.600000	-0.921630
	0.605000	-0.973204
	0.610000	-1.034447
	0.615000	-0.969980
	0.620000	-0.915183
	0.625000	-0.976427
	0.630000	-1.028001
	0.635000	-0.963534
	0.640000	-0.908736
	0.645000	-0.973204
	0.650000	-1.024777
	0.655000	-0.957087
	0.660000	-0.905513
	0.665000	-0.966757
	0.670000	-1.021554
	0.675000	-0.953863
	0.680000	-0.899066
	0.685000	-0.966757
	0.690000	-1.015107
	0.695000	-0.950640
	0.700000	-0.899066
	0.705000	-0.957087
	0.710000	-1.015107
	0.715000	-0.953863
	0.720000	-0.895843
	0.725000	-0.957087
	0.730000	-1.005437
	0.735000	-0.947417
	0.740000	-0.889396
	0.745000	-0.953863
	0.750000	-1.005437
	0.755000	-0.940970
	0.760000	-0.886173
	0.765000	-0.944193
	0.770000	-0.998991
	0.775000	-0.937747
	0.780000	-0.876503
	0.785000	-0.940970
	0.790000	-0.995767
	0.795000	-0.934523
	0.800000	-0.879726
	0.805000	-0.937747
	0.810000	-0.992544
	0.815000	-0.934523
	0.820000	-0.870056
	0.825000	-0.937747
	0.830000	-0.986097
	0.835000	-0.924853
	0.840000	-0.870056
	0.845000	-0.928077
	0.850000	-0.979650
	0.855000	-0.918407
	0.860000	-0.863609
	0.865000	-0.921630
	0.870000	-0.973204
	0.875000	-0.911960
	0.880000	-0.857163
	0.885000	-0.908736
	0.890000	-0.973204
	0.895000	-0.905513
	0.900000	-0.853939
	0.905000	-0.905513
	0.910000	-0.960310
	0.915000	-0.899066
	0.920000	-0.837823
	0.925000	-0.902290
	0.930000	-0.957087
	0.935000	-0.892620
	0.940000	-0.834599
	0.945000	-0.895843
	0.950000	-0.950640
	0.955000	-0.886173
	0.960000	-0.831376
	0.965000	-0.889396
	0.970000	-0.940970
	0.975000	-0.882950
	0.980000	-0.828152
	0.985000	-0.879726
	0.990000	-0.934523
	0.995000	-0.879726
	1.000000	-0.812036
	1.005000	-0.866833
