2024/7/11 	 16:14:15 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.334220
	0.005000	-1.414804
	0.010000	-1.372900
	0.015000	-1.298763
	0.020000	-1.334220
	0.025000	-1.411580
	0.030000	-1.369677
	0.035000	-1.298763
	0.040000	-1.334220
	0.045000	-1.405134
	0.050000	-1.372900
	0.055000	-1.298763
	0.060000	-1.330996
	0.065000	-1.408357
	0.070000	-1.376124
	0.075000	-1.298763
	0.080000	-1.334220
	0.085000	-1.405134
	0.090000	-1.376124
	0.095000	-1.295540
	0.100000	-1.327773
	0.105000	-1.401910
	0.110000	-1.372900
	0.115000	-1.295540
	0.120000	-1.334220
	0.125000	-1.411580
	0.130000	-1.366453
	0.135000	-1.295540
	0.140000	-1.327773
	0.145000	-1.408357
	0.150000	-1.366453
	0.155000	-1.298763
	0.160000	-1.330996
	0.165000	-1.398687
	0.170000	-1.366453
	0.175000	-1.295540
	0.180000	-1.330996
	0.185000	-1.405134
	0.190000	-1.356783
	0.195000	-1.289093
	0.200000	-1.334220
	0.205000	-1.401910
	0.210000	-1.369677
	0.215000	-1.289093
	0.220000	-1.327773
	0.225000	-1.398687
	0.230000	-1.360007
	0.235000	-1.285869
	0.240000	-1.324550
	0.245000	-1.395464
	0.250000	-1.356783
	0.255000	-1.279423
	0.260000	-1.324550
	0.265000	-1.398687
	0.270000	-1.356783
	0.275000	-1.282646
	0.280000	-1.327773
	0.285000	-1.398687
	0.290000	-1.356783
	0.295000	-1.289093
	0.300000	-1.324550
	0.305000	-1.398687
	0.310000	-1.356783
	0.315000	-1.285869
	0.320000	-1.330996
	0.325000	-1.395464
	0.330000	-1.360007
	0.335000	-1.282646
	0.340000	-1.324550
	0.345000	-1.392240
	0.350000	-1.347113
	0.355000	-1.285869
	0.360000	-1.324550
	0.365000	-1.395464
	0.370000	-1.353560
	0.375000	-1.279423
	0.380000	-1.321326
	0.385000	-1.392240
	0.390000	-1.350337
	0.395000	-1.276199
	0.400000	-1.321326
	0.405000	-1.392240
	0.410000	-1.350337
	0.415000	-1.276199
	0.420000	-1.314880
	0.425000	-1.392240
	0.430000	-1.350337
	0.435000	-1.279423
	0.440000	-1.318103
	0.445000	-1.389017
	0.450000	-1.350337
	0.455000	-1.282646
	0.460000	-1.321326
	0.465000	-1.389017
	0.470000	-1.353560
	0.475000	-1.282646
	0.480000	-1.318103
	0.485000	-1.389017
	0.490000	-1.340667
	0.495000	-1.276199
	0.500000	-1.321326
	0.505000	-1.385794
	0.510000	-1.347113
	0.515000	-1.272976
	0.520000	-1.321326
	0.525000	-1.392240
	0.530000	-1.343890
	0.535000	-1.272976
	0.540000	-1.318103
	0.545000	-1.392240
	0.550000	-1.340667
	0.555000	-1.272976
	0.560000	-1.314880
	0.565000	-1.385794
	0.570000	-1.340667
	0.575000	-1.276199
	0.580000	-1.318103
	0.585000	-1.382570
	0.590000	-1.340667
	0.595000	-1.276199
	0.600000	-1.305210
	0.605000	-1.379347
	0.610000	-1.340667
	0.615000	-1.269753
	0.620000	-1.311656
	0.625000	-1.382570
	0.630000	-1.340667
	0.635000	-1.269753
	0.640000	-1.318103
	0.645000	-1.382570
	0.650000	-1.337443
	0.655000	-1.266529
	0.660000	-1.305210
	0.665000	-1.382570
	0.670000	-1.324550
	0.675000	-1.263306
	0.680000	-1.311656
	0.685000	-1.379347
	0.690000	-1.330996
	0.695000	-1.263306
	0.700000	-1.311656
	0.705000	-1.379347
	0.710000	-1.334220
	0.715000	-1.256859
	0.720000	-1.308433
	0.725000	-1.372900
	0.730000	-1.324550
	0.735000	-1.260083
	0.740000	-1.308433
	0.745000	-1.372900
	0.750000	-1.324550
	0.755000	-1.253636
	0.760000	-1.311656
	0.765000	-1.379347
	0.770000	-1.330996
	0.775000	-1.256859
	0.780000	-1.301986
	0.785000	-1.372900
	0.790000	-1.324550
	0.795000	-1.256859
	0.800000	-1.311656
	0.805000	-1.372900
	0.810000	-1.330996
	0.815000	-1.253636
	0.820000	-1.301986
	0.825000	-1.376124
	0.830000	-1.324550
	0.835000	-1.263306
	0.840000	-1.311656
	0.845000	-1.379347
	0.850000	-1.327773
	0.855000	-1.263306
	0.860000	-1.311656
	0.865000	-1.372900
	0.870000	-1.330996
	0.875000	-1.263306
	0.880000	-1.305210
	0.885000	-1.379347
	0.890000	-1.327773
	0.895000	-1.256859
	0.900000	-1.308433
	0.905000	-1.376124
	0.910000	-1.324550
	0.915000	-1.266529
	0.920000	-1.311656
	0.925000	-1.382570
	0.930000	-1.330996
	0.935000	-1.260083
	0.940000	-1.311656
	0.945000	-1.376124
	0.950000	-1.330996
	0.955000	-1.263306
	0.960000	-1.308433
	0.965000	-1.382570
	0.970000	-1.330996
	0.975000	-1.266529
	0.980000	-1.324550
	0.985000	-1.385794
	0.990000	-1.330996
	0.995000	-1.266529
	1.000000	-1.318103
	1.005000	-1.385794
	1.010000	-1.337443
	1.015000	-1.272976
	1.020000	-1.324550
	1.025000	-1.385794
	1.030000	-1.330996
	1.035000	-1.269753
	1.040000	-1.321326
	1.045000	-1.392240
	1.050000	-1.350337
	1.055000	-1.282646
	1.060000	-1.327773
	1.065000	-1.395464
	1.070000	-1.340667
	1.075000	-1.276199
	1.080000	-1.327773
	1.085000	-1.392240
	1.090000	-1.340667
	1.095000	-1.279423
	1.100000	-1.327773
	1.105000	-1.392240
	1.110000	-1.347113
	1.115000	-1.279423
	1.120000	-1.327773
	1.125000	-1.395464
	1.130000	-1.343890
	1.135000	-1.279423
	1.140000	-1.327773
	1.145000	-1.392240
	1.150000	-1.340667
	1.155000	-1.272976
	1.160000	-1.327773
	1.165000	-1.382570
	1.170000	-1.330996
	1.175000	-1.272976
	1.180000	-1.314880
	1.185000	-1.376124
	1.190000	-1.324550
	1.195000	-1.260083
	1.200000	-1.305210
	1.205000	-1.366453
	1.210000	-1.308433
	1.215000	-1.237519
	1.220000	-1.285869
	1.225000	-1.340667
	1.230000	-1.279423
	1.235000	-1.208509
	1.240000	-1.253636
	1.245000	-1.305210
	1.250000	-1.247189
	1.255000	-1.166605
	1.260000	-1.214956
	1.265000	-1.263306
	1.270000	-1.211732
	1.275000	-1.144042
	1.280000	-1.179499
	1.285000	-1.234296
	1.290000	-1.179499
	1.295000	-1.108585
	1.300000	-1.156935
	1.305000	-1.211732
	1.310000	-1.156935
	1.315000	-1.086021
	1.320000	-1.140818
	1.325000	-1.195615
	1.330000	-1.137595
	1.335000	-1.076351
	1.340000	-1.118255
	1.345000	-1.182722
	1.350000	-1.127925
	1.355000	-1.066681
	1.360000	-1.115031
	1.365000	-1.176275
	1.370000	-1.115031
	1.375000	-1.053788
	1.380000	-1.105361
	1.385000	-1.166605
	1.390000	-1.108585
	1.395000	-1.050564
	1.400000	-1.105361
	1.405000	-1.166605
	1.410000	-1.108585
	1.415000	-1.053788
	1.420000	-1.102138
	1.425000	-1.156935
	1.430000	-1.108585
	1.435000	-1.047341
	1.440000	-1.105361
	1.445000	-1.156935
	1.450000	-1.108585
	1.455000	-1.047341
	1.460000	-1.105361
	1.465000	-1.163382
	1.470000	-1.118255
	1.475000	-1.053788
	1.480000	-1.105361
	1.485000	-1.166605
	1.490000	-1.111808
	1.495000	-1.066681
	1.500000	-1.118255
	1.505000	-1.182722
	1.510000	-1.144042
	1.515000	-1.082798
	1.520000	-1.150488
	1.525000	-1.211732
	1.530000	-1.163382
	1.535000	-1.118255
	1.540000	-1.182722
	1.545000	-1.247189
	1.550000	-1.202062
	1.555000	-1.153712
	1.560000	-1.214956
	1.565000	-1.282646
	1.570000	-1.240742
	1.575000	-1.189169
	1.580000	-1.253636
	1.585000	-1.318103
	1.590000	-1.263306
	1.595000	-1.218179
	1.600000	-1.276199
	1.605000	-1.343890
	1.610000	-1.295540
	1.615000	-1.237519
	1.620000	-1.295540
	1.625000	-1.360007
	1.630000	-1.305210
	1.635000	-1.247189
	1.640000	-1.318103
	1.645000	-1.376124
	1.650000	-1.308433
	1.655000	-1.253636
	1.660000	-1.318103
	1.665000	-1.376124
	1.670000	-1.314880
	1.675000	-1.263306
	1.680000	-1.321326
	1.685000	-1.379347
	1.690000	-1.321326
	1.695000	-1.256859
	1.700000	-1.321326
	1.705000	-1.372900
	1.710000	-1.314880
	1.715000	-1.256859
	1.720000	-1.321326
	1.725000	-1.369677
	1.730000	-1.318103
	1.735000	-1.256859
	1.740000	-1.318103
	1.745000	-1.372900
	1.750000	-1.305210
	1.755000	-1.253636
	1.760000	-1.314880
	1.765000	-1.372900
	1.770000	-1.311656
	1.775000	-1.256859
	1.780000	-1.305210
	1.785000	-1.363230
	1.790000	-1.298763
	1.795000	-1.250413
	1.800000	-1.305210
	1.805000	-1.366453
	1.810000	-1.301986
	1.815000	-1.243966
	1.820000	-1.305210
	1.825000	-1.363230
	1.830000	-1.301986
	1.835000	-1.247189
	1.840000	-1.305210
	1.845000	-1.360007
	1.850000	-1.301986
	1.855000	-1.243966
	1.860000	-1.298763
	1.865000	-1.356783
	1.870000	-1.295540
	1.875000	-1.240742
	1.880000	-1.298763
	1.885000	-1.353560
	1.890000	-1.292316
	1.895000	-1.234296
	1.900000	-1.295540
	1.905000	-1.353560
	1.910000	-1.292316
	1.915000	-1.234296
	1.920000	-1.292316
	1.925000	-1.347113
	1.930000	-1.285869
	1.935000	-1.224626
	1.940000	-1.295540
	1.945000	-1.343890
	1.950000	-1.279423
	1.955000	-1.221402
	1.960000	-1.292316
	1.965000	-1.337443
	1.970000	-1.276199
	1.975000	-1.224626
	1.980000	-1.279423
	1.985000	-1.337443
	1.990000	-1.272976
	1.995000	-1.218179
	2.000000	-1.279423
	2.005000	-1.334220
	2.010000	-1.266529
	2.015000	-1.211732
	2.020000	-1.276199
	2.025000	-1.327773
	2.030000	-1.260083
	2.035000	-1.208509
	2.040000	-1.272976
	2.045000	-1.321326
	2.050000	-1.260083
	2.055000	-1.202062
	2.060000	-1.263306
	2.065000	-1.321326
	2.070000	-1.256859
	2.075000	-1.198839
	2.080000	-1.269753
	2.085000	-1.314880
	2.090000	-1.253636
	2.095000	-1.195615
	2.100000	-1.256859
	2.105000	-1.318103
	2.110000	-1.250413
	2.115000	-1.192392
	2.120000	-1.256859
	2.125000	-1.311656
	2.130000	-1.243966
	2.135000	-1.192392
	2.140000	-1.260083
	2.145000	-1.308433
	2.150000	-1.243966
	2.155000	-1.192392
	2.160000	-1.253636
	2.165000	-1.298763
	2.170000	-1.240742
	2.175000	-1.192392
	2.180000	-1.250413
	2.185000	-1.308433
	2.190000	-1.237519
	2.195000	-1.182722
	2.200000	-1.250413
	2.205000	-1.305210
	2.210000	-1.234296
	2.215000	-1.182722
	2.220000	-1.253636
	2.225000	-1.298763
	2.230000	-1.227849
	2.235000	-1.179499
	2.240000	-1.250413
	2.245000	-1.301986
	2.250000	-1.227849
	2.255000	-1.182722
	2.260000	-1.253636
	2.265000	-1.292316
	2.270000	-1.237519
	2.275000	-1.182722
	2.280000	-1.240742
	2.285000	-1.289093
	2.290000	-1.221402
	2.295000	-1.179499
	2.300000	-1.237519
	2.305000	-1.295540
	2.310000	-1.227849
	2.315000	-1.173052
	2.320000	-1.237519
	2.325000	-1.292316
	2.330000	-1.221402
	2.335000	-1.179499
	2.340000	-1.240742
	2.345000	-1.289093
	2.350000	-1.211732
	2.355000	-1.173052
	2.360000	-1.237519
	2.365000	-1.285869
	2.370000	-1.211732
	2.375000	-1.169829
	2.380000	-1.234296
	2.385000	-1.279423
	2.390000	-1.208509
	2.395000	-1.166605
	2.400000	-1.227849
	2.405000	-1.276199
	2.410000	-1.198839
	2.415000	-1.160158
	2.420000	-1.234296
	2.425000	-1.272976
	2.430000	-1.202062
	2.435000	-1.156935
	2.440000	-1.221402
	2.445000	-1.269753
	2.450000	-1.202062
	2.455000	-1.153712
	2.460000	-1.221402
	2.465000	-1.266529
	2.470000	-1.198839
	2.475000	-1.153712
	2.480000	-1.214956
	2.485000	-1.269753
	2.490000	-1.192392
	2.495000	-1.144042
	2.500000	-1.221402
	2.505000	-1.263306
	2.510000	-1.189169
	2.515000	-1.147265
	2.520000	-1.214956
	2.525000	-1.256859
	2.530000	-1.185945
	2.535000	-1.134372
	2.540000	-1.208509
	2.545000	-1.250413
	2.550000	-1.185945
	2.555000	-1.140818
	2.560000	-1.205285
	2.565000	-1.256859
	2.570000	-1.185945
	2.575000	-1.140818
	2.580000	-1.208509
	2.585000	-1.253636
	2.590000	-1.182722
	2.595000	-1.134372
	2.600000	-1.202062
	2.605000	-1.250413
	2.610000	-1.179499
	2.615000	-1.137595
	2.620000	-1.208509
	2.625000	-1.247189
	2.630000	-1.182722
	2.635000	-1.134372
	2.640000	-1.208509
	2.645000	-1.243966
	2.650000	-1.179499
	2.655000	-1.131148
	2.660000	-1.202062
	2.665000	-1.250413
	2.670000	-1.173052
	2.675000	-1.137595
	2.680000	-1.202062
	2.685000	-1.243966
	2.690000	-1.176275
	2.695000	-1.134372
	2.700000	-1.202062
	2.705000	-1.243966
	2.710000	-1.173052
	2.715000	-1.134372
	2.720000	-1.198839
	2.725000	-1.240742
	2.730000	-1.173052
	2.735000	-1.127925
	2.740000	-1.198839
	2.745000	-1.250413
	2.750000	-1.169829
	2.755000	-1.131148
	2.760000	-1.192392
	2.765000	-1.240742
	2.770000	-1.169829
	2.775000	-1.131148
	2.780000	-1.198839
	2.785000	-1.237519
	2.790000	-1.166605
	2.795000	-1.127925
	2.800000	-1.198839
	2.805000	-1.240742
	2.810000	-1.163382
	2.815000	-1.121478
	2.820000	-1.189169
	2.825000	-1.240742
	2.830000	-1.166605
	2.835000	-1.124702
	2.840000	-1.195615
	2.845000	-1.234296
	2.850000	-1.163382
	2.855000	-1.118255
	2.860000	-1.189169
	2.865000	-1.231072
	2.870000	-1.166605
	2.875000	-1.127925
	2.880000	-1.185945
	2.885000	-1.234296
	2.890000	-1.156935
	2.895000	-1.124702
	2.900000	-1.192392
