2024/7/11 	 14:58:08 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.151247
	0.005000	-0.173811
	0.010000	-0.086780
	0.015000	-0.060993
	0.020000	-0.151247
	0.025000	-0.170587
	0.030000	-0.090003
	0.035000	-0.060993
	0.040000	-0.154470
	0.045000	-0.173811
	0.050000	-0.083557
	0.055000	-0.057770
	0.060000	-0.148024
	0.065000	-0.170587
	0.070000	-0.080333
	0.075000	-0.064216
	0.080000	-0.151247
	0.085000	-0.170587
	0.090000	-0.080333
	0.095000	-0.060993
	0.100000	-0.148024
	0.105000	-0.167364
	0.110000	-0.083557
	0.115000	-0.057770
	0.120000	-0.148024
	0.125000	-0.170587
	0.130000	-0.080333
	0.135000	-0.057770
	0.140000	-0.144800
	0.145000	-0.170587
	0.150000	-0.080333
	0.155000	-0.057770
	0.160000	-0.151247
	0.165000	-0.167364
	0.170000	-0.077110
	0.175000	-0.060993
	0.180000	-0.148024
	0.185000	-0.167364
	0.190000	-0.077110
	0.195000	-0.054546
	0.200000	-0.144800
	0.205000	-0.164141
	0.210000	-0.077110
	0.215000	-0.054546
	0.220000	-0.141577
	0.225000	-0.157694
	0.230000	-0.077110
	0.235000	-0.051323
	0.240000	-0.148024
	0.245000	-0.164141
	0.250000	-0.077110
	0.255000	-0.054546
	0.260000	-0.144800
	0.265000	-0.167364
	0.270000	-0.077110
	0.275000	-0.051323
	0.280000	-0.141577
	0.285000	-0.167364
	0.290000	-0.070663
	0.295000	-0.054546
	0.300000	-0.144800
	0.305000	-0.164141
	0.310000	-0.077110
	0.315000	-0.054546
	0.320000	-0.148024
	0.325000	-0.170587
	0.330000	-0.077110
	0.335000	-0.054546
	0.340000	-0.148024
	0.345000	-0.160917
	0.350000	-0.083557
	0.355000	-0.057770
	0.360000	-0.151247
	0.365000	-0.167364
	0.370000	-0.073886
	0.375000	-0.057770
	0.380000	-0.151247
	0.385000	-0.167364
	0.390000	-0.073886
	0.395000	-0.060993
	0.400000	-0.151247
	0.405000	-0.164141
	0.410000	-0.070663
	0.415000	-0.051323
	0.420000	-0.148024
	0.425000	-0.160917
	0.430000	-0.073886
	0.435000	-0.048100
	0.440000	-0.144800
	0.445000	-0.157694
	0.450000	-0.073886
	0.455000	-0.057770
	0.460000	-0.141577
	0.465000	-0.164141
	0.470000	-0.067440
	0.475000	-0.057770
	0.480000	-0.148024
	0.485000	-0.160917
	0.490000	-0.073886
	0.495000	-0.057770
	0.500000	-0.151247
	0.505000	-0.160917
	0.510000	-0.073886
	0.515000	-0.057770
	0.520000	-0.148024
	0.525000	-0.164141
	0.530000	-0.073886
	0.535000	-0.060993
	0.540000	-0.151247
	0.545000	-0.157694
	0.550000	-0.067440
	0.555000	-0.057770
	0.560000	-0.151247
	0.565000	-0.164141
	0.570000	-0.067440
	0.575000	-0.057770
	0.580000	-0.144800
	0.585000	-0.167364
	0.590000	-0.070663
	0.595000	-0.057770
	0.600000	-0.144800
	0.605000	-0.160917
	0.610000	-0.073886
	0.615000	-0.054546
	0.620000	-0.151247
	0.625000	-0.160917
	0.630000	-0.070663
	0.635000	-0.054546
	0.640000	-0.144800
	0.645000	-0.160917
	0.650000	-0.067440
	0.655000	-0.054546
	0.660000	-0.144800
	0.665000	-0.160917
	0.670000	-0.067440
	0.675000	-0.054546
	0.680000	-0.148024
	0.685000	-0.160917
	0.690000	-0.060993
	0.695000	-0.054546
	0.700000	-0.144800
	0.705000	-0.154470
	0.710000	-0.064216
	0.715000	-0.051323
	0.720000	-0.138354
	0.725000	-0.157694
	0.730000	-0.060993
	0.735000	-0.054546
	0.740000	-0.144800
	0.745000	-0.160917
	0.750000	-0.064216
	0.755000	-0.057770
	0.760000	-0.148024
	0.765000	-0.157694
	0.770000	-0.067440
	0.775000	-0.060993
	0.780000	-0.151247
	0.785000	-0.154470
	0.790000	-0.060993
	0.795000	-0.054546
	0.800000	-0.144800
	0.805000	-0.164141
	0.810000	-0.064216
	0.815000	-0.051323
	0.820000	-0.141577
	0.825000	-0.154470
	0.830000	-0.060993
	0.835000	-0.044876
	0.840000	-0.144800
	0.845000	-0.154470
	0.850000	-0.060993
	0.855000	-0.057770
	0.860000	-0.141577
	0.865000	-0.148024
	0.870000	-0.060993
	0.875000	-0.057770
	0.880000	-0.138354
	0.885000	-0.151247
	0.890000	-0.060993
	0.895000	-0.051323
	0.900000	-0.135130
	0.905000	-0.144800
	0.910000	-0.044876
	0.915000	-0.031983
	0.920000	-0.122237
	0.925000	-0.122237
	0.930000	-0.025536
	0.935000	-0.015866
	0.940000	-0.099673
	0.945000	-0.102897
	0.950000	-0.006196
	0.955000	0.013144
	0.960000	-0.070663
	0.965000	-0.070663
	0.970000	0.019591
	0.975000	0.042154
	0.980000	-0.044876
	0.985000	-0.044876
	0.990000	0.055048
	0.995000	0.071165
	1.000000	-0.006196
	1.005000	-0.015866
	1.010000	0.087281
	1.015000	0.100175
	1.020000	0.013144
	1.025000	0.013144
	1.030000	0.106622
	1.035000	0.119515
	1.040000	0.035708
	1.045000	0.032484
	1.050000	0.122738
	1.055000	0.129185
	1.060000	0.042154
	1.065000	0.035708
	1.070000	0.122738
	1.075000	0.129185
	1.080000	0.048601
	1.085000	0.042154
	1.090000	0.132408
	1.095000	0.132408
	1.100000	0.042154
	1.105000	0.042154
	1.110000	0.122738
	1.115000	0.132408
	1.120000	0.045378
	1.125000	0.048601
	1.130000	0.129185
	1.135000	0.129185
	1.140000	0.042154
	1.145000	0.038931
	1.150000	0.125962
	1.155000	0.125962
	1.160000	0.038931
	1.165000	0.032484
	1.170000	0.122738
	1.175000	0.129185
	1.180000	0.038931
	1.185000	0.035708
	1.190000	0.122738
	1.195000	0.129185
	1.200000	0.035708
	1.205000	0.032484
	1.210000	0.116292
	1.215000	0.125962
	1.220000	0.038931
	1.225000	0.032484
	1.230000	0.119515
	1.235000	0.119515
	1.240000	0.035708
	1.245000	0.029261
	1.250000	0.109845
	1.255000	0.122738
	1.260000	0.032484
	1.265000	0.022814
	1.270000	0.109845
	1.275000	0.116292
	1.280000	0.026038
	1.285000	0.029261
	1.290000	0.116292
	1.295000	0.116292
	1.300000	0.022814
	1.305000	0.019591
	1.310000	0.103398
	1.315000	0.103398
	1.320000	0.013144
	1.325000	0.013144
	1.330000	0.103398
	1.335000	0.096952
	1.340000	0.009921
	1.345000	0.006697
	1.350000	0.090505
	1.355000	0.087281
	1.360000	0.000251
	1.365000	-0.006196
	1.370000	0.074388
	1.375000	0.074388
	1.380000	-0.022313
	1.385000	-0.025536
	1.390000	0.051825
	1.395000	0.051825
	1.400000	-0.048100
	1.405000	-0.054546
	1.410000	0.026038
	1.415000	0.019591
	1.420000	-0.073886
	1.425000	-0.086780
	1.430000	-0.009419
	1.435000	-0.009419
