2024/7/11 	 20:29:28 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.895843
	0.005000	-0.799142
	0.010000	-0.860386
	0.015000	-0.947417
	0.020000	-0.908736
	0.025000	-0.805589
	0.030000	-0.857163
	0.035000	-0.963534
	0.040000	-0.908736
	0.045000	-0.812036
	0.050000	-0.860386
	0.055000	-0.966757
	0.060000	-0.908736
	0.065000	-0.808812
	0.070000	-0.866833
	0.075000	-0.976427
	0.080000	-0.918407
	0.085000	-0.815259
	0.090000	-0.876503
	0.095000	-0.979650
	0.100000	-0.918407
	0.105000	-0.821706
	0.110000	-0.879726
	0.115000	-0.979650
	0.120000	-0.928077
	0.125000	-0.831376
	0.130000	-0.879726
	0.135000	-0.986097
	0.140000	-0.931300
	0.145000	-0.834599
	0.150000	-0.889396
	0.155000	-0.992544
	0.160000	-0.934523
	0.165000	-0.841046
	0.170000	-0.895843
	0.175000	-0.992544
	0.180000	-0.940970
	0.185000	-0.841046
	0.190000	-0.899066
	0.195000	-0.992544
	0.200000	-0.940970
	0.205000	-0.847493
	0.210000	-0.902290
	0.215000	-0.998991
	0.220000	-0.947417
	0.225000	-0.857163
	0.230000	-0.905513
	0.235000	-1.005437
	0.240000	-0.947417
	0.245000	-0.857163
	0.250000	-0.915183
	0.255000	-1.011884
	0.260000	-0.957087
	0.265000	-0.857163
	0.270000	-0.911960
	0.275000	-1.015107
	0.280000	-0.957087
	0.285000	-0.863609
	0.290000	-0.918407
	0.295000	-1.015107
	0.300000	-0.957087
	0.305000	-0.863609
	0.310000	-0.921630
	0.315000	-1.021554
	0.320000	-0.963534
	0.325000	-0.860386
	0.330000	-0.921630
	0.335000	-1.015107
	0.340000	-0.957087
	0.345000	-0.866833
	0.350000	-0.928077
	0.355000	-1.024777
	0.360000	-0.960310
	0.365000	-0.863609
	0.370000	-0.921630
	0.375000	-1.015107
	0.380000	-0.960310
	0.385000	-0.863609
	0.390000	-0.928077
	0.395000	-1.018331
	0.400000	-0.953863
	0.405000	-0.860386
	0.410000	-0.924853
	0.415000	-1.028001
	0.420000	-0.963534
	0.425000	-0.866833
	0.430000	-0.931300
	0.435000	-1.028001
	0.440000	-0.966757
	0.445000	-0.866833
	0.450000	-0.924853
	0.455000	-1.028001
	0.460000	-0.963534
	0.465000	-0.873280
	0.470000	-0.924853
	0.475000	-1.031224
	0.480000	-0.966757
	0.485000	-0.873280
	0.490000	-0.937747
	0.495000	-1.028001
	0.500000	-0.966757
	0.505000	-0.873280
	0.510000	-0.934523
	0.515000	-1.037671
	0.520000	-0.969980
	0.525000	-0.873280
	0.530000	-0.934523
	0.535000	-1.037671
	0.540000	-0.976427
	0.545000	-0.879726
	0.550000	-0.947417
	0.555000	-1.031224
	0.560000	-0.973204
	0.565000	-0.882950
	0.570000	-0.944193
	0.575000	-1.047341
	0.580000	-0.973204
	0.585000	-0.879726
	0.590000	-0.957087
	0.595000	-1.040894
	0.600000	-0.979650
	0.605000	-0.886173
	0.610000	-0.957087
	0.615000	-1.044118
	0.620000	-0.979650
	0.625000	-0.886173
	0.630000	-0.950640
	0.635000	-1.040894
	0.640000	-0.982874
	0.645000	-0.889396
	0.650000	-0.953863
	0.655000	-1.047341
	0.660000	-0.979650
	0.665000	-0.892620
	0.670000	-0.957087
	0.675000	-1.037671
	0.680000	-0.979650
	0.685000	-0.892620
	0.690000	-0.960310
	0.695000	-1.050564
	0.700000	-0.982874
	0.705000	-0.892620
	0.710000	-0.960310
	0.715000	-1.053788
	0.720000	-0.992544
	0.725000	-0.895843
	0.730000	-0.960310
	0.735000	-1.060234
	0.740000	-0.992544
	0.745000	-0.895843
	0.750000	-0.969980
	0.755000	-1.053788
	0.760000	-0.989320
	0.765000	-0.895843
	0.770000	-0.966757
	0.775000	-1.063458
	0.780000	-0.986097
	0.785000	-0.895843
	0.790000	-0.960310
	0.795000	-1.063458
	0.800000	-0.989320
	0.805000	-0.899066
	0.810000	-0.966757
	0.815000	-1.050564
	0.820000	-0.982874
	0.825000	-0.895843
	0.830000	-0.963534
	0.835000	-1.050564
	0.840000	-0.973204
	0.845000	-0.886173
	0.850000	-0.953863
	0.855000	-1.044118
	0.860000	-0.969980
	0.865000	-0.879726
	0.870000	-0.947417
	0.875000	-1.031224
	0.880000	-0.963534
	0.885000	-0.879726
	0.890000	-0.944193
	0.895000	-1.034447
	0.900000	-0.969980
	0.905000	-0.879726
	0.910000	-0.950640
	0.915000	-1.044118
	0.920000	-0.979650
	0.925000	-0.892620
	0.930000	-0.953863
	0.935000	-1.047341
	0.940000	-0.976427
	0.945000	-0.895843
	0.950000	-0.966757
	0.955000	-1.053788
	0.960000	-0.982874
	0.965000	-0.899066
	0.970000	-0.973204
	0.975000	-1.057011
	0.980000	-0.986097
	0.985000	-0.895843
	0.990000	-0.969980
	0.995000	-1.053788
	1.000000	-0.979650
	1.005000	-0.889396
	1.010000	-0.963534
	1.015000	-1.040894
	1.020000	-0.973204
	1.025000	-0.879726
	1.030000	-0.950640
	1.035000	-1.034447
	1.040000	-0.960310
	1.045000	-0.873280
	1.050000	-0.944193
	1.055000	-1.024777
	1.060000	-0.950640
	1.065000	-0.863609
	1.070000	-0.937747
	1.075000	-1.018331
	1.080000	-0.940970
	1.085000	-0.857163
	1.090000	-0.928077
	1.095000	-1.005437
	1.100000	-0.934523
	1.105000	-0.853939
	1.110000	-0.924853
	1.115000	-1.008661
	1.120000	-0.937747
	1.125000	-0.853939
	1.130000	-0.921630
	1.135000	-1.008661
	1.140000	-0.940970
	1.145000	-0.857163
	1.150000	-0.931300
	1.155000	-1.021554
	1.160000	-0.940970
	1.165000	-0.870056
	1.170000	-0.944193
	1.175000	-1.031224
	1.180000	-0.953863
	1.185000	-0.873280
	1.190000	-0.953863
	1.195000	-1.034447
	1.200000	-0.966757
	1.205000	-0.895843
	1.210000	-0.966757
	1.215000	-1.050564
	1.220000	-0.979650
	1.225000	-0.902290
	1.230000	-0.982874
	1.235000	-1.057011
	1.240000	-0.992544
	1.245000	-0.911960
	1.250000	-0.995767
	1.255000	-1.076351
	1.260000	-1.005437
	1.265000	-0.924853
	1.270000	-0.995767
	1.275000	-1.086021
	1.280000	-1.005437
	1.285000	-0.924853
	1.290000	-0.995767
	1.295000	-1.076351
	1.300000	-1.008661
	1.305000	-0.928077
	1.310000	-1.002214
	1.315000	-1.082798
	1.320000	-1.011884
	1.325000	-0.924853
	1.330000	-1.002214
	1.335000	-1.079574
	1.340000	-1.005437
	1.345000	-0.928077
	1.350000	-1.002214
	1.355000	-1.086021
	1.360000	-1.005437
	1.365000	-0.921630
	1.370000	-0.992544
	1.375000	-1.076351
	1.380000	-1.005437
	1.385000	-0.921630
	1.390000	-0.998991
	1.395000	-1.082798
	1.400000	-1.002214
	1.405000	-0.924853
	1.410000	-1.002214
	1.415000	-1.082798
	1.420000	-0.998991
	1.425000	-0.921630
	1.430000	-0.998991
	1.435000	-1.076351
	1.440000	-0.995767
	1.445000	-0.921630
	1.450000	-0.998991
	1.455000	-1.069904
	1.460000	-0.995767
	1.465000	-0.918407
	1.470000	-1.002214
	1.475000	-1.079574
	1.480000	-0.992544
	1.485000	-0.921630
	1.490000	-0.998991
	1.495000	-1.076351
	1.500000	-1.002214
	1.505000	-0.924853
	1.510000	-0.995767
	1.515000	-1.069904
	1.520000	-1.002214
	1.525000	-0.924853
	1.530000	-0.998991
	1.535000	-1.079574
	1.540000	-0.995767
	1.545000	-0.921630
	1.550000	-0.995767
	1.555000	-1.076351
	1.560000	-1.005437
	1.565000	-0.915183
	1.570000	-1.005437
	1.575000	-1.082798
	1.580000	-1.002214
	1.585000	-0.931300
	1.590000	-1.008661
	1.595000	-1.082798
	1.600000	-1.002214
	1.605000	-0.928077
	1.610000	-1.015107
	1.615000	-1.082798
	1.620000	-1.008661
	1.625000	-0.928077
	1.630000	-1.018331
	1.635000	-1.086021
	1.640000	-1.005437
	1.645000	-0.937747
	1.650000	-1.011884
	1.655000	-1.095691
	1.660000	-1.015107
	1.665000	-0.940970
	1.670000	-1.018331
	1.675000	-1.102138
	1.680000	-1.015107
	1.685000	-0.947417
	1.690000	-1.031224
	1.695000	-1.105361
	1.700000	-1.024777
	1.705000	-0.947417
	1.710000	-1.037671
	1.715000	-1.111808
	1.720000	-1.028001
	1.725000	-0.957087
	1.730000	-1.040894
	1.735000	-1.111808
