2024/7/31 	 16:19:28 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.794143
	0.005000	0.662594
	0.010000	0.527757
	0.015000	0.665883
	0.020000	0.794143
	0.025000	0.659306
	0.030000	0.524468
	0.035000	0.665883
	0.040000	0.797432
	0.045000	0.659306
	0.050000	0.531045
	0.055000	0.665883
	0.060000	0.794143
	0.065000	0.656017
	0.070000	0.524468
	0.075000	0.662594
	0.080000	0.790854
	0.085000	0.656017
	0.090000	0.524468
	0.095000	0.662594
	0.100000	0.790854
	0.105000	0.656017
	0.110000	0.527757
	0.115000	0.662594
	0.120000	0.790854
	0.125000	0.656017
	0.130000	0.527757
	0.135000	0.665883
	0.140000	0.797432
	0.145000	0.659306
	0.150000	0.531045
	0.155000	0.659306
	0.160000	0.794143
	0.165000	0.659306
	0.170000	0.531045
	0.175000	0.672460
	0.180000	0.794143
	0.185000	0.659306
	0.190000	0.531045
	0.195000	0.672460
	0.200000	0.800721
	0.205000	0.662594
	0.210000	0.534334
	0.215000	0.672460
	0.220000	0.797432
	0.225000	0.662594
	0.230000	0.534334
	0.235000	0.672460
	0.240000	0.800721
	0.245000	0.665883
	0.250000	0.534334
	0.255000	0.669172
	0.260000	0.800721
	0.265000	0.662594
	0.270000	0.531045
	0.275000	0.672460
	0.280000	0.800721
	0.285000	0.662594
	0.290000	0.534334
	0.295000	0.669172
	0.300000	0.797432
	0.305000	0.659306
	0.310000	0.534334
	0.315000	0.665883
	0.320000	0.800721
	0.325000	0.659306
	0.330000	0.534334
	0.335000	0.665883
	0.340000	0.790854
	0.345000	0.656017
	0.350000	0.527757
	0.355000	0.665883
	0.360000	0.790854
	0.365000	0.656017
	0.370000	0.531045
	0.375000	0.662594
	0.380000	0.794143
	0.385000	0.652728
	0.390000	0.527757
	0.395000	0.662594
	0.400000	0.787566
	0.405000	0.652728
	0.410000	0.527757
	0.415000	0.662594
	0.420000	0.790854
	0.425000	0.652728
	0.430000	0.527757
	0.435000	0.662594
	0.440000	0.790854
	0.445000	0.652728
	0.450000	0.527757
	0.455000	0.662594
	0.460000	0.790854
	0.465000	0.652728
	0.470000	0.531045
	0.475000	0.665883
	0.480000	0.790854
	0.485000	0.656017
	0.490000	0.524468
	0.495000	0.665883
	0.500000	0.790854
	0.505000	0.652728
	0.510000	0.527757
	0.515000	0.665883
	0.520000	0.790854
	0.525000	0.656017
	0.530000	0.531045
	0.535000	0.665883
	0.540000	0.787566
	0.545000	0.656017
	0.550000	0.527757
	0.555000	0.662594
	0.560000	0.794143
	0.565000	0.656017
	0.570000	0.531045
	0.575000	0.665883
	0.580000	0.797432
	0.585000	0.656017
	0.590000	0.531045
	0.595000	0.665883
	0.600000	0.794143
	0.605000	0.659306
	0.610000	0.527757
	0.615000	0.662594
	0.620000	0.794143
	0.625000	0.652728
	0.630000	0.531045
	0.635000	0.665883
	0.640000	0.790854
	0.645000	0.659306
	0.650000	0.534334
	0.655000	0.665883
	0.660000	0.794143
	0.665000	0.656017
	0.670000	0.534334
	0.675000	0.669172
	0.680000	0.800721
	0.685000	0.656017
	0.690000	0.524468
	0.695000	0.669172
	0.700000	0.790854
	0.705000	0.652728
	0.710000	0.527757
	0.715000	0.662594
	0.720000	0.794143
	0.725000	0.656017
	0.730000	0.527757
	0.735000	0.662594
	0.740000	0.787566
	0.745000	0.649439
	0.750000	0.524468
	0.755000	0.659306
	0.760000	0.790854
	0.765000	0.649439
	0.770000	0.524468
	0.775000	0.659306
	0.780000	0.784277
	0.785000	0.646151
	0.790000	0.524468
	0.795000	0.656017
	0.800000	0.784277
	0.805000	0.639573
	0.810000	0.514602
	0.815000	0.656017
	0.820000	0.780988
	0.825000	0.642862
	0.830000	0.524468
	0.835000	0.656017
	0.840000	0.787566
	0.845000	0.646151
	0.850000	0.521179
	0.855000	0.665883
	0.860000	0.797432
	0.865000	0.652728
	0.870000	0.531045
	0.875000	0.672460
	0.880000	0.800721
	0.885000	0.665883
	0.890000	0.540912
	0.895000	0.672460
	0.900000	0.797432
	0.905000	0.652728
	0.910000	0.527757
	0.915000	0.646151
	0.920000	0.767833
	0.925000	0.626418
	0.930000	0.504736
	0.935000	0.632996
	0.940000	0.751390
	0.945000	0.613263
	0.950000	0.494869
	0.955000	0.619841
	0.960000	0.741524
	0.965000	0.606686
	0.970000	0.488292
	0.975000	0.623130
	0.980000	0.744812
	0.985000	0.606686
	0.990000	0.491581
	0.995000	0.619841
	1.000000	0.741524
	1.005000	0.606686
	1.010000	0.488292
	1.015000	0.616552
	1.020000	0.731657
	1.025000	0.600109
	1.030000	0.475137
	1.035000	0.603397
	1.040000	0.721791
	1.045000	0.593531
	1.050000	0.468560
	1.055000	0.590242
	1.060000	0.708636
	1.065000	0.573799
	1.070000	0.461982
	1.075000	0.580376
	1.080000	0.698770
	1.085000	0.563933
	1.090000	0.448827
	1.095000	0.570510
	1.100000	0.682327
	1.105000	0.550778
	1.110000	0.432384
	1.115000	0.550778
	1.120000	0.669172
	1.125000	0.531045
	1.130000	0.412651
	1.135000	0.537623
	1.140000	0.649439
	1.145000	0.517891
	1.150000	0.406074
	1.155000	0.524468
	1.160000	0.646151
	1.165000	0.514602
	1.170000	0.402785
	1.175000	0.527757
	1.180000	0.639573
	1.185000	0.511313
	1.190000	0.396208
	1.195000	0.521179
	1.200000	0.632996
	1.205000	0.508024
	1.210000	0.389630
	1.215000	0.514602
	1.220000	0.632996
	1.225000	0.501447
	1.230000	0.386342
	1.235000	0.514602
	1.240000	0.632996
	1.245000	0.504736
	1.250000	0.386342
	1.255000	0.517891
	1.260000	0.632996
	1.265000	0.504736
	1.270000	0.389630
	1.275000	0.517891
	1.280000	0.632996
	1.285000	0.504736
	1.290000	0.379764
	1.295000	0.517891
	1.300000	0.632996
	1.305000	0.504736
	1.310000	0.386342
	1.315000	0.514602
	1.320000	0.636285
	1.325000	0.508024
	1.330000	0.389630
	1.335000	0.524468
	1.340000	0.639573
	1.345000	0.508024
	1.350000	0.392919
	1.355000	0.524468
	1.360000	0.646151
	1.365000	0.514602
	1.370000	0.402785
	1.375000	0.537623
	1.380000	0.649439
	1.385000	0.521179
	1.390000	0.409363
	1.395000	0.544200
	1.400000	0.659306
	1.405000	0.531045
	1.410000	0.419229
	1.415000	0.550778
	1.420000	0.669172
	1.425000	0.540912
	1.430000	0.432384
	1.435000	0.567221
	1.440000	0.679038
	1.445000	0.554066
	1.450000	0.445539
	1.455000	0.577088
	1.460000	0.705348
	1.465000	0.583665
	1.470000	0.468560
	1.475000	0.603397
	1.480000	0.725080
	1.485000	0.603397
	1.490000	0.501447
	1.495000	0.639573
	1.500000	0.757967
	1.505000	0.636285
	1.510000	0.527757
	1.515000	0.669172
	1.520000	0.794143
	1.525000	0.669172
	1.530000	0.560644
	1.535000	0.698770
	1.540000	0.820453
	1.545000	0.685615
	1.550000	0.577088
	1.555000	0.708636
	1.560000	0.827030
	1.565000	0.695482
	1.570000	0.577088
	1.575000	0.715214
	1.580000	0.840185
	1.585000	0.702059
	1.590000	0.583665
	1.595000	0.718503
	1.600000	0.840185
	1.605000	0.705348
	1.610000	0.586954
	1.615000	0.721791
	1.620000	0.843474
	1.625000	0.711925
	1.630000	0.586954
	1.635000	0.721791
	1.640000	0.846763
	1.645000	0.708636
	1.650000	0.580376
	1.655000	0.728369
	1.660000	0.846763
	1.665000	0.705348
	1.670000	0.577088
	1.675000	0.721791
	1.680000	0.843474
	1.685000	0.698770
	1.690000	0.570510
	1.695000	0.711925
	1.700000	0.836897
	1.705000	0.688904
	1.710000	0.567221
	1.715000	0.705348
	1.720000	0.827030
	1.725000	0.682327
	1.730000	0.560644
	1.735000	0.698770
	1.740000	0.820453
	1.745000	0.679038
	1.750000	0.554066
	1.755000	0.695482
	1.760000	0.813876
	1.765000	0.672460
	1.770000	0.540912
	1.775000	0.688904
	1.780000	0.810587
	1.785000	0.665883
	1.790000	0.544200
	1.795000	0.682327
	1.800000	0.804009
	1.805000	0.656017
	1.810000	0.537623
	1.815000	0.675749
	1.820000	0.794143
	1.825000	0.646151
	1.830000	0.517891
	1.835000	0.662594
	1.840000	0.787566
	1.845000	0.642862
	1.850000	0.511313
	1.855000	0.656017
	1.860000	0.784277
	1.865000	0.629707
	1.870000	0.494869
	1.875000	0.646151
	1.880000	0.767833
	1.885000	0.619841
	1.890000	0.494869
	1.895000	0.632996
	1.900000	0.757967
	1.905000	0.616552
	1.910000	0.488292
	1.915000	0.632996
	1.920000	0.757967
	1.925000	0.609975
	1.930000	0.485003
