2024/7/31 	 16:21:26 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.366776
	0.005000	-0.182607
	0.010000	-0.291135
	0.015000	-0.475304
	0.020000	-0.366776
	0.025000	-0.182607
	0.030000	-0.284558
	0.035000	-0.465438
	0.040000	-0.366776
	0.045000	-0.176030
	0.050000	-0.291135
	0.055000	-0.468726
	0.060000	-0.363487
	0.065000	-0.182607
	0.070000	-0.284558
	0.075000	-0.472015
	0.080000	-0.366776
	0.085000	-0.182607
	0.090000	-0.284558
	0.095000	-0.465438
	0.100000	-0.363487
	0.105000	-0.185896
	0.110000	-0.287847
	0.115000	-0.458860
	0.120000	-0.360198
	0.125000	-0.176030
	0.130000	-0.274692
	0.135000	-0.462149
	0.140000	-0.356910
	0.145000	-0.176030
	0.150000	-0.277980
	0.155000	-0.462149
	0.160000	-0.356910
	0.165000	-0.176030
	0.170000	-0.274692
	0.175000	-0.455571
	0.180000	-0.350332
	0.185000	-0.172741
	0.190000	-0.271403
	0.195000	-0.458860
	0.200000	-0.360198
	0.205000	-0.172741
	0.210000	-0.271403
	0.215000	-0.455571
	0.220000	-0.353621
	0.225000	-0.176030
	0.230000	-0.274692
	0.235000	-0.455571
	0.240000	-0.356910
	0.245000	-0.176030
	0.250000	-0.268114
	0.255000	-0.455571
	0.260000	-0.356910
	0.265000	-0.179319
	0.270000	-0.274692
	0.275000	-0.452283
	0.280000	-0.363487
	0.285000	-0.176030
	0.290000	-0.274692
	0.295000	-0.462149
	0.300000	-0.356910
	0.305000	-0.179319
	0.310000	-0.277980
	0.315000	-0.452283
	0.320000	-0.360198
	0.325000	-0.176030
	0.330000	-0.277980
	0.335000	-0.452283
	0.340000	-0.356910
	0.345000	-0.185896
	0.350000	-0.274692
	0.355000	-0.455571
	0.360000	-0.360198
	0.365000	-0.185896
	0.370000	-0.274692
	0.375000	-0.455571
	0.380000	-0.366776
	0.385000	-0.185896
	0.390000	-0.274692
