2024/7/10 	 21:54:24 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-3.358489
	0.005000	-3.339149
	0.010000	-3.439073
	0.015000	-3.455190
	0.020000	-3.358489
	0.025000	-3.339149
	0.030000	-3.439073
	0.035000	-3.461637
	0.040000	-3.368159
	0.045000	-3.345596
	0.050000	-3.445520
	0.055000	-3.468083
	0.060000	-3.374606
	0.065000	-3.352043
	0.070000	-3.448743
	0.075000	-3.474530
	0.080000	-3.381053
	0.085000	-3.361713
	0.090000	-3.455190
	0.095000	-3.474530
	0.100000	-3.377829
	0.105000	-3.368159
	0.110000	-3.451967
	0.115000	-3.477754
	0.120000	-3.384276
	0.125000	-3.371383
	0.130000	-3.464860
	0.135000	-3.484200
	0.140000	-3.390723
	0.145000	-3.371383
	0.150000	-3.474530
	0.155000	-3.493870
	0.160000	-3.397170
	0.165000	-3.368159
	0.170000	-3.474530
	0.175000	-3.487424
	0.180000	-3.397170
	0.185000	-3.384276
	0.190000	-3.477754
	0.195000	-3.500317
	0.200000	-3.400393
	0.205000	-3.384276
	0.210000	-3.480977
	0.215000	-3.500317
	0.220000	-3.406840
	0.225000	-3.393946
	0.230000	-3.487424
	0.235000	-3.506764
	0.240000	-3.410063
	0.245000	-3.387499
	0.250000	-3.490647
	0.255000	-3.509987
	0.260000	-3.416510
	0.265000	-3.397170
	0.270000	-3.490647
	0.275000	-3.513210
	0.280000	-3.416510
	0.285000	-3.397170
	0.290000	-3.490647
	0.295000	-3.516434
	0.300000	-3.419733
	0.305000	-3.400393
	0.310000	-3.500317
	0.315000	-3.516434
	0.320000	-3.426180
	0.325000	-3.397170
	0.330000	-3.500317
	0.335000	-3.516434
	0.340000	-3.422956
	0.345000	-3.403616
	0.350000	-3.500317
	0.355000	-3.522881
	0.360000	-3.426180
	0.365000	-3.403616
	0.370000	-3.506764
	0.375000	-3.519657
	0.380000	-3.426180
	0.385000	-3.403616
	0.390000	-3.506764
	0.395000	-3.522881
	0.400000	-3.426180
	0.405000	-3.410063
	0.410000	-3.503540
	0.415000	-3.522881
	0.420000	-3.429403
	0.425000	-3.406840
	0.430000	-3.500317
	0.435000	-3.522881
	0.440000	-3.435850
	0.445000	-3.413286
	0.450000	-3.506764
	0.455000	-3.526104
	0.460000	-3.435850
	0.465000	-3.416510
	0.470000	-3.506764
	0.475000	-3.529327
	0.480000	-3.439073
	0.485000	-3.416510
	0.490000	-3.516434
	0.495000	-3.538997
	0.500000	-3.439073
	0.505000	-3.413286
	0.510000	-3.522881
	0.515000	-3.532551
	0.520000	-3.448743
	0.525000	-3.419733
	0.530000	-3.516434
	0.535000	-3.538997
	0.540000	-3.448743
	0.545000	-3.422956
	0.550000	-3.519657
	0.555000	-3.538997
	0.560000	-3.448743
	0.565000	-3.416510
	0.570000	-3.516434
	0.575000	-3.545444
	0.580000	-3.451967
	0.585000	-3.419733
	0.590000	-3.522881
	0.595000	-3.551891
	0.600000	-3.448743
	0.605000	-3.419733
	0.610000	-3.526104
	0.615000	-3.542221
	0.620000	-3.445520
	0.625000	-3.422956
	0.630000	-3.529327
	0.635000	-3.545444
	0.640000	-3.448743
	0.645000	-3.426180
	0.650000	-3.526104
	0.655000	-3.545444
	0.660000	-3.451967
	0.665000	-3.429403
	0.670000	-3.522881
	0.675000	-3.542221
	0.680000	-3.448743
	0.685000	-3.426180
	0.690000	-3.526104
	0.695000	-3.545444
	0.700000	-3.451967
	0.705000	-3.435850
	0.710000	-3.526104
	0.715000	-3.545444
	0.720000	-3.458413
	0.725000	-3.432627
	0.730000	-3.529327
	0.735000	-3.555114
	0.740000	-3.455190
	0.745000	-3.439073
	0.750000	-3.538997
	0.755000	-3.551891
	0.760000	-3.458413
	0.765000	-3.435850
	0.770000	-3.538997
	0.775000	-3.555114
	0.780000	-3.461637
	0.785000	-3.442297
	0.790000	-3.538997
	0.795000	-3.561561
	0.800000	-3.464860
	0.805000	-3.439073
	0.810000	-3.542221
	0.815000	-3.558338
	0.820000	-3.461637
	0.825000	-3.445520
	0.830000	-3.535774
	0.835000	-3.558338
	0.840000	-3.468083
	0.845000	-3.451967
	0.850000	-3.538997
	0.855000	-3.568008
	0.860000	-3.468083
	0.865000	-3.445520
	0.870000	-3.545444
	0.875000	-3.564784
	0.880000	-3.461637
	0.885000	-3.445520
	0.890000	-3.535774
	0.895000	-3.561561
	0.900000	-3.468083
	0.905000	-3.448743
