2024/7/11 	 15:10:30 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.531603
	0.005000	-0.518710
	0.010000	-0.418786
	0.015000	-0.428456
	0.020000	-0.534827
	0.025000	-0.525157
	0.030000	-0.425233
	0.035000	-0.428456
	0.040000	-0.541274
	0.045000	-0.528380
	0.050000	-0.431679
	0.055000	-0.434903
	0.060000	-0.541274
	0.065000	-0.534827
	0.070000	-0.428456
	0.075000	-0.434903
	0.080000	-0.538050
	0.085000	-0.531603
	0.090000	-0.425233
	0.095000	-0.438126
	0.100000	-0.538050
	0.105000	-0.534827
	0.110000	-0.425233
	0.115000	-0.438126
	0.120000	-0.534827
	0.125000	-0.534827
	0.130000	-0.428456
	0.135000	-0.438126
	0.140000	-0.538050
	0.145000	-0.538050
	0.150000	-0.428456
	0.155000	-0.428456
	0.160000	-0.534827
	0.165000	-0.534827
	0.170000	-0.425233
	0.175000	-0.428456
	0.180000	-0.531603
	0.185000	-0.531603
	0.190000	-0.422009
	0.195000	-0.425233
	0.200000	-0.531603
	0.205000	-0.528380
	0.210000	-0.422009
	0.215000	-0.428456
	0.220000	-0.531603
	0.225000	-0.528380
	0.230000	-0.418786
	0.235000	-0.425233
	0.240000	-0.538050
	0.245000	-0.528380
	0.250000	-0.422009
	0.255000	-0.425233
	0.260000	-0.531603
	0.265000	-0.528380
	0.270000	-0.422009
	0.275000	-0.425233
	0.280000	-0.534827
	0.285000	-0.525157
	0.290000	-0.422009
	0.295000	-0.428456
	0.300000	-0.534827
	0.305000	-0.525157
	0.310000	-0.422009
	0.315000	-0.422009
	0.320000	-0.538050
	0.325000	-0.525157
	0.330000	-0.418786
	0.335000	-0.428456
	0.340000	-0.528380
	0.345000	-0.528380
	0.350000	-0.418786
	0.355000	-0.425233
	0.360000	-0.528380
	0.365000	-0.528380
	0.370000	-0.422009
	0.375000	-0.418786
	0.380000	-0.531603
	0.385000	-0.521933
	0.390000	-0.418786
	0.395000	-0.425233
	0.400000	-0.525157
	0.405000	-0.525157
	0.410000	-0.422009
	0.415000	-0.425233
	0.420000	-0.525157
	0.425000	-0.525157
	0.430000	-0.412339
	0.435000	-0.418786
	0.440000	-0.521933
	0.445000	-0.521933
	0.450000	-0.415563
	0.455000	-0.415563
	0.460000	-0.531603
	0.465000	-0.521933
	0.470000	-0.415563
	0.475000	-0.415563
	0.480000	-0.528380
	0.485000	-0.521933
	0.490000	-0.412339
	0.495000	-0.415563
	0.500000	-0.525157
	0.505000	-0.518710
	0.510000	-0.415563
	0.515000	-0.415563
	0.520000	-0.525157
	0.525000	-0.521933
	0.530000	-0.415563
	0.535000	-0.412339
	0.540000	-0.525157
	0.545000	-0.518710
	0.550000	-0.409116
	0.555000	-0.418786
	0.560000	-0.521933
	0.565000	-0.518710
	0.570000	-0.412339
	0.575000	-0.409116
	0.580000	-0.515487
	0.585000	-0.515487
	0.590000	-0.409116
	0.595000	-0.412339
	0.600000	-0.515487
	0.605000	-0.512263
	0.610000	-0.409116
	0.615000	-0.402669
	0.620000	-0.509040
	0.625000	-0.512263
	0.630000	-0.402669
	0.635000	-0.405892
	0.640000	-0.518710
	0.645000	-0.515487
	0.650000	-0.402669
	0.655000	-0.405892
	0.660000	-0.509040
	0.665000	-0.505817
	0.670000	-0.392999
	0.675000	-0.402669
	0.680000	-0.505817
	0.685000	-0.509040
	0.690000	-0.399446
	0.695000	-0.402669
	0.700000	-0.509040
	0.705000	-0.502593
	0.710000	-0.399446
	0.715000	-0.396222
	0.720000	-0.502593
	0.725000	-0.502593
	0.730000	-0.392999
	0.735000	-0.396222
	0.740000	-0.499370
	0.745000	-0.505817
	0.750000	-0.392999
	0.755000	-0.396222
	0.760000	-0.502593
	0.765000	-0.496147
	0.770000	-0.402669
	0.775000	-0.392999
	0.780000	-0.505817
	0.785000	-0.502593
	0.790000	-0.399446
	0.795000	-0.399446
	0.800000	-0.502593
	0.805000	-0.505817
	0.810000	-0.392999
	0.815000	-0.402669
	0.820000	-0.499370
	0.825000	-0.505817
	0.830000	-0.399446
	0.835000	-0.396222
	0.840000	-0.502593
	0.845000	-0.496147
	0.850000	-0.392999
	0.855000	-0.389776
	0.860000	-0.496147
	0.865000	-0.499370
	0.870000	-0.386552
	0.875000	-0.383329
	0.880000	-0.489700
	0.885000	-0.486476
	0.890000	-0.386552
	0.895000	-0.370436
	0.900000	-0.473583
	0.905000	-0.473583
	0.910000	-0.360765
	0.915000	-0.354319
	0.920000	-0.457466
	0.925000	-0.447796
	0.930000	-0.331755
	0.935000	-0.315638
	0.940000	-0.409116
	0.945000	-0.409116
	0.950000	-0.289852
	0.955000	-0.276958
	0.960000	-0.376882
	0.965000	-0.367212
	0.970000	-0.251171
	0.975000	-0.235054
	0.980000	-0.334979
	0.985000	-0.318862
	0.990000	-0.212491
	0.995000	-0.202821
	1.000000	-0.289852
	1.005000	-0.280181
	1.010000	-0.173811
	1.015000	-0.154470
	1.020000	-0.251171
	1.025000	-0.247948
	1.030000	-0.131907
	1.035000	-0.122237
	1.040000	-0.222161
	1.045000	-0.212491
	1.050000	-0.115790
	1.055000	-0.102897
	1.060000	-0.196374
	1.065000	-0.206044
	1.070000	-0.102897
	1.075000	-0.096450
	1.080000	-0.199597
	1.085000	-0.209268
	1.090000	-0.109343
	1.095000	-0.109343
	1.100000	-0.209268
	1.105000	-0.222161
	1.110000	-0.115790
	1.115000	-0.119014
	1.120000	-0.222161
	1.125000	-0.235054
	1.130000	-0.131907
	1.135000	-0.135130
	1.140000	-0.241501
	1.145000	-0.251171
	1.150000	-0.144800
	1.155000	-0.144800
	1.160000	-0.244725
	1.165000	-0.257618
	1.170000	-0.154470
	1.175000	-0.154470
	1.180000	-0.257618
	1.185000	-0.257618
	1.190000	-0.157694
	1.195000	-0.154470
	1.200000	-0.264065
	1.205000	-0.264065
	1.210000	-0.160917
	1.215000	-0.160917
	1.220000	-0.270511
	1.225000	-0.276958
	1.230000	-0.164141
	1.235000	-0.157694
	1.240000	-0.267288
	1.245000	-0.280181
	1.250000	-0.173811
	1.255000	-0.167364
	1.260000	-0.270511
	1.265000	-0.276958
	1.270000	-0.177034
	1.275000	-0.167364
	1.280000	-0.270511
	1.285000	-0.286628
	1.290000	-0.177034
	1.295000	-0.170587
	1.300000	-0.276958
	1.305000	-0.286628
	1.310000	-0.189927
	1.315000	-0.177034
	1.320000	-0.283405
	1.325000	-0.286628
	1.330000	-0.189927
	1.335000	-0.186704
	1.340000	-0.283405
	1.345000	-0.289852
	1.350000	-0.189927
	1.355000	-0.177034
	1.360000	-0.286628
	1.365000	-0.293075
	1.370000	-0.193151
	1.375000	-0.183481
	1.380000	-0.276958
	1.385000	-0.293075
	1.390000	-0.180257
	1.395000	-0.180257
	1.400000	-0.286628
	1.405000	-0.293075
	1.410000	-0.189927
	1.415000	-0.177034
	1.420000	-0.276958
	1.425000	-0.283405
	1.430000	-0.183481
	1.435000	-0.173811
	1.440000	-0.267288
	1.445000	-0.280181
	1.450000	-0.177034
	1.455000	-0.173811
	1.460000	-0.270511
	1.465000	-0.283405
	1.470000	-0.170587
	1.475000	-0.167364
	1.480000	-0.264065
	1.485000	-0.276958
	1.490000	-0.170587
	1.495000	-0.164141
	1.500000	-0.264065
	1.505000	-0.273735
	1.510000	-0.164141
	1.515000	-0.157694
	1.520000	-0.251171
	1.525000	-0.260841
	1.530000	-0.164141
	1.535000	-0.141577
	1.540000	-0.244725
	1.545000	-0.247948
	1.550000	-0.151247
	1.555000	-0.135130
	1.560000	-0.225384
	1.565000	-0.238278
	1.570000	-0.135130
	1.575000	-0.115790
	1.580000	-0.218938
	1.585000	-0.222161
	1.590000	-0.119014
	1.595000	-0.102897
	1.600000	-0.202821
	1.605000	-0.206044
	1.610000	-0.102897
	1.615000	-0.083557
	1.620000	-0.180257
	1.625000	-0.183481
	1.630000	-0.077110
	1.635000	-0.064216
	1.640000	-0.151247
	1.645000	-0.154470
	1.650000	-0.057770
	1.655000	-0.031983
	1.660000	-0.125460
	1.665000	-0.125460
	1.670000	-0.025536
	1.675000	0.000251
	1.680000	-0.086780
	1.685000	-0.099673
	1.690000	0.003474
	1.695000	0.026038
	1.700000	-0.067440
	1.705000	-0.077110
	1.710000	0.016368
	1.715000	0.022814
	1.720000	-0.073886
	1.725000	-0.080333
	1.730000	0.006697
	1.735000	0.009921
	1.740000	-0.093227
	1.745000	-0.119014
	1.750000	-0.038430
	1.755000	-0.038430
	1.760000	-0.148024
	1.765000	-0.167364
	1.770000	-0.093227
	1.775000	-0.086780
	1.780000	-0.202821
	1.785000	-0.225384
	1.790000	-0.131907
	1.795000	-0.131907
