2024/7/11 	 14:53:28 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.302745
	0.005000	-0.222161
	0.010000	-0.189927
	0.015000	-0.276958
	0.020000	-0.305968
	0.025000	-0.215714
	0.030000	-0.193151
	0.035000	-0.273735
	0.040000	-0.309192
	0.045000	-0.215714
	0.050000	-0.180257
	0.055000	-0.273735
	0.060000	-0.299522
	0.065000	-0.215714
	0.070000	-0.183481
	0.075000	-0.270511
	0.080000	-0.302745
	0.085000	-0.215714
	0.090000	-0.189927
	0.095000	-0.273735
	0.100000	-0.296298
	0.105000	-0.218938
	0.110000	-0.180257
	0.115000	-0.270511
	0.120000	-0.305968
	0.125000	-0.215714
	0.130000	-0.186704
	0.135000	-0.264065
	0.140000	-0.299522
	0.145000	-0.212491
	0.150000	-0.177034
	0.155000	-0.273735
	0.160000	-0.302745
	0.165000	-0.218938
	0.170000	-0.177034
	0.175000	-0.273735
	0.180000	-0.299522
	0.185000	-0.215714
	0.190000	-0.177034
	0.195000	-0.264065
	0.200000	-0.309192
	0.205000	-0.215714
	0.210000	-0.180257
	0.215000	-0.267288
	0.220000	-0.302745
	0.225000	-0.222161
	0.230000	-0.183481
	0.235000	-0.264065
	0.240000	-0.302745
	0.245000	-0.215714
	0.250000	-0.186704
	0.255000	-0.273735
	0.260000	-0.305968
	0.265000	-0.222161
	0.270000	-0.183481
	0.275000	-0.260841
	0.280000	-0.309192
	0.285000	-0.225384
	0.290000	-0.183481
	0.295000	-0.270511
	0.300000	-0.305968
	0.305000	-0.222161
	0.310000	-0.183481
	0.315000	-0.270511
	0.320000	-0.312415
	0.325000	-0.225384
	0.330000	-0.183481
	0.335000	-0.273735
	0.340000	-0.309192
	0.345000	-0.222161
	0.350000	-0.183481
	0.355000	-0.273735
	0.360000	-0.305968
	0.365000	-0.222161
	0.370000	-0.189927
	0.375000	-0.273735
	0.380000	-0.312415
	0.385000	-0.228608
	0.390000	-0.189927
	0.395000	-0.267288
	0.400000	-0.312415
	0.405000	-0.218938
	0.410000	-0.183481
	0.415000	-0.267288
	0.420000	-0.312415
	0.425000	-0.225384
	0.430000	-0.180257
	0.435000	-0.267288
	0.440000	-0.312415
	0.445000	-0.225384
	0.450000	-0.183481
	0.455000	-0.267288
	0.460000	-0.315638
	0.465000	-0.222161
	0.470000	-0.183481
	0.475000	-0.264065
	0.480000	-0.305968
	0.485000	-0.222161
	0.490000	-0.183481
	0.495000	-0.264065
	0.500000	-0.312415
	0.505000	-0.225384
	0.510000	-0.173811
	0.515000	-0.270511
	0.520000	-0.305968
	0.525000	-0.215714
	0.530000	-0.180257
	0.535000	-0.267288
	0.540000	-0.305968
	0.545000	-0.225384
	0.550000	-0.177034
	0.555000	-0.257618
	0.560000	-0.305968
	0.565000	-0.215714
	0.570000	-0.183481
	0.575000	-0.260841
	0.580000	-0.302745
	0.585000	-0.215714
	0.590000	-0.177034
	0.595000	-0.254395
	0.600000	-0.302745
	0.605000	-0.218938
	0.610000	-0.177034
	0.615000	-0.260841
	0.620000	-0.296298
	0.625000	-0.209268
	0.630000	-0.167364
	0.635000	-0.254395
	0.640000	-0.299522
	0.645000	-0.215714
	0.650000	-0.167364
	0.655000	-0.251171
	0.660000	-0.293075
	0.665000	-0.209268
	0.670000	-0.167364
	0.675000	-0.251171
	0.680000	-0.289852
	0.685000	-0.209268
	0.690000	-0.164141
	0.695000	-0.247948
	0.700000	-0.293075
	0.705000	-0.212491
	0.710000	-0.167364
	0.715000	-0.247948
	0.720000	-0.289852
	0.725000	-0.209268
	0.730000	-0.160917
	0.735000	-0.238278
	0.740000	-0.289852
	0.745000	-0.202821
	0.750000	-0.164141
	0.755000	-0.238278
	0.760000	-0.293075
	0.765000	-0.212491
	0.770000	-0.160917
	0.775000	-0.241501
	0.780000	-0.289852
	0.785000	-0.202821
	0.790000	-0.151247
	0.795000	-0.241501
	0.800000	-0.289852
	0.805000	-0.199597
	0.810000	-0.157694
	0.815000	-0.241501
	0.820000	-0.283405
	0.825000	-0.199597
	0.830000	-0.160917
	0.835000	-0.238278
	0.840000	-0.283405
	0.845000	-0.199597
	0.850000	-0.148024
	0.855000	-0.238278
	0.860000	-0.276958
	0.865000	-0.196374
	0.870000	-0.151247
	0.875000	-0.228608
	0.880000	-0.280181
	0.885000	-0.193151
	0.890000	-0.151247
	0.895000	-0.231831
	0.900000	-0.276958
	0.905000	-0.199597
	0.910000	-0.154470
	0.915000	-0.235054
	0.920000	-0.276958
	0.925000	-0.193151
	0.930000	-0.148024
	0.935000	-0.228608
	0.940000	-0.276958
	0.945000	-0.196374
	0.950000	-0.144800
	0.955000	-0.231831
	0.960000	-0.280181
	0.965000	-0.196374
	0.970000	-0.148024
	0.975000	-0.228608
	0.980000	-0.276958
	0.985000	-0.196374
	0.990000	-0.157694
	0.995000	-0.231831
	1.000000	-0.283405
	1.005000	-0.196374
	1.010000	-0.148024
	1.015000	-0.228608
	1.020000	-0.270511
	1.025000	-0.202821
	1.030000	-0.144800
	1.035000	-0.235054
	1.040000	-0.273735
	1.045000	-0.196374
	1.050000	-0.138354
	1.055000	-0.218938
	1.060000	-0.270511
	1.065000	-0.186704
	1.070000	-0.144800
	1.075000	-0.212491
	1.080000	-0.267288
	1.085000	-0.186704
	1.090000	-0.135130
	1.095000	-0.209268
	1.100000	-0.264065
	1.105000	-0.173811
	1.110000	-0.128684
	1.115000	-0.202821
	1.120000	-0.257618
	1.125000	-0.167364
	1.130000	-0.119014
	1.135000	-0.196374
	1.140000	-0.251171
	1.145000	-0.164141
	1.150000	-0.106120
	1.155000	-0.189927
	1.160000	-0.238278
	1.165000	-0.151247
	1.170000	-0.099673
	1.175000	-0.177034
	1.180000	-0.222161
	1.185000	-0.138354
	1.190000	-0.086780
	1.195000	-0.167364
	1.200000	-0.215714
	1.205000	-0.138354
	1.210000	-0.073886
	1.215000	-0.154470
	1.220000	-0.209268
	1.225000	-0.125460
	1.230000	-0.067440
	1.235000	-0.151247
	1.240000	-0.193151
	1.245000	-0.112567
	1.250000	-0.060993
	1.255000	-0.138354
	1.260000	-0.186704
	1.265000	-0.099673
	1.270000	-0.041653
	1.275000	-0.115790
	1.280000	-0.160917
	1.285000	-0.077110
	1.290000	-0.022313
	1.295000	-0.090003
	1.300000	-0.128684
	1.305000	-0.048100
	1.310000	0.019591
	1.315000	-0.048100
	1.320000	-0.090003
	1.325000	-0.009419
	1.330000	0.064718
	1.335000	-0.012643
	1.340000	-0.051323
	1.345000	0.029261
	1.350000	0.093728
	1.355000	0.022814
	1.360000	-0.019089
	1.365000	0.067941
	1.370000	0.122738
	1.375000	0.055048
	1.380000	0.013144
	1.385000	0.087281
	1.390000	0.151749
	1.395000	0.084058
	1.400000	0.045378
	1.405000	0.122738
	1.410000	0.180759
	1.415000	0.109845
	1.420000	0.071165
	1.425000	0.154972
	1.430000	0.212992
	1.435000	0.138855
	1.440000	0.100175
	1.445000	0.177536
	1.450000	0.232333
	1.455000	0.164642
	1.460000	0.116292
	1.465000	0.193652
	1.470000	0.248449
	1.475000	0.180759
	1.480000	0.132408
	1.485000	0.200099
	1.490000	0.254896
	1.495000	0.187206
	1.500000	0.135632
	1.505000	0.206546
	1.510000	0.261343
	1.515000	0.190429
	1.520000	0.138855
	1.525000	0.212992
	1.530000	0.271013
	1.535000	0.196876
	1.540000	0.148525
	1.545000	0.216216
	1.550000	0.271013
	1.555000	0.203322
	1.560000	0.154972
	1.565000	0.222663
	1.570000	0.274236
	1.575000	0.203322
	1.580000	0.154972
	1.585000	0.222663
	1.590000	0.271013
	1.595000	0.200099
	1.600000	0.145302
	1.605000	0.212992
	1.610000	0.267790
	1.615000	0.196876
	1.620000	0.142079
	1.625000	0.206546
	1.630000	0.258119
	1.635000	0.183982
	1.640000	0.129185
	1.645000	0.193652
	1.650000	0.248449
	1.655000	0.171089
	1.660000	0.113068
	1.665000	0.177536
	1.670000	0.229109
	1.675000	0.158195
	1.680000	0.100175
	1.685000	0.164642
	1.690000	0.212992
	1.695000	0.135632
	1.700000	0.077611
	1.705000	0.142079
	1.710000	0.193652
	1.715000	0.116292
	1.720000	0.064718
	1.725000	0.119515
	1.730000	0.174312
	1.735000	0.100175
	1.740000	0.035708
	1.745000	0.093728
	1.750000	0.148525
	1.755000	0.074388
	1.760000	0.013144
	1.765000	0.071165
	1.770000	0.109845
	1.775000	0.038931
	1.780000	-0.028759
	1.785000	0.032484
	1.790000	0.080835
	1.795000	0.003474
	1.800000	-0.064216
	1.805000	-0.002973
	1.810000	0.045378
	1.815000	-0.028759
	1.820000	-0.093227
	1.825000	-0.038430
	1.830000	0.013144
	1.835000	-0.057770
	1.840000	-0.125460
	1.845000	-0.060993
	1.850000	-0.009419
	1.855000	-0.080333
	1.860000	-0.144800
	1.865000	-0.080333
	1.870000	-0.031983
	1.875000	-0.109343
	1.880000	-0.177034
	1.885000	-0.109343
	1.890000	-0.057770
	1.895000	-0.135130
	1.900000	-0.196374
	1.905000	-0.135130
	1.910000	-0.080333
	1.915000	-0.148024
	1.920000	-0.209268
	1.925000	-0.148024
	1.930000	-0.090003
	1.935000	-0.167364
	1.940000	-0.225384
	1.945000	-0.157694
	1.950000	-0.099673
	1.955000	-0.170587
	1.960000	-0.231831
	1.965000	-0.164141
	1.970000	-0.106120
	1.975000	-0.173811
	1.980000	-0.231831
	1.985000	-0.173811
	1.990000	-0.112567
	1.995000	-0.180257
	2.000000	-0.247948
	2.005000	-0.183481
	2.010000	-0.125460
	2.015000	-0.199597
	2.020000	-0.251171
	2.025000	-0.196374
	2.030000	-0.135130
	2.035000	-0.193151
	2.040000	-0.254395
	2.045000	-0.196374
	2.050000	-0.128684
	2.055000	-0.199597
	2.060000	-0.260841
	2.065000	-0.199597
	2.070000	-0.138354
	2.075000	-0.202821
	2.080000	-0.270511
	2.085000	-0.206044
	2.090000	-0.138354
	2.095000	-0.209268
	2.100000	-0.273735
	2.105000	-0.206044
	2.110000	-0.148024
	2.115000	-0.215714
	2.120000	-0.276958
	2.125000	-0.209268
	2.130000	-0.148024
	2.135000	-0.222161
	2.140000	-0.283405
	2.145000	-0.215714
	2.150000	-0.154470
	2.155000	-0.218938
	2.160000	-0.286628
	2.165000	-0.218938
	2.170000	-0.164141
	2.175000	-0.222161
	2.180000	-0.283405
	2.185000	-0.218938
	2.190000	-0.160917
	2.195000	-0.228608
	2.200000	-0.286628
	2.205000	-0.225384
	2.210000	-0.154470
	2.215000	-0.225384
	2.220000	-0.286628
	2.225000	-0.225384
	2.230000	-0.164141
	2.235000	-0.225384
	2.240000	-0.283405
	2.245000	-0.225384
	2.250000	-0.160917
	2.255000	-0.231831
	2.260000	-0.289852
	2.265000	-0.225384
	2.270000	-0.160917
	2.275000	-0.228608
	2.280000	-0.286628
	2.285000	-0.218938
	2.290000	-0.157694
	2.295000	-0.218938
	2.300000	-0.286628
	2.305000	-0.218938
	2.310000	-0.157694
	2.315000	-0.212491
	2.320000	-0.276958
	2.325000	-0.212491
	2.330000	-0.148024
	2.335000	-0.215714
	2.340000	-0.273735
	2.345000	-0.215714
	2.350000	-0.148024
	2.355000	-0.209268
	2.360000	-0.280181
	2.365000	-0.202821
	2.370000	-0.148024
	2.375000	-0.202821
	2.380000	-0.267288
	2.385000	-0.206044
	2.390000	-0.141577
	2.395000	-0.206044
	2.400000	-0.273735
	2.405000	-0.206044
	2.410000	-0.138354
	2.415000	-0.206044
	2.420000	-0.267288
	2.425000	-0.202821
	2.430000	-0.138354
	2.435000	-0.196374
	2.440000	-0.264065
	2.445000	-0.196374
	2.450000	-0.131907
	2.455000	-0.196374
	2.460000	-0.264065
	2.465000	-0.199597
	2.470000	-0.128684
	2.475000	-0.193151
	2.480000	-0.264065
	2.485000	-0.202821
	2.490000	-0.125460
	2.495000	-0.193151
	2.500000	-0.260841
	2.505000	-0.196374
	2.510000	-0.125460
	2.515000	-0.189927
	2.520000	-0.257618
	2.525000	-0.193151
	2.530000	-0.119014
	2.535000	-0.186704
	2.540000	-0.251171
	2.545000	-0.189927
	2.550000	-0.119014
	2.555000	-0.180257
	2.560000	-0.251171
	2.565000	-0.186704
	2.570000	-0.115790
	2.575000	-0.180257
	2.580000	-0.247948
	2.585000	-0.180257
	2.590000	-0.119014
	2.595000	-0.177034
	2.600000	-0.244725
	2.605000	-0.177034
	2.610000	-0.106120
	2.615000	-0.173811
	2.620000	-0.244725
	2.625000	-0.180257
	2.630000	-0.106120
	2.635000	-0.173811
	2.640000	-0.238278
	2.645000	-0.180257
	2.650000	-0.109343
	2.655000	-0.164141
	2.660000	-0.235054
	2.665000	-0.177034
	2.670000	-0.109343
	2.675000	-0.164141
	2.680000	-0.238278
	2.685000	-0.173811
	2.690000	-0.106120
	2.695000	-0.167364
	2.700000	-0.231831
	2.705000	-0.170587
	2.710000	-0.099673
	2.715000	-0.160917
	2.720000	-0.231831
	2.725000	-0.173811
	2.730000	-0.096450
	2.735000	-0.164141
	2.740000	-0.235054
	2.745000	-0.167364
	2.750000	-0.099673
	2.755000	-0.157694
	2.760000	-0.228608
	2.765000	-0.167364
	2.770000	-0.096450
	2.775000	-0.154470
	2.780000	-0.218938
	2.785000	-0.170587
	2.790000	-0.099673
	2.795000	-0.154470
	2.800000	-0.231831
	2.805000	-0.164141
	2.810000	-0.093227
	2.815000	-0.151247
	2.820000	-0.225384
	2.825000	-0.164141
	2.830000	-0.086780
	2.835000	-0.141577
	2.840000	-0.218938
	2.845000	-0.160917
	2.850000	-0.083557
	2.855000	-0.144800
	2.860000	-0.215714
	2.865000	-0.154470
	2.870000	-0.086780
	2.875000	-0.148024
	2.880000	-0.215714
	2.885000	-0.157694
	2.890000	-0.083557
	2.895000	-0.135130
	2.900000	-0.206044
	2.905000	-0.151247
	2.910000	-0.077110
	2.915000	-0.141577
	2.920000	-0.209268
	2.925000	-0.151247
	2.930000	-0.080333
	2.935000	-0.131907
	2.940000	-0.199597
	2.945000	-0.141577
	2.950000	-0.083557
	2.955000	-0.128684
	2.960000	-0.202821
	2.965000	-0.148024
	2.970000	-0.067440
	2.975000	-0.125460
	2.980000	-0.199597
	2.985000	-0.141577
	2.990000	-0.070663
	2.995000	-0.131907
	3.000000	-0.202821
	3.005000	-0.148024
	3.010000	-0.070663
	3.015000	-0.125460
	3.020000	-0.196374
	3.025000	-0.144800
	3.030000	-0.064216
	3.035000	-0.125460
	3.040000	-0.193151
	3.045000	-0.138354
	3.050000	-0.060993
	3.055000	-0.115790
	3.060000	-0.189927
	3.065000	-0.138354
	3.070000	-0.067440
	3.075000	-0.112567
	3.080000	-0.189927
	3.085000	-0.138354
	3.090000	-0.064216
	3.095000	-0.122237
	3.100000	-0.189927
	3.105000	-0.135130
	3.110000	-0.060993
	3.115000	-0.112567
	3.120000	-0.186704
	3.125000	-0.125460
	3.130000	-0.051323
	3.135000	-0.106120
	3.140000	-0.180257
	3.145000	-0.125460
	3.150000	-0.041653
	3.155000	-0.096450
	3.160000	-0.167364
	3.165000	-0.106120
	3.170000	-0.031983
	3.175000	-0.083557
	3.180000	-0.160917
	3.185000	-0.102897
	3.190000	-0.025536
	3.195000	-0.073886
	3.200000	-0.144800
	3.205000	-0.096450
	3.210000	-0.019089
	3.215000	-0.073886
	3.220000	-0.144800
	3.225000	-0.086780
	3.230000	-0.012643
	3.235000	-0.060993
	3.240000	-0.131907
	3.245000	-0.077110
	3.250000	0.000251
	3.255000	-0.048100
	3.260000	-0.122237
	3.265000	-0.060993
	3.270000	0.016368
	3.275000	-0.031983
	3.280000	-0.102897
	3.285000	-0.048100
	3.290000	0.032484
	3.295000	-0.015866
	3.300000	-0.086780
	3.305000	-0.025536
	3.310000	0.048601
	3.315000	-0.002973
	3.320000	-0.070663
	3.325000	-0.022313
	3.330000	0.058271
	3.335000	0.016368
	3.340000	-0.064216
	3.345000	-0.006196
	3.350000	0.067941
	3.355000	0.032484
	3.360000	-0.041653
	3.365000	0.013144
	3.370000	0.087281
	3.375000	0.051825
	3.380000	-0.019089
	3.385000	0.045378
	3.390000	0.122738
	3.395000	0.080835
	3.400000	0.013144
	3.405000	0.071165
	3.410000	0.158195
	3.415000	0.116292
	3.420000	0.042154
	3.425000	0.103398
	3.430000	0.183982
	3.435000	0.145302
	3.440000	0.074388
	3.445000	0.132408
	3.450000	0.212992
	3.455000	0.167865
	3.460000	0.100175
	3.465000	0.151749
	3.470000	0.232333
	3.475000	0.196876
	3.480000	0.125962
	3.485000	0.180759
	3.490000	0.258119
	3.495000	0.209769
	3.500000	0.142079
	3.505000	0.190429
	3.510000	0.271013
	3.515000	0.222663
	3.520000	0.151749
	3.525000	0.193652
	3.530000	0.271013
	3.535000	0.229109
	3.540000	0.151749
	3.545000	0.200099
	3.550000	0.277460
	3.555000	0.235556
	3.560000	0.151749
	3.565000	0.203322
	3.570000	0.267790
	3.575000	0.222663
	3.580000	0.151749
	3.585000	0.196876
	3.590000	0.264566
	3.595000	0.222663
	3.600000	0.145302
	3.605000	0.190429
	3.610000	0.264566
	3.615000	0.216216
	3.620000	0.138855
	3.625000	0.183982
	3.630000	0.254896
	3.635000	0.212992
	3.640000	0.135632
	3.645000	0.177536
	3.650000	0.251673
	3.655000	0.196876
	3.660000	0.125962
	3.665000	0.167865
	3.670000	0.235556
	3.675000	0.190429
	3.680000	0.113068
	3.685000	0.158195
	3.690000	0.229109
	3.695000	0.183982
	3.700000	0.109845
	3.705000	0.151749
	3.710000	0.222663
	3.715000	0.177536
	3.720000	0.100175
	3.725000	0.142079
	3.730000	0.212992
	3.735000	0.167865
	3.740000	0.087281
	3.745000	0.132408
	3.750000	0.206546
	3.755000	0.164642
	3.760000	0.087281
	3.765000	0.129185
	3.770000	0.206546
	3.775000	0.158195
	3.780000	0.090505
	3.785000	0.135632
	3.790000	0.206546
	3.795000	0.167865
	3.800000	0.093728
	3.805000	0.129185
	3.810000	0.200099
	3.815000	0.171089
	3.820000	0.096952
	3.825000	0.132408
	3.830000	0.206546
	3.835000	0.171089
	3.840000	0.096952
	3.845000	0.151749
	3.850000	0.216216
	3.855000	0.183982
	3.860000	0.100175
	3.865000	0.145302
	3.870000	0.225886
	3.875000	0.180759
	3.880000	0.113068
	3.885000	0.145302
	3.890000	0.222663
	3.895000	0.193652
	3.900000	0.113068
	3.905000	0.151749
	3.910000	0.222663
	3.915000	0.190429
	3.920000	0.109845
	3.925000	0.148525
	3.930000	0.225886
	3.935000	0.190429
	3.940000	0.103398
	3.945000	0.142079
	3.950000	0.212992
	3.955000	0.177536
	3.960000	0.100175
	3.965000	0.138855
	3.970000	0.212992
	3.975000	0.164642
	3.980000	0.084058
	3.985000	0.119515
	3.990000	0.200099
	3.995000	0.154972
	4.000000	0.067941
	4.005000	0.103398
	4.010000	0.174312
	4.015000	0.129185
	4.020000	0.055048
	4.025000	0.093728
