2024/7/11 	 15:06:42 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.238278
	0.005000	-0.328532
	0.010000	-0.325308
	0.015000	-0.235054
	0.020000	-0.231831
	0.025000	-0.322085
	0.030000	-0.318862
	0.035000	-0.231831
	0.040000	-0.238278
	0.045000	-0.328532
	0.050000	-0.322085
	0.055000	-0.231831
	0.060000	-0.235054
	0.065000	-0.325308
	0.070000	-0.325308
	0.075000	-0.225384
	0.080000	-0.235054
	0.085000	-0.331755
	0.090000	-0.318862
	0.095000	-0.225384
	0.100000	-0.235054
	0.105000	-0.325308
	0.110000	-0.318862
	0.115000	-0.231831
	0.120000	-0.235054
	0.125000	-0.325308
	0.130000	-0.325308
	0.135000	-0.225384
	0.140000	-0.231831
	0.145000	-0.331755
	0.150000	-0.325308
	0.155000	-0.231831
	0.160000	-0.231831
	0.165000	-0.322085
	0.170000	-0.322085
	0.175000	-0.225384
	0.180000	-0.235054
	0.185000	-0.331755
	0.190000	-0.318862
	0.195000	-0.225384
	0.200000	-0.231831
	0.205000	-0.325308
	0.210000	-0.315638
	0.215000	-0.228608
	0.220000	-0.235054
	0.225000	-0.328532
	0.230000	-0.325308
	0.235000	-0.228608
	0.240000	-0.231831
	0.245000	-0.325308
	0.250000	-0.318862
	0.255000	-0.228608
	0.260000	-0.228608
	0.265000	-0.328532
	0.270000	-0.315638
	0.275000	-0.225384
	0.280000	-0.225384
	0.285000	-0.322085
	0.290000	-0.312415
	0.295000	-0.222161
	0.300000	-0.228608
	0.305000	-0.325308
	0.310000	-0.315638
	0.315000	-0.225384
	0.320000	-0.225384
	0.325000	-0.322085
	0.330000	-0.318862
	0.335000	-0.218938
	0.340000	-0.231831
	0.345000	-0.315638
	0.350000	-0.315638
	0.355000	-0.218938
	0.360000	-0.218938
	0.365000	-0.315638
	0.370000	-0.309192
	0.375000	-0.218938
	0.380000	-0.218938
	0.385000	-0.318862
	0.390000	-0.305968
	0.395000	-0.209268
	0.400000	-0.225384
	0.405000	-0.312415
	0.410000	-0.305968
	0.415000	-0.209268
	0.420000	-0.225384
	0.425000	-0.315638
	0.430000	-0.302745
	0.435000	-0.212491
	0.440000	-0.222161
	0.445000	-0.315638
	0.450000	-0.302745
	0.455000	-0.218938
	0.460000	-0.225384
	0.465000	-0.312415
	0.470000	-0.305968
	0.475000	-0.212491
	0.480000	-0.225384
	0.485000	-0.315638
	0.490000	-0.302745
	0.495000	-0.212491
	0.500000	-0.222161
	0.505000	-0.318862
	0.510000	-0.305968
	0.515000	-0.212491
	0.520000	-0.231831
	0.525000	-0.315638
	0.530000	-0.302745
	0.535000	-0.215714
	0.540000	-0.222161
	0.545000	-0.315638
	0.550000	-0.302745
	0.555000	-0.212491
	0.560000	-0.215714
	0.565000	-0.315638
	0.570000	-0.302745
	0.575000	-0.215714
	0.580000	-0.228608
	0.585000	-0.315638
	0.590000	-0.302745
	0.595000	-0.206044
	0.600000	-0.218938
	0.605000	-0.315638
	0.610000	-0.293075
	0.615000	-0.199597
	0.620000	-0.212491
	0.625000	-0.302745
	0.630000	-0.289852
	0.635000	-0.196374
	0.640000	-0.209268
	0.645000	-0.296298
	0.650000	-0.283405
	0.655000	-0.189927
	0.660000	-0.189927
	0.665000	-0.280181
	0.670000	-0.267288
	0.675000	-0.167364
	0.680000	-0.173811
	0.685000	-0.257618
	0.690000	-0.231831
	0.695000	-0.135130
	0.700000	-0.141577
	0.705000	-0.225384
	0.710000	-0.209268
	0.715000	-0.119014
	0.720000	-0.119014
	0.725000	-0.206044
	0.730000	-0.189927
	0.735000	-0.090003
	0.740000	-0.106120
	0.745000	-0.189927
	0.750000	-0.167364
	0.755000	-0.077110
	0.760000	-0.083557
	0.765000	-0.167364
	0.770000	-0.141577
	0.775000	-0.041653
	0.780000	-0.054546
	0.785000	-0.135130
	0.790000	-0.115790
	0.795000	-0.019089
	0.800000	-0.025536
	0.805000	-0.102897
	0.810000	-0.080333
	0.815000	0.009921
	0.820000	0.003474
	0.825000	-0.070663
	0.830000	-0.051323
	0.835000	0.038931
	0.840000	0.032484
	0.845000	-0.048100
	0.850000	-0.031983
	0.855000	0.055048
	0.860000	0.051825
	0.865000	-0.035206
	0.870000	-0.015866
	0.875000	0.074388
	0.880000	0.058271
	0.885000	-0.031983
	0.890000	-0.009419
	0.895000	0.080835
	0.900000	0.064718
	0.905000	-0.025536
	0.910000	-0.006196
	0.915000	0.084058
	0.920000	0.061495
	0.925000	-0.015866
	0.930000	-0.006196
	0.935000	0.080835
	0.940000	0.064718
	0.945000	-0.009419
	0.950000	-0.002973
	0.955000	0.080835
	0.960000	0.067941
	0.965000	-0.009419
	0.970000	-0.002973
	0.975000	0.077611
	0.980000	0.067941
	0.985000	-0.019089
	0.990000	0.000251
	0.995000	0.077611
	1.000000	0.064718
	1.005000	-0.019089
	1.010000	-0.006196
	1.015000	0.080835
	1.020000	0.067941
	1.025000	-0.019089
	1.030000	0.000251
	1.035000	0.080835
	1.040000	0.064718
	1.045000	-0.025536
	1.050000	-0.009419
	1.055000	0.074388
	1.060000	0.061495
	1.065000	-0.022313
	1.070000	-0.009419
	1.075000	0.074388
	1.080000	0.055048
	1.085000	-0.028759
	1.090000	-0.009419
	1.095000	0.074388
	1.100000	0.051825
	1.105000	-0.028759
	1.110000	-0.015866
	1.115000	0.064718
	1.120000	0.051825
	1.125000	-0.031983
	1.130000	-0.025536
	1.135000	0.058271
	1.140000	0.042154
	1.145000	-0.038430
	1.150000	-0.022313
	1.155000	0.061495
	1.160000	0.038931
	1.165000	-0.044876
	1.170000	-0.025536
	1.175000	0.055048
	1.180000	0.035708
	1.185000	-0.048100
	1.190000	-0.025536
	1.195000	0.051825
	1.200000	0.038931
	1.205000	-0.051323
	1.210000	-0.028759
	1.215000	0.051825
	1.220000	0.029261
	1.225000	-0.051323
	1.230000	-0.035206
	1.235000	0.045378
	1.240000	0.026038
	1.245000	-0.057770
	1.250000	-0.038430
	1.255000	0.045378
	1.260000	0.016368
	1.265000	-0.067440
	1.270000	-0.044876
	1.275000	0.032484
	1.280000	0.016368
	1.285000	-0.073886
	1.290000	-0.057770
	1.295000	0.019591
	1.300000	-0.006196
	1.305000	-0.090003
	1.310000	-0.070663
	1.315000	0.006697
	1.320000	-0.015866
	1.325000	-0.099673
	1.330000	-0.090003
	1.335000	-0.006196
	1.340000	-0.035206
	1.345000	-0.112567
	1.350000	-0.099673
	1.355000	-0.025536
	1.360000	-0.044876
	1.365000	-0.135130
	1.370000	-0.128684
	1.375000	-0.044876
	1.380000	-0.070663
	1.385000	-0.160917
	1.390000	-0.144800
	1.395000	-0.070663
	1.400000	-0.096450
	1.405000	-0.186704
	1.410000	-0.170587
	1.415000	-0.090003
	1.420000	-0.119014
	1.425000	-0.212491
	1.430000	-0.199597
	1.435000	-0.119014
	1.440000	-0.151247
	1.445000	-0.235054
	1.450000	-0.218938
	1.455000	-0.151247
