2024/7/11 	 17:37:15 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.241501
	0.005000	-0.177034
	0.010000	-0.196374
	0.015000	-0.267288
	0.020000	-0.244725
	0.025000	-0.177034
	0.030000	-0.196374
	0.035000	-0.273735
	0.040000	-0.244725
	0.045000	-0.170587
	0.050000	-0.199597
	0.055000	-0.270511
	0.060000	-0.241501
	0.065000	-0.177034
	0.070000	-0.193151
	0.075000	-0.267288
	0.080000	-0.241501
	0.085000	-0.167364
	0.090000	-0.193151
	0.095000	-0.257618
	0.100000	-0.244725
	0.105000	-0.167364
	0.110000	-0.189927
	0.115000	-0.260841
	0.120000	-0.231831
	0.125000	-0.164141
	0.130000	-0.189927
	0.135000	-0.254395
	0.140000	-0.231831
	0.145000	-0.160917
	0.150000	-0.186704
	0.155000	-0.254395
	0.160000	-0.231831
	0.165000	-0.160917
	0.170000	-0.189927
	0.175000	-0.254395
	0.180000	-0.235054
	0.185000	-0.164141
	0.190000	-0.180257
	0.195000	-0.254395
	0.200000	-0.225384
	0.205000	-0.157694
	0.210000	-0.180257
	0.215000	-0.254395
	0.220000	-0.225384
	0.225000	-0.157694
	0.230000	-0.177034
	0.235000	-0.254395
	0.240000	-0.225384
	0.245000	-0.160917
	0.250000	-0.183481
	0.255000	-0.251171
	0.260000	-0.228608
	0.265000	-0.157694
	0.270000	-0.183481
	0.275000	-0.251171
	0.280000	-0.222161
	0.285000	-0.160917
	0.290000	-0.177034
	0.295000	-0.244725
	0.300000	-0.231831
	0.305000	-0.157694
	0.310000	-0.183481
	0.315000	-0.247948
	0.320000	-0.225384
	0.325000	-0.157694
	0.330000	-0.180257
	0.335000	-0.257618
	0.340000	-0.228608
	0.345000	-0.160917
	0.350000	-0.177034
	0.355000	-0.251171
	0.360000	-0.215714
	0.365000	-0.151247
	0.370000	-0.177034
	0.375000	-0.251171
	0.380000	-0.222161
	0.385000	-0.151247
	0.390000	-0.177034
	0.395000	-0.251171
	0.400000	-0.218938
	0.405000	-0.157694
	0.410000	-0.177034
	0.415000	-0.247948
	0.420000	-0.218938
	0.425000	-0.144800
	0.430000	-0.177034
	0.435000	-0.254395
	0.440000	-0.222161
	0.445000	-0.151247
	0.450000	-0.173811
	0.455000	-0.244725
	0.460000	-0.218938
	0.465000	-0.148024
	0.470000	-0.177034
	0.475000	-0.241501
	0.480000	-0.212491
