2024/7/11 	 15:03:22 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.354319
	0.005000	-0.299522
	0.010000	-0.254395
	0.015000	-0.305968
	0.020000	-0.360765
	0.025000	-0.302745
	0.030000	-0.254395
	0.035000	-0.305968
	0.040000	-0.357542
	0.045000	-0.302745
	0.050000	-0.247948
	0.055000	-0.309192
	0.060000	-0.354319
	0.065000	-0.309192
	0.070000	-0.251171
	0.075000	-0.305968
	0.080000	-0.357542
	0.085000	-0.302745
	0.090000	-0.257618
	0.095000	-0.309192
	0.100000	-0.360765
	0.105000	-0.302745
	0.110000	-0.254395
	0.115000	-0.309192
	0.120000	-0.360765
	0.125000	-0.312415
	0.130000	-0.260841
	0.135000	-0.318862
	0.140000	-0.367212
	0.145000	-0.305968
	0.150000	-0.270511
	0.155000	-0.318862
	0.160000	-0.363989
	0.165000	-0.312415
	0.170000	-0.273735
	0.175000	-0.318862
	0.180000	-0.370436
	0.185000	-0.318862
	0.190000	-0.264065
	0.195000	-0.322085
	0.200000	-0.363989
	0.205000	-0.322085
	0.210000	-0.270511
	0.215000	-0.322085
	0.220000	-0.373659
	0.225000	-0.325308
	0.230000	-0.270511
	0.235000	-0.325308
	0.240000	-0.380106
	0.245000	-0.322085
	0.250000	-0.273735
	0.255000	-0.322085
	0.260000	-0.376882
	0.265000	-0.318862
	0.270000	-0.270511
	0.275000	-0.325308
	0.280000	-0.383329
	0.285000	-0.328532
	0.290000	-0.276958
	0.295000	-0.328532
	0.300000	-0.376882
	0.305000	-0.325308
	0.310000	-0.273735
	0.315000	-0.322085
	0.320000	-0.376882
	0.325000	-0.318862
	0.330000	-0.273735
	0.335000	-0.322085
	0.340000	-0.373659
	0.345000	-0.322085
	0.350000	-0.273735
	0.355000	-0.325308
	0.360000	-0.373659
	0.365000	-0.322085
	0.370000	-0.276958
	0.375000	-0.328532
	0.380000	-0.376882
	0.385000	-0.325308
	0.390000	-0.276958
	0.395000	-0.322085
	0.400000	-0.373659
	0.405000	-0.325308
	0.410000	-0.273735
	0.415000	-0.325308
	0.420000	-0.373659
	0.425000	-0.318862
	0.430000	-0.273735
	0.435000	-0.325308
	0.440000	-0.367212
	0.445000	-0.325308
	0.450000	-0.270511
	0.455000	-0.318862
