2024/7/11 	 17:44:46 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-0.918407
	0.005000	-0.844269
	0.010000	-0.882950
	0.015000	-0.953863
	0.020000	-0.908736
	0.025000	-0.844269
	0.030000	-0.876503
	0.035000	-0.950640
	0.040000	-0.915183
	0.045000	-0.844269
	0.050000	-0.876503
	0.055000	-0.953863
	0.060000	-0.921630
	0.065000	-0.837823
	0.070000	-0.876503
	0.075000	-0.950640
	0.080000	-0.915183
	0.085000	-0.841046
	0.090000	-0.876503
	0.095000	-0.950640
	0.100000	-0.908736
	0.105000	-0.841046
	0.110000	-0.873280
	0.115000	-0.944193
	0.120000	-0.911960
	0.125000	-0.834599
	0.130000	-0.873280
	0.135000	-0.947417
	0.140000	-0.908736
	0.145000	-0.841046
	0.150000	-0.873280
	0.155000	-0.950640
	0.160000	-0.911960
	0.165000	-0.837823
	0.170000	-0.876503
	0.175000	-0.953863
	0.180000	-0.918407
	0.185000	-0.841046
	0.190000	-0.876503
	0.195000	-0.950640
	0.200000	-0.915183
	0.205000	-0.837823
	0.210000	-0.879726
	0.215000	-0.953863
	0.220000	-0.911960
	0.225000	-0.837823
	0.230000	-0.879726
	0.235000	-0.953863
	0.240000	-0.918407
	0.245000	-0.841046
	0.250000	-0.876503
	0.255000	-0.953863
	0.260000	-0.918407
	0.265000	-0.847493
	0.270000	-0.876503
	0.275000	-0.957087
	0.280000	-0.924853
	0.285000	-0.844269
	0.290000	-0.879726
	0.295000	-0.960310
	0.300000	-0.921630
	0.305000	-0.844269
	0.310000	-0.876503
	0.315000	-0.960310
	0.320000	-0.924853
	0.325000	-0.850716
	0.330000	-0.879726
	0.335000	-0.963534
	0.340000	-0.928077
	0.345000	-0.857163
	0.350000	-0.876503
	0.355000	-0.960310
	0.360000	-0.928077
	0.365000	-0.850716
	0.370000	-0.879726
	0.375000	-0.966757
	0.380000	-0.931300
	0.385000	-0.857163
	0.390000	-0.882950
	0.395000	-0.957087
	0.400000	-0.931300
	0.405000	-0.857163
	0.410000	-0.886173
	0.415000	-0.966757
	0.420000	-0.928077
	0.425000	-0.853939
	0.430000	-0.889396
	0.435000	-0.963534
	0.440000	-0.934523
	0.445000	-0.850716
	0.450000	-0.882950
	0.455000	-0.960310
	0.460000	-0.934523
	0.465000	-0.857163
	0.470000	-0.886173
	0.475000	-0.963534
	0.480000	-0.928077
	0.485000	-0.857163
	0.490000	-0.889396
	0.495000	-0.963534
	0.500000	-0.934523
	0.505000	-0.857163
	0.510000	-0.886173
	0.515000	-0.969980
	0.520000	-0.934523
	0.525000	-0.860386
	0.530000	-0.879726
	0.535000	-0.963534
	0.540000	-0.934523
	0.545000	-0.857163
	0.550000	-0.886173
	0.555000	-0.960310
	0.560000	-0.931300
	0.565000	-0.860386
	0.570000	-0.882950
	0.575000	-0.960310
	0.580000	-0.934523
	0.585000	-0.850716
	0.590000	-0.886173
	0.595000	-0.963534
	0.600000	-0.931300
	0.605000	-0.866833
	0.610000	-0.882950
	0.615000	-0.957087
	0.620000	-0.931300
	0.625000	-0.853939
	0.630000	-0.889396
	0.635000	-0.960310
	0.640000	-0.934523
	0.645000	-0.857163
	0.650000	-0.882950
	0.655000	-0.966757
	0.660000	-0.934523
	0.665000	-0.850716
	0.670000	-0.879726
	0.675000	-0.960310
	0.680000	-0.937747
	0.685000	-0.853939
	0.690000	-0.882950
	0.695000	-0.966757
	0.700000	-0.940970
	0.705000	-0.857163
	0.710000	-0.879726
	0.715000	-0.963534
	0.720000	-0.934523
	0.725000	-0.857163
	0.730000	-0.882950
	0.735000	-0.963534
	0.740000	-0.931300
	0.745000	-0.853939
	0.750000	-0.879726
	0.755000	-0.963534
	0.760000	-0.937747
	0.765000	-0.860386
	0.770000	-0.876503
	0.775000	-0.963534
	0.780000	-0.940970
	0.785000	-0.857163
	0.790000	-0.879726
	0.795000	-0.963534
	0.800000	-0.934523
	0.805000	-0.857163
	0.810000	-0.879726
	0.815000	-0.957087
	0.820000	-0.934523
	0.825000	-0.853939
	0.830000	-0.876503
	0.835000	-0.957087
	0.840000	-0.928077
	0.845000	-0.850716
	0.850000	-0.870056
	0.855000	-0.953863
	0.860000	-0.924853
	0.865000	-0.847493
	0.870000	-0.870056
	0.875000	-0.957087
	0.880000	-0.931300
	0.885000	-0.847493
	0.890000	-0.870056
	0.895000	-0.947417
	0.900000	-0.924853
	0.905000	-0.841046
	0.910000	-0.866833
	0.915000	-0.944193
	0.920000	-0.918407
	0.925000	-0.837823
	0.930000	-0.860386
	0.935000	-0.940970
	0.940000	-0.911960
	0.945000	-0.828152
	0.950000	-0.857163
	0.955000	-0.931300
	0.960000	-0.908736
	0.965000	-0.834599
	0.970000	-0.853939
	0.975000	-0.924853
	0.980000	-0.905513
	0.985000	-0.821706
	0.990000	-0.844269
	0.995000	-0.921630
	1.000000	-0.902290
	1.005000	-0.818482
	1.010000	-0.834599
	1.015000	-0.918407
	1.020000	-0.889396
	1.025000	-0.808812
	1.030000	-0.828152
	1.035000	-0.902290
	1.040000	-0.879726
	1.045000	-0.795919
	1.050000	-0.812036
	1.055000	-0.889396
	1.060000	-0.863609
	1.065000	-0.783025
	1.070000	-0.795919
	1.075000	-0.876503
	1.080000	-0.853939
	1.085000	-0.773355
	1.090000	-0.789472
	1.095000	-0.870056
	1.100000	-0.844269
	1.105000	-0.766909
	1.110000	-0.776579
	1.115000	-0.863609
	1.120000	-0.841046
	1.125000	-0.763685
	1.130000	-0.776579
	1.135000	-0.860386
	1.140000	-0.837823
	1.145000	-0.760462
	1.150000	-0.773355
	1.155000	-0.863609
	1.160000	-0.834599
	1.165000	-0.760462
	1.170000	-0.773355
	1.175000	-0.860386
	1.180000	-0.837823
	1.185000	-0.760462
	1.190000	-0.786249
	1.195000	-0.860386
	1.200000	-0.844269
	1.205000	-0.763685
	1.210000	-0.783025
	1.215000	-0.870056
	1.220000	-0.847493
	1.225000	-0.773355
	1.230000	-0.795919
	1.235000	-0.876503
	1.240000	-0.863609
	1.245000	-0.786249
	1.250000	-0.799142
	1.255000	-0.889396
	1.260000	-0.870056
	1.265000	-0.792696
	1.270000	-0.815259
	1.275000	-0.902290
	1.280000	-0.879726
	1.285000	-0.799142
	1.290000	-0.821706
	1.295000	-0.905513
	1.300000	-0.895843
