2024/7/11 	 16:16:06 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	-1.053788
	0.005000	-1.127925
	0.010000	-1.185945
	0.015000	-1.115031
	0.020000	-1.047341
	0.025000	-1.124702
	0.030000	-1.182722
	0.035000	-1.108585
	0.040000	-1.053788
	0.045000	-1.121478
	0.050000	-1.176275
	0.055000	-1.105361
	0.060000	-1.047341
	0.065000	-1.121478
	0.070000	-1.176275
	0.075000	-1.108585
	0.080000	-1.050564
	0.085000	-1.118255
	0.090000	-1.176275
	0.095000	-1.102138
	0.100000	-1.037671
	0.105000	-1.111808
	0.110000	-1.173052
	0.115000	-1.095691
	0.120000	-1.034447
	0.125000	-1.102138
	0.130000	-1.163382
	0.135000	-1.089245
	0.140000	-1.024777
	0.145000	-1.102138
	0.150000	-1.150488
	0.155000	-1.082798
	0.160000	-1.018331
	0.165000	-1.095691
	0.170000	-1.144042
	0.175000	-1.073128
	0.180000	-1.011884
	0.185000	-1.086021
	0.190000	-1.140818
	0.195000	-1.073128
	0.200000	-1.005437
	0.205000	-1.089245
	0.210000	-1.140818
	0.215000	-1.069904
	0.220000	-0.998991
	0.225000	-1.079574
	0.230000	-1.140818
	0.235000	-1.060234
	0.240000	-0.992544
	0.245000	-1.076351
	0.250000	-1.127925
	0.255000	-1.057011
	0.260000	-1.002214
	0.265000	-1.073128
	0.270000	-1.131148
	0.275000	-1.050564
	0.280000	-0.992544
	0.285000	-1.063458
	0.290000	-1.121478
	0.295000	-1.047341
	0.300000	-0.992544
	0.305000	-1.063458
	0.310000	-1.121478
	0.315000	-1.044118
	0.320000	-0.982874
	0.325000	-1.066681
	0.330000	-1.118255
	0.335000	-1.044118
	0.340000	-0.982874
	0.345000	-1.053788
	0.350000	-1.115031
	0.355000	-1.037671
	0.360000	-0.982874
	0.365000	-1.060234
	0.370000	-1.111808
	0.375000	-1.034447
	0.380000	-0.979650
	0.385000	-1.053788
	0.390000	-1.108585
	0.395000	-1.031224
	0.400000	-0.979650
	0.405000	-1.053788
	0.410000	-1.105361
	0.415000	-1.024777
	0.420000	-0.976427
	0.425000	-1.050564
	0.430000	-1.105361
	0.435000	-1.028001
	0.440000	-0.973204
	0.445000	-1.044118
	0.450000	-1.105361
	0.455000	-1.024777
	0.460000	-0.960310
	0.465000	-1.044118
	0.470000	-1.095691
	0.475000	-1.021554
	0.480000	-0.969980
	0.485000	-1.037671
	0.490000	-1.095691
	0.495000	-1.015107
	0.500000	-0.966757
	0.505000	-1.044118
	0.510000	-1.089245
	0.515000	-1.011884
	0.520000	-0.957087
	0.525000	-1.037671
	0.530000	-1.086021
	0.535000	-1.008661
	0.540000	-0.957087
	0.545000	-1.034447
	0.550000	-1.086021
	0.555000	-1.002214
	0.560000	-0.944193
	0.565000	-1.028001
	0.570000	-1.082798
	0.575000	-1.005437
	0.580000	-0.944193
	0.585000	-1.024777
	0.590000	-1.082798
	0.595000	-0.995767
	0.600000	-0.947417
	0.605000	-1.021554
	0.610000	-1.069904
	0.615000	-0.995767
	0.620000	-0.940970
	0.625000	-1.018331
	0.630000	-1.069904
	0.635000	-0.995767
	0.640000	-0.940970
	0.645000	-1.011884
	0.650000	-1.076351
	0.655000	-0.992544
	0.660000	-0.934523
	0.665000	-1.011884
	0.670000	-1.069904
	0.675000	-0.986097
	0.680000	-0.928077
	0.685000	-1.008661
	0.690000	-1.057011
	0.695000	-0.986097
	0.700000	-0.928077
	0.705000	-1.005437
	0.710000	-1.060234
	0.715000	-0.979650
	0.720000	-0.928077
	0.725000	-1.005437
	0.730000	-1.053788
