2024/6/30 	 16:39:52 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.100175
	0.001000	0.077611
	0.002000	0.077611
	0.003000	0.090505
	0.004000	0.158195
	0.005000	0.212992
	0.006000	0.283906
	0.007000	0.374160
	0.008000	0.432181
	0.009000	0.486978
	0.010000	0.535328
	0.011000	0.567562
	0.012000	0.561115
	0.013000	0.544998
	0.014000	0.483755
	0.015000	0.422511
	0.016000	0.358044
	0.017000	0.271013
	0.018000	0.203322
	0.019000	0.145302
	0.020000	0.103398
	0.021000	0.077611
	0.022000	0.074388
	0.023000	0.096952
	0.024000	0.154972
	0.025000	0.216216
	0.026000	0.290353
	0.027000	0.367714
	0.028000	0.435404
	0.029000	0.496648
	0.030000	0.535328
	0.031000	0.561115
	0.032000	0.567562
	0.033000	0.551445
	0.034000	0.483755
	0.035000	0.428957
	0.036000	0.361267
	0.037000	0.277460
	0.038000	0.209769
	0.039000	0.154972
	0.040000	0.106622
	0.041000	0.077611
	0.042000	0.077611
	0.043000	0.090505
	0.044000	0.154972
	0.045000	0.209769
	0.046000	0.283906
	0.047000	0.367714
	0.048000	0.432181
	0.049000	0.496648
	0.050000	0.538552
	0.051000	0.561115
	0.052000	0.570785
	0.053000	0.551445
	0.054000	0.490201
	0.055000	0.428957
	0.056000	0.361267
	0.057000	0.277460
	0.058000	0.209769
	0.059000	0.148525
	0.060000	0.100175
	0.061000	0.071165
	0.062000	0.067941
	0.063000	0.087281
	0.064000	0.148525
	0.065000	0.209769
	0.066000	0.280683
	0.067000	0.358044
	0.068000	0.425734
	0.069000	0.486978
	0.070000	0.528882
	0.071000	0.561115
	0.072000	0.564339
	0.073000	0.548222
	0.074000	0.480531
	0.075000	0.422511
	0.076000	0.351597
	0.077000	0.274236
	0.078000	0.206546
	0.079000	0.151749
	0.080000	0.100175
	0.081000	0.074388
	0.082000	0.067941
	0.083000	0.084058
	0.084000	0.148525
	0.085000	0.209769
	0.086000	0.274236
	0.087000	0.364490
	0.088000	0.432181
	0.089000	0.490201
	0.090000	0.532105
	0.091000	0.561115
	0.092000	0.564339
	0.093000	0.538552
	0.094000	0.483755
	0.095000	0.425734
	0.096000	0.354820
	0.097000	0.264566
	0.098000	0.200099
	0.099000	0.138855
	0.100000	0.096952
	0.101000	0.067941
	0.102000	0.067941
	0.103000	0.084058
	0.104000	0.138855
	0.105000	0.206546
	0.106000	0.274236
	0.107000	0.364490
	0.108000	0.425734
	0.109000	0.490201
	0.110000	0.532105
	0.111000	0.561115
	0.112000	0.557892
	0.113000	0.548222
	0.114000	0.483755
	0.115000	0.419287
	0.116000	0.358044
	0.117000	0.277460
	0.118000	0.212992
	0.119000	0.151749
	0.120000	0.103398
	0.121000	0.074388
	0.122000	0.071165
	0.123000	0.084058
	0.124000	0.148525
	0.125000	0.206546
	0.126000	0.274236
	0.127000	0.358044
	0.128000	0.422511
	0.129000	0.490201
	0.130000	0.532105
	0.131000	0.554668
	0.132000	0.561115
	0.133000	0.541775
	0.134000	0.486978
	0.135000	0.422511
	0.136000	0.348374
	0.137000	0.274236
	0.138000	0.206546
	0.139000	0.142079
	0.140000	0.100175
	0.141000	0.071165
	0.142000	0.071165
	0.143000	0.084058
	0.144000	0.145302
	0.145000	0.206546
	0.146000	0.274236
	0.147000	0.351597
	0.148000	0.425734
	0.149000	0.486978
	0.150000	0.525658
	0.151000	0.554668
	0.152000	0.554668
	0.153000	0.548222
	0.154000	0.483755
	0.155000	0.428957
	0.156000	0.351597
	0.157000	0.271013
	0.158000	0.206546
	0.159000	0.145302
	0.160000	0.103398
	0.161000	0.074388
	0.162000	0.077611
	0.163000	0.084058
	0.164000	0.145302
	0.165000	0.206546
	0.166000	0.271013
	0.167000	0.351597
	0.168000	0.422511
	0.169000	0.477308
	0.170000	0.525658
	0.171000	0.554668
	0.172000	0.557892
	0.173000	0.541775
	0.174000	0.480531
	0.175000	0.428957
	0.176000	0.358044
	0.177000	0.274236
	0.178000	0.209769
	0.179000	0.142079
	0.180000	0.096952
	0.181000	0.071165
	0.182000	0.077611
	0.183000	0.087281
	0.184000	0.145302
	0.185000	0.206546
	0.186000	0.267790
	0.187000	0.351597
	0.188000	0.422511
	0.189000	0.483755
	0.190000	0.525658
	0.191000	0.551445
	0.192000	0.557892
	0.193000	0.548222
	0.194000	0.483755
	0.195000	0.428957
	0.196000	0.361267
	0.197000	0.277460
	0.198000	0.212992
	0.199000	0.145302
	0.200000	0.103398
	0.201000	0.067941
	0.202000	0.074388
	0.203000	0.077611
	0.204000	0.135632
	0.205000	0.200099
	0.206000	0.271013
	0.207000	0.351597
	0.208000	0.416064
	0.209000	0.477308
	0.210000	0.522435
	0.211000	0.544998
